Timestamp,position,BLMTI.04L7.B1E10_TCSG.B4L7.B1
1459603653130,8.88,0.0
1459603653140,8.88,0.0
1459603653150,8.88,0.0
1459603653160,8.88,1.4480000000000002e-06
1459603653170,8.88,0.0
1459603653180,8.88,0.0
1459603653190,8.88,3.6200000000000004e-07
1459603653200,8.88,3.6200000000000004e-07
1459603653210,8.88,3.6200000000000004e-07
1459603653220,8.88,3.6200000000000004e-07
1459603653230,8.88,0.0
1459603653240,8.88,0.0
1459603653250,8.88,3.6200000000000004e-07
1459603653260,8.88,7.240000000000001e-07
1459603653270,8.88,3.6200000000000004e-07
1459603653280,8.88,0.0
1459603653290,8.88,3.6200000000000004e-07
1459603653300,8.88,3.6200000000000004e-07
1459603653310,8.88,0.0
1459603653320,8.88,3.6200000000000004e-07
1459603653330,8.88,0.0
1459603653340,8.88,0.0
1459603653350,8.88,3.6200000000000004e-07
1459603653360,8.88,0.0
1459603653370,8.88,0.0
1459603653380,8.88,1.0859999999999999e-06
1459603653390,8.88,7.240000000000001e-07
1459603653400,8.88,0.0
1459603653410,8.88,0.0
1459603653420,8.88,0.0
1459603653430,8.88,3.6200000000000004e-07
1459603653440,8.88,0.0
1459603653450,8.88,3.6200000000000004e-07
1459603653460,8.88,3.6200000000000004e-07
1459603653470,8.88,0.0
1459603653480,8.88,0.0
1459603653490,8.88,1.0859999999999999e-06
1459603653500,8.88,0.0
1459603653510,8.88,0.0
1459603653520,8.88,1.0859999999999999e-06
1459603653530,8.88,0.0
1459603653540,8.88,0.0
1459603653550,8.88,1.4480000000000002e-06
1459603653560,8.88,0.0
1459603653570,8.88,0.0
1459603653580,8.88,0.0
1459603653590,8.88,0.0
1459603653600,8.88,0.0
1459603653610,8.88,1.0859999999999999e-06
1459603653620,8.88,3.6200000000000004e-07
1459603653630,8.88,0.0
1459603653640,8.88,3.6200000000000004e-07
1459603653650,8.88,0.0
1459603653660,8.88,0.0
1459603653670,8.88,1.0859999999999999e-06
1459603653680,8.88,7.240000000000001e-07
1459603653690,8.88,0.0
1459603653700,8.88,0.0
1459603653710,8.88,0.0
1459603653720,8.88,3.6200000000000004e-07
1459603653730,8.88,3.6200000000000004e-07
1459603653740,8.88,0.0
1459603653750,8.88,1.4480000000000002e-06
1459603653760,8.88,0.0
1459603653770,8.88,0.0
1459603653780,8.88,0.0
1459603653790,8.88,7.240000000000001e-07
1459603653800,8.88,7.240000000000001e-07
1459603653810,8.88,0.0
1459603653820,8.88,3.6200000000000004e-07
1459603653830,8.88,0.0
1459603653840,8.88,3.6200000000000004e-07
1459603653850,8.88,7.240000000000001e-07
1459603653860,8.88,0.0
1459603653870,8.88,0.0
1459603653880,8.88,7.240000000000001e-07
1459603653890,8.88,0.0
1459603653900,8.88,7.240000000000001e-07
1459603653910,8.88,0.0
1459603653920,8.88,0.0
1459603653930,8.88,0.0
1459603653940,8.88,1.0859999999999999e-06
1459603653950,8.88,0.0
1459603653960,8.88,1.0859999999999999e-06
1459603653970,8.88,0.0
1459603653980,8.88,0.0
1459603653990,8.88,0.0
1459603654000,8.88,3.6200000000000004e-07
1459603654010,8.88,7.240000000000001e-07
1459603654020,8.88,0.0
1459603654030,8.88,3.6200000000000004e-07
1459603654040,8.88,0.0
1459603654050,8.88,1.0859999999999999e-06
1459603654060,8.88,0.0
1459603654070,8.88,3.6200000000000004e-07
1459603654080,8.88,0.0
1459603654090,8.88,1.0859999999999999e-06
1459603654100,8.88,1.0859999999999999e-06
1459603654110,8.88,0.0
1459603654120,8.88,0.0
1459603654130,8.88,3.6200000000000004e-07
1459603654140,8.88,3.6200000000000004e-07
1459603654150,8.88,1.0859999999999999e-06
1459603654160,8.88,0.0
1459603654170,8.88,0.0
1459603654180,8.88,0.0
1459603654190,8.88,7.240000000000001e-07
1459603654200,8.88,1.0859999999999999e-06
1459603654210,8.88,0.0
1459603654220,8.88,2.1719999999999997e-06
1459603654230,8.88,0.0
1459603654240,8.88,0.0
1459603654250,8.88,0.0
1459603654260,8.88,0.0
1459603654270,8.88,0.0
1459603654280,8.88,0.0
1459603654290,8.88,0.0
1459603654300,8.88,0.0
1459603654310,8.88,3.6200000000000004e-07
1459603654320,8.88,3.6200000000000004e-07
1459603654330,8.88,3.6200000000000004e-07
1459603654340,8.88,1.0859999999999999e-06
1459603654350,8.88,0.0
1459603654360,8.88,0.0
1459603654370,8.88,0.0
1459603654380,8.88,7.240000000000001e-07
1459603654390,8.88,3.6200000000000004e-07
1459603654400,8.88,7.240000000000001e-07
1459603654410,8.88,0.0
1459603654420,8.88,0.0
1459603654430,8.88,0.0
1459603654440,8.88,3.6200000000000004e-07
1459603654450,8.88,7.240000000000001e-07
1459603654460,8.88,0.0
1459603654470,8.88,7.240000000000001e-07
1459603654480,8.88,7.240000000000001e-07
1459603654490,8.88,0.0
1459603654500,8.88,3.6200000000000004e-07
1459603654510,8.88,7.240000000000001e-07
1459603654520,8.88,0.0
1459603654530,8.88,3.6200000000000004e-07
1459603654540,8.88,3.6200000000000004e-07
1459603654550,8.88,7.240000000000001e-07
1459603654560,8.88,0.0
1459603654570,8.88,0.0
1459603654580,8.88,7.240000000000001e-07
1459603654590,8.88,3.6200000000000004e-07
1459603654600,8.88,0.0
1459603654610,8.88,0.0
1459603654620,8.88,0.0
1459603654630,8.88,0.0
1459603654640,8.88,3.6200000000000004e-07
1459603654650,8.88,3.6200000000000004e-07
1459603654660,8.88,3.6200000000000004e-07
1459603654670,8.88,0.0
1459603654680,8.88,0.0
1459603654690,8.88,3.6200000000000004e-07
1459603654700,8.88,0.0
1459603654710,8.88,0.0
1459603654720,8.88,7.240000000000001e-07
1459603654730,8.88,7.240000000000001e-07
1459603654740,8.88,3.6200000000000004e-07
1459603654750,8.88,0.0
1459603654760,8.88,7.240000000000001e-07
1459603654770,8.88,1.0859999999999999e-06
1459603654780,8.88,7.240000000000001e-07
1459603654790,8.88,0.0
1459603654800,8.88,0.0
1459603654810,8.88,0.0
1459603654820,8.88,0.0
1459603654830,8.88,0.0
1459603654840,8.88,7.240000000000001e-07
1459603654850,8.88,0.0
1459603654860,8.88,0.0
1459603654870,8.88,3.6200000000000004e-07
1459603654880,8.88,0.0
1459603654890,8.88,0.0
1459603654900,8.88,0.0
1459603654910,8.88,0.0
1459603654920,8.88,0.0
1459603654930,8.88,3.6200000000000004e-07
1459603654940,8.88,1.4480000000000002e-06
1459603654950,8.88,0.0
1459603654960,8.88,0.0
1459603654970,8.88,0.0
1459603654980,8.88,3.6200000000000004e-07
1459603654990,8.88,0.0
1459603655000,8.88,3.6200000000000004e-07
1459603655010,8.88,3.6200000000000004e-07
1459603655020,8.88,7.240000000000001e-07
1459603655030,8.88,0.0
1459603655040,8.88,1.0859999999999999e-06
1459603655050,8.88,0.0
1459603655060,8.88,0.0
1459603655070,8.88,0.0
1459603655080,8.88,3.6200000000000004e-07
1459603655090,8.88,0.0
1459603655100,8.88,7.240000000000001e-07
1459603655110,8.88,0.0
1459603655120,8.88,7.240000000000001e-07
1459603655130,8.88,0.0
1459603655140,8.88,0.0
1459603655150,8.88,0.0
1459603655160,8.88,2.1719999999999997e-06
1459603655170,8.88,0.0
1459603655180,8.88,3.6200000000000004e-07
1459603655190,8.88,0.0
1459603655200,8.88,0.0
1459603655210,8.88,0.0
1459603655220,8.88,0.0
1459603655230,8.88,0.0
1459603655240,8.88,3.6200000000000004e-07
1459603655250,8.88,3.6200000000000004e-07
1459603655260,8.88,7.240000000000001e-07
1459603655270,8.88,0.0
1459603655280,8.88,3.6200000000000004e-07
1459603655290,8.88,0.0
1459603655300,8.88,3.6200000000000004e-07
1459603655310,8.88,1.0859999999999999e-06
1459603655320,8.88,0.0
1459603655330,8.88,7.240000000000001e-07
1459603655340,8.88,0.0
1459603655350,8.88,3.6200000000000004e-07
1459603655360,8.88,0.0
1459603655370,8.88,3.6200000000000004e-07
1459603655380,8.88,7.240000000000001e-07
1459603655390,8.88,0.0
1459603655400,8.88,7.240000000000001e-07
1459603655410,8.88,3.6200000000000004e-07
1459603655420,8.88,0.0
1459603655430,8.88,0.0
1459603655440,8.88,7.240000000000001e-07
1459603655450,8.88,0.0
1459603655460,8.88,3.6200000000000004e-07
1459603655470,8.88,0.0
1459603655480,8.88,0.0
1459603655490,8.88,1.0859999999999999e-06
1459603655500,8.88,0.0
1459603655510,8.88,0.0
1459603655520,8.88,0.0
1459603655530,8.88,3.6200000000000004e-07
1459603655540,8.88,3.6200000000000004e-07
1459603655550,8.88,0.0
1459603655560,8.88,3.6200000000000004e-07
1459603655570,8.88,7.240000000000001e-07
1459603655580,8.88,1.0859999999999999e-06
1459603655590,8.88,0.0
1459603655600,8.88,0.0
1459603655610,8.88,3.6200000000000004e-07
1459603655620,8.88,3.6200000000000004e-07
1459603655630,8.88,1.0859999999999999e-06
1459603655640,8.88,3.6200000000000004e-07
1459603655650,8.88,0.0
1459603655660,8.88,3.6200000000000004e-07
1459603655670,8.88,0.0
1459603655680,8.88,7.240000000000001e-07
1459603655690,8.88,0.0
1459603655700,8.88,3.6200000000000004e-07
1459603655710,8.88,0.0
1459603655720,8.88,3.6200000000000004e-07
1459603655730,8.88,0.0
1459603655740,8.88,3.6200000000000004e-07
1459603655750,8.88,0.0
1459603655760,8.88,1.4480000000000002e-06
1459603655770,8.88,0.0
1459603655780,8.88,3.6200000000000004e-07
1459603655790,8.88,0.0
1459603655800,8.88,3.6200000000000004e-07
1459603655810,8.88,0.0
1459603655820,8.88,7.240000000000001e-07
1459603655830,8.88,0.0
1459603655840,8.88,0.0
1459603655850,8.88,0.0
1459603655860,8.88,1.4480000000000002e-06
1459603655870,8.88,3.6200000000000004e-07
1459603655880,8.88,0.0
1459603655890,8.88,0.0
1459603655900,8.88,3.6200000000000004e-07
1459603655910,8.88,0.0
1459603655920,8.88,0.0
1459603655930,8.88,7.240000000000001e-07
1459603655940,8.88,3.6200000000000004e-07
1459603655950,8.88,0.0
1459603655960,8.88,0.0
1459603655970,8.88,7.240000000000001e-07
1459603655980,8.88,3.6200000000000004e-07
1459603655990,8.88,0.0
1459603656000,8.88,0.0
1459603656010,8.88,0.0
1459603656020,8.88,7.240000000000001e-07
1459603656030,8.88,0.0
1459603656040,8.88,7.240000000000001e-07
1459603656050,8.88,0.0
1459603656060,8.88,0.0
1459603656070,8.88,7.240000000000001e-07
1459603656080,8.88,3.6200000000000004e-07
1459603656090,8.88,3.6200000000000004e-07
1459603656100,8.88,3.6200000000000004e-07
1459603656110,8.88,3.6200000000000004e-07
1459603656120,8.88,0.0
1459603656130,8.88,0.0
1459603656140,8.88,7.240000000000001e-07
1459603656150,8.88,0.0
1459603656160,8.88,0.0
1459603656170,8.88,0.0
1459603656180,8.88,0.0
1459603656190,8.88,0.0
1459603656200,8.88,7.240000000000001e-07
1459603656210,8.88,0.0
1459603656220,8.88,1.0859999999999999e-06
1459603656230,8.88,0.0
1459603656240,8.88,0.0
1459603656250,8.88,0.0
1459603656260,8.88,1.4480000000000002e-06
1459603656270,8.88,3.6200000000000004e-07
1459603656280,8.88,7.240000000000001e-07
1459603656290,8.88,0.0
1459603656300,8.88,0.0
1459603656310,8.88,3.6200000000000004e-07
1459603656320,8.88,0.0
1459603656330,8.88,0.0
1459603656340,8.88,3.6200000000000004e-07
1459603656350,8.88,3.6200000000000004e-07
1459603656360,8.88,7.240000000000001e-07
1459603656370,8.88,0.0
1459603656380,8.88,3.6200000000000004e-07
1459603656390,8.88,0.0
1459603656400,8.88,3.6200000000000004e-07
1459603656410,8.88,7.240000000000001e-07
1459603656420,8.88,3.6200000000000004e-07
1459603656430,8.88,0.0
1459603656440,8.88,3.6200000000000004e-07
1459603656450,8.88,1.0859999999999999e-06
1459603656460,8.88,3.6200000000000004e-07
1459603656470,8.88,3.6200000000000004e-07
1459603656480,8.88,1.0859999999999999e-06
1459603656490,8.88,0.0
1459603656500,8.88,0.0
1459603656510,8.88,0.0
1459603656520,8.88,0.0
1459603656530,8.88,0.0
1459603656540,8.88,3.6200000000000004e-07
1459603656550,8.88,0.0
1459603656560,8.88,3.6200000000000004e-07
1459603656570,8.88,0.0
1459603656580,8.88,3.6200000000000004e-07
1459603656590,8.88,3.6200000000000004e-07
1459603656600,8.88,3.6200000000000004e-07
1459603656610,8.88,0.0
1459603656620,8.88,3.6200000000000004e-07
1459603656630,8.88,0.0
1459603656640,8.88,3.6200000000000004e-07
1459603656650,8.88,0.0
1459603656660,8.88,1.0859999999999999e-06
1459603656670,8.88,0.0
1459603656680,8.88,3.6200000000000004e-07
1459603656690,8.88,0.0
1459603656700,8.88,3.6200000000000004e-07
1459603656710,8.88,0.0
1459603656720,8.88,3.6200000000000004e-07
1459603656730,8.88,3.6200000000000004e-07
1459603656740,8.88,0.0
1459603656750,8.88,3.6200000000000004e-07
1459603656760,8.88,1.0859999999999999e-06
1459603656770,8.88,0.0
1459603656780,8.88,3.6200000000000004e-07
1459603656790,8.88,3.6200000000000004e-07
1459603656800,8.88,3.6200000000000004e-07
1459603656810,8.88,0.0
1459603656820,8.88,3.6200000000000004e-07
1459603656830,8.88,0.0
1459603656840,8.88,7.240000000000001e-07
1459603656850,8.88,0.0
1459603656860,8.88,7.240000000000001e-07
1459603656870,8.88,0.0
1459603656880,8.88,3.6200000000000004e-07
1459603656890,8.88,7.240000000000001e-07
1459603656900,8.88,0.0
1459603656910,8.88,3.6200000000000004e-07
1459603656920,8.88,0.0
1459603656930,8.88,0.0
1459603656940,8.88,0.0
1459603656950,8.88,3.6200000000000004e-07
1459603656960,8.88,7.240000000000001e-07
1459603656970,8.88,0.0
1459603656980,8.88,1.0859999999999999e-06
1459603656990,8.88,0.0
1459603657000,8.88,0.0
1459603657010,8.88,0.0
1459603657020,8.88,7.240000000000001e-07
1459603657030,8.88,1.4480000000000002e-06
1459603657040,8.88,0.0
1459603657050,8.88,0.0
1459603657060,8.88,3.6200000000000004e-07
1459603657070,8.88,7.240000000000001e-07
1459603657080,8.88,0.0
1459603657090,8.88,0.0
1459603657100,8.88,0.0
1459603657110,8.88,0.0
1459603657120,8.88,7.240000000000001e-07
1459603657130,8.88,0.0
1459603657140,8.88,7.240000000000001e-07
1459603657150,8.88,0.0
1459603657160,8.88,7.240000000000001e-07
1459603657170,8.88,0.0
1459603657180,8.88,0.0
1459603657190,8.88,1.0859999999999999e-06
1459603657200,8.88,1.0859999999999999e-06
1459603657210,8.88,0.0
1459603657220,8.88,7.240000000000001e-07
1459603657230,8.88,0.0
1459603657240,8.88,0.0
1459603657250,8.88,0.0
1459603657260,8.88,0.0
1459603657270,8.88,0.0
1459603657280,8.88,0.0
1459603657290,8.88,1.4480000000000002e-06
1459603657300,8.88,0.0
1459603657310,8.88,0.0
1459603657320,8.88,0.0
1459603657330,8.88,0.0
1459603657340,8.88,0.0
1459603657350,8.88,3.6200000000000004e-07
1459603657360,8.88,0.0
1459603657370,8.88,0.0
1459603657380,8.88,3.6200000000000004e-07
1459603657390,8.88,3.6200000000000004e-07
1459603657400,8.88,0.0
1459603657410,8.88,0.0
1459603657420,8.88,1.0859999999999999e-06
1459603657430,8.88,0.0
1459603657440,8.88,1.0859999999999999e-06
1459603657450,8.88,0.0
1459603657460,8.88,0.0
1459603657470,8.88,0.0
1459603657480,8.88,3.6200000000000004e-07
1459603657490,8.88,3.6200000000000004e-07
