Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1459603917840,7.065,3.6200000000000004e-07
1459603917850,7.065,7.240000000000001e-07
1459603917860,7.065,0.0
1459603917870,7.065,3.6200000000000004e-07
1459603917880,7.065,7.240000000000001e-07
1459603917890,7.065,3.6200000000000004e-07
1459603917900,7.065,3.6200000000000004e-07
1459603917910,7.065,0.0
1459603917920,7.065,1.0859999999999999e-06
1459603917930,7.065,0.0
1459603917940,7.065,3.6200000000000004e-07
1459603917950,7.065,0.0
1459603917960,7.065,3.6200000000000004e-07
1459603917970,7.065,3.6200000000000004e-07
1459603917980,7.065,7.240000000000001e-07
1459603917990,7.065,3.6200000000000004e-07
1459603918000,7.065,3.6200000000000004e-07
1459603918010,7.065,3.6200000000000004e-07
1459603918020,7.065,3.6200000000000004e-07
1459603918030,7.065,3.6200000000000004e-07
1459603918040,7.065,3.6200000000000004e-07
1459603918050,7.065,7.240000000000001e-07
1459603918060,7.065,0.0
1459603918070,7.065,7.240000000000001e-07
1459603918080,7.065,3.6200000000000004e-07
1459603918090,7.065,7.240000000000001e-07
1459603918100,7.065,3.6200000000000004e-07
1459603918110,7.065,7.240000000000001e-07
1459603918120,7.065,7.240000000000001e-07
1459603918130,7.065,0.0
1459603918140,7.065,0.0
1459603918150,7.065,0.0
1459603918160,7.065,7.240000000000001e-07
1459603918170,7.065,3.6200000000000004e-07
1459603918180,7.065,3.6200000000000004e-07
1459603918190,7.065,3.6200000000000004e-07
1459603918200,7.065,7.240000000000001e-07
1459603918210,7.065,0.0
1459603918220,7.065,7.240000000000001e-07
1459603918230,7.065,7.240000000000001e-07
1459603918240,7.065,0.0
1459603918250,7.065,7.240000000000001e-07
1459603918260,7.065,0.0
1459603918270,7.065,7.240000000000001e-07
1459603918280,7.065,0.0
1459603918290,7.065,0.0
1459603918300,7.065,7.240000000000001e-07
1459603918310,7.065,1.0859999999999999e-06
1459603918320,7.065,0.0
1459603918330,7.065,3.6200000000000004e-07
1459603918340,7.065,0.0
1459603918350,7.065,3.6200000000000004e-07
1459603918360,7.065,3.6200000000000004e-07
1459603918370,7.065,7.240000000000001e-07
1459603918380,7.065,7.240000000000001e-07
1459603918390,7.065,0.0
1459603918400,7.065,0.0
1459603918410,7.065,3.6200000000000004e-07
1459603918420,7.065,0.0
1459603918430,7.065,1.4480000000000002e-06
1459603918440,7.065,3.6200000000000004e-07
1459603918450,7.065,1.0859999999999999e-06
1459603918460,7.065,0.0
1459603918470,7.065,0.0
1459603918480,7.065,3.6200000000000004e-07
1459603918490,7.065,7.240000000000001e-07
1459603918500,7.065,0.0
1459603918510,7.065,3.6200000000000004e-07
1459603918520,7.065,0.0
1459603918530,7.065,1.4480000000000002e-06
1459603918540,7.065,0.0
1459603918550,7.065,7.240000000000001e-07
1459603918560,7.065,3.6200000000000004e-07
1459603918570,7.065,0.0
1459603918580,7.065,7.240000000000001e-07
1459603918590,7.065,3.6200000000000004e-07
1459603918600,7.065,3.6200000000000004e-07
1459603918610,7.065,3.6200000000000004e-07
1459603918620,7.065,1.0859999999999999e-06
1459603918630,7.065,0.0
1459603918640,7.065,3.6200000000000004e-07
1459603918650,7.065,0.0
1459603918660,7.065,1.0859999999999999e-06
1459603918670,7.065,3.6200000000000004e-07
1459603918680,7.065,7.240000000000001e-07
1459603918690,7.065,0.0
1459603918700,7.065,3.6200000000000004e-07
1459603918710,7.065,7.240000000000001e-07
1459603918720,7.065,3.6200000000000004e-07
1459603918730,7.065,7.240000000000001e-07
1459603918740,7.065,0.0
1459603918750,7.065,3.6200000000000004e-07
1459603918760,7.065,3.6200000000000004e-07
1459603918770,7.065,7.240000000000001e-07
1459603918780,7.065,3.6200000000000004e-07
1459603918790,7.065,1.0859999999999999e-06
1459603918800,7.065,3.6200000000000004e-07
1459603918810,7.065,3.6200000000000004e-07
1459603918820,7.065,0.0
1459603918830,7.065,0.0
1459603918840,7.065,3.6200000000000004e-07
1459603918850,7.065,3.6200000000000004e-07
1459603918860,7.065,1.0859999999999999e-06
1459603918870,7.065,7.240000000000001e-07
1459603918880,7.065,3.6200000000000004e-07
1459603918890,7.065,3.6200000000000004e-07
1459603918900,7.065,3.6200000000000004e-07
1459603918910,7.065,7.240000000000001e-07
1459603918920,7.065,0.0
1459603918930,7.065,7.240000000000001e-07
1459603918940,7.065,0.0
1459603918950,7.065,3.6200000000000004e-07
1459603918960,7.065,0.0
1459603918970,7.065,1.4480000000000002e-06
1459603918980,7.065,0.0
1459603918990,7.065,3.6200000000000004e-07
1459603919000,7.065,3.6200000000000004e-07
1459603919010,7.065,7.240000000000001e-07
1459603919020,7.065,0.0
1459603919030,7.065,3.6200000000000004e-07
1459603919040,7.065,3.6200000000000004e-07
1459603919050,7.065,0.0
1459603919060,7.065,7.240000000000001e-07
1459603919070,7.065,0.0
1459603919080,7.065,3.6200000000000004e-07
1459603919090,7.065,1.0859999999999999e-06
1459603919100,7.065,0.0
1459603919110,7.065,7.240000000000001e-07
1459603919120,7.065,0.0
1459603919130,7.065,7.240000000000001e-07
1459603919140,7.065,3.6200000000000004e-07
1459603919150,7.065,0.0
1459603919160,7.065,7.240000000000001e-07
1459603919170,7.065,7.240000000000001e-07
1459603919180,7.065,3.6200000000000004e-07
1459603919190,7.065,3.6200000000000004e-07
1459603919200,7.065,3.6200000000000004e-07
1459603919210,7.065,0.0
