Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1459604288520,8.05,0.0
1459604288530,8.05,0.0
1459604288540,8.05,1.0859999999999999e-06
1459604288550,8.05,0.0
1459604288560,8.05,0.0
1459604288570,8.05,0.0
1459604288580,8.05,0.0
1459604288590,8.05,0.0
1459604288600,8.05,0.0
1459604288610,8.05,0.0
1459604288620,8.05,0.0
1459604288630,8.05,0.0
1459604288640,8.05,3.6200000000000004e-07
1459604288650,8.05,7.240000000000001e-07
1459604288660,8.05,0.0
1459604288670,8.05,7.240000000000001e-07
1459604288680,8.05,0.0
1459604288690,8.05,7.240000000000001e-07
1459604288700,8.05,0.0
1459604288710,8.05,0.0
1459604288720,8.05,1.0859999999999999e-06
1459604288730,8.05,1.0859999999999999e-06
1459604288740,8.05,0.0
1459604288750,8.05,0.0
1459604288760,8.05,0.0
1459604288770,8.05,1.0859999999999999e-06
1459604288780,8.05,0.0
1459604288790,8.05,0.0
1459604288800,8.05,0.0
1459604288810,8.05,2.1719999999999997e-06
1459604288820,8.05,0.0
1459604288830,8.05,1.4480000000000002e-06
1459604288840,8.05,0.0
1459604288850,8.05,7.240000000000001e-07
1459604288860,8.05,3.6200000000000004e-07
1459604288870,8.05,0.0
1459604288880,8.05,0.0
1459604288890,8.05,3.6200000000000004e-07
1459604288900,8.05,0.0
1459604288910,8.05,2.5340000000000002e-06
1459604288920,8.05,0.0
1459604288930,8.05,0.0
1459604288940,8.05,0.0
1459604288950,8.05,3.6200000000000004e-07
1459604288960,8.05,3.6200000000000004e-07
1459604288970,8.05,3.6200000000000004e-07
1459604288980,8.05,0.0
1459604288990,8.05,0.0
1459604289000,8.05,7.240000000000001e-07
1459604289010,8.05,1.0859999999999999e-06
1459604289020,8.05,1.81e-06
1459604289030,8.05,1.0859999999999999e-06
1459604289040,8.05,0.0
1459604289050,8.05,0.0
1459604289060,8.05,0.0
1459604289070,8.05,0.0
1459604289080,8.05,0.0
1459604289090,8.05,3.6200000000000004e-07
1459604289100,8.05,1.4480000000000002e-06
1459604289110,8.05,3.6200000000000004e-07
1459604289120,8.05,1.0859999999999999e-06
1459604289130,8.05,0.0
1459604289140,8.05,0.0
1459604289150,8.05,3.6200000000000004e-07
1459604289160,8.05,3.6200000000000004e-07
1459604289170,8.05,0.0
1459604289180,8.05,1.4480000000000002e-06
1459604289190,8.05,0.0
1459604289200,8.05,3.6200000000000004e-07
1459604289210,8.05,3.6200000000000004e-07
1459604289220,8.05,0.0
1459604289230,8.05,2.1719999999999997e-06
1459604289240,8.05,0.0
1459604289250,8.05,0.0
1459604289260,8.05,3.6200000000000004e-07
1459604289270,8.05,0.0
1459604289280,8.05,1.4480000000000002e-06
1459604289290,8.05,0.0
1459604289300,8.05,0.0
1459604289310,8.05,0.0
1459604289320,8.05,1.4480000000000002e-06
1459604289330,8.05,0.0
1459604289340,8.05,0.0
1459604289350,8.05,7.240000000000001e-07
1459604289360,8.05,0.0
1459604289370,8.05,0.0
1459604289380,8.05,7.240000000000001e-07
