Timestamp,position,BLMTI.04L8.B1E10_TCTPV.4L8.B1
1459604787690,8.005,1.0859999999999999e-06
1459604787700,8.005,0.0
1459604787710,8.005,0.0
1459604787720,8.005,0.0
1459604787730,8.005,3.6200000000000004e-07
1459604787740,8.005,3.6200000000000004e-07
1459604787750,8.005,3.6200000000000004e-07
1459604787760,8.005,0.0
1459604787770,8.005,1.4480000000000002e-06
1459604787780,8.005,0.0
1459604787790,8.005,0.0
1459604787800,8.005,0.0
1459604787810,8.005,7.240000000000001e-07
1459604787820,8.005,7.240000000000001e-07
1459604787830,8.005,3.6200000000000004e-07
1459604787840,8.005,3.6200000000000004e-07
1459604787850,8.005,0.0
1459604787860,8.005,0.0
1459604787870,8.005,3.6200000000000004e-07
1459604787880,8.005,3.6200000000000004e-07
1459604787890,8.005,0.0
1459604787900,8.005,0.0
1459604787910,8.005,0.0
1459604787920,8.005,7.240000000000001e-07
1459604787930,8.005,7.240000000000001e-07
1459604787940,8.005,0.0
1459604787950,8.005,0.0
1459604787960,8.005,0.0
1459604787970,8.005,1.0859999999999999e-06
1459604787980,8.005,0.0
1459604787990,8.005,0.0
1459604788000,8.005,0.0
1459604788010,8.005,7.240000000000001e-07
1459604788020,8.005,0.0
1459604788030,8.005,3.6200000000000004e-07
1459604788040,8.005,3.6200000000000004e-07
1459604788050,8.005,3.6200000000000004e-07
1459604788060,8.005,3.6200000000000004e-07
1459604788070,8.005,0.0
1459604788080,8.005,0.0
1459604788090,8.005,3.6200000000000004e-07
1459604788100,8.005,3.6200000000000004e-07
1459604788110,8.005,3.6200000000000004e-07
1459604788120,8.005,3.6200000000000004e-07
1459604788130,8.005,3.6200000000000004e-07
1459604788140,8.005,3.6200000000000004e-07
1459604788150,8.005,0.0
1459604788160,8.005,3.6200000000000004e-07
1459604788170,8.005,1.81e-06
1459604788180,8.005,3.6200000000000004e-07
1459604788190,8.005,0.0
1459604788200,8.005,0.0
1459604788210,8.005,0.0
1459604788220,8.005,7.240000000000001e-07
1459604788230,8.005,7.240000000000001e-07
1459604788240,8.005,3.6200000000000004e-07
1459604788250,8.005,0.0
1459604788260,8.005,3.6200000000000004e-07
1459604788270,8.005,3.6200000000000004e-07
