Timestamp,position,BLMTI.04R2.B2E10_TCTPV.4R2.B2
1459604831880,7.04,7.240000000000001e-07
1459604831890,7.04,0.0
1459604831900,7.04,3.6200000000000004e-07
1459604831910,7.04,7.240000000000001e-07
1459604831920,7.04,3.6200000000000004e-07
1459604831930,7.04,3.6200000000000004e-07
1459604831940,7.04,3.6200000000000004e-07
1459604831950,7.04,3.6200000000000004e-07
1459604831960,7.04,3.6200000000000004e-07
1459604831970,7.04,0.0
1459604831980,7.04,7.240000000000001e-07
1459604831990,7.04,3.6200000000000004e-07
1459604832000,7.04,3.6200000000000004e-07
1459604832010,7.04,3.6200000000000004e-07
1459604832020,7.04,0.0
1459604832030,7.04,3.6200000000000004e-07
1459604832040,7.04,7.240000000000001e-07
1459604832050,7.04,0.0
1459604832060,7.04,0.0
1459604832070,7.04,7.240000000000001e-07
1459604832080,7.04,0.0
1459604832090,7.04,3.6200000000000004e-07
1459604832100,7.04,7.240000000000001e-07
1459604832110,7.04,3.6200000000000004e-07
1459604832120,7.04,7.240000000000001e-07
1459604832130,7.04,1.0859999999999999e-06
1459604832140,7.04,3.6200000000000004e-07
1459604832150,7.04,3.6200000000000004e-07
1459604832160,7.04,3.6200000000000004e-07
1459604832170,7.04,3.6200000000000004e-07
1459604832180,7.04,0.0
1459604832190,7.04,0.0
1459604832200,7.04,0.0
1459604832210,7.04,0.0
1459604832220,7.04,3.6200000000000004e-07
1459604832230,7.04,0.0
1459604832240,7.04,1.0859999999999999e-06
1459604832250,7.04,0.0
1459604832260,7.04,7.240000000000001e-07
1459604832270,7.04,7.240000000000001e-07
1459604832280,7.04,3.6200000000000004e-07
1459604832290,7.04,0.0
1459604832300,7.04,0.0
1459604832310,7.04,7.240000000000001e-07
1459604832320,7.04,0.0
1459604832330,7.04,7.240000000000001e-07
1459604832340,7.04,0.0
1459604832350,7.04,0.0
1459604832360,7.04,3.6200000000000004e-07
1459604832370,7.04,0.0
1459604832380,7.04,7.240000000000001e-07
1459604832390,7.04,3.6200000000000004e-07
1459604832400,7.04,3.6200000000000004e-07
1459604832410,7.04,0.0
1459604832420,7.04,1.0859999999999999e-06
1459604832430,7.04,0.0
