Timestamp,position,BLMTI.05R3.B1I10_TCLA.A5R3.B1
1459605217820,8.4,7.240000000000001e-07
1459605217830,8.4,0.0
1459605217840,8.4,3.6200000000000004e-07
1459605217850,8.4,0.0
1459605217860,8.4,3.6200000000000004e-07
1459605217870,8.4,0.0
1459605217880,8.4,7.240000000000001e-07
1459605217890,8.4,7.240000000000001e-07
1459605217900,8.4,3.6200000000000004e-07
1459605217910,8.4,3.6200000000000004e-07
1459605217920,8.4,7.240000000000001e-07
1459605217930,8.4,3.6200000000000004e-07
1459605217940,8.4,7.240000000000001e-07
1459605217950,8.4,0.0
1459605217960,8.4,7.240000000000001e-07
1459605217970,8.4,3.6200000000000004e-07
1459605217980,8.4,3.6200000000000004e-07
1459605217990,8.4,0.0
1459605218000,8.4,1.0859999999999999e-06
1459605218010,8.4,7.240000000000001e-07
1459605218020,8.4,0.0
1459605218030,8.4,3.6200000000000004e-07
1459605218040,8.4,0.0
1459605218050,8.4,3.6200000000000004e-07
1459605218060,8.4,3.6200000000000004e-07
1459605218070,8.4,7.240000000000001e-07
1459605218080,8.4,0.0
1459605218090,8.4,0.0
1459605218100,8.4,7.240000000000001e-07
1459605218110,8.4,3.6200000000000004e-07
1459605218120,8.4,3.6200000000000004e-07
1459605218130,8.4,0.0
1459605218140,8.4,7.240000000000001e-07
1459605218150,8.4,3.6200000000000004e-07
1459605218160,8.4,7.240000000000001e-07
1459605218170,8.4,0.0
1459605218180,8.4,3.6200000000000004e-07
1459605218190,8.4,3.6200000000000004e-07
1459605218200,8.4,3.6200000000000004e-07
1459605218210,8.4,0.0
1459605218220,8.4,0.0
1459605218230,8.4,3.6200000000000004e-07
1459605218240,8.4,3.6200000000000004e-07
1459605218250,8.4,0.0
1459605218260,8.4,3.6200000000000004e-07
1459605218270,8.4,3.6200000000000004e-07
1459605218280,8.4,3.6200000000000004e-07
1459605218290,8.4,1.0859999999999999e-06
1459605218300,8.4,0.0
1459605218310,8.4,0.0
1459605218320,8.4,3.6200000000000004e-07
1459605218330,8.4,0.0
1459605218340,8.4,7.240000000000001e-07
1459605218350,8.4,0.0
1459605218360,8.4,1.4480000000000002e-06
1459605218370,8.4,1.0859999999999999e-06
1459605218380,8.4,3.6200000000000004e-07
1459605218390,8.4,0.0
1459605218400,8.4,3.6200000000000004e-07
1459605218410,8.4,0.0
1459605218420,8.4,7.240000000000001e-07
1459605218430,8.4,0.0
1459605218440,8.4,7.240000000000001e-07
1459605218450,8.4,0.0
1459605218460,8.4,1.0859999999999999e-06
1459605218470,8.4,3.6200000000000004e-07
1459605218480,8.4,1.0859999999999999e-06
1459605218490,8.4,1.0859999999999999e-06
1459605218500,8.4,0.0
1459605218510,8.4,0.0
1459605218520,8.4,3.6200000000000004e-07
1459605218530,8.4,0.0
1459605218540,8.4,0.0
1459605218550,8.4,3.6200000000000004e-07
1459605218560,8.4,3.6200000000000004e-07
1459605218570,8.4,3.6200000000000004e-07
1459605218580,8.4,0.0
1459605218590,8.4,7.240000000000001e-07
1459605218600,8.4,7.240000000000001e-07
1459605218610,8.4,0.0
1459605218620,8.4,3.6200000000000004e-07
1459605218630,8.4,7.240000000000001e-07
1459605218640,8.4,3.6200000000000004e-07
1459605218650,8.4,0.0
1459605218660,8.4,1.4480000000000002e-06
1459605218670,8.4,0.0
1459605218680,8.4,3.6200000000000004e-07
1459605218690,8.4,0.0
1459605218700,8.4,7.240000000000001e-07
1459605218710,8.4,3.6200000000000004e-07
1459605218720,8.4,3.6200000000000004e-07
1459605218730,8.4,3.6200000000000004e-07
1459605218740,8.4,3.6200000000000004e-07
1459605218750,8.4,0.0
1459605218760,8.4,3.6200000000000004e-07
1459605218770,8.4,3.6200000000000004e-07
1459605218780,8.4,0.0
1459605218790,8.4,3.6200000000000004e-07
1459605218800,8.4,3.6200000000000004e-07
1459605218810,8.4,3.6200000000000004e-07
1459605218820,8.4,7.240000000000001e-07
1459605218830,8.4,0.0
1459605218840,8.4,7.240000000000001e-07
1459605218850,8.4,3.6200000000000004e-07
1459605218860,8.4,3.6200000000000004e-07
1459605218870,8.4,3.6200000000000004e-07
1459605218880,8.4,3.6200000000000004e-07
1459605218890,8.4,0.0
1459605218900,8.4,7.240000000000001e-07
1459605218910,8.4,0.0
1459605218920,8.4,7.240000000000001e-07
1459605218930,8.4,3.6200000000000004e-07
1459605218940,8.4,1.4480000000000002e-06
1459605218950,8.4,0.0
1459605218960,8.4,3.6200000000000004e-07
1459605218970,8.4,0.0
1459605218980,8.4,0.0
1459605218990,8.4,7.240000000000001e-07
1459605219000,8.4,3.6200000000000004e-07
1459605219010,8.4,7.240000000000001e-07
1459605219020,8.4,0.0
1459605219030,8.4,0.0
1459605219040,8.4,3.6200000000000004e-07
1459605219050,8.4,3.6200000000000004e-07
1459605219060,8.4,7.240000000000001e-07
