Timestamp,position,BLMTI.04L5.B1I10_TCTPV.4L5.B1
1459605250430,7.505,0.0
1459605250440,7.505,0.0
1459605250450,7.505,0.0
1459605250460,7.505,0.0
1459605250470,7.505,0.0
1459605250480,7.505,0.0
1459605250490,7.505,0.0
1459605250500,7.505,0.0
1459605250510,7.505,0.0
1459605250520,7.505,0.0
1459605250530,7.505,0.0
1459605250540,7.505,0.0
1459605250550,7.505,0.0
1459605250560,7.505,0.0
1459605250570,7.505,0.0
1459605250580,7.505,0.0
1459605250590,7.505,0.0
1459605250600,7.505,3.6200000000000004e-07
1459605250610,7.505,7.240000000000001e-07
1459605250620,7.505,0.0
1459605250630,7.505,0.0
1459605250640,7.505,1.0859999999999999e-06
1459605250650,7.505,3.6200000000000004e-07
1459605250660,7.505,3.6200000000000004e-07
1459605250670,7.505,3.6200000000000004e-07
1459605250680,7.505,0.0
1459605250690,7.505,7.240000000000001e-07
1459605250700,7.505,3.6200000000000004e-07
1459605250710,7.505,0.0
1459605250720,7.505,7.240000000000001e-07
1459605250730,7.505,0.0
1459605250740,7.505,7.240000000000001e-07
1459605250750,7.505,3.6200000000000004e-07
1459605250760,7.505,3.6200000000000004e-07
1459605250770,7.505,1.0859999999999999e-06
1459605250780,7.505,7.240000000000001e-07
1459605250790,7.505,3.6200000000000004e-07
1459605250800,7.505,1.0859999999999999e-06
1459605250810,7.505,3.6200000000000004e-07
1459605250820,7.505,7.240000000000001e-07
1459605250830,7.505,7.240000000000001e-07
1459605250840,7.505,0.0
1459605250850,7.505,0.0
1459605250860,7.505,3.6200000000000004e-07
1459605250870,7.505,0.0
1459605250880,7.505,0.0
1459605250890,7.505,0.0
1459605250900,7.505,3.6200000000000004e-07
1459605250910,7.505,3.6200000000000004e-07
1459605250920,7.505,7.240000000000001e-07
1459605250930,7.505,0.0
1459605250940,7.505,7.240000000000001e-07
1459605250950,7.505,3.6200000000000004e-07
1459605250960,7.505,0.0
1459605250970,7.505,3.6200000000000004e-07
1459605250980,7.505,3.6200000000000004e-07
1459605250990,7.505,3.6200000000000004e-07
1459605251000,7.505,0.0
1459605251010,7.505,3.6200000000000004e-07
1459605251020,7.505,3.6200000000000004e-07
1459605251030,7.505,3.6200000000000004e-07
1459605251040,7.505,0.0
1459605251050,7.505,3.6200000000000004e-07
1459605251060,7.505,1.0859999999999999e-06
1459605251070,7.505,0.0
1459605251080,7.505,7.240000000000001e-07
1459605251090,7.505,3.6200000000000004e-07
1459605251100,7.505,0.0
1459605251110,7.505,0.0
1459605251120,7.505,3.6200000000000004e-07
1459605251130,7.505,3.6200000000000004e-07
1459605251140,7.505,3.6200000000000004e-07
1459605251150,7.505,3.6200000000000004e-07
1459605251160,7.505,3.6200000000000004e-07
1459605251170,7.505,0.0
1459605251180,7.505,0.0
1459605251190,7.505,3.6200000000000004e-07
1459605251200,7.505,3.6200000000000004e-07
1459605251210,7.505,0.0
1459605251220,7.505,3.6200000000000004e-07
1459605251230,7.505,3.6200000000000004e-07
1459605251240,7.505,3.6200000000000004e-07
1459605251250,7.505,0.0
1459605251260,7.505,3.6200000000000004e-07
1459605251270,7.505,0.0
1459605251280,7.505,3.6200000000000004e-07
1459605251290,7.505,3.6200000000000004e-07
1459605251300,7.505,7.240000000000001e-07
1459605251310,7.505,0.0
1459605251320,7.505,0.0
1459605251330,7.505,7.240000000000001e-07
1459605251340,7.505,3.6200000000000004e-07
1459605251350,7.505,0.0
1459605251360,7.505,7.240000000000001e-07
1459605251370,7.505,0.0
1459605251380,7.505,0.0
1459605251390,7.505,0.0
1459605251400,7.505,0.0
1459605251410,7.505,3.6200000000000004e-07
1459605251420,7.505,3.6200000000000004e-07
1459605251430,7.505,3.6200000000000004e-07
1459605251440,7.505,3.6200000000000004e-07
1459605251450,7.505,0.0
1459605251460,7.505,3.6200000000000004e-07
1459605251470,7.505,0.0
1459605251480,7.505,3.6200000000000004e-07
1459605251490,7.505,0.0
1459605251500,7.505,1.0859999999999999e-06
1459605251510,7.505,0.0
1459605251520,7.505,3.6200000000000004e-07
1459605251530,7.505,3.6200000000000004e-07
1459605251540,7.505,3.6200000000000004e-07
1459605251550,7.505,0.0
1459605251560,7.505,7.240000000000001e-07
1459605251570,7.505,0.0
