Timestamp,position,BLMTI.04L8.B2I10_TCLIA.4L8
1459605292260,6.68,0.0
1459605292270,6.68,1.4480000000000002e-06
1459605292280,6.68,0.0
1459605292290,6.68,7.240000000000001e-07
1459605292300,6.68,0.0
1459605292310,6.68,0.0
1459605292320,6.68,3.6200000000000004e-07
1459605292330,6.68,1.4480000000000002e-06
1459605292340,6.68,0.0
1459605292350,6.68,2.5340000000000002e-06
1459605292360,6.68,0.0
1459605292370,6.68,1.0859999999999999e-06
1459605292380,6.68,3.6200000000000004e-07
1459605292390,6.68,3.62e-06
1459605292400,6.68,3.6200000000000004e-07
1459605292410,6.68,2.5340000000000002e-06
1459605292420,6.68,0.0
1459605292430,6.68,1.0859999999999999e-06
1459605292440,6.68,3.6200000000000004e-07
1459605292450,6.68,1.81e-06
1459605292460,6.68,2.1719999999999997e-06
1459605292470,6.68,1.0859999999999999e-06
1459605292480,6.68,1.0859999999999999e-06
1459605292490,6.68,7.240000000000001e-07
1459605292500,6.68,0.0
1459605292510,6.68,7.240000000000001e-07
1459605292520,6.68,3.6200000000000004e-07
1459605292530,6.68,3.258e-06
1459605292540,6.68,0.0
1459605292550,6.68,1.4480000000000002e-06
1459605292560,6.68,0.0
1459605292570,6.68,2.8960000000000003e-06
1459605292580,6.68,2.1719999999999997e-06
1459605292590,6.68,0.0
1459605292600,6.68,0.0
1459605292610,6.68,3.6200000000000004e-07
1459605292620,6.68,0.0
1459605292630,6.68,7.240000000000001e-07
1459605292640,6.68,3.6200000000000004e-07
1459605292650,6.68,2.5340000000000002e-06
1459605292660,6.68,7.240000000000001e-07
1459605292670,6.68,0.0
1459605292680,6.68,0.0
1459605292690,6.68,2.5340000000000002e-06
1459605292700,6.68,7.240000000000001e-07
1459605292710,6.68,3.62e-06
1459605292720,6.68,0.0
1459605292730,6.68,3.6200000000000004e-07
1459605292740,6.68,3.6200000000000004e-07
1459605292750,6.68,2.1719999999999997e-06
1459605292760,6.68,1.4480000000000002e-06
1459605292770,6.68,1.4480000000000002e-06
1459605292780,6.68,2.5340000000000002e-06
1459605292790,6.68,2.1719999999999997e-06
1459605292800,6.68,2.5340000000000002e-06
1459605292810,6.68,1.81e-06
1459605292820,6.68,3.6200000000000004e-07
1459605292830,6.68,1.81e-06
1459605292840,6.68,1.81e-06
1459605292850,6.68,3.6200000000000004e-07
1459605292860,6.68,1.4480000000000002e-06
1459605292870,6.68,7.240000000000001e-07
1459605292880,6.68,1.4480000000000002e-06
1459605292890,6.68,1.81e-06
1459605292900,6.68,1.0859999999999999e-06
1459605292910,6.68,1.0859999999999999e-06
1459605292920,6.68,3.6200000000000004e-07
1459605292930,6.68,1.81e-06
1459605292940,6.68,0.0
1459605292950,6.68,2.1719999999999997e-06
1459605292960,6.68,0.0
1459605292970,6.68,1.81e-06
1459605292980,6.68,2.1719999999999997e-06
1459605292990,6.68,2.8960000000000003e-06
1459605293000,6.68,1.81e-06
1459605293010,6.68,2.5340000000000002e-06
1459605293020,6.68,1.0859999999999999e-06
1459605293030,6.68,2.5340000000000002e-06
1459605293040,6.68,1.81e-06
1459605293050,6.68,2.5340000000000002e-06
1459605293060,6.68,0.0
1459605293070,6.68,1.4480000000000002e-06
1459605293080,6.68,0.0
1459605293090,6.68,7.240000000000001e-07
1459605293100,6.68,3.6200000000000004e-07
1459605293110,6.68,2.1719999999999997e-06
1459605293120,6.68,1.81e-06
1459605293130,6.68,2.1719999999999997e-06
1459605293140,6.68,0.0
1459605293150,6.68,7.240000000000001e-07
1459605293160,6.68,0.0
1459605293170,6.68,3.6200000000000004e-07
1459605293180,6.68,1.0859999999999999e-06
1459605293190,6.68,1.0859999999999999e-06
1459605293200,6.68,7.240000000000001e-07
1459605293210,6.68,3.6200000000000004e-07
1459605293220,6.68,3.6200000000000004e-07
1459605293230,6.68,2.1719999999999997e-06
1459605293240,6.68,0.0
1459605293250,6.68,0.0
1459605293260,6.68,0.0
1459605293270,6.68,1.0859999999999999e-06
1459605293280,6.68,0.0
1459605293290,6.68,1.81e-06
1459605293300,6.68,0.0
1459605293310,6.68,1.4480000000000002e-06
1459605293320,6.68,0.0
1459605293330,6.68,1.0859999999999999e-06
1459605293340,6.68,0.0
1459605293350,6.68,1.81e-06
1459605293360,6.68,0.0
1459605293370,6.68,3.6200000000000004e-07
1459605293380,6.68,0.0
1459605293390,6.68,3.6200000000000004e-07
1459605293400,6.68,3.6200000000000004e-07
1459605293410,6.68,7.240000000000001e-07
1459605293420,6.68,0.0
1459605293430,6.68,3.6200000000000004e-07
1459605293440,6.68,3.6200000000000004e-07
1459605293450,6.68,1.4480000000000002e-06
1459605293460,6.68,0.0
1459605293470,6.68,1.0859999999999999e-06
1459605293480,6.68,1.81e-06
1459605293490,6.68,1.81e-06
1459605293500,6.68,0.0
1459605293510,6.68,1.4480000000000002e-06
1459605293520,6.68,1.4480000000000002e-06
1459605293530,6.68,1.4480000000000002e-06
1459605293540,6.68,7.240000000000001e-07
1459605293550,6.68,7.240000000000001e-07
1459605293560,6.68,7.240000000000001e-07
1459605293570,6.68,1.81e-06
1459605293580,6.68,0.0
1459605293590,6.68,1.4480000000000002e-06
1459605293600,6.68,0.0
1459605293610,6.68,1.81e-06
1459605293620,6.68,0.0
1459605293630,6.68,2.1719999999999997e-06
1459605293640,6.68,0.0
1459605293650,6.68,2.1719999999999997e-06
1459605293660,6.68,0.0
1459605293670,6.68,0.0
1459605293680,6.68,0.0
1459605293690,6.68,0.0
1459605293700,6.68,0.0
1459605293710,6.68,0.0
1459605293720,6.68,0.0
1459605293730,6.68,0.0
1459605293740,6.68,0.0
1459605293750,6.68,2.8960000000000003e-06
1459605293760,6.68,0.0
1459605293770,6.68,1.4480000000000002e-06
1459605293780,6.68,0.0
1459605293790,6.68,2.1719999999999997e-06
1459605293800,6.68,0.0
1459605293810,6.68,1.0859999999999999e-06
1459605293820,6.68,0.0
1459605293830,6.68,3.6200000000000004e-07
1459605293840,6.68,0.0
1459605293850,6.68,1.4480000000000002e-06
1459605293860,6.68,7.240000000000001e-07
1459605293870,6.68,1.4480000000000002e-06
1459605293880,6.68,3.6200000000000004e-07
1459605293890,6.68,1.4480000000000002e-06
1459605293900,6.68,1.4480000000000002e-06
1459605293910,6.68,1.0859999999999999e-06
1459605293920,6.68,7.240000000000001e-07
1459605293930,6.68,1.0859999999999999e-06
1459605293940,6.68,0.0
1459605293950,6.68,2.5340000000000002e-06
1459605293960,6.68,3.6200000000000004e-07
1459605293970,6.68,2.1719999999999997e-06
1459605293980,6.68,0.0
1459605293990,6.68,7.240000000000001e-07
1459605294000,6.68,1.4480000000000002e-06
1459605294010,6.68,2.1719999999999997e-06
1459605294020,6.68,0.0
1459605294030,6.68,7.240000000000001e-07
1459605294040,6.68,7.240000000000001e-07
1459605294050,6.68,3.6200000000000004e-07
1459605294060,6.68,0.0
1459605294070,6.68,7.240000000000001e-07
1459605294080,6.68,3.6200000000000004e-07
1459605294090,6.68,7.240000000000001e-07
1459605294100,6.68,3.6200000000000004e-07
1459605294110,6.68,1.4480000000000002e-06
1459605294120,6.68,0.0
1459605294130,6.68,1.4480000000000002e-06
1459605294140,6.68,7.240000000000001e-07
1459605294150,6.68,1.0859999999999999e-06
1459605294160,6.68,0.0
1459605294170,6.68,3.6200000000000004e-07
1459605294180,6.68,7.240000000000001e-07
1459605294190,6.68,0.0
1459605294200,6.68,0.0
1459605294210,6.68,1.0859999999999999e-06
1459605294220,6.68,7.240000000000001e-07
1459605294230,6.68,1.4480000000000002e-06
1459605294240,6.68,3.6200000000000004e-07
1459605294250,6.68,3.6200000000000004e-07
1459605294260,6.46,1.0859999999999999e-06
1459605294270,6.46,2.5340000000000002e-06
1459605294280,6.46,7.240000000000001e-07
1459605294290,6.46,7.240000000000001e-07
1459605294300,6.46,7.240000000000001e-07
1459605294310,6.46,1.81e-06
1459605294320,6.46,2.1719999999999997e-06
1459605294330,6.46,0.0
1459605294340,6.46,7.240000000000001e-07
1459605294350,6.46,0.0
1459605294360,6.46,1.0859999999999999e-06
1459605294370,6.46,7.240000000000001e-07
1459605294380,6.46,0.0
1459605294390,6.46,0.0
1459605294400,6.46,7.240000000000001e-07
1459605294410,6.46,1.0859999999999999e-06
1459605294420,6.46,0.0
1459605294430,6.46,0.0
1459605294440,6.46,0.0
1459605294450,6.46,1.4480000000000002e-06
1459605294460,6.46,3.6200000000000004e-07
1459605294470,6.46,2.1719999999999997e-06
1459605294480,6.46,0.0
1459605294490,6.46,0.0
1459605294500,6.46,3.6200000000000004e-07
1459605294510,6.46,0.0
1459605294520,6.46,3.6200000000000004e-07
1459605294530,6.46,3.6200000000000004e-07
1459605294540,6.46,2.1719999999999997e-06
1459605294550,6.46,7.240000000000001e-07
1459605294560,6.46,0.0
1459605294570,6.46,2.5340000000000002e-06
1459605294580,6.46,0.0
1459605294590,6.46,7.240000000000001e-07
1459605294600,6.46,0.0
1459605294610,6.46,0.0
1459605294620,6.46,0.0
1459605294630,6.46,1.4480000000000002e-06
1459605294640,6.46,3.6200000000000004e-07
1459605294650,6.46,7.240000000000001e-07
1459605294660,6.46,3.6200000000000004e-07
1459605294670,6.46,1.0859999999999999e-06
1459605294680,6.46,1.0859999999999999e-06
1459605294690,6.46,1.4480000000000002e-06
1459605294700,6.46,7.240000000000001e-07
1459605294710,6.46,2.1719999999999997e-06
1459605294720,6.46,1.0859999999999999e-06
1459605294730,6.46,2.1719999999999997e-06
1459605294740,6.46,1.4480000000000002e-06
1459605294750,6.46,2.8960000000000003e-06
1459605294760,6.46,7.240000000000001e-07
1459605294770,6.46,1.0859999999999999e-06
1459605294780,6.46,1.0859999999999999e-06
1459605294790,6.46,3.258e-06
1459605294800,6.46,3.6200000000000004e-07
1459605294810,6.46,2.5340000000000002e-06
1459605294820,6.46,1.4480000000000002e-06
1459605294830,6.46,1.0859999999999999e-06
1459605294840,6.46,1.81e-06
1459605294850,6.46,2.5340000000000002e-06
1459605294860,6.46,1.81e-06
1459605294870,6.46,7.240000000000001e-07
1459605294880,6.46,3.6200000000000004e-07
1459605294890,6.46,7.240000000000001e-07
1459605294900,6.46,0.0
1459605294910,6.46,1.4480000000000002e-06
1459605294920,6.46,1.4480000000000002e-06
1459605294930,6.46,1.81e-06
1459605294940,6.46,7.240000000000001e-07
1459605294950,6.46,3.6200000000000004e-07
1459605294960,6.46,3.6200000000000004e-07
1459605294970,6.46,7.240000000000001e-07
1459605294980,6.46,3.6200000000000004e-07
1459605294990,6.46,1.81e-06
1459605295000,6.46,3.6200000000000004e-07
1459605295010,6.46,7.240000000000001e-07
1459605295020,6.46,1.0859999999999999e-06
1459605295030,6.46,7.240000000000001e-07
1459605295040,6.46,2.5340000000000002e-06
1459605295050,6.46,1.0859999999999999e-06
1459605295060,6.46,3.6200000000000004e-07
1459605295070,6.46,1.81e-06
1459605295080,6.46,3.6200000000000004e-07
1459605295090,6.46,1.4480000000000002e-06
1459605295100,6.46,0.0
1459605295110,6.46,7.240000000000001e-07
1459605295120,6.46,0.0
1459605295130,6.46,1.81e-06
1459605295140,6.46,3.6200000000000004e-07
1459605295150,6.46,2.8960000000000003e-06
1459605295160,6.46,2.8960000000000003e-06
1459605295170,6.46,1.4480000000000002e-06
1459605295180,6.46,1.81e-06
1459605295190,6.46,3.982e-06
1459605295200,6.46,1.4480000000000002e-06
1459605295210,6.46,1.81e-06
1459605295220,6.46,2.1719999999999997e-06
1459605295230,6.46,7.240000000000001e-07
1459605295240,6.46,1.4480000000000002e-06
1459605295250,6.46,3.6200000000000004e-07
1459605295260,6.46,2.1719999999999997e-06
