Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1459605484110,2.73,7.240000000000001e-07
1459605484120,2.73,0.0
1459605484130,2.73,3.6200000000000004e-07
1459605484140,2.73,3.6200000000000004e-07
1459605484150,2.73,3.6200000000000004e-07
1459605484160,2.73,0.0
1459605484170,2.73,7.240000000000001e-07
1459605484180,2.73,0.0
1459605484190,2.73,7.240000000000001e-07
1459605484200,2.73,0.0
1459605484210,2.73,7.240000000000001e-07
1459605484220,2.73,7.240000000000001e-07
1459605484230,2.73,3.6200000000000004e-07
1459605484240,2.73,3.6200000000000004e-07
1459605484250,2.73,7.240000000000001e-07
1459605484260,2.73,0.0
1459605484270,2.73,7.240000000000001e-07
1459605484280,2.73,0.0
1459605484290,2.73,1.4480000000000002e-06
1459605484300,2.73,0.0
1459605484310,2.73,3.6200000000000004e-07
1459605484320,2.73,0.0
1459605484330,2.73,3.6200000000000004e-07
1459605484340,2.73,0.0
1459605484350,2.73,7.240000000000001e-07
1459605484360,2.73,3.6200000000000004e-07
1459605484370,2.73,1.0859999999999999e-06
1459605484380,2.73,0.0
1459605484390,2.73,7.240000000000001e-07
1459605484400,2.73,0.0
1459605484410,2.73,3.6200000000000004e-07
1459605484420,2.73,7.240000000000001e-07
1459605484430,2.73,3.6200000000000004e-07
1459605484440,2.73,3.6200000000000004e-07
1459605484450,2.73,3.6200000000000004e-07
1459605484460,2.73,7.240000000000001e-07
1459605484470,2.73,3.6200000000000004e-07
1459605484480,2.73,3.6200000000000004e-07
1459605484490,2.73,7.240000000000001e-07
1459605484500,2.73,0.0
1459605484510,2.73,1.0859999999999999e-06
1459605484520,2.73,0.0
1459605484530,2.73,3.6200000000000004e-07
1459605484540,2.73,0.0
1459605484550,2.73,7.240000000000001e-07
1459605484560,2.73,0.0
1459605484570,2.73,0.0
1459605484580,2.73,0.0
1459605484590,2.73,1.4480000000000002e-06
1459605484600,2.73,0.0
1459605484610,2.73,1.0859999999999999e-06
1459605484620,2.73,0.0
1459605484630,2.73,7.240000000000001e-07
1459605484640,2.73,0.0
1459605484650,2.73,0.0
1459605484660,2.73,7.240000000000001e-07
1459605484670,2.73,1.4480000000000002e-06
1459605484680,2.73,0.0
1459605484690,2.73,3.6200000000000004e-07
1459605484700,2.73,0.0
1459605484710,2.73,1.0859999999999999e-06
1459605484720,2.73,0.0
