Timestamp,position,BLMTI.04R2.B1I10_TCLIA.4R2
1459605867840,9.01,1.4480000000000002e-06
1459605867850,9.01,1.4480000000000002e-06
1459605867860,9.01,7.240000000000001e-07
1459605867870,9.01,1.0859999999999999e-06
1459605867880,9.01,7.240000000000001e-07
1459605867890,9.01,1.0859999999999999e-06
1459605867900,9.01,7.240000000000001e-07
1459605867910,9.01,1.0859999999999999e-06
1459605867920,9.01,7.240000000000001e-07
1459605867930,9.01,1.4480000000000002e-06
1459605867940,9.01,1.4480000000000002e-06
1459605867950,9.01,7.240000000000001e-07
1459605867960,9.01,2.1719999999999997e-06
1459605867970,9.01,1.4480000000000002e-06
1459605867980,9.01,2.5340000000000002e-06
1459605867990,9.01,7.240000000000001e-07
1459605868000,9.01,2.5340000000000002e-06
1459605868010,9.01,2.5340000000000002e-06
1459605868020,9.01,7.240000000000001e-07
1459605868030,9.01,2.1719999999999997e-06
1459605868040,9.01,7.240000000000001e-07
1459605868050,9.01,1.81e-06
1459605868060,9.01,1.4480000000000002e-06
1459605868070,9.01,1.81e-06
1459605868080,9.01,1.81e-06
1459605868090,9.01,1.81e-06
1459605868100,9.01,2.5340000000000002e-06
1459605868110,9.01,2.8960000000000003e-06
1459605868120,9.01,2.5340000000000002e-06
1459605868130,9.01,2.5340000000000002e-06
1459605868140,9.01,2.1719999999999997e-06
1459605868150,9.01,2.5340000000000002e-06
1459605868160,9.01,1.81e-06
1459605868170,9.01,1.4480000000000002e-06
1459605868180,9.01,1.4480000000000002e-06
1459605868190,9.01,2.8960000000000003e-06
1459605868200,9.01,2.1719999999999997e-06
1459605868210,9.01,1.0859999999999999e-06
1459605868220,9.01,2.1719999999999997e-06
1459605868230,9.01,7.240000000000001e-07
1459605868240,9.01,1.81e-06
1459605868250,9.01,3.6200000000000004e-07
1459605868260,9.01,1.0859999999999999e-06
1459605868270,9.01,1.0859999999999999e-06
1459605868280,9.01,7.240000000000001e-07
1459605868290,9.01,1.4480000000000002e-06
1459605868300,9.01,1.4480000000000002e-06
1459605868310,9.01,1.81e-06
1459605868320,9.01,0.0
1459605868330,9.01,1.0859999999999999e-06
1459605868340,9.01,1.0859999999999999e-06
1459605868350,9.01,1.4480000000000002e-06
1459605868360,9.01,7.240000000000001e-07
1459605868370,9.01,1.0859999999999999e-06
1459605868380,9.01,1.4480000000000002e-06
1459605868390,9.01,3.6200000000000004e-07
1459605868400,9.01,1.0859999999999999e-06
1459605868410,9.01,7.240000000000001e-07
1459605868420,9.01,7.240000000000001e-07
1459605868430,9.01,1.0859999999999999e-06
1459605868440,9.01,1.0859999999999999e-06
1459605868450,9.01,1.0859999999999999e-06
1459605868460,9.01,1.81e-06
1459605868470,9.01,1.81e-06
1459605868480,9.01,2.1719999999999997e-06
1459605868490,9.01,7.240000000000001e-07
1459605868500,9.01,1.4480000000000002e-06
1459605868510,9.01,1.0859999999999999e-06
1459605868520,9.01,1.4480000000000002e-06
1459605868530,9.01,7.240000000000001e-07
1459605868540,9.01,7.240000000000001e-07
1459605868550,9.01,1.4480000000000002e-06
1459605868560,9.01,7.240000000000001e-07
1459605868570,9.01,1.81e-06
1459605868580,9.01,1.0859999999999999e-06
1459605868590,9.01,1.0859999999999999e-06
1459605868600,9.01,1.0859999999999999e-06
1459605868610,9.01,7.240000000000001e-07
1459605868620,9.01,1.4480000000000002e-06
1459605868630,9.01,1.4480000000000002e-06
1459605868640,9.01,1.4480000000000002e-06
1459605868650,9.01,7.240000000000001e-07
1459605868660,9.01,1.4480000000000002e-06
1459605868670,9.01,1.4480000000000002e-06
1459605868680,9.01,1.0859999999999999e-06
1459605868690,9.01,1.0859999999999999e-06
1459605868700,9.01,1.81e-06
1459605868710,9.01,2.1719999999999997e-06
1459605868720,9.01,1.0859999999999999e-06
1459605868730,9.01,3.6200000000000004e-07
1459605868740,9.01,1.4480000000000002e-06
1459605868750,9.01,1.0859999999999999e-06
1459605868760,9.01,7.240000000000001e-07
1459605868770,9.01,1.0859999999999999e-06
1459605868780,9.01,7.240000000000001e-07
1459605868790,9.01,1.0859999999999999e-06
1459605868800,9.01,1.0859999999999999e-06
1459605868810,9.01,7.240000000000001e-07
1459605868820,9.01,3.6200000000000004e-07
1459605868830,9.01,7.240000000000001e-07
1459605868840,9.01,7.240000000000001e-07
1459605868850,9.01,7.240000000000001e-07
1459605868860,9.01,7.240000000000001e-07
1459605868870,9.01,7.240000000000001e-07
1459605868880,9.01,1.0859999999999999e-06
1459605868890,9.01,7.240000000000001e-07
1459605868900,9.01,1.0859999999999999e-06
1459605868910,9.01,3.6200000000000004e-07
1459605868920,9.01,1.4480000000000002e-06
1459605868930,9.01,7.240000000000001e-07
1459605868940,9.01,0.0
1459605868950,9.01,7.240000000000001e-07
1459605868960,9.01,1.81e-06
1459605868970,9.01,2.1719999999999997e-06
1459605868980,9.01,1.81e-06
1459605868990,9.01,2.8960000000000003e-06
1459605869000,9.01,2.8960000000000003e-06
1459605869010,9.01,3.258e-06
1459605869020,9.01,4.706e-06
1459605869030,9.01,5.43e-06
1459605869040,9.01,5.0680000000000004e-06
1459605869050,9.01,6.877999999999999e-06
