Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1459606474470,8.895,0.0
1459606474480,8.895,3.6200000000000004e-07
1459606474490,8.895,0.0
1459606474500,8.895,3.6200000000000004e-07
1459606474510,8.895,0.0
1459606474520,8.895,7.240000000000001e-07
1459606474530,8.895,0.0
1459606474540,8.895,3.6200000000000004e-07
1459606474550,8.895,3.6200000000000004e-07
1459606474560,8.895,0.0
1459606474570,8.895,3.6200000000000004e-07
1459606474580,8.895,0.0
1459606474590,8.895,3.6200000000000004e-07
1459606474600,8.895,0.0
1459606474610,8.895,7.240000000000001e-07
1459606474620,8.895,0.0
1459606474630,8.895,7.240000000000001e-07
1459606474640,8.895,7.240000000000001e-07
1459606474650,8.895,0.0
1459606474660,8.895,3.6200000000000004e-07
1459606474670,8.895,0.0
1459606474680,8.895,3.6200000000000004e-07
1459606474690,8.895,3.6200000000000004e-07
1459606474700,8.895,3.6200000000000004e-07
1459606474710,8.895,3.6200000000000004e-07
1459606474720,8.895,7.240000000000001e-07
1459606474730,8.895,3.6200000000000004e-07
1459606474740,8.895,0.0
1459606474750,8.895,7.240000000000001e-07
1459606474760,8.895,0.0
1459606474770,8.895,0.0
1459606474780,8.895,0.0
1459606474790,8.895,3.6200000000000004e-07
1459606474800,8.895,0.0
1459606474810,8.895,3.6200000000000004e-07
1459606474820,8.895,3.6200000000000004e-07
1459606474830,8.895,3.6200000000000004e-07
1459606474840,8.895,0.0
1459606474850,8.895,3.6200000000000004e-07
1459606474860,8.895,0.0
1459606474870,8.895,3.6200000000000004e-07
1459606474880,8.895,3.6200000000000004e-07
1459606474890,8.895,7.240000000000001e-07
1459606474900,8.895,0.0
1459606474910,8.895,0.0
1459606474920,8.895,3.6200000000000004e-07
1459606474930,8.895,3.6200000000000004e-07
1459606474940,8.895,3.6200000000000004e-07
1459606474950,8.895,0.0
1459606474960,8.895,3.6200000000000004e-07
1459606474970,8.895,3.6200000000000004e-07
1459606474980,8.895,0.0
1459606474990,8.895,3.6200000000000004e-07
1459606475000,8.895,0.0
1459606475010,8.895,3.6200000000000004e-07
1459606475020,8.895,3.6200000000000004e-07
1459606475030,8.895,7.240000000000001e-07
1459606475040,8.895,0.0
1459606475050,8.895,3.6200000000000004e-07
1459606475060,8.895,3.6200000000000004e-07
1459606475070,8.895,0.0
1459606475080,8.895,3.6200000000000004e-07
1459606475090,8.895,3.6200000000000004e-07
1459606475100,8.895,3.6200000000000004e-07
1459606475110,8.895,3.6200000000000004e-07
1459606475120,8.895,3.6200000000000004e-07
1459606475130,8.895,3.6200000000000004e-07
1459606475140,8.895,0.0
1459606475150,8.895,3.6200000000000004e-07
1459606475160,8.895,3.6200000000000004e-07
1459606475170,8.895,3.6200000000000004e-07
1459606475180,8.895,3.6200000000000004e-07
1459606475190,8.895,3.6200000000000004e-07
1459606475200,8.895,3.6200000000000004e-07
1459606475210,8.675,3.6200000000000004e-07
1459606475220,8.675,3.6200000000000004e-07
1459606475230,8.675,3.6200000000000004e-07
1459606475240,8.675,0.0
1459606475250,8.675,7.240000000000001e-07
1459606475260,8.675,0.0
1459606475270,8.675,3.6200000000000004e-07
1459606475280,8.675,3.6200000000000004e-07
1459606475290,8.675,0.0
1459606475300,8.675,3.6200000000000004e-07
1459606475310,8.675,3.6200000000000004e-07
1459606475320,8.675,0.0
1459606475330,8.675,0.0
1459606475340,8.675,3.6200000000000004e-07
1459606475350,8.675,0.0
1459606475360,8.675,3.6200000000000004e-07
1459606475370,8.675,7.240000000000001e-07
1459606475380,8.675,3.6200000000000004e-07
1459606475390,8.675,3.6200000000000004e-07
1459606475400,8.675,0.0
1459606475410,8.675,0.0
1459606475420,8.675,0.0
1459606475430,8.675,7.240000000000001e-07
1459606475440,8.675,0.0
1459606475450,8.675,0.0
