Timestamp,position,BLMTI.06L7.B2I10_TCLA.A6L7.B2
1459606641620,9.585,3.6200000000000004e-07
1459606641630,9.585,3.6200000000000004e-07
1459606641640,9.585,7.240000000000001e-07
1459606641650,9.585,3.6200000000000004e-07
1459606641660,9.585,7.240000000000001e-07
1459606641670,9.585,1.0859999999999999e-06
1459606641680,9.585,3.6200000000000004e-07
1459606641690,9.585,0.0
1459606641700,9.585,7.240000000000001e-07
1459606641710,9.585,3.6200000000000004e-07
1459606641720,9.585,3.6200000000000004e-07
1459606641730,9.585,0.0
1459606641740,9.585,7.240000000000001e-07
1459606641750,9.585,3.6200000000000004e-07
1459606641760,9.585,1.0859999999999999e-06
1459606641770,9.585,0.0
1459606641780,9.585,3.6200000000000004e-07
1459606641790,9.585,3.6200000000000004e-07
1459606641800,9.585,3.6200000000000004e-07
1459606641810,9.585,1.0859999999999999e-06
1459606641820,9.585,0.0
1459606641830,9.585,3.6200000000000004e-07
1459606641840,9.585,1.0859999999999999e-06
1459606641850,9.585,3.6200000000000004e-07
1459606641860,9.585,7.240000000000001e-07
1459606641870,9.585,7.240000000000001e-07
1459606641880,9.585,3.6200000000000004e-07
1459606641890,9.585,7.240000000000001e-07
1459606641900,9.585,3.6200000000000004e-07
1459606641910,9.585,0.0
1459606641920,9.585,0.0
1459606641930,9.585,1.0859999999999999e-06
1459606641940,9.585,7.240000000000001e-07
1459606641950,9.585,7.240000000000001e-07
1459606641960,9.585,0.0
1459606641970,9.585,1.0859999999999999e-06
1459606641980,9.585,7.240000000000001e-07
1459606641990,9.585,3.6200000000000004e-07
1459606642000,9.585,3.6200000000000004e-07
1459606642010,9.585,0.0
1459606642020,9.585,1.0859999999999999e-06
1459606642030,9.585,0.0
1459606642040,9.585,0.0
1459606642050,9.585,1.0859999999999999e-06
1459606642060,9.585,0.0
1459606642070,9.585,0.0
1459606642080,9.585,3.6200000000000004e-07
1459606642090,9.585,3.6200000000000004e-07
1459606642100,9.585,0.0
1459606642110,9.585,3.6200000000000004e-07
1459606642120,9.585,3.6200000000000004e-07
1459606642130,9.585,0.0
1459606642140,9.585,1.4480000000000002e-06
1459606642150,9.585,0.0
1459606642160,9.585,3.6200000000000004e-07
1459606642170,9.585,0.0
1459606642180,9.585,1.4480000000000002e-06
1459606642190,9.585,3.6200000000000004e-07
1459606642200,9.585,3.6200000000000004e-07
1459606642210,9.585,7.240000000000001e-07
1459606642220,9.585,7.240000000000001e-07
1459606642230,9.585,0.0
1459606642240,9.585,7.240000000000001e-07
1459606642250,9.585,3.6200000000000004e-07
1459606642260,9.585,7.240000000000001e-07
1459606642270,9.585,3.6200000000000004e-07
1459606642280,9.585,1.0859999999999999e-06
1459606642290,9.585,3.6200000000000004e-07
1459606642300,9.585,1.0859999999999999e-06
1459606642310,9.585,1.0859999999999999e-06
1459606642320,9.585,1.4480000000000002e-06
1459606642330,9.585,7.240000000000001e-07
1459606642340,9.585,1.0859999999999999e-06
1459606642350,9.585,7.240000000000001e-07
1459606642360,9.585,7.240000000000001e-07
1459606642370,9.585,1.0859999999999999e-06
1459606642380,9.585,1.81e-06
1459606642390,9.585,3.6200000000000004e-07
1459606642400,9.585,1.0859999999999999e-06
1459606642410,9.585,1.0859999999999999e-06
1459606642420,9.585,1.0859999999999999e-06
1459606642430,9.585,7.240000000000001e-07
1459606642440,9.585,3.6200000000000004e-07
1459606642450,9.585,3.6200000000000004e-07
1459606642460,9.585,7.240000000000001e-07
1459606642470,9.585,7.240000000000001e-07
1459606642480,9.585,7.240000000000001e-07
1459606642490,9.585,3.6200000000000004e-07
1459606642500,9.585,1.0859999999999999e-06
1459606642510,9.585,0.0
1459606642520,9.585,1.0859999999999999e-06
1459606642530,9.585,3.6200000000000004e-07
1459606642540,9.585,7.240000000000001e-07
1459606642550,9.585,0.0
1459606642560,9.585,1.0859999999999999e-06
1459606642570,9.585,3.6200000000000004e-07
1459606642580,9.585,1.4480000000000002e-06
1459606642590,9.585,0.0
1459606642600,9.585,7.240000000000001e-07
1459606642610,9.585,3.6200000000000004e-07
1459606642620,9.585,1.0859999999999999e-06
1459606642630,9.585,0.0
1459606642640,9.585,3.6200000000000004e-07
1459606642650,9.585,7.240000000000001e-07
1459606642660,9.585,7.240000000000001e-07
1459606642670,9.585,7.240000000000001e-07
1459606642680,9.585,3.6200000000000004e-07
1459606642690,9.585,0.0
1459606642700,9.585,7.240000000000001e-07
1459606642710,9.585,0.0
1459606642720,9.585,3.6200000000000004e-07
1459606642730,9.585,3.6200000000000004e-07
1459606642740,9.585,7.240000000000001e-07
1459606642750,9.585,0.0
1459606642760,9.585,3.6200000000000004e-07
1459606642770,9.585,7.240000000000001e-07
1459606642780,9.585,7.240000000000001e-07
1459606642790,9.585,0.0
1459606642800,9.585,3.6200000000000004e-07
1459606642810,9.585,3.6200000000000004e-07
1459606642820,9.585,3.6200000000000004e-07
1459606642830,9.585,3.6200000000000004e-07
1459606642840,9.585,3.6200000000000004e-07
