Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1459606838410,8.83,3.6200000000000004e-07
1459606838420,8.83,7.240000000000001e-07
1459606838430,8.83,0.0
1459606838440,8.83,1.0859999999999999e-06
1459606838450,8.83,1.4480000000000002e-06
1459606838460,8.83,0.0
1459606838470,8.83,0.0
1459606838480,8.83,0.0
1459606838490,8.83,1.0859999999999999e-06
1459606838500,8.83,1.81e-06
1459606838510,8.83,0.0
1459606838520,8.83,0.0
1459606838530,8.83,0.0
1459606838540,8.83,1.4480000000000002e-06
1459606838550,8.83,3.6200000000000004e-07
1459606838560,8.83,1.0859999999999999e-06
1459606838570,8.83,1.0859999999999999e-06
1459606838580,8.83,1.0859999999999999e-06
1459606838590,8.83,3.6200000000000004e-07
1459606838600,8.83,0.0
1459606838610,8.83,7.240000000000001e-07
1459606838620,8.83,3.6200000000000004e-07
1459606838630,8.83,1.0859999999999999e-06
1459606838640,8.83,7.240000000000001e-07
1459606838650,8.83,7.240000000000001e-07
1459606838660,8.83,3.6200000000000004e-07
1459606838670,8.83,2.1719999999999997e-06
1459606838680,8.83,1.81e-06
1459606838690,8.83,0.0
1459606838700,8.83,0.0
1459606838710,8.83,7.240000000000001e-07
1459606838720,8.83,7.240000000000001e-07
1459606838730,8.83,0.0
1459606838740,8.83,1.4480000000000002e-06
1459606838750,8.83,0.0
1459606838760,8.83,3.6200000000000004e-07
1459606838770,8.83,1.0859999999999999e-06
1459606838780,8.83,0.0
1459606838790,8.83,7.240000000000001e-07
1459606838800,8.83,3.6200000000000004e-07
1459606838810,8.83,1.0859999999999999e-06
1459606838820,8.83,7.240000000000001e-07
1459606838830,8.83,3.6200000000000004e-07
1459606838840,8.83,1.0859999999999999e-06
1459606838850,8.83,0.0
1459606838860,8.83,1.4480000000000002e-06
1459606838870,8.83,0.0
1459606838880,8.83,7.240000000000001e-07
1459606838890,8.83,0.0
1459606838900,8.83,1.81e-06
1459606838910,8.83,7.240000000000001e-07
1459606838920,8.83,0.0
1459606838930,8.83,1.4480000000000002e-06
1459606838940,8.83,1.81e-06
1459606838950,8.83,1.81e-06
1459606838960,8.83,0.0
1459606838970,8.83,0.0
1459606838980,8.83,0.0
1459606838990,8.83,2.5340000000000002e-06
1459606839000,8.83,0.0
1459606839010,8.83,0.0
1459606839020,8.83,7.240000000000001e-07
1459606839030,8.83,3.6200000000000004e-07
1459606839040,8.83,7.240000000000001e-07
1459606839050,8.83,3.6200000000000004e-07
1459606839060,8.83,1.81e-06
1459606839070,8.83,0.0
1459606839080,8.83,1.0859999999999999e-06
1459606839090,8.83,0.0
1459606839100,8.83,7.240000000000001e-07
1459606839110,8.83,3.6200000000000004e-07
1459606839120,8.83,1.4480000000000002e-06
1459606839130,8.83,3.6200000000000004e-07
1459606839140,8.83,7.240000000000001e-07
1459606839150,8.83,0.0
1459606839160,8.83,7.240000000000001e-07
1459606839170,8.83,0.0
1459606839180,8.83,1.0859999999999999e-06
1459606839190,8.83,1.0859999999999999e-06
1459606839200,8.83,1.4480000000000002e-06
1459606839210,8.83,3.6200000000000004e-07
1459606839220,8.83,1.4480000000000002e-06
1459606839230,8.83,1.0859999999999999e-06
1459606839240,8.83,3.6200000000000004e-07
1459606839250,8.83,1.0859999999999999e-06
1459606839260,8.83,3.6200000000000004e-07
1459606839270,8.83,0.0
1459606839280,8.83,1.0859999999999999e-06
1459606839290,8.83,1.0859999999999999e-06
1459606839300,8.83,0.0
1459606839310,8.83,1.0859999999999999e-06
1459606839320,8.83,7.240000000000001e-07
1459606839330,8.83,1.0859999999999999e-06
1459606839340,8.83,3.6200000000000004e-07
1459606839350,8.83,1.4480000000000002e-06
1459606839360,8.83,3.6200000000000004e-07
1459606839370,8.83,2.5340000000000002e-06
1459606839380,8.83,0.0
1459606839390,8.83,1.4480000000000002e-06
1459606839400,8.83,3.6200000000000004e-07
1459606839410,8.83,3.6200000000000004e-07
1459606839420,8.83,0.0
1459606839430,8.83,0.0
1459606839440,8.83,1.0859999999999999e-06
1459606839450,8.83,7.240000000000001e-07
1459606839460,8.83,1.81e-06
1459606839470,8.83,0.0
1459606839480,8.83,0.0
1459606839490,8.83,7.240000000000001e-07
1459606839500,8.83,1.81e-06
1459606839510,8.83,3.6200000000000004e-07
1459606839520,8.83,0.0
1459606839530,8.83,7.240000000000001e-07
1459606839540,8.83,1.81e-06
1459606839550,8.83,0.0
1459606839560,8.83,3.6200000000000004e-07
1459606839570,8.83,1.0859999999999999e-06
1459606839580,8.83,0.0
1459606839590,8.83,3.6200000000000004e-07
1459606839600,8.83,1.0859999999999999e-06
1459606839610,8.83,1.4480000000000002e-06
1459606839620,8.83,7.240000000000001e-07
1459606839630,8.83,0.0
1459606839640,8.83,7.240000000000001e-07
1459606839650,8.83,7.240000000000001e-07
1459606839660,8.83,1.0859999999999999e-06
1459606839670,8.83,7.240000000000001e-07
1459606839680,8.83,0.0
1459606839690,8.83,7.240000000000001e-07
1459606839700,8.83,7.240000000000001e-07
1459606839710,8.83,0.0
1459606839720,8.83,3.6200000000000004e-07
1459606839730,8.83,2.1719999999999997e-06
1459606839740,8.83,3.6200000000000004e-07
1459606839750,8.83,1.0859999999999999e-06
1459606839760,8.83,0.0
1459606839770,8.83,7.240000000000001e-07
1459606839780,8.83,7.240000000000001e-07
1459606839790,8.83,2.8960000000000003e-06
1459606839800,8.83,3.6200000000000004e-07
1459606839810,8.83,3.6200000000000004e-07
1459606839820,8.83,0.0
1459606839830,8.83,0.0
1459606839840,8.83,1.0859999999999999e-06
1459606839850,8.83,0.0
1459606839860,8.83,3.6200000000000004e-07
1459606839870,8.83,3.6200000000000004e-07
1459606839880,8.83,1.4480000000000002e-06
1459606839890,8.83,1.81e-06
1459606839900,8.83,0.0
1459606839910,8.83,0.0
1459606839920,8.83,1.0859999999999999e-06
1459606839930,8.83,1.0859999999999999e-06
1459606839940,8.83,3.6200000000000004e-07
1459606839950,8.83,1.4480000000000002e-06
1459606839960,8.83,0.0
1459606839970,8.83,1.81e-06
1459606839980,8.83,7.240000000000001e-07
1459606839990,8.83,7.240000000000001e-07
1459606840000,8.83,1.0859999999999999e-06
1459606840010,8.83,3.6200000000000004e-07
1459606840020,8.83,1.4480000000000002e-06
1459606840030,8.83,3.6200000000000004e-07
1459606840040,8.83,1.0859999999999999e-06
1459606840050,8.83,0.0
1459606840060,8.83,0.0
1459606840070,8.83,0.0
1459606840080,8.83,0.0
1459606840090,8.83,7.240000000000001e-07
1459606840100,8.83,7.240000000000001e-07
1459606840110,8.83,7.240000000000001e-07
1459606840120,8.83,0.0
1459606840130,8.83,1.4480000000000002e-06
1459606840140,8.83,1.81e-06
1459606840150,8.83,3.6200000000000004e-07
1459606840160,8.83,0.0
1459606840170,8.83,7.240000000000001e-07
1459606840180,8.83,0.0
1459606840190,8.83,1.0859999999999999e-06
1459606840200,8.83,7.240000000000001e-07
1459606840210,8.83,3.6200000000000004e-07
1459606840220,8.83,7.240000000000001e-07
1459606840230,8.83,3.6200000000000004e-07
1459606840240,8.83,3.6200000000000004e-07
1459606840250,8.83,0.0
1459606840260,8.83,7.240000000000001e-07
1459606840270,8.83,7.240000000000001e-07
1459606840280,8.83,2.1719999999999997e-06
1459606840290,8.83,0.0
1459606840300,8.83,0.0
1459606840310,8.83,0.0
1459606840320,8.83,1.0859999999999999e-06
1459606840330,8.83,0.0
1459606840340,8.83,0.0
1459606840350,8.83,7.240000000000001e-07
1459606840360,8.83,1.4480000000000002e-06
1459606840370,8.83,7.240000000000001e-07
1459606840380,8.83,3.6200000000000004e-07
1459606840390,8.83,1.4480000000000002e-06
1459606840400,8.83,7.240000000000001e-07
