Timestamp,position,BLMTI.06R7.B1E10_TCLA.C6R7.B1
1459607001420,8.055,3.6200000000000004e-07
1459607001430,8.055,7.240000000000001e-07
1459607001440,8.055,0.0
1459607001450,8.055,1.0859999999999999e-06
1459607001460,8.055,0.0
1459607001470,8.055,3.6200000000000004e-07
1459607001480,8.055,3.6200000000000004e-07
1459607001490,8.055,7.240000000000001e-07
1459607001500,8.055,0.0
1459607001510,8.055,7.240000000000001e-07
1459607001520,8.055,0.0
1459607001530,8.055,1.0859999999999999e-06
1459607001540,8.055,0.0
1459607001550,8.055,3.6200000000000004e-07
1459607001560,8.055,7.240000000000001e-07
1459607001570,8.055,3.6200000000000004e-07
1459607001580,8.055,1.0859999999999999e-06
1459607001590,8.055,3.6200000000000004e-07
1459607001600,8.055,7.240000000000001e-07
1459607001610,8.055,3.6200000000000004e-07
1459607001620,8.055,7.240000000000001e-07
1459607001630,8.055,3.6200000000000004e-07
1459607001640,8.055,7.240000000000001e-07
1459607001650,8.055,3.6200000000000004e-07
1459607001660,8.055,0.0
1459607001670,8.055,1.0859999999999999e-06
1459607001680,8.055,0.0
1459607001690,8.055,7.240000000000001e-07
1459607001700,8.055,0.0
1459607001710,8.055,7.240000000000001e-07
1459607001720,8.055,3.6200000000000004e-07
1459607001730,8.055,1.0859999999999999e-06
1459607001740,8.055,0.0
1459607001750,8.055,1.0859999999999999e-06
1459607001760,8.055,0.0
1459607001770,8.055,3.6200000000000004e-07
1459607001780,8.055,3.6200000000000004e-07
1459607001790,8.055,3.6200000000000004e-07
1459607001800,8.055,3.6200000000000004e-07
1459607001810,8.055,3.6200000000000004e-07
1459607001820,8.055,3.6200000000000004e-07
1459607001830,8.055,3.6200000000000004e-07
1459607001840,8.055,7.240000000000001e-07
1459607001850,8.055,3.6200000000000004e-07
1459607001860,8.055,0.0
1459607001870,8.055,7.240000000000001e-07
1459607001880,8.055,0.0
1459607001890,8.055,1.0859999999999999e-06
1459607001900,8.055,0.0
1459607001910,8.055,7.240000000000001e-07
1459607001920,8.055,3.6200000000000004e-07
1459607001930,8.055,1.0859999999999999e-06
