Timestamp,position,BLMTI.05L7.B2I10_TCSG.B5L7.B2
1459607197390,9.34,3.6200000000000004e-07
1459607197400,9.34,0.0
1459607197410,9.34,3.6200000000000004e-07
1459607197420,9.34,0.0
1459607197430,9.34,0.0
1459607197440,9.34,3.6200000000000004e-07
1459607197450,9.34,3.6200000000000004e-07
1459607197460,9.34,0.0
1459607197470,9.34,0.0
1459607197480,9.34,3.6200000000000004e-07
1459607197490,9.34,0.0
1459607197500,9.34,7.240000000000001e-07
1459607197510,9.34,1.0859999999999999e-06
1459607197520,9.34,0.0
1459607197530,9.34,1.0859999999999999e-06
1459607197540,9.34,0.0
1459607197550,9.34,0.0
1459607197560,9.34,0.0
1459607197570,9.34,3.6200000000000004e-07
1459607197580,9.34,0.0
1459607197590,9.34,7.240000000000001e-07
1459607197600,9.34,0.0
1459607197610,9.34,7.240000000000001e-07
1459607197620,9.34,0.0
1459607197630,9.34,1.0859999999999999e-06
1459607197640,9.34,0.0
1459607197650,9.34,0.0
1459607197660,9.34,3.6200000000000004e-07
1459607197670,9.34,0.0
1459607197680,9.34,3.6200000000000004e-07
1459607197690,9.34,0.0
1459607197700,9.34,7.240000000000001e-07
1459607197710,9.34,1.4480000000000002e-06
1459607197720,9.34,0.0
1459607197730,9.34,0.0
1459607197740,9.34,0.0
1459607197750,9.34,0.0
1459607197760,9.34,3.6200000000000004e-07
1459607197770,9.34,1.0859999999999999e-06
1459607197780,9.34,0.0
1459607197790,9.34,0.0
1459607197800,9.34,0.0
1459607197810,9.34,0.0
1459607197820,9.34,7.240000000000001e-07
1459607197830,9.34,3.6200000000000004e-07
1459607197840,9.34,3.6200000000000004e-07
1459607197850,9.34,7.240000000000001e-07
1459607197860,9.34,0.0
1459607197870,9.34,7.240000000000001e-07
1459607197880,9.34,0.0
1459607197890,9.34,0.0
1459607197900,9.34,3.6200000000000004e-07
1459607197910,9.34,3.6200000000000004e-07
1459607197920,9.34,3.6200000000000004e-07
1459607197930,9.34,0.0
1459607197940,9.34,3.6200000000000004e-07
1459607197950,9.34,3.6200000000000004e-07
1459607197960,9.34,0.0
1459607197970,9.34,1.0859999999999999e-06
1459607197980,9.34,3.6200000000000004e-07
1459607197990,9.34,3.6200000000000004e-07
1459607198000,9.34,0.0
1459607198010,9.34,3.6200000000000004e-07
1459607198020,9.34,0.0
1459607198030,9.34,1.4480000000000002e-06
1459607198040,9.34,0.0
1459607198050,9.34,0.0
1459607198060,9.34,3.6200000000000004e-07
1459607198070,9.34,3.6200000000000004e-07
1459607198080,9.34,7.240000000000001e-07
1459607198090,9.34,0.0
1459607198100,9.34,7.240000000000001e-07
1459607198110,9.34,3.6200000000000004e-07
1459607198120,9.34,0.0
1459607198130,9.34,3.6200000000000004e-07
1459607198140,9.34,3.6200000000000004e-07
1459607198150,9.34,3.6200000000000004e-07
1459607198160,9.34,0.0
1459607198170,9.34,1.0859999999999999e-06
1459607198180,9.34,0.0
1459607198190,9.34,7.240000000000001e-07
1459607198200,9.34,0.0
1459607198210,9.34,3.6200000000000004e-07
1459607198220,9.34,0.0
1459607198230,9.34,1.0859999999999999e-06
1459607198240,9.34,0.0
1459607198250,9.34,7.240000000000001e-07
1459607198260,9.34,0.0
1459607198270,9.34,1.0859999999999999e-06
1459607198280,9.34,0.0
1459607198290,9.34,3.6200000000000004e-07
1459607198300,9.34,0.0
1459607198310,9.34,1.0859999999999999e-06
1459607198320,9.34,0.0
1459607198330,9.34,0.0
1459607198340,9.34,7.240000000000001e-07
1459607198350,9.34,3.6200000000000004e-07
1459607198360,9.34,0.0
1459607198370,9.34,3.6200000000000004e-07
1459607198380,9.34,3.6200000000000004e-07
1459607198390,9.34,3.6200000000000004e-07
1459607198400,9.34,0.0
1459607198410,9.34,7.240000000000001e-07
1459607198420,9.34,0.0
1459607198430,9.34,7.240000000000001e-07
1459607198440,9.34,0.0
1459607198450,9.34,0.0
1459607198460,9.34,0.0
1459607198470,9.34,1.0859999999999999e-06
1459607198480,9.34,0.0
1459607198490,9.34,3.6200000000000004e-07
1459607198500,9.34,0.0
1459607198510,9.34,1.0859999999999999e-06
1459607198520,9.34,3.6200000000000004e-07
1459607198530,9.34,3.6200000000000004e-07
1459607198540,9.34,0.0
1459607198550,9.34,1.0859999999999999e-06
1459607198560,9.34,0.0
1459607198570,9.34,1.0859999999999999e-06
1459607198580,9.34,0.0
1459607198590,9.34,0.0
1459607198600,9.34,0.0
1459607198610,9.34,1.0859999999999999e-06
1459607198620,9.34,0.0
1459607198630,9.34,3.6200000000000004e-07
1459607198640,9.34,0.0
1459607198650,9.34,1.0859999999999999e-06
1459607198660,9.34,0.0
1459607198670,9.34,1.0859999999999999e-06
1459607198680,9.34,0.0
1459607198690,9.34,3.6200000000000004e-07
1459607198700,9.34,0.0
1459607198710,9.34,7.240000000000001e-07
1459607198720,9.34,3.6200000000000004e-07
1459607198730,9.34,7.240000000000001e-07
1459607198740,9.34,0.0
1459607198750,9.34,7.240000000000001e-07
1459607198760,9.34,3.6200000000000004e-07
1459607198770,9.34,0.0
1459607198780,9.34,0.0
1459607198790,9.34,1.0859999999999999e-06
1459607198800,9.34,0.0
1459607198810,9.34,3.6200000000000004e-07
1459607198820,9.34,0.0
1459607198830,9.34,1.0859999999999999e-06
1459607198840,9.34,0.0
1459607198850,9.34,7.240000000000001e-07
1459607198860,9.34,0.0
1459607198870,9.34,7.240000000000001e-07
1459607198880,9.34,0.0
1459607198890,9.34,3.6200000000000004e-07
1459607198900,9.34,0.0
1459607198910,9.34,7.240000000000001e-07
1459607198920,9.34,0.0
1459607198930,9.34,7.240000000000001e-07
1459607198940,9.34,0.0
1459607198950,9.34,3.6200000000000004e-07
1459607198960,9.34,0.0
1459607198970,9.34,7.240000000000001e-07
1459607198980,9.34,0.0
1459607198990,9.34,3.6200000000000004e-07
1459607199000,9.34,0.0
1459607199010,9.34,3.6200000000000004e-07
1459607199020,9.34,3.6200000000000004e-07
1459607199030,9.34,3.6200000000000004e-07
1459607199040,9.34,0.0
1459607199050,9.34,7.240000000000001e-07
1459607199060,9.34,3.6200000000000004e-07
1459607199070,9.34,0.0
1459607199080,9.34,0.0
1459607199090,9.34,7.240000000000001e-07
1459607199100,9.34,0.0
1459607199110,9.34,7.240000000000001e-07
1459607199120,9.34,0.0
1459607199130,9.34,7.240000000000001e-07
1459607199140,9.34,0.0
1459607199150,9.34,7.240000000000001e-07
1459607199160,9.34,0.0
1459607199170,9.34,3.6200000000000004e-07
1459607199180,9.34,3.6200000000000004e-07
1459607199190,9.34,7.240000000000001e-07
1459607199200,9.34,0.0
1459607199210,9.34,3.6200000000000004e-07
1459607199220,9.34,0.0
1459607199230,9.34,7.240000000000001e-07
1459607199240,9.34,0.0
1459607199250,9.34,0.0
1459607199260,9.34,3.6200000000000004e-07
1459607199270,9.34,3.6200000000000004e-07
1459607199280,9.34,0.0
1459607199290,9.34,1.0859999999999999e-06
