Timestamp,position,BLMTI.04L7.B2I10_TCSG.A4L7.B2
1459607265930,8.27,0.0
1459607265940,8.27,7.240000000000001e-07
1459607265950,8.27,7.240000000000001e-07
1459607265960,8.27,7.240000000000001e-07
1459607265970,8.27,1.0859999999999999e-06
1459607265980,8.27,0.0
1459607265990,8.27,0.0
1459607266000,8.27,3.6200000000000004e-07
1459607266010,8.27,3.6200000000000004e-07
1459607266020,8.27,0.0
1459607266030,8.27,3.6200000000000004e-07
1459607266040,8.27,1.4480000000000002e-06
1459607266050,8.27,7.240000000000001e-07
1459607266060,8.27,0.0
1459607266070,8.27,1.4480000000000002e-06
1459607266080,8.27,0.0
1459607266090,8.27,0.0
1459607266100,8.27,3.6200000000000004e-07
1459607266110,8.27,1.0859999999999999e-06
1459607266120,8.27,0.0
1459607266130,8.27,0.0
1459607266140,8.27,7.240000000000001e-07
1459607266150,8.27,3.6200000000000004e-07
1459607266160,8.27,0.0
1459607266170,8.27,3.6200000000000004e-07
1459607266180,8.27,0.0
1459607266190,8.27,1.4480000000000002e-06
1459607266200,8.27,3.6200000000000004e-07
1459607266210,8.27,0.0
1459607266220,8.27,7.240000000000001e-07
1459607266230,8.27,0.0
1459607266240,8.27,0.0
1459607266250,8.27,3.6200000000000004e-07
1459607266260,8.27,1.81e-06
1459607266270,8.27,0.0
1459607266280,8.27,0.0
1459607266290,8.27,0.0
1459607266300,8.27,3.6200000000000004e-07
1459607266310,8.27,0.0
1459607266320,8.27,1.0859999999999999e-06
1459607266330,8.27,0.0
1459607266340,8.27,7.240000000000001e-07
1459607266350,8.27,0.0
1459607266360,8.27,0.0
1459607266370,8.27,0.0
1459607266380,8.27,1.0859999999999999e-06
1459607266390,8.27,7.240000000000001e-07
1459607266400,8.27,0.0
1459607266410,8.27,0.0
1459607266420,8.27,0.0
1459607266430,8.27,7.240000000000001e-07
1459607266440,8.27,0.0
1459607266450,8.27,1.0859999999999999e-06
1459607266460,8.27,7.240000000000001e-07
1459607266470,8.27,1.0859999999999999e-06
1459607266480,8.27,3.6200000000000004e-07
1459607266490,8.27,3.6200000000000004e-07
1459607266500,8.27,3.6200000000000004e-07
1459607266510,8.27,1.0859999999999999e-06
1459607266520,8.27,0.0
1459607266530,8.27,0.0
1459607266540,8.27,7.240000000000001e-07
1459607266550,8.27,3.6200000000000004e-07
1459607266560,8.27,0.0
1459607266570,8.27,1.4480000000000002e-06
1459607266580,8.27,0.0
1459607266590,8.27,0.0
1459607266600,8.27,3.6200000000000004e-07
1459607266610,8.27,3.6200000000000004e-07
1459607266620,8.27,7.240000000000001e-07
1459607266630,8.27,7.240000000000001e-07
1459607266640,8.27,0.0
1459607266650,8.27,3.6200000000000004e-07
1459607266660,8.27,0.0
1459607266670,8.27,7.240000000000001e-07
1459607266680,8.27,0.0
1459607266690,8.27,0.0
1459607266700,8.27,7.240000000000001e-07
1459607266710,8.27,0.0
1459607266720,8.27,7.240000000000001e-07
1459607266730,8.27,0.0
1459607266740,8.27,1.0859999999999999e-06
1459607266750,8.27,7.240000000000001e-07
1459607266760,8.27,7.240000000000001e-07
1459607266770,8.27,3.6200000000000004e-07
1459607266780,8.27,0.0
1459607266790,8.27,3.6200000000000004e-07
1459607266800,8.27,3.6200000000000004e-07
1459607266810,8.27,7.240000000000001e-07
1459607266820,8.27,0.0
1459607266830,8.27,1.0859999999999999e-06
1459607266840,8.27,3.6200000000000004e-07
1459607266850,8.27,7.240000000000001e-07
1459607266860,8.27,0.0
1459607266870,8.27,3.6200000000000004e-07
1459607266880,8.27,7.240000000000001e-07
1459607266890,8.27,3.6200000000000004e-07
1459607266900,8.27,0.0
1459607266910,8.27,0.0
1459607266920,8.27,3.6200000000000004e-07
1459607266930,8.27,3.6200000000000004e-07
1459607266940,8.27,3.6200000000000004e-07
1459607266950,8.27,1.0859999999999999e-06
1459607266960,8.27,0.0
1459607266970,8.27,7.240000000000001e-07
1459607266980,8.27,7.240000000000001e-07
1459607266990,8.27,3.6200000000000004e-07
1459607267000,8.27,3.6200000000000004e-07
1459607267010,8.27,7.240000000000001e-07
1459607267020,8.27,1.0859999999999999e-06
1459607267030,8.27,0.0
1459607267040,8.27,7.240000000000001e-07
1459607267050,8.27,7.240000000000001e-07
1459607267060,8.27,0.0
1459607267070,8.27,3.6200000000000004e-07
1459607267080,8.27,0.0
1459607267090,8.27,1.4480000000000002e-06
1459607267100,8.27,3.6200000000000004e-07
1459607267110,8.27,0.0
1459607267120,8.27,1.0859999999999999e-06
1459607267130,8.27,0.0
1459607267140,8.27,0.0
1459607267150,8.27,1.4480000000000002e-06
1459607267160,8.27,0.0
1459607267170,8.27,0.0
1459607267180,8.27,3.6200000000000004e-07
1459607267190,8.27,1.4480000000000002e-06
1459607267200,8.27,3.6200000000000004e-07
1459607267210,8.27,0.0
1459607267220,8.27,1.0859999999999999e-06
1459607267230,8.27,0.0
1459607267240,8.27,7.240000000000001e-07
1459607267250,8.27,0.0
1459607267260,8.27,0.0
1459607267270,8.27,1.0859999999999999e-06
1459607267280,8.27,0.0
1459607267290,8.27,1.4480000000000002e-06
1459607267300,8.27,0.0
1459607267310,8.27,3.6200000000000004e-07
1459607267320,8.27,1.0859999999999999e-06
1459607267330,8.27,0.0
1459607267340,8.27,0.0
1459607267350,8.27,0.0
1459607267360,8.27,3.6200000000000004e-07
1459607267370,8.27,3.6200000000000004e-07
1459607267380,8.27,3.6200000000000004e-07
1459607267390,8.27,0.0
1459607267400,8.27,7.240000000000001e-07
1459607267410,8.27,3.6200000000000004e-07
1459607267420,8.27,3.6200000000000004e-07
1459607267430,8.27,3.6200000000000004e-07
1459607267440,8.27,7.240000000000001e-07
1459607267450,8.27,0.0
1459607267460,8.27,1.0859999999999999e-06
1459607267470,8.27,0.0
1459607267480,8.27,0.0
1459607267490,8.27,7.240000000000001e-07
1459607267500,8.27,3.6200000000000004e-07
1459607267510,8.27,7.240000000000001e-07
1459607267520,8.27,0.0
