Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607379940,8.555,3.6200000000000004e-07
1459607379950,8.555,3.6200000000000004e-07
1459607379960,8.555,7.240000000000001e-07
1459607379970,8.555,3.6200000000000004e-07
1459607379980,8.555,3.6200000000000004e-07
1459607379990,8.555,3.6200000000000004e-07
1459607380000,8.555,3.6200000000000004e-07
1459607380010,8.555,7.240000000000001e-07
1459607380020,8.555,7.240000000000001e-07
1459607380030,8.555,3.6200000000000004e-07
1459607380040,8.555,3.6200000000000004e-07
1459607380050,8.555,3.6200000000000004e-07
1459607380060,8.555,0.0
1459607380070,8.555,3.6200000000000004e-07
1459607380080,8.555,3.6200000000000004e-07
1459607380090,8.555,1.4480000000000002e-06
1459607380100,8.555,7.240000000000001e-07
1459607380110,8.555,3.6200000000000004e-07
1459607380120,8.555,3.6200000000000004e-07
1459607380130,8.555,1.0859999999999999e-06
1459607380140,8.555,3.6200000000000004e-07
1459607380150,8.555,1.0859999999999999e-06
1459607380160,8.555,1.0859999999999999e-06
1459607380170,8.555,0.0
1459607380180,8.555,3.6200000000000004e-07
1459607380190,8.555,0.0
1459607380200,8.555,7.240000000000001e-07
1459607380210,8.555,0.0
1459607380220,8.555,0.0
1459607380230,8.555,1.4480000000000002e-06
1459607380240,8.555,3.6200000000000004e-07
1459607380250,8.555,3.6200000000000004e-07
1459607380260,8.555,3.6200000000000004e-07
1459607380270,8.555,7.240000000000001e-07
1459607380280,8.555,1.0859999999999999e-06
1459607380290,8.555,3.6200000000000004e-07
1459607380300,8.555,7.240000000000001e-07
1459607380310,8.555,0.0
1459607380320,8.555,0.0
1459607380330,8.555,7.240000000000001e-07
1459607380340,8.555,7.240000000000001e-07
1459607380350,8.555,3.6200000000000004e-07
1459607380360,8.555,3.6200000000000004e-07
1459607380370,8.555,3.6200000000000004e-07
1459607380380,8.555,3.6200000000000004e-07
1459607380390,8.555,3.6200000000000004e-07
1459607380400,8.555,3.6200000000000004e-07
1459607380410,8.555,0.0
1459607380420,8.555,7.240000000000001e-07
1459607380430,8.555,0.0
1459607380440,8.555,7.240000000000001e-07
1459607380450,8.555,3.6200000000000004e-07
1459607380460,8.555,7.240000000000001e-07
1459607380470,8.555,0.0
1459607380480,8.555,7.240000000000001e-07
1459607380490,8.555,0.0
1459607380500,8.555,1.0859999999999999e-06
1459607380510,8.555,7.240000000000001e-07
1459607380520,8.555,3.6200000000000004e-07
1459607380530,8.555,3.6200000000000004e-07
1459607380540,8.555,3.6200000000000004e-07
1459607380550,8.555,0.0
1459607380560,8.555,1.0859999999999999e-06
1459607380570,8.555,0.0
1459607380580,8.555,7.240000000000001e-07
1459607380590,8.555,0.0
1459607380600,8.555,7.240000000000001e-07
