Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459607653460,9.535,3.6200000000000004e-07
1459607653470,9.535,0.0
1459607653480,9.535,0.0
1459607653490,9.535,0.0
1459607653500,9.535,0.0
1459607653510,9.535,1.81e-06
1459607653520,9.535,3.6200000000000004e-07
1459607653530,9.535,7.240000000000001e-07
1459607653540,9.535,7.240000000000001e-07
1459607653550,9.535,0.0
1459607653560,9.535,0.0
1459607653570,9.535,3.6200000000000004e-07
1459607653580,9.535,7.240000000000001e-07
1459607653590,9.535,7.240000000000001e-07
1459607653600,9.535,7.240000000000001e-07
1459607653610,9.535,0.0
1459607653620,9.535,0.0
1459607653630,9.535,1.4480000000000002e-06
1459607653640,9.535,7.240000000000001e-07
1459607653650,9.535,1.0859999999999999e-06
1459607653660,9.535,3.6200000000000004e-07
1459607653670,9.535,0.0
1459607653680,9.535,0.0
1459607653690,9.535,0.0
1459607653700,9.535,0.0
1459607653710,9.535,3.6200000000000004e-07
1459607653720,9.535,0.0
1459607653730,9.535,0.0
1459607653740,9.535,0.0
1459607653750,9.535,1.0859999999999999e-06
1459607653760,9.535,0.0
1459607653770,9.535,3.6200000000000004e-07
1459607653780,9.535,3.6200000000000004e-07
1459607653790,9.535,7.240000000000001e-07
1459607653800,9.535,7.240000000000001e-07
1459607653810,9.535,0.0
1459607653820,9.535,0.0
1459607653830,9.535,7.240000000000001e-07
1459607653840,9.535,0.0
1459607653850,9.535,3.6200000000000004e-07
1459607653860,9.535,1.4480000000000002e-06
1459607653870,9.535,0.0
1459607653880,9.535,0.0
1459607653890,9.535,3.62e-06
1459607653900,9.535,0.0
1459607653910,9.535,7.240000000000001e-07
1459607653920,9.535,0.0
1459607653930,9.535,0.0
1459607653940,9.535,0.0
1459607653950,9.535,0.0
1459607653960,9.535,0.0
1459607653970,9.535,0.0
1459607653980,9.535,0.0
1459607653990,9.535,0.0
1459607654000,9.535,0.0
1459607654010,9.535,2.1719999999999997e-06
1459607654020,9.535,0.0
1459607654030,9.535,0.0
1459607654040,9.535,0.0
1459607654050,9.535,0.0
1459607654060,9.535,0.0
1459607654070,9.535,3.6200000000000004e-07
1459607654080,9.535,0.0
1459607654090,9.535,2.8960000000000003e-06
1459607654100,9.535,0.0
1459607654110,9.535,7.240000000000001e-07
1459607654120,9.535,0.0
1459607654130,9.535,0.0
1459607654140,9.535,0.0
1459607654150,9.535,0.0
1459607654160,9.535,0.0
1459607654170,9.535,0.0
1459607654180,9.535,0.0
1459607654190,9.535,0.0
1459607654200,9.535,0.0
1459607654210,9.535,2.5340000000000002e-06
1459607654220,9.535,0.0
1459607654230,9.535,0.0
1459607654240,9.535,0.0
1459607654250,9.535,0.0
1459607654260,9.535,0.0
1459607654270,9.535,0.0
1459607654280,9.535,0.0
1459607654290,9.535,0.0
1459607654300,9.535,0.0
1459607654310,9.535,1.4480000000000002e-06
1459607654320,9.535,0.0
1459607654330,9.535,0.0
1459607654340,9.535,0.0
1459607654350,9.535,7.240000000000001e-07
1459607654360,9.535,0.0
1459607654370,9.535,3.6200000000000004e-07
1459607654380,9.535,7.240000000000001e-07
1459607654390,9.535,3.6200000000000004e-07
1459607654400,9.535,0.0
1459607654410,9.535,0.0
1459607654420,9.535,0.0
1459607654430,9.535,7.240000000000001e-07
1459607654440,9.535,1.4480000000000002e-06
1459607654450,9.535,7.240000000000001e-07
1459607654460,9.535,1.0859999999999999e-06
1459607654470,9.535,0.0
1459607654480,9.535,3.6200000000000004e-07
1459607654490,9.535,0.0
1459607654500,9.535,0.0
1459607654510,9.535,0.0
1459607654520,9.535,0.0
1459607654530,9.535,0.0
1459607654540,9.535,0.0
1459607654550,9.535,1.0859999999999999e-06
1459607654560,9.535,3.6200000000000004e-07
1459607654570,9.535,0.0
1459607654580,9.535,1.0859999999999999e-06
1459607654590,9.535,7.240000000000001e-07
1459607654600,9.535,0.0
1459607654610,9.535,0.0
1459607654620,9.535,0.0
1459607654630,9.535,0.0
1459607654640,9.535,0.0
1459607654650,9.535,0.0
1459607654660,9.535,0.0
1459607654670,9.535,0.0
1459607654680,9.535,7.240000000000001e-07
1459607654690,9.535,3.6200000000000004e-07
1459607654700,9.535,3.6200000000000004e-07
1459607654710,9.535,3.6200000000000004e-07
