Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608100950,7.81,1.4480000000000002e-06
1459608100960,7.81,1.4480000000000002e-06
1459608100970,7.81,1.81e-06
1459608100980,7.81,3.6200000000000004e-07
1459608100990,7.81,1.81e-06
1459608101000,7.81,1.4480000000000002e-06
1459608101010,7.81,1.4480000000000002e-06
1459608101020,7.81,2.1719999999999997e-06
1459608101030,7.81,1.0859999999999999e-06
1459608101040,7.81,3.6200000000000004e-07
1459608101050,7.81,2.5340000000000002e-06
1459608101060,7.81,1.0859999999999999e-06
1459608101070,7.81,2.8960000000000003e-06
1459608101080,7.81,1.0859999999999999e-06
1459608101090,7.81,1.81e-06
1459608101100,7.81,2.1719999999999997e-06
1459608101110,7.81,2.8960000000000003e-06
1459608101120,7.81,1.81e-06
1459608101130,7.81,1.81e-06
1459608101140,7.81,2.1719999999999997e-06
1459608101150,7.81,1.0859999999999999e-06
1459608101160,7.81,2.1719999999999997e-06
1459608101170,7.81,1.81e-06
1459608101180,7.81,1.4480000000000002e-06
1459608101190,7.81,2.5340000000000002e-06
1459608101200,7.81,4.343999999999999e-06
1459608101210,7.81,3.982e-06
1459608101220,7.81,4.706e-06
1459608101230,7.81,6.516e-06
1459608101240,7.81,5.43e-06
1459608101250,7.81,7.24e-06
1459608101260,7.81,7.602e-06
1459608101270,7.81,7.24e-06
1459608101280,7.81,4.343999999999999e-06
1459608101290,7.81,8.326e-06
1459608101300,7.81,7.602e-06
1459608101310,7.81,6.877999999999999e-06
1459608101320,7.81,6.877999999999999e-06
1459608101330,7.81,4.343999999999999e-06
1459608101340,7.81,3.982e-06
1459608101350,7.81,5.0680000000000004e-06
1459608101360,7.81,2.1719999999999997e-06
1459608101370,7.81,3.62e-06
1459608101380,7.81,2.5340000000000002e-06
1459608101390,7.81,1.81e-06
1459608101400,7.81,1.81e-06
1459608101410,7.81,2.1719999999999997e-06
1459608101420,7.81,2.1719999999999997e-06
1459608101430,7.81,1.81e-06
1459608101440,7.81,1.81e-06
1459608101450,7.81,2.5340000000000002e-06
1459608101460,7.81,1.0859999999999999e-06
1459608101470,7.81,2.1719999999999997e-06
1459608101480,7.81,1.81e-06
1459608101490,7.81,2.1719999999999997e-06
1459608101500,7.81,1.4480000000000002e-06
1459608101510,7.81,2.5340000000000002e-06
1459608101520,7.81,1.0859999999999999e-06
1459608101530,7.81,3.982e-06
1459608101540,7.81,1.81e-06
1459608101550,7.81,2.1719999999999997e-06
1459608101560,7.81,2.1719999999999997e-06
1459608101570,7.81,1.81e-06
1459608101580,7.81,1.81e-06
1459608101590,7.81,2.8960000000000003e-06
1459608101600,7.81,2.1719999999999997e-06
1459608101610,7.81,2.1719999999999997e-06
1459608101620,7.81,1.0859999999999999e-06
1459608101630,7.81,2.5340000000000002e-06
1459608101640,7.81,7.240000000000001e-07
1459608101650,7.81,1.4480000000000002e-06
1459608101660,7.81,1.0859999999999999e-06
1459608101670,7.81,1.4480000000000002e-06
1459608101680,7.81,1.0859999999999999e-06
1459608101690,7.81,2.1719999999999997e-06
1459608101700,7.81,1.0859999999999999e-06
1459608101710,7.81,2.5340000000000002e-06
1459608101720,7.81,1.0859999999999999e-06
1459608101730,7.81,2.1719999999999997e-06
1459608101740,7.81,7.240000000000001e-07
1459608101750,7.81,1.81e-06
1459608101760,7.81,7.240000000000001e-07
1459608101770,7.81,2.1719999999999997e-06
1459608101780,7.81,3.6200000000000004e-07
1459608101790,7.81,1.4480000000000002e-06
1459608101800,7.81,7.240000000000001e-07
1459608101810,7.81,1.81e-06
1459608101820,7.81,2.8960000000000003e-06
1459608101830,7.81,3.6200000000000004e-07
1459608101840,7.81,1.4480000000000002e-06
1459608101850,7.81,1.81e-06
1459608101860,7.81,3.6200000000000004e-07
1459608101870,7.81,1.0859999999999999e-06
1459608101880,7.81,7.240000000000001e-07
1459608101890,7.81,7.240000000000001e-07
1459608101900,7.81,7.240000000000001e-07
1459608101910,7.81,1.0859999999999999e-06
1459608101920,7.81,1.0859999999999999e-06
1459608101930,7.81,1.0859999999999999e-06
1459608101940,7.81,0.0
1459608101950,7.81,1.4480000000000002e-06
1459608101960,7.81,0.0
1459608101970,7.81,1.81e-06
1459608101980,7.81,7.240000000000001e-07
1459608101990,7.81,1.0859999999999999e-06
1459608102000,7.81,7.240000000000001e-07
1459608102010,7.81,1.81e-06
1459608102020,7.81,1.4480000000000002e-06
1459608102030,7.81,2.8960000000000003e-06
1459608102040,7.81,2.8960000000000003e-06
1459608102050,7.81,3.982e-06
1459608102060,7.81,2.5340000000000002e-06
1459608102070,7.81,2.8960000000000003e-06
1459608102080,7.81,7.240000000000001e-07
1459608102090,7.81,3.258e-06
1459608102100,7.81,1.4480000000000002e-06
1459608102110,7.81,7.240000000000001e-07
1459608102120,7.81,7.240000000000001e-07
1459608102130,7.81,1.0859999999999999e-06
1459608102140,7.81,1.81e-06
1459608102150,7.81,1.0859999999999999e-06
1459608102160,7.81,1.0859999999999999e-06
1459608102170,7.81,7.240000000000001e-07
1459608102180,7.81,7.240000000000001e-07
1459608102190,7.81,1.0859999999999999e-06
1459608102200,7.81,7.240000000000001e-07
1459608102210,7.81,3.6200000000000004e-07
1459608102220,7.81,7.240000000000001e-07
1459608102230,7.81,1.0859999999999999e-06
1459608102240,7.81,1.0859999999999999e-06
1459608102250,7.81,7.240000000000001e-07
1459608102260,7.81,7.240000000000001e-07
1459608102270,7.81,1.4480000000000002e-06
1459608102280,7.81,7.240000000000001e-07
1459608102290,7.81,1.0859999999999999e-06
1459608102300,7.81,3.6200000000000004e-07
1459608102310,7.81,1.4480000000000002e-06
1459608102320,7.81,1.4480000000000002e-06
1459608102330,7.81,2.1719999999999997e-06
1459608102340,7.81,3.6200000000000004e-07
1459608102350,7.81,1.0859999999999999e-06
1459608102360,7.81,1.0859999999999999e-06
1459608102370,7.81,2.1719999999999997e-06
1459608102380,7.81,1.0859999999999999e-06
1459608102390,7.81,2.5340000000000002e-06
1459608102400,7.81,7.240000000000001e-07
1459608102410,7.81,1.4480000000000002e-06
1459608102420,7.81,2.1719999999999997e-06
1459608102430,7.81,3.6200000000000004e-07
