Timestamp,position,BLMTI.04L5.B1I10_TCTPH.4L5.B1
1459601032690,-7.965,3.6200000000000004e-07
1459601032700,-7.965,3.6200000000000004e-07
1459601032710,-7.965,0.0
1459601032720,-7.965,3.6200000000000004e-07
1459601032730,-7.965,3.6200000000000004e-07
1459601032740,-7.965,0.0
1459601032750,-7.965,0.0
1459601032760,-7.965,3.6200000000000004e-07
1459601032770,-7.965,0.0
1459601032780,-7.965,0.0
1459601032790,-7.965,0.0
1459601032800,-7.965,3.6200000000000004e-07
1459601032810,-7.965,3.6200000000000004e-07
1459601032820,-7.965,0.0
1459601032830,-7.965,3.6200000000000004e-07
1459601032840,-7.965,0.0
1459601032850,-7.965,0.0
1459601032860,-7.965,0.0
1459601032870,-7.965,3.6200000000000004e-07
1459601032880,-7.965,0.0
1459601032890,-7.965,3.6200000000000004e-07
1459601032900,-7.965,0.0
1459601032910,-7.965,0.0
1459601032920,-7.965,3.6200000000000004e-07
1459601032930,-7.965,7.240000000000001e-07
1459601032940,-7.965,0.0
1459601032950,-7.965,3.6200000000000004e-07
1459601032960,-7.965,3.6200000000000004e-07
1459601032970,-7.965,3.6200000000000004e-07
1459601032980,-7.965,3.6200000000000004e-07
1459601032990,-7.965,0.0
1459601033000,-7.965,3.6200000000000004e-07
1459601033010,-7.965,3.6200000000000004e-07
1459601033020,-7.965,0.0
1459601033030,-7.965,0.0
1459601033040,-7.965,0.0
1459601033050,-7.965,7.240000000000001e-07
1459601033060,-7.965,0.0
1459601033070,-7.965,0.0
1459601033080,-7.965,0.0
1459601033090,-7.965,0.0
1459601033100,-7.965,3.6200000000000004e-07
1459601033110,-7.965,0.0
1459601033120,-7.965,3.6200000000000004e-07
1459601033130,-7.965,3.6200000000000004e-07
1459601033140,-7.965,3.6200000000000004e-07
1459601033150,-7.965,0.0
1459601033160,-7.965,3.6200000000000004e-07
1459601033170,-7.965,0.0
1459601033180,-7.965,7.240000000000001e-07
1459601033190,-7.965,0.0
1459601033200,-7.965,0.0
1459601033210,-7.965,0.0
1459601033220,-7.965,3.6200000000000004e-07
1459601033230,-7.965,7.240000000000001e-07
1459601033240,-7.965,3.6200000000000004e-07
1459601033250,-7.965,7.240000000000001e-07
1459601033260,-7.965,0.0
1459601033270,-7.965,3.6200000000000004e-07
1459601033280,-7.965,3.6200000000000004e-07
1459601033290,-7.965,3.6200000000000004e-07
1459601033300,-7.965,0.0
1459601033310,-7.965,0.0
1459601033320,-7.965,0.0
1459601033330,-7.965,7.240000000000001e-07
1459601033340,-7.965,0.0
1459601033350,-7.965,3.6200000000000004e-07
1459601033360,-7.965,0.0
1459601033370,-7.965,0.0
1459601033380,-7.965,0.0
1459601033390,-7.965,7.240000000000001e-07
1459601033400,-7.965,0.0
1459601033410,-7.965,3.6200000000000004e-07
1459601033420,-7.965,3.6200000000000004e-07
1459601033430,-7.965,0.0
1459601033440,-7.965,0.0
1459601033450,-7.965,0.0
1459601033460,-7.965,0.0
1459601033470,-7.965,3.6200000000000004e-07
1459601033480,-7.965,3.6200000000000004e-07
1459601033490,-7.965,3.6200000000000004e-07
1459601033500,-7.965,3.6200000000000004e-07
1459601033510,-7.965,0.0
1459601033520,-7.965,3.6200000000000004e-07
1459601033530,-7.965,3.6200000000000004e-07
1459601033540,-7.965,3.6200000000000004e-07
1459601033550,-7.965,3.6200000000000004e-07
1459601033560,-7.965,0.0
1459601033570,-7.965,0.0
1459601033580,-7.965,7.240000000000001e-07
1459601033590,-7.965,3.6200000000000004e-07
1459601033600,-7.965,3.6200000000000004e-07
1459601033610,-7.965,0.0
1459601033620,-7.965,3.6200000000000004e-07
1459601033630,-7.965,0.0
1459601033640,-7.965,0.0
1459601033650,-7.965,0.0
1459601033660,-7.965,0.0
1459601033670,-7.965,0.0
1459601033680,-7.965,3.6200000000000004e-07
1459601033690,-7.965,0.0
1459601033700,-7.965,0.0
1459601033710,-7.965,3.6200000000000004e-07
