Timestamp,position,BLMTI.06R3.B1I10_TCLA.6R3.B1
1459601410050,-9.6,0.0
1459601410060,-9.6,3.6200000000000004e-07
1459601410070,-9.6,0.0
1459601410080,-9.6,7.240000000000001e-07
1459601410090,-9.6,0.0
1459601410100,-9.6,3.6200000000000004e-07
1459601410110,-9.6,0.0
1459601410120,-9.6,1.0859999999999999e-06
1459601410130,-9.6,7.240000000000001e-07
1459601410140,-9.6,3.6200000000000004e-07
1459601410150,-9.6,0.0
1459601410160,-9.6,1.0859999999999999e-06
1459601410170,-9.6,0.0
1459601410180,-9.6,7.240000000000001e-07
1459601410190,-9.6,0.0
1459601410200,-9.6,3.6200000000000004e-07
1459601410210,-9.6,3.6200000000000004e-07
1459601410220,-9.6,1.4480000000000002e-06
1459601410230,-9.6,0.0
1459601410240,-9.6,0.0
1459601410250,-9.6,0.0
1459601410260,-9.6,3.6200000000000004e-07
1459601410270,-9.6,0.0
1459601410280,-9.6,1.4480000000000002e-06
1459601410290,-9.6,0.0
1459601410300,-9.6,3.6200000000000004e-07
1459601410310,-9.6,0.0
1459601410320,-9.6,7.240000000000001e-07
1459601410330,-9.6,0.0
1459601410340,-9.6,0.0
1459601410350,-9.6,3.6200000000000004e-07
1459601410360,-9.6,1.4480000000000002e-06
1459601410370,-9.6,3.6200000000000004e-07
1459601410380,-9.6,0.0
1459601410390,-9.6,0.0
1459601410400,-9.6,1.4480000000000002e-06
1459601410410,-9.6,0.0
1459601410420,-9.6,3.6200000000000004e-07
1459601410430,-9.6,3.6200000000000004e-07
1459601410440,-9.6,7.240000000000001e-07
1459601410450,-9.6,0.0
1459601410460,-9.6,1.81e-06
1459601410470,-9.6,0.0
1459601410480,-9.6,1.0859999999999999e-06
1459601410490,-9.6,0.0
1459601410500,-9.6,0.0
1459601410510,-9.6,0.0
1459601410520,-9.6,1.0859999999999999e-06
1459601410530,-9.6,0.0
1459601410540,-9.6,3.6200000000000004e-07
1459601410550,-9.6,3.6200000000000004e-07
1459601410560,-9.6,3.6200000000000004e-07
1459601410570,-9.6,0.0
1459601410580,-9.6,1.0859999999999999e-06
1459601410590,-9.6,0.0
1459601410600,-9.6,1.0859999999999999e-06
1459601410610,-9.6,0.0
1459601410620,-9.6,3.6200000000000004e-07
1459601410630,-9.6,0.0
1459601410640,-9.6,3.6200000000000004e-07
1459601410650,-9.6,0.0
1459601410660,-9.6,1.0859999999999999e-06
1459601410670,-9.6,0.0
1459601410680,-9.6,1.0859999999999999e-06
1459601410690,-9.6,0.0
1459601410700,-9.6,7.240000000000001e-07
1459601410710,-9.6,0.0
1459601410720,-9.6,7.240000000000001e-07
1459601410730,-9.6,0.0
1459601410740,-9.6,1.4480000000000002e-06
1459601410750,-9.6,0.0
1459601410760,-9.6,3.6200000000000004e-07
1459601410770,-9.6,3.6200000000000004e-07
1459601410780,-9.6,7.240000000000001e-07
1459601410790,-9.6,3.6200000000000004e-07
1459601410800,-9.6,0.0
1459601410810,-9.6,3.6200000000000004e-07
1459601410820,-9.6,3.6200000000000004e-07
1459601410830,-9.6,0.0
1459601410840,-9.6,0.0
1459601410850,-9.6,0.0
1459601410860,-9.6,7.240000000000001e-07
1459601410870,-9.6,3.6200000000000004e-07
1459601410880,-9.6,3.6200000000000004e-07
