Timestamp,position,BLMTI.05R3.B1I10_TCLA.B5R3.B1
1459601430050,-9.515,7.240000000000001e-07
1459601430060,-9.515,0.0
1459601430070,-9.515,0.0
1459601430080,-9.515,3.6200000000000004e-07
1459601430090,-9.515,1.0859999999999999e-06
1459601430100,-9.515,0.0
1459601430110,-9.515,1.0859999999999999e-06
1459601430120,-9.515,0.0
1459601430130,-9.515,0.0
1459601430140,-9.515,0.0
1459601430150,-9.515,1.0859999999999999e-06
1459601430160,-9.515,0.0
1459601430170,-9.515,0.0
1459601430180,-9.515,0.0
1459601430190,-9.515,1.0859999999999999e-06
1459601430200,-9.515,0.0
1459601430210,-9.515,1.0859999999999999e-06
1459601430220,-9.515,0.0
1459601430230,-9.515,1.0859999999999999e-06
1459601430240,-9.515,0.0
1459601430250,-9.515,3.6200000000000004e-07
1459601430260,-9.515,3.6200000000000004e-07
1459601430270,-9.515,3.6200000000000004e-07
1459601430280,-9.515,0.0
1459601430290,-9.295,7.240000000000001e-07
1459601430300,-9.295,3.6200000000000004e-07
1459601430310,-9.295,0.0
1459601430320,-9.295,0.0
1459601430330,-9.295,7.240000000000001e-07
1459601430340,-9.295,0.0
1459601430350,-9.295,7.240000000000001e-07
1459601430360,-9.295,3.6200000000000004e-07
1459601430370,-9.295,7.240000000000001e-07
1459601430380,-9.295,3.6200000000000004e-07
1459601430390,-9.295,1.0859999999999999e-06
1459601430400,-9.295,7.240000000000001e-07
1459601430410,-9.295,3.6200000000000004e-07
1459601430420,-9.295,0.0
1459601430430,-9.295,7.240000000000001e-07
1459601430440,-9.295,0.0
1459601430450,-9.295,3.6200000000000004e-07
1459601430460,-9.295,0.0
1459601430470,-9.295,7.240000000000001e-07
1459601430480,-9.295,0.0
1459601430490,-9.295,1.0859999999999999e-06
1459601430500,-9.295,0.0
1459601430510,-9.295,1.4480000000000002e-06
1459601430520,-9.295,0.0
1459601430530,-9.295,0.0
1459601430540,-9.295,0.0
1459601430550,-9.295,3.6200000000000004e-07
1459601430560,-9.295,3.6200000000000004e-07
1459601430570,-9.295,3.6200000000000004e-07
1459601430580,-9.295,3.6200000000000004e-07
1459601430590,-9.295,0.0
1459601430600,-9.295,0.0
1459601430610,-9.295,7.240000000000001e-07
1459601430620,-9.295,0.0
1459601430630,-9.295,1.0859999999999999e-06
1459601430640,-9.295,0.0
1459601430650,-9.295,7.240000000000001e-07
1459601430660,-9.295,0.0
1459601430670,-9.295,3.6200000000000004e-07
1459601430680,-9.295,0.0
1459601430690,-9.295,1.0859999999999999e-06
1459601430700,-9.295,3.6200000000000004e-07
1459601430710,-9.295,3.6200000000000004e-07
1459601430720,-9.295,3.6200000000000004e-07
1459601430730,-9.295,3.6200000000000004e-07
1459601430740,-9.295,3.6200000000000004e-07
1459601430750,-9.295,3.6200000000000004e-07
1459601430760,-9.295,3.6200000000000004e-07
1459601430770,-9.295,3.6200000000000004e-07
1459601430780,-9.295,3.6200000000000004e-07
1459601430790,-9.295,7.240000000000001e-07
1459601430800,-9.295,0.0
1459601430810,-9.295,1.0859999999999999e-06
1459601430820,-9.295,0.0
1459601430830,-9.295,3.6200000000000004e-07
1459601430840,-9.295,0.0
1459601430850,-9.295,3.6200000000000004e-07
1459601430860,-9.295,3.6200000000000004e-07
1459601430870,-9.295,3.6200000000000004e-07
1459601430880,-9.295,0.0
1459601430890,-9.295,7.240000000000001e-07
1459601430900,-9.295,0.0
1459601430910,-9.295,1.0859999999999999e-06
1459601430920,-9.295,0.0
1459601430930,-9.295,0.0
1459601430940,-9.295,0.0
1459601430950,-9.295,3.6200000000000004e-07
1459601430960,-9.295,0.0
1459601430970,-9.295,3.6200000000000004e-07
1459601430980,-9.295,3.6200000000000004e-07
1459601430990,-9.295,3.6200000000000004e-07
1459601431000,-9.295,0.0
