Timestamp,position,BLMTI.04L3.B2E10_TCSG.4L3.B2
1459602903090,-9.68,3.6200000000000004e-07
1459602903100,-9.68,3.6200000000000004e-07
1459602903110,-9.68,3.6200000000000004e-07
1459602903120,-9.68,0.0
1459602903130,-9.68,1.0859999999999999e-06
1459602903140,-9.68,0.0
1459602903150,-9.68,0.0
1459602903160,-9.68,7.240000000000001e-07
1459602903170,-9.68,3.6200000000000004e-07
1459602903180,-9.68,0.0
1459602903190,-9.68,7.240000000000001e-07
1459602903200,-9.68,3.6200000000000004e-07
1459602903210,-9.68,1.4480000000000002e-06
1459602903220,-9.68,0.0
1459602903230,-9.68,3.6200000000000004e-07
1459602903240,-9.68,0.0
1459602903250,-9.68,3.6200000000000004e-07
1459602903260,-9.68,0.0
1459602903270,-9.68,1.0859999999999999e-06
1459602903280,-9.68,0.0
1459602903290,-9.68,0.0
1459602903300,-9.68,3.6200000000000004e-07
1459602903310,-9.68,3.6200000000000004e-07
1459602903320,-9.68,7.240000000000001e-07
1459602903330,-9.68,0.0
1459602903340,-9.68,3.6200000000000004e-07
1459602903350,-9.68,7.240000000000001e-07
1459602903360,-9.68,0.0
1459602903370,-9.68,7.240000000000001e-07
1459602903380,-9.68,3.6200000000000004e-07
1459602903390,-9.68,7.240000000000001e-07
1459602903400,-9.68,1.0859999999999999e-06
1459602903410,-9.68,0.0
1459602903420,-9.68,0.0
1459602903430,-9.68,1.0859999999999999e-06
1459602903440,-9.68,0.0
1459602903450,-9.68,0.0
1459602903460,-9.68,0.0
1459602903470,-9.68,3.6200000000000004e-07
1459602903480,-9.68,3.6200000000000004e-07
1459602903490,-9.68,7.240000000000001e-07
1459602903500,-9.68,7.240000000000001e-07
1459602903510,-9.68,7.240000000000001e-07
1459602903520,-9.68,3.6200000000000004e-07
1459602903530,-9.68,3.6200000000000004e-07
1459602903540,-9.68,3.6200000000000004e-07
1459602903550,-9.68,1.0859999999999999e-06
1459602903560,-9.68,0.0
1459602903570,-9.68,3.6200000000000004e-07
1459602903580,-9.68,7.240000000000001e-07
1459602903590,-9.68,0.0
1459602903600,-9.68,0.0
1459602903610,-9.68,7.240000000000001e-07
1459602903620,-9.68,3.6200000000000004e-07
1459602903630,-9.68,7.240000000000001e-07
1459602903640,-9.68,3.6200000000000004e-07
1459602903650,-9.68,0.0
1459602903660,-9.68,3.6200000000000004e-07
1459602903670,-9.68,3.6200000000000004e-07
1459602903680,-9.68,3.6200000000000004e-07
1459602903690,-9.68,0.0
1459602903700,-9.68,3.6200000000000004e-07
1459602903710,-9.68,7.240000000000001e-07
1459602903720,-9.68,0.0
1459602903730,-9.68,3.6200000000000004e-07
1459602903740,-9.68,7.240000000000001e-07
1459602903750,-9.68,3.6200000000000004e-07
1459602903760,-9.68,3.6200000000000004e-07
1459602903770,-9.68,3.6200000000000004e-07
1459602903780,-9.68,3.6200000000000004e-07
1459602903790,-9.68,3.6200000000000004e-07
1459602903800,-9.68,3.6200000000000004e-07
1459602903810,-9.68,0.0
1459602903820,-9.68,3.6200000000000004e-07
1459602903830,-9.68,3.6200000000000004e-07
1459602903840,-9.68,7.240000000000001e-07
1459602903850,-9.68,3.6200000000000004e-07
1459602903860,-9.68,0.0
1459602903870,-9.68,3.6200000000000004e-07
1459602903880,-9.68,0.0
1459602903890,-9.68,7.240000000000001e-07
1459602903900,-9.68,3.6200000000000004e-07
1459602903910,-9.68,1.4480000000000002e-06
1459602903920,-9.68,3.6200000000000004e-07
1459602903930,-9.68,1.4480000000000002e-06
1459602903940,-9.68,0.0
1459602903950,-9.68,0.0
1459602903960,-9.68,0.0
1459602903970,-9.68,7.240000000000001e-07
1459602903980,-9.68,3.6200000000000004e-07
1459602903990,-9.68,3.6200000000000004e-07
1459602904000,-9.68,3.6200000000000004e-07
1459602904010,-9.68,0.0
1459602904020,-9.68,3.6200000000000004e-07
1459602904030,-9.68,3.6200000000000004e-07
1459602904040,-9.68,3.6200000000000004e-07
1459602904050,-9.68,3.6200000000000004e-07
1459602904060,-9.68,0.0
1459602904070,-9.68,0.0
1459602904080,-9.68,3.6200000000000004e-07
1459602904090,-9.68,1.0859999999999999e-06
1459602904100,-9.68,0.0
1459602904110,-9.68,7.240000000000001e-07
1459602904120,-9.68,0.0
1459602904130,-9.68,0.0
1459602904140,-9.68,3.6200000000000004e-07
1459602904150,-9.68,3.6200000000000004e-07
1459602904160,-9.68,3.6200000000000004e-07
1459602904170,-9.68,3.6200000000000004e-07
1459602904180,-9.68,7.240000000000001e-07
1459602904190,-9.68,0.0
1459602904200,-9.68,3.6200000000000004e-07
1459602904210,-9.68,0.0
1459602904220,-9.68,3.6200000000000004e-07
1459602904230,-9.68,7.240000000000001e-07
1459602904240,-9.68,1.0859999999999999e-06
1459602904250,-9.68,0.0
1459602904260,-9.68,7.240000000000001e-07
1459602904270,-9.68,3.6200000000000004e-07
1459602904280,-9.68,0.0
1459602904290,-9.68,3.6200000000000004e-07
1459602904300,-9.68,3.6200000000000004e-07
1459602904310,-9.68,3.6200000000000004e-07
1459602904320,-9.68,0.0
1459602904330,-9.68,1.0859999999999999e-06
1459602904340,-9.68,0.0
1459602904350,-9.68,7.240000000000001e-07
1459602904360,-9.68,3.6200000000000004e-07
1459602904370,-9.68,3.6200000000000004e-07
1459602904380,-9.68,0.0
1459602904390,-9.68,3.6200000000000004e-07
1459602904400,-9.68,0.0
1459602904410,-9.68,3.6200000000000004e-07
1459602904420,-9.68,3.6200000000000004e-07
1459602904430,-9.68,0.0
1459602904440,-9.68,0.0
1459602904450,-9.68,3.6200000000000004e-07
1459602904460,-9.68,7.240000000000001e-07
1459602904470,-9.68,7.240000000000001e-07
1459602904480,-9.68,0.0
1459602904490,-9.68,0.0
1459602904500,-9.68,0.0
1459602904510,-9.68,3.6200000000000004e-07
1459602904520,-9.68,1.0859999999999999e-06
1459602904530,-9.68,0.0
1459602904540,-9.68,3.6200000000000004e-07
1459602904550,-9.68,3.6200000000000004e-07
1459602904560,-9.68,7.240000000000001e-07
1459602904570,-9.68,0.0
1459602904580,-9.68,3.6200000000000004e-07
1459602904590,-9.68,3.6200000000000004e-07
1459602904600,-9.68,3.6200000000000004e-07
1459602904610,-9.68,0.0
1459602904620,-9.68,7.240000000000001e-07
1459602904630,-9.68,0.0
1459602904640,-9.68,7.240000000000001e-07
1459602904650,-9.68,0.0
1459602904660,-9.68,3.6200000000000004e-07
1459602904670,-9.68,3.6200000000000004e-07
1459602904680,-9.68,7.240000000000001e-07
1459602904690,-9.68,3.6200000000000004e-07
1459602904700,-9.68,3.6200000000000004e-07
1459602904710,-9.68,1.0859999999999999e-06
1459602904720,-9.68,0.0
1459602904730,-9.68,3.6200000000000004e-07
1459602904740,-9.68,0.0
1459602904750,-9.68,7.240000000000001e-07
1459602904760,-9.68,0.0
1459602904770,-9.68,3.6200000000000004e-07
1459602904780,-9.68,3.6200000000000004e-07
1459602904790,-9.68,0.0
1459602904800,-9.68,3.6200000000000004e-07
1459602904810,-9.68,1.4480000000000002e-06
1459602904820,-9.68,3.6200000000000004e-07
1459602904830,-9.68,0.0
1459602904840,-9.68,3.6200000000000004e-07
1459602904850,-9.68,1.0859999999999999e-06
1459602904860,-9.68,0.0
1459602904870,-9.68,0.0
1459602904880,-9.68,3.6200000000000004e-07
1459602904890,-9.68,3.6200000000000004e-07
1459602904900,-9.68,0.0
1459602904910,-9.68,1.0859999999999999e-06
1459602904920,-9.68,7.240000000000001e-07
1459602904930,-9.68,0.0
1459602904940,-9.68,7.240000000000001e-07
1459602904950,-9.68,0.0
1459602904960,-9.68,0.0
1459602904970,-9.68,7.240000000000001e-07
1459602904980,-9.68,0.0
1459602904990,-9.68,3.6200000000000004e-07
1459602905000,-9.68,1.0859999999999999e-06
1459602905010,-9.68,0.0
