Timestamp,position,BLMTI.05R3.B2E10_TCSG.5R3.B2
1459603042940,-9.81,7.240000000000001e-07
1459603042950,-9.81,0.0
1459603042960,-9.81,7.240000000000001e-07
1459603042970,-9.81,0.0
1459603042980,-9.81,1.4480000000000002e-06
1459603042990,-9.81,0.0
1459603043000,-9.81,0.0
1459603043010,-9.81,0.0
1459603043020,-9.81,7.240000000000001e-07
1459603043030,-9.81,0.0
1459603043040,-9.81,3.6200000000000004e-07
1459603043050,-9.81,0.0
1459603043060,-9.81,1.0859999999999999e-06
1459603043070,-9.81,0.0
1459603043080,-9.81,3.6200000000000004e-07
1459603043090,-9.81,3.6200000000000004e-07
1459603043100,-9.81,3.6200000000000004e-07
1459603043110,-9.81,3.6200000000000004e-07
1459603043120,-9.81,7.240000000000001e-07
1459603043130,-9.81,0.0
1459603043140,-9.81,3.6200000000000004e-07
1459603043150,-9.81,0.0
1459603043160,-9.81,3.6200000000000004e-07
1459603043170,-9.81,0.0
1459603043180,-9.81,7.240000000000001e-07
1459603043190,-9.81,3.6200000000000004e-07
1459603043200,-9.81,7.240000000000001e-07
1459603043210,-9.81,3.6200000000000004e-07
1459603043220,-9.81,3.6200000000000004e-07
1459603043230,-9.81,3.6200000000000004e-07
1459603043240,-9.81,3.6200000000000004e-07
1459603043250,-9.81,1.0859999999999999e-06
1459603043260,-9.81,3.6200000000000004e-07
1459603043270,-9.81,0.0
1459603043280,-9.81,7.240000000000001e-07
1459603043290,-9.81,0.0
1459603043300,-9.81,3.6200000000000004e-07
1459603043310,-9.81,0.0
1459603043320,-9.81,3.6200000000000004e-07
1459603043330,-9.81,3.6200000000000004e-07
1459603043340,-9.81,0.0
1459603043350,-9.81,0.0
1459603043360,-9.81,1.0859999999999999e-06
1459603043370,-9.81,0.0
1459603043380,-9.81,7.240000000000001e-07
1459603043390,-9.81,0.0
1459603043400,-9.81,3.6200000000000004e-07
1459603043410,-9.81,0.0
1459603043420,-9.81,3.6200000000000004e-07
1459603043430,-9.81,0.0
1459603043440,-9.81,7.240000000000001e-07
1459603043450,-9.81,0.0
1459603043460,-9.81,7.240000000000001e-07
1459603043470,-9.81,0.0
1459603043480,-9.81,1.0859999999999999e-06
1459603043490,-9.81,0.0
1459603043500,-9.81,7.240000000000001e-07
1459603043510,-9.81,0.0
1459603043520,-9.81,1.4480000000000002e-06
1459603043530,-9.81,0.0
1459603043540,-9.81,3.6200000000000004e-07
1459603043550,-9.81,0.0
1459603043560,-9.81,7.240000000000001e-07
1459603043570,-9.81,0.0
1459603043580,-9.81,0.0
1459603043590,-9.81,0.0
1459603043600,-9.81,1.0859999999999999e-06
1459603043610,-9.81,0.0
1459603043620,-9.81,3.6200000000000004e-07
1459603043630,-9.81,3.6200000000000004e-07
1459603043640,-9.81,3.6200000000000004e-07
1459603043650,-9.81,7.240000000000001e-07
1459603043660,-9.81,0.0
1459603043670,-9.81,7.240000000000001e-07
1459603043680,-9.81,0.0
1459603043690,-9.81,0.0
1459603043700,-9.81,3.6200000000000004e-07
1459603043710,-9.81,0.0
1459603043720,-9.81,1.4480000000000002e-06
1459603043730,-9.81,0.0
1459603043740,-9.81,3.6200000000000004e-07
1459603043750,-9.81,1.0859999999999999e-06
1459603043760,-9.81,0.0
1459603043770,-9.81,0.0
1459603043780,-9.81,0.0
1459603043790,-9.81,0.0
1459603043800,-9.81,3.6200000000000004e-07
1459603043810,-9.81,0.0
1459603043820,-9.81,1.0859999999999999e-06
1459603043830,-9.81,0.0
1459603043840,-9.81,1.81e-06
1459603043850,-9.81,0.0
1459603043860,-9.81,0.0
1459603043870,-9.81,0.0
1459603043880,-9.81,3.6200000000000004e-07
1459603043890,-9.81,3.6200000000000004e-07
1459603043900,-9.81,3.6200000000000004e-07
1459603043910,-9.81,7.240000000000001e-07
1459603043920,-9.81,7.240000000000001e-07
1459603043930,-9.81,0.0
1459603043940,-9.81,1.81e-06
1459603043950,-9.81,0.0
1459603043960,-9.81,3.6200000000000004e-07
1459603043970,-9.81,0.0
1459603043980,-9.81,7.240000000000001e-07
1459603043990,-9.81,7.240000000000001e-07
1459603044000,-9.81,0.0
1459603044010,-9.81,1.0859999999999999e-06
1459603044020,-9.81,3.6200000000000004e-07
1459603044030,-9.81,0.0
1459603044040,-9.81,3.6200000000000004e-07
1459603044050,-9.81,0.0
1459603044060,-9.81,1.4480000000000002e-06
1459603044070,-9.81,0.0
1459603044080,-9.81,3.6200000000000004e-07
1459603044090,-9.81,0.0
1459603044100,-9.81,7.240000000000001e-07
1459603044110,-9.81,0.0
1459603044120,-9.81,1.0859999999999999e-06
1459603044130,-9.81,0.0
1459603044140,-9.81,3.6200000000000004e-07
1459603044150,-9.81,0.0
1459603044160,-9.81,0.0
1459603044170,-9.81,0.0
1459603044180,-9.81,7.240000000000001e-07
1459603044190,-9.81,3.6200000000000004e-07
1459603044200,-9.81,0.0
1459603044210,-9.81,0.0
1459603044220,-9.81,1.81e-06
1459603044230,-9.81,0.0
1459603044240,-9.81,0.0
1459603044250,-9.81,0.0
1459603044260,-9.81,0.0
1459603044270,-9.81,0.0
1459603044280,-9.81,7.240000000000001e-07
1459603044290,-9.81,0.0
1459603044300,-9.81,3.6200000000000004e-07
1459603044310,-9.81,0.0
1459603044320,-9.81,0.0
1459603044330,-9.81,7.240000000000001e-07
1459603044340,-9.81,3.6200000000000004e-07
1459603044350,-9.81,0.0
1459603044360,-9.81,7.240000000000001e-07
1459603044370,-9.81,0.0
1459603044380,-9.81,7.240000000000001e-07
1459603044390,-9.81,0.0
1459603044400,-9.81,7.240000000000001e-07
1459603044410,-9.81,7.240000000000001e-07
1459603044420,-9.81,7.240000000000001e-07
1459603044430,-9.81,0.0
1459603044440,-9.81,3.6200000000000004e-07
1459603044450,-9.81,3.6200000000000004e-07
1459603044460,-9.81,7.240000000000001e-07
1459603044470,-9.81,3.6200000000000004e-07
1459603044480,-9.81,3.6200000000000004e-07
1459603044490,-9.81,0.0
1459603044500,-9.81,3.6200000000000004e-07
1459603044510,-9.81,3.6200000000000004e-07
1459603044520,-9.81,3.6200000000000004e-07
1459603044530,-9.81,0.0
1459603044540,-9.81,3.6200000000000004e-07
1459603044550,-9.81,0.0
1459603044560,-9.81,1.0859999999999999e-06
