Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1459603538530,-9.115,3.6200000000000004e-07
1459603538540,-9.115,3.6200000000000004e-07
1459603538550,-9.115,0.0
1459603538560,-9.115,3.6200000000000004e-07
1459603538570,-9.115,0.0
1459603538580,-9.115,7.240000000000001e-07
1459603538590,-9.115,0.0
1459603538600,-9.115,3.6200000000000004e-07
1459603538610,-9.115,3.6200000000000004e-07
1459603538620,-9.115,3.6200000000000004e-07
1459603538630,-9.115,3.6200000000000004e-07
1459603538640,-9.115,3.6200000000000004e-07
1459603538650,-9.115,3.6200000000000004e-07
1459603538660,-9.115,3.6200000000000004e-07
1459603538670,-9.115,0.0
1459603538680,-9.115,3.6200000000000004e-07
1459603538690,-9.115,0.0
1459603538700,-9.115,3.6200000000000004e-07
1459603538710,-9.115,0.0
1459603538720,-9.115,0.0
1459603538730,-9.115,1.81e-06
1459603538740,-9.115,0.0
1459603538750,-9.115,3.6200000000000004e-07
1459603538760,-9.115,3.6200000000000004e-07
1459603538770,-9.115,3.6200000000000004e-07
1459603538780,-9.115,3.6200000000000004e-07
1459603538790,-9.115,3.6200000000000004e-07
1459603538800,-9.115,3.6200000000000004e-07
1459603538810,-9.115,3.6200000000000004e-07
1459603538820,-9.115,3.6200000000000004e-07
1459603538830,-9.115,7.240000000000001e-07
1459603538840,-9.115,3.6200000000000004e-07
1459603538850,-9.115,3.6200000000000004e-07
1459603538860,-9.115,0.0
1459603538870,-9.115,7.240000000000001e-07
1459603538880,-9.115,3.6200000000000004e-07
1459603538890,-9.115,7.240000000000001e-07
1459603538900,-9.115,3.6200000000000004e-07
1459603538910,-9.115,3.6200000000000004e-07
1459603538920,-9.115,0.0
1459603538930,-9.115,3.6200000000000004e-07
1459603538940,-9.115,3.6200000000000004e-07
1459603538950,-9.115,3.6200000000000004e-07
1459603538960,-9.115,7.240000000000001e-07
1459603538970,-9.115,3.6200000000000004e-07
1459603538980,-9.115,3.6200000000000004e-07
1459603538990,-9.115,0.0
1459603539000,-9.115,3.6200000000000004e-07
1459603539010,-9.115,3.6200000000000004e-07
1459603539020,-9.115,3.6200000000000004e-07
1459603539030,-9.115,3.6200000000000004e-07
1459603539040,-9.115,7.240000000000001e-07
1459603539050,-9.115,0.0
1459603539060,-9.115,7.240000000000001e-07
1459603539070,-9.115,3.6200000000000004e-07
1459603539080,-9.115,3.6200000000000004e-07
1459603539090,-9.115,3.6200000000000004e-07
1459603539100,-9.115,0.0
1459603539110,-9.115,7.240000000000001e-07
1459603539120,-9.115,0.0
1459603539130,-9.115,3.6200000000000004e-07
1459603539140,-9.115,3.6200000000000004e-07
1459603539150,-9.115,7.240000000000001e-07
1459603539160,-9.115,0.0
1459603539170,-9.115,3.6200000000000004e-07
1459603539180,-9.115,3.6200000000000004e-07
1459603539190,-9.115,3.6200000000000004e-07
1459603539200,-9.115,3.6200000000000004e-07
1459603539210,-9.115,3.6200000000000004e-07
1459603539220,-9.115,3.6200000000000004e-07
1459603539230,-9.115,3.6200000000000004e-07
1459603539240,-9.115,7.240000000000001e-07
1459603539250,-9.115,0.0
1459603539260,-9.115,3.6200000000000004e-07
1459603539270,-9.115,3.6200000000000004e-07
1459603539280,-9.115,3.6200000000000004e-07
1459603539290,-9.115,0.0
1459603539300,-9.115,3.6200000000000004e-07
1459603539310,-9.115,0.0
1459603539320,-9.115,7.240000000000001e-07
1459603539330,-9.115,0.0
1459603539340,-9.115,3.6200000000000004e-07
1459603539350,-9.115,0.0
1459603539360,-9.115,3.6200000000000004e-07
1459603539370,-9.115,0.0
1459603539380,-9.115,7.240000000000001e-07
1459603539390,-9.115,3.6200000000000004e-07
1459603539400,-9.115,7.240000000000001e-07
