Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1459604076910,-9.98,7.240000000000001e-07
1459604076920,-9.98,3.6200000000000004e-07
1459604076930,-9.98,7.240000000000001e-07
1459604076940,-9.98,7.240000000000001e-07
1459604076950,-9.98,1.0859999999999999e-06
1459604076960,-9.98,3.6200000000000004e-07
1459604076970,-9.98,3.6200000000000004e-07
1459604076980,-9.98,0.0
1459604076990,-9.98,1.0859999999999999e-06
1459604077000,-9.98,7.240000000000001e-07
1459604077010,-9.98,3.6200000000000004e-07
1459604077020,-9.98,3.6200000000000004e-07
1459604077030,-9.98,3.6200000000000004e-07
1459604077040,-9.98,7.240000000000001e-07
1459604077050,-9.98,7.240000000000001e-07
1459604077060,-9.98,7.240000000000001e-07
1459604077070,-9.98,3.6200000000000004e-07
1459604077080,-9.98,7.240000000000001e-07
1459604077090,-9.98,1.0859999999999999e-06
1459604077100,-9.98,0.0
1459604077110,-9.98,1.0859999999999999e-06
1459604077120,-9.98,7.240000000000001e-07
1459604077130,-9.98,3.6200000000000004e-07
1459604077140,-9.98,3.6200000000000004e-07
1459604077150,-9.98,7.240000000000001e-07
1459604077160,-9.98,1.4480000000000002e-06
1459604077170,-9.98,3.6200000000000004e-07
1459604077180,-9.98,7.240000000000001e-07
1459604077190,-9.98,7.240000000000001e-07
1459604077200,-9.98,7.240000000000001e-07
1459604077210,-9.98,3.6200000000000004e-07
1459604077220,-9.98,0.0
1459604077230,-9.98,3.6200000000000004e-07
1459604077240,-9.98,7.240000000000001e-07
1459604077250,-9.98,7.240000000000001e-07
1459604077260,-9.98,3.6200000000000004e-07
1459604077270,-9.98,3.6200000000000004e-07
1459604077280,-9.98,3.6200000000000004e-07
1459604077290,-9.98,7.240000000000001e-07
1459604077300,-9.98,3.6200000000000004e-07
1459604077310,-9.98,7.240000000000001e-07
1459604077320,-9.98,7.240000000000001e-07
1459604077330,-9.98,1.0859999999999999e-06
1459604077340,-9.98,1.0859999999999999e-06
1459604077350,-9.98,7.240000000000001e-07
1459604077360,-9.98,1.4480000000000002e-06
1459604077370,-9.98,1.0859999999999999e-06
1459604077380,-9.98,1.4480000000000002e-06
1459604077390,-9.98,7.240000000000001e-07
1459604077400,-9.98,1.4480000000000002e-06
1459604077410,-9.98,7.240000000000001e-07
1459604077420,-9.98,1.4480000000000002e-06
1459604077430,-9.98,1.0859999999999999e-06
1459604077440,-9.98,1.0859999999999999e-06
1459604077450,-9.98,7.240000000000001e-07
1459604077460,-9.98,7.240000000000001e-07
1459604077470,-9.98,1.0859999999999999e-06
1459604077480,-9.98,7.240000000000001e-07
1459604077490,-9.98,1.0859999999999999e-06
1459604077500,-9.98,0.0
1459604077510,-9.98,3.6200000000000004e-07
1459604077520,-9.98,7.240000000000001e-07
1459604077530,-9.98,7.240000000000001e-07
1459604077540,-9.98,3.6200000000000004e-07
1459604077550,-9.98,3.6200000000000004e-07
1459604077560,-9.98,7.240000000000001e-07
1459604077570,-9.98,3.6200000000000004e-07
1459604077580,-9.98,3.6200000000000004e-07
1459604077590,-9.98,0.0
1459604077600,-9.98,3.6200000000000004e-07
1459604077610,-9.98,3.6200000000000004e-07
1459604077620,-9.98,0.0
1459604077630,-9.98,1.0859999999999999e-06
1459604077640,-9.98,3.6200000000000004e-07
1459604077650,-9.98,3.6200000000000004e-07
1459604077660,-9.98,3.6200000000000004e-07
1459604077670,-9.98,1.0859999999999999e-06
1459604077680,-9.98,7.240000000000001e-07
1459604077690,-9.98,3.6200000000000004e-07
1459604077700,-9.98,7.240000000000001e-07
