Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1459604365520,-7.485,0.0
1459604365530,-7.485,0.0
1459604365540,-7.485,0.0
1459604365550,-7.485,0.0
1459604365560,-7.485,0.0
1459604365570,-7.485,0.0
1459604365580,-7.485,0.0
1459604365590,-7.485,0.0
1459604365600,-7.485,0.0
1459604365610,-7.485,3.6200000000000004e-07
1459604365620,-7.485,0.0
1459604365630,-7.485,0.0
1459604365640,-7.485,0.0
1459604365650,-7.485,0.0
1459604365660,-7.485,1.81e-06
1459604365670,-7.485,0.0
1459604365680,-7.485,1.0859999999999999e-06
1459604365690,-7.485,0.0
1459604365700,-7.485,7.240000000000001e-07
1459604365710,-7.485,7.240000000000001e-07
1459604365720,-7.485,1.0859999999999999e-06
1459604365730,-7.485,0.0
1459604365740,-7.485,0.0
1459604365750,-7.485,7.240000000000001e-07
1459604365760,-7.485,2.1719999999999997e-06
1459604365770,-7.485,0.0
1459604365780,-7.485,3.6200000000000004e-07
1459604365790,-7.485,2.1719999999999997e-06
1459604365800,-7.485,2.8960000000000003e-06
1459604365810,-7.485,5.43e-06
1459604365820,-7.485,3.6200000000000004e-07
1459604365830,-7.485,2.1719999999999997e-06
1459604365840,-7.485,0.0
1459604365850,-7.485,1.4480000000000002e-06
1459604365860,-7.485,1.4480000000000002e-06
1459604365870,-7.485,2.8960000000000003e-06
1459604365880,-7.485,3.6200000000000004e-07
1459604365890,-7.485,2.5340000000000002e-06
1459604365900,-7.485,0.0
1459604365910,-7.485,3.6200000000000004e-07
1459604365920,-7.485,3.6200000000000004e-07
1459604365930,-7.485,1.0859999999999999e-06
1459604365940,-7.485,1.0859999999999999e-06
1459604365950,-7.485,0.0
1459604365960,-7.485,0.0
1459604365970,-7.485,3.6200000000000004e-07
1459604365980,-7.485,3.6200000000000004e-07
1459604365990,-7.485,2.5340000000000002e-06
1459604366000,-7.485,0.0
1459604366010,-7.485,0.0
1459604366020,-7.485,7.240000000000001e-07
1459604366030,-7.485,0.0
1459604366040,-7.485,0.0
1459604366050,-7.485,1.4480000000000002e-06
1459604366060,-7.485,0.0
1459604366070,-7.485,1.4480000000000002e-06
1459604366080,-7.485,0.0
1459604366090,-7.485,1.0859999999999999e-06
1459604366100,-7.485,0.0
1459604366110,-7.485,7.240000000000001e-07
1459604366120,-7.485,0.0
1459604366130,-7.485,0.0
1459604366140,-7.485,1.0859999999999999e-06
1459604366150,-7.485,0.0
1459604366160,-7.485,2.1719999999999997e-06
1459604366170,-7.485,0.0
1459604366180,-7.485,0.0
1459604366190,-7.485,7.240000000000001e-07
1459604366200,-7.485,7.240000000000001e-07
1459604366210,-7.485,0.0
1459604366220,-7.485,0.0
1459604366230,-7.485,2.8960000000000003e-06
1459604366240,-7.485,0.0
1459604366250,-7.485,0.0
1459604366260,-7.485,0.0
1459604366270,-7.485,0.0
1459604366280,-7.485,1.0859999999999999e-06
1459604366290,-7.485,0.0
1459604366300,-7.485,7.240000000000001e-07
1459604366310,-7.485,7.240000000000001e-07
1459604366320,-7.485,0.0
1459604366330,-7.485,0.0
1459604366340,-7.485,7.240000000000001e-07
1459604366350,-7.485,7.240000000000001e-07
1459604366360,-7.485,0.0
1459604366370,-7.485,7.240000000000001e-07
1459604366380,-7.485,1.4480000000000002e-06
1459604366390,-7.485,0.0
1459604366400,-7.485,3.6200000000000004e-07
1459604366410,-7.485,7.240000000000001e-07
1459604366420,-7.485,0.0
1459604366430,-7.485,1.4480000000000002e-06
1459604366440,-7.485,0.0
1459604366450,-7.485,3.6200000000000004e-07
1459604366460,-7.485,7.240000000000001e-07
1459604366470,-7.485,7.240000000000001e-07
1459604366480,-7.485,0.0
1459604366490,-7.485,0.0
1459604366500,-7.485,0.0
1459604366510,-7.485,0.0
1459604366520,-7.485,1.0859999999999999e-06
1459604366530,-7.485,7.240000000000001e-07
1459604366540,-7.485,0.0
1459604366550,-7.485,3.62e-06
1459604366560,-7.485,0.0
1459604366570,-7.485,0.0
1459604366580,-7.485,1.81e-06
1459604366590,-7.485,0.0
1459604366600,-7.485,0.0
1459604366610,-7.485,0.0
1459604366620,-7.485,0.0
1459604366630,-7.485,1.81e-06
1459604366640,-7.485,0.0
1459604366650,-7.485,0.0
1459604366660,-7.485,1.0859999999999999e-06
