Timestamp,position,BLMTI.04R8.B2E10_TCTPV.4R8.B2
1459604807170,-8.07,1.0859999999999999e-06
1459604807180,-8.07,0.0
1459604807190,-8.07,0.0
1459604807200,-8.07,0.0
1459604807210,-8.07,3.6200000000000004e-07
1459604807220,-8.07,0.0
1459604807230,-8.07,1.4480000000000002e-06
1459604807240,-8.07,0.0
1459604807250,-8.07,0.0
1459604807260,-8.07,0.0
1459604807270,-8.07,1.0859999999999999e-06
1459604807280,-8.07,0.0
1459604807290,-8.07,1.0859999999999999e-06
1459604807300,-8.07,0.0
1459604807310,-8.07,3.6200000000000004e-07
1459604807320,-8.07,0.0
1459604807330,-8.07,0.0
1459604807340,-8.07,0.0
1459604807350,-8.07,1.0859999999999999e-06
1459604807360,-8.07,0.0
1459604807370,-8.07,1.0859999999999999e-06
1459604807380,-8.07,0.0
1459604807390,-8.07,0.0
1459604807400,-8.07,0.0
1459604807410,-8.07,1.0859999999999999e-06
1459604807420,-8.07,0.0
1459604807430,-8.07,3.6200000000000004e-07
1459604807440,-8.07,0.0
1459604807450,-8.07,1.0859999999999999e-06
1459604807460,-8.07,0.0
1459604807470,-8.07,1.0859999999999999e-06
1459604807480,-8.07,0.0
1459604807490,-8.07,0.0
1459604807500,-8.07,0.0
1459604807510,-8.07,7.240000000000001e-07
1459604807520,-8.07,0.0
1459604807530,-8.07,1.4480000000000002e-06
1459604807540,-8.07,0.0
1459604807550,-8.07,1.0859999999999999e-06
1459604807560,-8.07,0.0
1459604807570,-8.07,0.0
1459604807580,-8.07,0.0
1459604807590,-8.07,3.6200000000000004e-07
1459604807600,-8.07,0.0
1459604807610,-8.07,1.81e-06
1459604807620,-8.07,0.0
1459604807630,-8.07,3.6200000000000004e-07
1459604807640,-8.07,0.0
1459604807650,-8.07,1.4480000000000002e-06
1459604807660,-8.07,0.0
1459604807670,-8.07,0.0
1459604807680,-8.07,0.0
1459604807690,-8.07,7.240000000000001e-07
1459604807700,-8.07,0.0
1459604807710,-8.07,7.240000000000001e-07
1459604807720,-8.07,0.0
1459604807730,-8.07,1.0859999999999999e-06
1459604807740,-8.07,0.0
1459604807750,-8.07,7.240000000000001e-07
1459604807760,-8.07,0.0
1459604807770,-8.07,3.6200000000000004e-07
1459604807780,-8.07,0.0
1459604807790,-8.07,1.4480000000000002e-06
1459604807800,-8.07,0.0
1459604807810,-8.07,3.6200000000000004e-07
1459604807820,-8.07,0.0
1459604807830,-8.07,0.0
1459604807840,-8.07,0.0
1459604807850,-8.07,7.240000000000001e-07
1459604807860,-8.07,0.0
1459604807870,-8.07,3.6200000000000004e-07
1459604807880,-8.07,0.0
1459604807890,-8.07,7.240000000000001e-07
1459604807900,-8.07,0.0
1459604807910,-8.07,3.6200000000000004e-07
1459604807920,-8.07,0.0
1459604807930,-8.07,3.6200000000000004e-07
1459604807940,-8.07,0.0
1459604807950,-8.07,7.240000000000001e-07
1459604807960,-8.07,0.0
1459604807970,-8.07,7.240000000000001e-07
1459604807980,-8.07,0.0
1459604807990,-8.07,0.0
1459604808000,-8.07,0.0
1459604808010,-8.07,3.6200000000000004e-07
1459604808020,-8.07,0.0
1459604808030,-8.07,7.240000000000001e-07
1459604808040,-8.07,0.0
