Timestamp,position,BLMTI.05R3.B1I10_TCLA.A5R3.B1
1459604917910,-8.23,0.0
1459604917920,-8.23,7.240000000000001e-07
1459604917930,-8.23,7.240000000000001e-07
1459604917940,-8.23,0.0
1459604917950,-8.23,3.6200000000000004e-07
1459604917960,-8.23,0.0
1459604917970,-8.23,1.0859999999999999e-06
1459604917980,-8.23,0.0
1459604917990,-8.23,7.240000000000001e-07
1459604918000,-8.23,0.0
1459604918010,-8.23,1.0859999999999999e-06
1459604918020,-8.23,0.0
1459604918030,-8.23,3.6200000000000004e-07
1459604918040,-8.23,3.6200000000000004e-07
1459604918050,-8.23,7.240000000000001e-07
1459604918060,-8.23,0.0
1459604918070,-8.23,7.240000000000001e-07
1459604918080,-8.23,0.0
1459604918090,-8.23,3.6200000000000004e-07
1459604918100,-8.23,3.6200000000000004e-07
1459604918110,-8.23,1.0859999999999999e-06
1459604918120,-8.23,0.0
1459604918130,-8.23,7.240000000000001e-07
1459604918140,-8.23,0.0
1459604918150,-8.23,3.6200000000000004e-07
1459604918160,-8.23,3.6200000000000004e-07
1459604918170,-8.23,7.240000000000001e-07
1459604918180,-8.23,0.0
1459604918190,-8.23,0.0
1459604918200,-8.23,1.0859999999999999e-06
1459604918210,-8.23,1.0859999999999999e-06
1459604918220,-8.23,0.0
1459604918230,-8.23,3.6200000000000004e-07
1459604918240,-8.23,0.0
1459604918250,-8.23,7.240000000000001e-07
1459604918260,-8.23,0.0
1459604918270,-8.23,3.6200000000000004e-07
1459604918280,-8.23,0.0
1459604918290,-8.23,7.240000000000001e-07
1459604918300,-8.23,0.0
1459604918310,-8.23,7.240000000000001e-07
1459604918320,-8.23,0.0
1459604918330,-8.23,1.0859999999999999e-06
1459604918340,-8.23,0.0
1459604918350,-8.23,7.240000000000001e-07
1459604918360,-8.23,0.0
1459604918370,-8.23,3.6200000000000004e-07
1459604918380,-8.23,3.6200000000000004e-07
1459604918390,-8.23,7.240000000000001e-07
1459604918400,-8.23,3.6200000000000004e-07
1459604918410,-8.23,7.240000000000001e-07
1459604918420,-8.23,0.0
1459604918430,-8.23,1.0859999999999999e-06
1459604918440,-8.23,0.0
1459604918450,-8.23,3.6200000000000004e-07
1459604918460,-8.23,0.0
1459604918470,-8.23,3.6200000000000004e-07
1459604918480,-8.23,7.240000000000001e-07
1459604918490,-8.23,0.0
1459604918500,-8.23,3.6200000000000004e-07
1459604918510,-8.23,0.0
1459604918520,-8.23,0.0
1459604918530,-8.23,7.240000000000001e-07
1459604918540,-8.23,7.240000000000001e-07
1459604918550,-8.23,0.0
1459604918560,-8.23,0.0
1459604918570,-8.23,7.240000000000001e-07
1459604918580,-8.23,0.0
1459604918590,-8.23,3.6200000000000004e-07
1459604918600,-8.23,3.6200000000000004e-07
1459604918610,-8.23,7.240000000000001e-07
1459604918620,-8.23,0.0
1459604918630,-8.23,3.6200000000000004e-07
1459604918640,-8.23,3.6200000000000004e-07
1459604918650,-8.23,3.6200000000000004e-07
1459604918660,-8.23,0.0
1459604918670,-8.23,7.240000000000001e-07
1459604918680,-8.23,0.0
1459604918690,-8.23,1.0859999999999999e-06
1459604918700,-8.23,0.0
1459604918710,-8.23,3.6200000000000004e-07
1459604918720,-8.23,0.0
1459604918730,-8.23,3.6200000000000004e-07
1459604918740,-8.23,7.240000000000001e-07
1459604918750,-8.23,0.0
1459604918760,-8.23,3.6200000000000004e-07
