Timestamp,position,BLMTI.04L8.B2I10_TCLIA.4L8
1459605250430,-8.375,3.6200000000000004e-07
1459605250440,-8.375,0.0
1459605250450,-8.375,7.240000000000001e-07
1459605250460,-8.375,0.0
1459605250470,-8.375,0.0
1459605250480,-8.375,0.0
1459605250490,-8.375,3.6200000000000004e-07
1459605250500,-8.375,0.0
1459605250510,-8.375,1.4480000000000002e-06
1459605250520,-8.375,0.0
1459605250530,-8.375,0.0
1459605250540,-8.375,0.0
1459605250550,-8.375,0.0
1459605250560,-8.375,3.6200000000000004e-07
1459605250570,-8.375,0.0
1459605250580,-8.375,3.6200000000000004e-07
1459605250590,-8.375,3.6200000000000004e-07
1459605250600,-8.375,0.0
1459605250610,-8.375,0.0
1459605250620,-8.375,7.240000000000001e-07
1459605250630,-8.375,1.4480000000000002e-06
1459605250640,-8.375,0.0
1459605250650,-8.375,1.0859999999999999e-06
1459605250660,-8.375,3.6200000000000004e-07
1459605250670,-8.375,1.0859999999999999e-06
1459605250680,-8.375,0.0
1459605250690,-8.375,7.240000000000001e-07
1459605250700,-8.375,0.0
1459605250710,-8.375,0.0
1459605250720,-8.375,0.0
1459605250730,-8.375,0.0
1459605250740,-8.375,0.0
1459605250750,-8.375,0.0
1459605250760,-8.375,1.0859999999999999e-06
1459605250770,-8.375,0.0
1459605250780,-8.375,0.0
1459605250790,-8.375,0.0
1459605250800,-8.375,0.0
1459605250810,-8.375,0.0
1459605250820,-8.375,7.240000000000001e-07
1459605250830,-8.375,3.6200000000000004e-07
1459605250840,-8.375,0.0
1459605250850,-8.375,3.6200000000000004e-07
1459605250860,-8.375,7.240000000000001e-07
1459605250870,-8.375,0.0
1459605250880,-8.375,0.0
1459605250890,-8.375,3.6200000000000004e-07
1459605250900,-8.375,0.0
1459605250910,-8.375,1.4480000000000002e-06
1459605250920,-8.375,0.0
1459605250930,-8.375,0.0
1459605250940,-8.375,0.0
1459605250950,-8.375,7.240000000000001e-07
1459605250960,-8.375,0.0
1459605250970,-8.375,1.0859999999999999e-06
1459605250980,-8.375,0.0
1459605250990,-8.375,0.0
1459605251000,-8.375,3.6200000000000004e-07
1459605251010,-8.375,3.6200000000000004e-07
1459605251020,-8.375,1.4480000000000002e-06
1459605251030,-8.375,3.6200000000000004e-07
1459605251040,-8.375,0.0
1459605251050,-8.375,7.240000000000001e-07
1459605251060,-8.375,0.0
1459605251070,-8.375,0.0
1459605251080,-8.375,0.0
1459605251090,-8.375,0.0
1459605251100,-8.375,0.0
1459605251110,-8.375,1.0859999999999999e-06
1459605251120,-8.375,0.0
1459605251130,-8.375,3.6200000000000004e-07
1459605251140,-8.375,0.0
1459605251150,-8.375,1.4480000000000002e-06
1459605251160,-8.375,0.0
1459605251170,-8.375,3.6200000000000004e-07
1459605251180,-8.375,3.6200000000000004e-07
1459605251190,-8.375,3.6200000000000004e-07
1459605251200,-8.375,0.0
1459605251210,-8.375,0.0
1459605251220,-8.375,0.0
1459605251230,-8.375,1.81e-06
1459605251240,-8.375,0.0
1459605251250,-8.375,0.0
1459605251260,-8.375,0.0
1459605251270,-8.375,0.0
1459605251280,-8.375,0.0
1459605251290,-8.375,1.0859999999999999e-06
1459605251300,-8.375,7.240000000000001e-07
1459605251310,-8.375,0.0
1459605251320,-8.375,0.0
1459605251330,-8.375,3.6200000000000004e-07
1459605251340,-8.375,0.0
1459605251350,-8.375,0.0
1459605251360,-8.375,1.4480000000000002e-06
1459605251370,-8.375,1.0859999999999999e-06
1459605251380,-8.375,0.0
1459605251390,-8.375,0.0
1459605251400,-8.375,0.0
1459605251410,-8.375,0.0
1459605251420,-8.375,0.0
1459605251430,-8.375,0.0
1459605251440,-8.375,0.0
1459605251450,-8.375,0.0
1459605251460,-8.375,0.0
1459605251470,-8.375,3.6200000000000004e-07
1459605251480,-8.375,7.240000000000001e-07
1459605251490,-8.375,3.6200000000000004e-07
1459605251500,-8.375,7.240000000000001e-07
1459605251510,-8.375,0.0
1459605251520,-8.375,0.0
1459605251530,-8.375,7.240000000000001e-07
1459605251540,-8.375,0.0
1459605251550,-8.375,0.0
1459605251560,-8.375,3.6200000000000004e-07
1459605251570,-8.375,0.0
1459605251580,-8.375,0.0
1459605251590,-8.375,3.6200000000000004e-07
1459605251600,-8.375,0.0
1459605251610,-8.375,3.6200000000000004e-07
1459605251620,-8.375,3.6200000000000004e-07
1459605251630,-8.375,1.0859999999999999e-06
1459605251640,-8.375,0.0
1459605251650,-8.375,0.0
1459605251660,-8.375,0.0
1459605251670,-8.375,1.0859999999999999e-06
1459605251680,-8.375,0.0
1459605251690,-8.375,3.6200000000000004e-07
1459605251700,-8.375,1.4480000000000002e-06
1459605251710,-8.375,0.0
1459605251720,-8.375,7.240000000000001e-07
1459605251730,-8.375,3.6200000000000004e-07
1459605251740,-8.375,0.0
