Timestamp,position,BLMTI.04R1.B2I10_TCTPV.4R1.B2
1459605515110,-9.06,3.6200000000000004e-07
1459605515120,-9.06,1.0859999999999999e-06
1459605515130,-9.06,3.6200000000000004e-07
1459605515140,-9.06,2.1719999999999997e-06
1459605515150,-9.06,1.81e-06
1459605515160,-9.06,2.1719999999999997e-06
1459605515170,-9.06,0.0
1459605515180,-9.06,0.0
1459605515190,-9.06,0.0
1459605515200,-9.06,7.240000000000001e-07
1459605515210,-9.06,2.8960000000000003e-06
1459605515220,-9.06,0.0
1459605515230,-9.06,0.0
1459605515240,-9.06,0.0
1459605515250,-9.06,7.240000000000001e-07
1459605515260,-9.06,1.0859999999999999e-06
1459605515270,-9.06,3.6200000000000004e-07
1459605515280,-9.06,3.6200000000000004e-07
1459605515290,-9.06,7.240000000000001e-07
1459605515300,-9.06,7.240000000000001e-07
1459605515310,-9.06,0.0
1459605515320,-9.06,0.0
1459605515330,-9.06,0.0
1459605515340,-9.06,0.0
1459605515350,-9.06,0.0
1459605515360,-9.06,0.0
1459605515370,-9.06,0.0
1459605515380,-9.06,0.0
1459605515390,-9.06,0.0
1459605515400,-9.06,0.0
1459605515410,-9.06,2.5340000000000002e-06
1459605515420,-9.06,2.1719999999999997e-06
1459605515430,-9.06,0.0
1459605515440,-9.06,0.0
1459605515450,-9.06,0.0
1459605515460,-9.06,1.0859999999999999e-06
1459605515470,-9.06,1.0859999999999999e-06
1459605515480,-9.06,0.0
1459605515490,-9.06,0.0
1459605515500,-9.06,0.0
1459605515510,-9.06,7.240000000000001e-07
1459605515520,-9.06,7.240000000000001e-07
1459605515530,-9.06,1.4480000000000002e-06
1459605515540,-9.06,0.0
1459605515550,-9.06,0.0
1459605515560,-9.06,0.0
1459605515570,-9.06,0.0
1459605515580,-9.06,7.240000000000001e-07
1459605515590,-9.06,7.240000000000001e-07
1459605515600,-9.06,2.8960000000000003e-06
1459605515610,-9.06,2.8960000000000003e-06
1459605515620,-9.06,1.81e-06
1459605515630,-9.06,0.0
1459605515640,-9.06,0.0
1459605515650,-9.06,0.0
1459605515660,-9.06,0.0
1459605515670,-9.06,0.0
1459605515680,-9.06,3.6200000000000004e-07
1459605515690,-9.06,7.240000000000001e-07
1459605515700,-9.06,1.0859999999999999e-06
1459605515710,-9.06,7.240000000000001e-07
1459605515720,-9.06,0.0
1459605515730,-9.06,0.0
1459605515740,-9.06,0.0
1459605515750,-9.06,1.0859999999999999e-06
1459605515760,-9.06,1.81e-06
1459605515770,-9.06,3.6200000000000004e-07
1459605515780,-9.06,1.4480000000000002e-06
1459605515790,-9.06,3.6200000000000004e-07
1459605515800,-9.06,0.0
1459605515810,-9.06,0.0
1459605515820,-9.06,0.0
1459605515830,-9.06,0.0
1459605515840,-9.06,0.0
1459605515850,-9.06,0.0
1459605515860,-9.06,0.0
1459605515870,-9.06,0.0
1459605515880,-9.06,0.0
1459605515890,-9.06,0.0
1459605515900,-9.06,0.0
1459605515910,-9.06,0.0
1459605515920,-9.06,0.0
1459605515930,-9.06,6.154e-06
1459605515940,-9.06,0.0
1459605515950,-9.06,0.0
1459605515960,-9.06,3.6200000000000004e-07
1459605515970,-9.06,0.0
1459605515980,-9.06,0.0
1459605515990,-9.06,0.0
1459605516000,-9.06,0.0
1459605516010,-9.06,7.240000000000001e-07
1459605516020,-9.06,1.81e-06
1459605516030,-9.06,0.0
1459605516040,-9.06,1.0859999999999999e-06
1459605516050,-9.06,3.6200000000000004e-07
1459605516060,-9.06,3.6200000000000004e-07
1459605516070,-9.06,7.240000000000001e-07
1459605516080,-9.06,1.0859999999999999e-06
1459605516090,-9.06,0.0
1459605516100,-9.06,0.0
1459605516110,-9.06,0.0
1459605516120,-9.06,0.0
1459605516130,-9.06,0.0
1459605516140,-9.06,0.0
1459605516150,-9.06,0.0
1459605516160,-9.06,0.0
1459605516170,-9.06,0.0
1459605516180,-9.06,0.0
1459605516190,-9.06,1.0859999999999999e-06
1459605516200,-9.06,3.6200000000000004e-07
1459605516210,-9.06,7.240000000000001e-07
1459605516220,-9.06,1.4480000000000002e-06
1459605516230,-9.06,0.0
1459605516240,-9.06,7.240000000000001e-07
1459605516250,-9.06,0.0
1459605516260,-9.06,0.0
1459605516270,-9.06,7.240000000000001e-07
1459605516280,-9.06,0.0
1459605516290,-9.06,0.0
1459605516300,-9.06,3.6200000000000004e-07
1459605516310,-9.06,0.0
1459605516320,-9.06,7.240000000000001e-07
1459605516330,-9.06,7.240000000000001e-07
1459605516340,-9.06,1.0859999999999999e-06
1459605516350,-9.06,2.8960000000000003e-06
1459605516360,-9.06,7.240000000000001e-07
1459605516370,-9.06,1.4480000000000002e-06
1459605516380,-9.06,3.6200000000000004e-07
1459605516390,-9.06,3.6200000000000004e-07
1459605516400,-9.06,1.0859999999999999e-06
1459605516410,-9.06,7.240000000000001e-07
1459605516420,-9.06,7.240000000000001e-07
1459605516430,-9.06,0.0
1459605516440,-9.06,0.0
1459605516450,-9.06,0.0
1459605516460,-9.06,0.0
1459605516470,-9.06,0.0
1459605516480,-9.06,0.0
1459605516490,-9.06,0.0
1459605516500,-9.06,0.0
1459605516510,-9.06,0.0
1459605516520,-9.06,0.0
1459605516530,-9.06,0.0
1459605516540,-9.06,0.0
1459605516550,-9.06,0.0
1459605516560,-9.06,0.0
1459605516570,-9.06,0.0
1459605516580,-9.06,1.0859999999999999e-06
1459605516590,-9.06,3.6200000000000004e-07
1459605516600,-9.06,3.62e-06
1459605516610,-9.06,0.0
1459605516620,-9.06,0.0
1459605516630,-9.06,3.6200000000000004e-07
1459605516640,-9.06,0.0
1459605516650,-9.06,7.240000000000001e-07
1459605516660,-9.06,3.258e-06
1459605516670,-9.06,1.0859999999999999e-06
1459605516680,-9.06,7.240000000000001e-07
1459605516690,-9.06,0.0
1459605516700,-9.06,0.0
1459605516710,-9.06,3.6200000000000004e-07
1459605516720,-9.06,0.0
1459605516730,-9.06,0.0
1459605516740,-9.06,0.0
1459605516750,-9.06,1.0859999999999999e-06
1459605516760,-9.06,5.43e-06
1459605516770,-9.06,0.0
1459605516780,-9.06,0.0
1459605516790,-9.06,0.0
1459605516800,-9.06,0.0
1459605516810,-9.06,0.0
1459605516820,-9.06,0.0
1459605516830,-9.06,0.0
1459605516840,-9.06,0.0
1459605516850,-9.06,0.0
1459605516860,-9.06,0.0
1459605516870,-9.06,0.0
1459605516880,-9.06,0.0
1459605516890,-9.06,0.0
1459605516900,-9.06,0.0
1459605516910,-9.06,0.0
1459605516920,-9.06,0.0
1459605516930,-9.06,0.0
1459605516940,-9.06,3.6200000000000004e-07
1459605516950,-9.06,7.240000000000001e-07
1459605516960,-9.06,2.5340000000000002e-06
1459605516970,-9.06,0.0
1459605516980,-9.06,0.0
1459605516990,-9.06,0.0
1459605517000,-9.06,0.0
1459605517010,-9.06,0.0
1459605517020,-9.06,0.0
1459605517030,-9.06,2.5340000000000002e-06
1459605517040,-9.06,1.4480000000000002e-06
1459605517050,-9.06,7.240000000000001e-07
1459605517060,-9.06,3.6200000000000004e-07
1459605517070,-9.06,0.0
1459605517080,-9.06,0.0
1459605517090,-9.06,1.81e-06
1459605517100,-9.06,7.240000000000001e-07
1459605517110,-9.06,1.0859999999999999e-06
1459605517120,-9.06,0.0
1459605517130,-9.06,0.0
1459605517140,-9.06,1.0859999999999999e-06
1459605517150,-9.06,0.0
1459605517160,-9.06,0.0
1459605517170,-9.06,0.0
1459605517180,-9.06,0.0
1459605517190,-9.06,0.0
1459605517200,-9.06,0.0
1459605517210,-9.06,0.0
1459605517220,-9.06,0.0
1459605517230,-9.06,0.0
1459605517240,-9.06,0.0
1459605517250,-9.06,3.6200000000000004e-07
1459605517260,-9.06,3.6200000000000004e-07
1459605517270,-9.06,7.240000000000001e-07
1459605517280,-9.06,0.0
1459605517290,-9.06,2.5340000000000002e-06
1459605517300,-9.06,1.4480000000000002e-06
1459605517310,-9.06,7.240000000000001e-07
1459605517320,-9.06,3.6200000000000004e-07
1459605517330,-9.06,3.6200000000000004e-07
1459605517340,-9.06,3.258e-06
1459605517350,-9.06,0.0
1459605517360,-9.06,3.6200000000000004e-07
1459605517370,-9.06,0.0
1459605517380,-9.06,0.0
1459605517390,-9.06,0.0
1459605517400,-9.06,0.0
1459605517410,-9.06,0.0
1459605517420,-9.06,0.0
1459605517430,-9.06,0.0
1459605517440,-9.06,0.0
1459605517450,-9.06,0.0
1459605517460,-9.06,0.0
1459605517470,-9.06,0.0
1459605517480,-9.06,0.0
1459605517490,-9.06,2.5340000000000002e-06
1459605517500,-9.06,3.6200000000000004e-07
1459605517510,-9.06,1.0859999999999999e-06
1459605517520,-9.06,0.0
1459605517530,-9.06,2.5340000000000002e-06
1459605517540,-9.06,3.6200000000000004e-07
1459605517550,-9.06,0.0
1459605517560,-9.06,0.0
1459605517570,-9.06,0.0
1459605517580,-9.06,0.0
1459605517590,-9.06,0.0
1459605517600,-9.06,1.0859999999999999e-06
1459605517610,-9.06,3.6200000000000004e-07
1459605517620,-9.06,1.4480000000000002e-06
1459605517630,-9.06,0.0
1459605517640,-9.06,0.0
1459605517650,-9.06,0.0
1459605517660,-9.06,0.0
1459605517670,-9.06,1.81e-06
1459605517680,-9.06,1.0859999999999999e-06
1459605517690,-9.06,1.0859999999999999e-06
1459605517700,-9.06,1.0859999999999999e-06
1459605517710,-9.06,1.0859999999999999e-06
1459605517720,-9.06,0.0
1459605517730,-9.06,0.0
1459605517740,-9.06,0.0
1459605517750,-9.06,0.0
1459605517760,-9.06,0.0
1459605517770,-9.06,0.0
1459605517780,-9.06,0.0
1459605517790,-9.06,0.0
1459605517800,-9.06,7.240000000000001e-07
1459605517810,-9.06,3.6200000000000004e-07
1459605517820,-9.06,0.0
1459605517830,-9.06,0.0
1459605517840,-9.06,3.6200000000000004e-07
1459605517850,-9.06,2.1719999999999997e-06
1459605517860,-9.06,3.6200000000000004e-07
1459605517870,-9.06,0.0
1459605517880,-9.06,0.0
1459605517890,-9.06,0.0
1459605517900,-9.06,0.0
1459605517910,-9.06,7.240000000000001e-07
1459605517920,-9.06,1.81e-06
1459605517930,-9.06,0.0
1459605517940,-9.06,1.81e-06
1459605517950,-9.06,0.0
1459605517960,-9.06,1.0859999999999999e-06
1459605517970,-9.06,3.6200000000000004e-07
1459605517980,-9.06,1.0859999999999999e-06
1459605517990,-9.06,7.240000000000001e-07
1459605518000,-9.06,7.240000000000001e-07
1459605518010,-9.06,0.0
1459605518020,-9.06,0.0
1459605518030,-9.06,0.0
1459605518040,-9.06,3.6200000000000004e-07
1459605518050,-9.06,1.4480000000000002e-06
1459605518060,-9.06,3.6200000000000004e-07
1459605518070,-9.06,0.0
1459605518080,-9.06,0.0
1459605518090,-9.06,0.0
1459605518100,-9.06,0.0
1459605518110,-9.06,0.0
1459605518120,-9.06,0.0
1459605518130,-9.06,0.0
1459605518140,-9.06,0.0
1459605518150,-9.06,1.4480000000000002e-06
1459605518160,-9.06,0.0
1459605518170,-9.06,2.5340000000000002e-06
1459605518180,-9.06,0.0
1459605518190,-9.06,1.0859999999999999e-06
1459605518200,-9.06,3.6200000000000004e-07
1459605518210,-9.06,1.0859999999999999e-06
1459605518220,-9.06,0.0
1459605518230,-9.06,7.240000000000001e-07
1459605518240,-9.06,1.0859999999999999e-06
1459605518250,-9.06,7.240000000000001e-07
1459605518260,-9.06,1.81e-06
1459605518270,-9.06,1.0859999999999999e-06
1459605518280,-9.06,1.0859999999999999e-06
1459605518290,-9.06,0.0
1459605518300,-9.06,7.240000000000001e-07
1459605518310,-9.06,7.240000000000001e-07
1459605518320,-9.06,7.240000000000001e-07
1459605518330,-9.06,0.0
1459605518340,-9.06,0.0
1459605518350,-9.06,0.0
1459605518360,-9.06,7.240000000000001e-07
1459605518370,-9.06,1.0859999999999999e-06
1459605518380,-9.06,0.0
1459605518390,-9.06,0.0
