Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1459605970030,-9.625,3.6200000000000004e-07
1459605970040,-9.625,0.0
1459605970050,-9.625,7.240000000000001e-07
1459605970060,-9.625,7.240000000000001e-07
1459605970070,-9.625,3.6200000000000004e-07
1459605970080,-9.625,3.6200000000000004e-07
1459605970090,-9.625,0.0
1459605970100,-9.625,3.6200000000000004e-07
1459605970110,-9.625,0.0
1459605970120,-9.625,3.6200000000000004e-07
1459605970130,-9.625,3.6200000000000004e-07
1459605970140,-9.625,7.240000000000001e-07
1459605970150,-9.625,0.0
1459605970160,-9.625,0.0
1459605970170,-9.625,3.6200000000000004e-07
1459605970180,-9.625,3.6200000000000004e-07
1459605970190,-9.625,7.240000000000001e-07
1459605970200,-9.625,3.6200000000000004e-07
1459605970210,-9.625,0.0
1459605970220,-9.625,0.0
1459605970230,-9.625,7.240000000000001e-07
1459605970240,-9.625,7.240000000000001e-07
1459605970250,-9.625,3.6200000000000004e-07
1459605970260,-9.625,3.6200000000000004e-07
1459605970270,-9.625,0.0
1459605970280,-9.625,7.240000000000001e-07
1459605970290,-9.625,1.0859999999999999e-06
1459605970300,-9.625,3.6200000000000004e-07
1459605970310,-9.625,3.6200000000000004e-07
1459605970320,-9.625,7.240000000000001e-07
1459605970330,-9.625,7.240000000000001e-07
1459605970340,-9.625,0.0
1459605970350,-9.625,1.0859999999999999e-06
1459605970360,-9.625,0.0
1459605970370,-9.625,3.6200000000000004e-07
1459605970380,-9.625,0.0
1459605970390,-9.625,7.240000000000001e-07
1459605970400,-9.625,0.0
1459605970410,-9.625,7.240000000000001e-07
1459605970420,-9.625,3.6200000000000004e-07
1459605970430,-9.625,3.6200000000000004e-07
1459605970440,-9.625,3.6200000000000004e-07
1459605970450,-9.625,3.6200000000000004e-07
1459605970460,-9.625,0.0
1459605970470,-9.625,3.6200000000000004e-07
1459605970480,-9.625,0.0
1459605970490,-9.625,7.240000000000001e-07
1459605970500,-9.625,3.6200000000000004e-07
1459605970510,-9.625,1.0859999999999999e-06
1459605970520,-9.625,0.0
1459605970530,-9.625,0.0
1459605970540,-9.625,7.240000000000001e-07
1459605970550,-9.625,1.0859999999999999e-06
1459605970560,-9.625,0.0
1459605970570,-9.625,0.0
1459605970580,-9.625,7.240000000000001e-07
1459605970590,-9.625,3.6200000000000004e-07
1459605970600,-9.625,0.0
1459605970610,-9.625,7.240000000000001e-07
1459605970620,-9.625,3.6200000000000004e-07
1459605970630,-9.625,0.0
1459605970640,-9.625,3.6200000000000004e-07
1459605970650,-9.625,1.0859999999999999e-06
1459605970660,-9.625,0.0
1459605970670,-9.625,3.6200000000000004e-07
1459605970680,-9.625,3.6200000000000004e-07
1459605970690,-9.625,3.6200000000000004e-07
1459605970700,-9.625,7.240000000000001e-07
1459605970710,-9.625,3.6200000000000004e-07
1459605970720,-9.625,0.0
1459605970730,-9.625,3.6200000000000004e-07
1459605970740,-9.625,3.6200000000000004e-07
1459605970750,-9.625,3.6200000000000004e-07
1459605970760,-9.625,0.0
