Timestamp,position,BLMTI.04L1.B1I10_TCTPV.4L1.B1
1459606727520,-6.88,1.81e-06
1459606727530,-6.88,4.706e-06
1459606727540,-6.88,2.8960000000000003e-06
1459606727550,-6.88,3.6200000000000004e-07
1459606727560,-6.88,2.1719999999999997e-06
1459606727570,-6.88,1.4480000000000002e-06
1459606727580,-6.88,2.5340000000000002e-06
1459606727590,-6.88,0.0
1459606727600,-6.88,2.8960000000000003e-06
1459606727610,-6.88,3.6200000000000004e-07
1459606727620,-6.88,2.5340000000000002e-06
1459606727630,-6.88,3.6200000000000004e-07
1459606727640,-6.88,3.62e-06
1459606727650,-6.88,1.0859999999999999e-06
1459606727660,-6.88,7.240000000000001e-07
1459606727670,-6.88,7.240000000000001e-07
1459606727680,-6.88,7.240000000000001e-07
1459606727690,-6.88,3.6200000000000004e-07
1459606727700,-6.88,1.4480000000000002e-06
1459606727710,-6.88,0.0
1459606727720,-6.88,7.240000000000001e-07
1459606727730,-6.88,3.6200000000000004e-07
1459606727740,-6.88,0.0
1459606727750,-6.88,1.4480000000000002e-06
1459606727760,-6.88,1.0859999999999999e-06
1459606727770,-6.88,0.0
1459606727780,-6.88,1.0859999999999999e-06
1459606727790,-6.88,0.0
1459606727800,-6.88,1.0859999999999999e-06
1459606727810,-6.88,0.0
1459606727820,-6.88,3.6200000000000004e-07
1459606727830,-6.88,7.240000000000001e-07
1459606727840,-6.88,3.6200000000000004e-07
1459606727850,-6.88,7.240000000000001e-07
1459606727860,-6.88,1.4480000000000002e-06
1459606727870,-6.88,0.0
1459606727880,-6.88,3.6200000000000004e-07
1459606727890,-6.88,0.0
1459606727900,-6.88,0.0
1459606727910,-6.88,0.0
1459606727920,-6.88,0.0
1459606727930,-6.88,0.0
1459606727940,-6.88,0.0
1459606727950,-6.88,0.0
1459606727960,-6.88,7.240000000000001e-07
1459606727970,-6.88,3.6200000000000004e-07
1459606727980,-6.88,1.4480000000000002e-06
1459606727990,-6.88,7.240000000000001e-07
1459606728000,-6.88,3.6200000000000004e-07
1459606728010,-6.88,3.6200000000000004e-07
1459606728020,-6.88,1.81e-06
1459606728030,-6.88,0.0
1459606728040,-6.88,1.81e-06
1459606728050,-6.88,3.6200000000000004e-07
1459606728060,-6.88,2.8960000000000003e-06
1459606728070,-6.88,1.4480000000000002e-06
1459606728080,-6.88,4.706e-06
1459606728090,-6.88,1.81e-06
1459606728100,-6.88,5.43e-06
1459606728110,-6.88,1.81e-06
1459606728120,-6.88,5.792000000000001e-06
1459606728130,-6.88,1.4480000000000002e-06
1459606728140,-6.88,5.792000000000001e-06
1459606728150,-6.88,3.982e-06
1459606728160,-6.88,3.258e-06
1459606728170,-6.88,3.6200000000000004e-07
1459606728180,-6.88,1.4480000000000002e-06
1459606728190,-6.88,0.0
1459606728200,-6.88,3.6200000000000004e-07
1459606728210,-6.88,3.6200000000000004e-07
1459606728220,-6.88,7.240000000000001e-07
1459606728230,-6.88,0.0
1459606728240,-6.88,1.0859999999999999e-06
1459606728250,-6.88,0.0
1459606728260,-6.88,0.0
1459606728270,-6.88,3.6200000000000004e-07
1459606728280,-6.88,1.0859999999999999e-06
1459606728290,-6.88,0.0
1459606728300,-6.88,2.1719999999999997e-06
1459606728310,-6.88,3.6200000000000004e-07
1459606728320,-6.88,1.0859999999999999e-06
1459606728330,-6.88,3.6200000000000004e-07
1459606728340,-6.88,1.0859999999999999e-06
1459606728350,-6.88,0.0
1459606728360,-6.88,3.6200000000000004e-07
1459606728370,-6.88,0.0
1459606728380,-6.88,1.81e-06
1459606728390,-6.88,0.0
1459606728400,-6.88,1.0859999999999999e-06
1459606728410,-6.88,3.6200000000000004e-07
1459606728420,-6.88,7.240000000000001e-07
1459606728430,-6.88,3.6200000000000004e-07
1459606728440,-6.88,0.0
1459606728450,-6.88,3.6200000000000004e-07
1459606728460,-6.88,3.6200000000000004e-07
1459606728470,-6.88,0.0
1459606728480,-6.88,1.0859999999999999e-06
1459606728490,-6.88,0.0
1459606728500,-6.88,0.0
1459606728510,-6.88,3.6200000000000004e-07
1459606728520,-6.88,0.0
1459606728530,-6.88,0.0
1459606728540,-6.88,0.0
1459606728550,-6.88,0.0
1459606728560,-6.88,7.240000000000001e-07
1459606728570,-6.88,3.6200000000000004e-07
1459606728580,-6.88,1.81e-06
1459606728590,-6.88,7.240000000000001e-07
1459606728600,-6.88,3.258e-06
1459606728610,-6.88,3.6200000000000004e-07
1459606728620,-6.88,1.81e-06
1459606728630,-6.88,0.0
1459606728640,-6.88,1.81e-06
1459606728650,-6.88,0.0
1459606728660,-6.88,1.0859999999999999e-06
1459606728670,-6.88,0.0
1459606728680,-6.88,1.4480000000000002e-06
1459606728690,-6.88,3.6200000000000004e-07
1459606728700,-6.88,7.240000000000001e-07
1459606728710,-6.88,0.0
1459606728720,-6.88,1.4480000000000002e-06
1459606728730,-6.88,3.6200000000000004e-07
1459606728740,-6.88,8.326e-06
1459606728750,-6.88,7.240000000000001e-07
1459606728760,-6.88,3.62e-06
1459606728770,-6.88,1.4480000000000002e-06
1459606728780,-6.88,2.5340000000000002e-06
1459606728790,-6.88,7.240000000000001e-07
1459606728800,-6.88,1.81e-06
1459606728810,-6.88,3.6200000000000004e-07
1459606728820,-6.88,1.0859999999999999e-06
1459606728830,-6.88,0.0
1459606728840,-6.88,1.0859999999999999e-06
1459606728850,-6.88,0.0
1459606728860,-6.88,0.0
1459606728870,-6.88,7.240000000000001e-07
1459606728880,-6.88,7.240000000000001e-07
1459606728890,-6.88,0.0
1459606728900,-6.88,1.4480000000000002e-06
1459606728910,-6.88,1.4480000000000002e-06
1459606728920,-6.88,1.4480000000000002e-06
1459606728930,-6.88,3.6200000000000004e-07
1459606728940,-6.88,0.0
1459606728950,-6.88,0.0
1459606728960,-6.88,1.4480000000000002e-06
1459606728970,-6.88,3.6200000000000004e-07
1459606728980,-6.88,0.0
1459606728990,-6.88,3.6200000000000004e-07
1459606729000,-6.88,2.8960000000000003e-06
1459606729010,-6.88,3.6200000000000004e-07
1459606729020,-6.88,1.81e-06
1459606729030,-6.88,1.4480000000000002e-06
1459606729040,-6.88,2.5340000000000002e-06
1459606729050,-6.88,3.6200000000000004e-07
1459606729060,-6.88,1.81e-06
1459606729070,-6.88,0.0
1459606729080,-6.88,0.0
1459606729090,-6.88,0.0
1459606729100,-6.88,2.8960000000000003e-06
1459606729110,-6.88,0.0
1459606729120,-6.88,5.792000000000001e-06
1459606729130,-6.88,2.8960000000000003e-06
1459606729140,-6.88,7.24e-06
1459606729150,-6.88,4.343999999999999e-06
1459606729160,-6.88,1.2308e-05
1459606729170,-6.88,1.7014e-05
1459606729180,-6.88,1.6652e-05
1459606729190,-6.88,1.0498e-05
1459606729200,-6.88,1.0498e-05
1459606729210,-6.88,9.412e-06
1459606729220,-6.88,1.0136000000000001e-05
1459606729230,-6.88,1.086e-05
1459606729240,-6.88,8.326e-06
1459606729250,-6.88,6.516e-06
1459606729260,-6.88,5.0680000000000004e-06
1459606729270,-6.88,2.8960000000000003e-06
1459606729280,-6.88,4.706e-06
1459606729290,-6.88,5.0680000000000004e-06
1459606729300,-6.88,2.5340000000000002e-06
1459606729310,-6.88,3.6200000000000004e-07
1459606729320,-6.88,1.0859999999999999e-06
1459606729330,-6.88,3.6200000000000004e-07
1459606729340,-6.88,0.0
1459606729350,-6.88,7.240000000000001e-07
1459606729360,-6.88,0.0
1459606729370,-6.88,3.6200000000000004e-07
1459606729380,-6.88,7.240000000000001e-07
1459606729390,-6.88,3.6200000000000004e-07
1459606729400,-6.88,7.240000000000001e-07
1459606729410,-6.88,0.0
1459606729420,-6.88,1.0859999999999999e-06
1459606729430,-6.88,7.240000000000001e-07
1459606729440,-6.88,3.6200000000000004e-07
1459606729450,-6.88,7.240000000000001e-07
1459606729460,-6.88,1.0859999999999999e-06
1459606729470,-6.88,0.0
1459606729480,-6.88,1.4480000000000002e-06
1459606729490,-6.88,1.0859999999999999e-06
1459606729500,-6.88,2.5340000000000002e-06
1459606729510,-6.88,7.240000000000001e-07
1459606729520,-6.88,2.1719999999999997e-06
1459606729530,-6.88,3.6200000000000004e-07
1459606729540,-6.88,7.240000000000001e-07
1459606729550,-6.88,3.6200000000000004e-07
1459606729560,-6.88,3.6200000000000004e-07
1459606729570,-6.88,0.0
1459606729580,-6.88,1.81e-06
1459606729590,-6.88,0.0
1459606729600,-6.88,7.240000000000001e-07
1459606729610,-6.88,7.240000000000001e-07
1459606729620,-6.88,7.240000000000001e-07
1459606729630,-6.88,0.0
1459606729640,-6.88,0.0
1459606729650,-6.88,0.0
1459606729660,-6.88,0.0
1459606729670,-6.88,0.0
1459606729680,-6.88,0.0
1459606729690,-6.88,3.6200000000000004e-07
1459606729700,-6.88,7.240000000000001e-07
1459606729710,-6.88,7.240000000000001e-07
1459606729720,-6.88,3.6200000000000004e-07
1459606729730,-6.88,3.6200000000000004e-07
1459606729740,-6.88,3.6200000000000004e-07
1459606729750,-6.88,0.0
1459606729760,-6.88,1.4480000000000002e-06
1459606729770,-6.88,0.0
1459606729780,-6.88,0.0
1459606729790,-6.88,3.6200000000000004e-07
1459606729800,-6.88,1.0859999999999999e-06
1459606729810,-6.88,0.0
1459606729820,-6.88,1.4480000000000002e-06
1459606729830,-6.88,7.240000000000001e-07
1459606729840,-6.88,1.0859999999999999e-06
1459606729850,-6.88,0.0
1459606729860,-6.88,0.0
1459606729870,-6.88,0.0
1459606729880,-6.88,0.0
1459606729890,-6.88,3.6200000000000004e-07
1459606729900,-6.88,7.964e-06
1459606729910,-6.88,1.0859999999999999e-06
1459606729920,-6.88,1.0859999999999999e-06
1459606729930,-6.88,7.240000000000001e-07
1459606729940,-6.88,1.4480000000000002e-06
