Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1459607122910,-7.685,0.0
1459607122920,-7.685,1.4480000000000002e-06
1459607122930,-7.685,7.240000000000001e-07
1459607122940,-7.685,1.81e-06
1459607122950,-7.685,3.6200000000000004e-07
1459607122960,-7.685,1.4480000000000002e-06
1459607122970,-7.685,7.240000000000001e-07
1459607122980,-7.685,1.4480000000000002e-06
1459607122990,-7.685,3.6200000000000004e-07
1459607123000,-7.685,7.240000000000001e-07
1459607123010,-7.685,3.6200000000000004e-07
1459607123020,-7.685,1.4480000000000002e-06
1459607123030,-7.685,3.6200000000000004e-07
1459607123040,-7.685,1.0859999999999999e-06
1459607123050,-7.685,7.240000000000001e-07
1459607123060,-7.685,1.0859999999999999e-06
1459607123070,-7.685,0.0
1459607123080,-7.685,7.240000000000001e-07
1459607123090,-7.685,3.6200000000000004e-07
1459607123100,-7.685,1.4480000000000002e-06
1459607123110,-7.685,3.6200000000000004e-07
1459607123120,-7.685,1.4480000000000002e-06
1459607123130,-7.685,0.0
1459607123140,-7.685,1.81e-06
1459607123150,-7.685,0.0
1459607123160,-7.685,1.0859999999999999e-06
1459607123170,-7.685,3.6200000000000004e-07
1459607123180,-7.685,3.6200000000000004e-07
1459607123190,-7.685,3.6200000000000004e-07
1459607123200,-7.685,1.0859999999999999e-06
1459607123210,-7.685,3.6200000000000004e-07
1459607123220,-7.685,1.4480000000000002e-06
1459607123230,-7.685,0.0
1459607123240,-7.685,1.4480000000000002e-06
1459607123250,-7.685,3.6200000000000004e-07
1459607123260,-7.685,1.81e-06
1459607123270,-7.685,3.6200000000000004e-07
1459607123280,-7.685,1.81e-06
1459607123290,-7.685,1.0859999999999999e-06
1459607123300,-7.685,1.0859999999999999e-06
1459607123310,-7.685,3.6200000000000004e-07
1459607123320,-7.685,1.4480000000000002e-06
1459607123330,-7.685,7.240000000000001e-07
1459607123340,-7.685,1.81e-06
1459607123350,-7.685,1.0859999999999999e-06
1459607123360,-7.685,7.240000000000001e-07
1459607123370,-7.685,3.6200000000000004e-07
1459607123380,-7.685,2.1719999999999997e-06
1459607123390,-7.685,7.240000000000001e-07
1459607123400,-7.685,1.81e-06
1459607123410,-7.685,0.0
1459607123420,-7.685,1.4480000000000002e-06
1459607123430,-7.685,3.6200000000000004e-07
1459607123440,-7.685,1.4480000000000002e-06
1459607123450,-7.685,7.240000000000001e-07
1459607123460,-7.685,1.81e-06
1459607123470,-7.685,1.4480000000000002e-06
1459607123480,-7.685,2.5340000000000002e-06
1459607123490,-7.685,3.6200000000000004e-07
1459607123500,-7.685,3.258e-06
1459607123510,-7.685,1.4480000000000002e-06
1459607123520,-7.685,2.8960000000000003e-06
1459607123530,-7.685,3.6200000000000004e-07
1459607123540,-7.685,2.5340000000000002e-06
1459607123550,-7.685,7.240000000000001e-07
1459607123560,-7.685,1.81e-06
1459607123570,-7.685,3.6200000000000004e-07
1459607123580,-7.685,1.0859999999999999e-06
1459607123590,-7.685,3.6200000000000004e-07
1459607123600,-7.685,1.0859999999999999e-06
1459607123610,-7.685,0.0
1459607123620,-7.685,1.81e-06
1459607123630,-7.685,7.240000000000001e-07
1459607123640,-7.685,1.0859999999999999e-06
1459607123650,-7.685,0.0
1459607123660,-7.685,1.81e-06
1459607123670,-7.685,0.0
1459607123680,-7.685,1.4480000000000002e-06
1459607123690,-7.685,3.6200000000000004e-07
1459607123700,-7.685,1.0859999999999999e-06
1459607123710,-7.685,7.240000000000001e-07
1459607123720,-7.685,1.4480000000000002e-06
1459607123730,-7.685,7.240000000000001e-07
1459607123740,-7.685,2.1719999999999997e-06
1459607123750,-7.685,3.6200000000000004e-07
1459607123760,-7.685,1.4480000000000002e-06
1459607123770,-7.685,3.6200000000000004e-07
1459607123780,-7.685,7.240000000000001e-07
1459607123790,-7.685,7.240000000000001e-07
1459607123800,-7.685,1.81e-06
1459607123810,-7.685,3.6200000000000004e-07
1459607123820,-7.685,7.240000000000001e-07
1459607123830,-7.685,1.0859999999999999e-06
1459607123840,-7.685,1.0859999999999999e-06
1459607123850,-7.685,0.0
1459607123860,-7.685,1.4480000000000002e-06
1459607123870,-7.685,3.6200000000000004e-07
1459607123880,-7.685,1.0859999999999999e-06
1459607123890,-7.685,0.0
1459607123900,-7.685,7.240000000000001e-07
1459607123910,-7.685,1.0859999999999999e-06
1459607123920,-7.685,1.0859999999999999e-06
1459607123930,-7.685,0.0
1459607123940,-7.685,1.0859999999999999e-06
1459607123950,-7.685,3.6200000000000004e-07
1459607123960,-7.685,7.240000000000001e-07
1459607123970,-7.685,3.6200000000000004e-07
