Timestamp,position,BLMTI.06R7.B2I10_TCSG.A6R7.B2
1459607508210,-6.66,7.240000000000001e-07
1459607508220,-6.66,1.0859999999999999e-06
1459607508230,-6.66,1.4480000000000002e-06
1459607508240,-6.66,1.0859999999999999e-06
1459607508250,-6.66,7.240000000000001e-07
1459607508260,-6.66,3.6200000000000004e-07
1459607508270,-6.66,1.4480000000000002e-06
1459607508280,-6.66,1.0859999999999999e-06
1459607508290,-6.66,1.0859999999999999e-06
1459607508300,-6.66,1.4480000000000002e-06
1459607508310,-6.66,7.240000000000001e-07
1459607508320,-6.66,1.4480000000000002e-06
1459607508330,-6.66,1.0859999999999999e-06
1459607508340,-6.66,1.0859999999999999e-06
1459607508350,-6.66,1.0859999999999999e-06
1459607508360,-6.66,2.1719999999999997e-06
1459607508370,-6.66,7.240000000000001e-07
1459607508380,-6.66,1.0859999999999999e-06
1459607508390,-6.66,1.81e-06
1459607508400,-6.66,1.4480000000000002e-06
1459607508410,-6.66,1.0859999999999999e-06
1459607508420,-6.66,7.240000000000001e-07
1459607508430,-6.66,1.0859999999999999e-06
1459607508440,-6.66,2.1719999999999997e-06
1459607508450,-6.66,2.1719999999999997e-06
1459607508460,-6.66,2.1719999999999997e-06
1459607508470,-6.66,1.4480000000000002e-06
1459607508480,-6.66,1.81e-06
1459607508490,-6.66,1.4480000000000002e-06
1459607508500,-6.66,1.81e-06
1459607508510,-6.66,1.4480000000000002e-06
1459607508520,-6.66,1.4480000000000002e-06
1459607508530,-6.66,1.0859999999999999e-06
1459607508540,-6.66,1.0859999999999999e-06
1459607508550,-6.66,1.4480000000000002e-06
1459607508560,-6.66,1.4480000000000002e-06
1459607508570,-6.66,1.0859999999999999e-06
1459607508580,-6.66,1.4480000000000002e-06
1459607508590,-6.66,7.240000000000001e-07
1459607508600,-6.66,7.240000000000001e-07
1459607508610,-6.66,1.0859999999999999e-06
1459607508620,-6.66,1.0859999999999999e-06
1459607508630,-6.66,7.240000000000001e-07
1459607508640,-6.66,7.240000000000001e-07
1459607508650,-6.66,3.6200000000000004e-07
1459607508660,-6.66,1.81e-06
1459607508670,-6.66,7.240000000000001e-07
1459607508680,-6.66,1.0859999999999999e-06
1459607508690,-6.66,1.0859999999999999e-06
1459607508700,-6.66,1.81e-06
1459607508710,-6.66,1.4480000000000002e-06
1459607508720,-6.66,1.4480000000000002e-06
1459607508730,-6.66,7.240000000000001e-07
1459607508740,-6.66,1.0859999999999999e-06
1459607508750,-6.66,7.240000000000001e-07
1459607508760,-6.66,1.4480000000000002e-06
1459607508770,-6.66,7.240000000000001e-07
1459607508780,-6.66,1.81e-06
