Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1459607653460,-6.98,0.0
1459607653470,-6.98,3.6200000000000004e-07
1459607653480,-6.98,0.0
1459607653490,-6.98,1.0859999999999999e-06
1459607653500,-6.98,0.0
1459607653510,-6.98,1.0859999999999999e-06
1459607653520,-6.98,0.0
1459607653530,-6.98,3.6200000000000004e-07
1459607653540,-6.98,1.4480000000000002e-06
1459607653550,-6.98,7.240000000000001e-07
1459607653560,-6.98,0.0
1459607653570,-6.98,0.0
1459607653580,-6.98,1.4480000000000002e-06
1459607653590,-6.98,0.0
1459607653600,-6.98,0.0
1459607653610,-6.98,7.240000000000001e-07
1459607653620,-6.98,0.0
1459607653630,-6.98,7.240000000000001e-07
1459607653640,-6.98,2.1719999999999997e-06
1459607653650,-6.98,7.240000000000001e-07
1459607653660,-6.98,0.0
1459607653670,-6.98,0.0
1459607653680,-6.98,0.0
1459607653690,-6.98,0.0
1459607653700,-6.98,1.4480000000000002e-06
1459607653710,-6.98,1.4480000000000002e-06
1459607653720,-6.98,0.0
1459607653730,-6.98,0.0
1459607653740,-6.98,0.0
1459607653750,-6.98,1.4480000000000002e-06
1459607653760,-6.98,0.0
1459607653770,-6.98,0.0
1459607653780,-6.98,0.0
1459607653790,-6.98,0.0
1459607653800,-6.98,0.0
1459607653810,-6.98,7.240000000000001e-07
1459607653820,-6.98,3.6200000000000004e-07
1459607653830,-6.98,1.4480000000000002e-06
1459607653840,-6.98,1.4480000000000002e-06
1459607653850,-6.98,7.240000000000001e-07
1459607653860,-6.98,0.0
1459607653870,-6.98,1.4480000000000002e-06
1459607653880,-6.98,0.0
1459607653890,-6.98,4.706e-06
1459607653900,-6.98,0.0
1459607653910,-6.98,1.0859999999999999e-06
1459607653920,-6.98,0.0
1459607653930,-6.98,1.4480000000000002e-06
1459607653940,-6.98,0.0
1459607653950,-6.98,7.240000000000001e-07
1459607653960,-6.98,0.0
1459607653970,-6.98,1.4480000000000002e-06
1459607653980,-6.98,0.0
1459607653990,-6.98,1.4480000000000002e-06
1459607654000,-6.98,0.0
1459607654010,-6.98,1.0859999999999999e-06
1459607654020,-6.98,0.0
1459607654030,-6.98,0.0
1459607654040,-6.98,0.0
1459607654050,-6.98,7.240000000000001e-07
1459607654060,-6.98,0.0
1459607654070,-6.98,7.240000000000001e-07
1459607654080,-6.98,0.0
1459607654090,-6.98,1.0859999999999999e-06
1459607654100,-6.98,0.0
1459607654110,-6.98,0.0
1459607654120,-6.98,0.0
1459607654130,-6.98,0.0
1459607654140,-6.98,0.0
1459607654150,-6.98,0.0
1459607654160,-6.98,0.0
1459607654170,-6.98,0.0
1459607654180,-6.98,0.0
1459607654190,-6.98,0.0
1459607654200,-6.98,1.0859999999999999e-06
1459607654210,-6.98,1.81e-06
1459607654220,-6.98,0.0
1459607654230,-6.98,7.240000000000001e-07
1459607654240,-6.98,0.0
1459607654250,-6.98,0.0
1459607654260,-6.98,0.0
1459607654270,-6.98,7.240000000000001e-07
1459607654280,-6.98,0.0
1459607654290,-6.98,1.81e-06
1459607654300,-6.98,0.0
1459607654310,-6.98,1.4480000000000002e-06
1459607654320,-6.98,0.0
1459607654330,-6.98,1.0859999999999999e-06
1459607654340,-6.98,0.0
1459607654350,-6.98,1.81e-06
1459607654360,-6.98,0.0
1459607654370,-6.98,0.0
1459607654380,-6.98,0.0
1459607654390,-6.98,3.6200000000000004e-07
1459607654400,-6.98,0.0
1459607654410,-6.98,7.240000000000001e-07
1459607654420,-6.98,0.0
1459607654430,-6.98,1.81e-06
1459607654440,-6.98,0.0
1459607654450,-6.98,1.0859999999999999e-06
1459607654460,-6.98,0.0
1459607654470,-6.98,3.6200000000000004e-07
1459607654480,-6.98,1.0859999999999999e-06
1459607654490,-6.98,0.0
1459607654500,-6.98,0.0
1459607654510,-6.98,0.0
1459607654520,-6.98,0.0
1459607654530,-6.98,1.0859999999999999e-06
1459607654540,-6.98,0.0
1459607654550,-6.98,2.1719999999999997e-06
1459607654560,-6.98,0.0
1459607654570,-6.98,0.0
1459607654580,-6.98,0.0
1459607654590,-6.98,3.982e-06
1459607654600,-6.98,0.0
1459607654610,-6.98,0.0
1459607654620,-6.98,0.0
1459607654630,-6.98,3.6200000000000004e-07
1459607654640,-6.98,2.5340000000000002e-06
1459607654650,-6.98,1.81e-06
1459607654660,-6.98,0.0
1459607654670,-6.98,2.5340000000000002e-06
1459607654680,-6.98,0.0
1459607654690,-6.98,3.6200000000000004e-07
1459607654700,-6.98,0.0
1459607654710,-6.98,1.4480000000000002e-06
1459607654720,-6.98,0.0
1459607654730,-6.98,0.0
1459607654740,-6.98,0.0
1459607654750,-6.98,3.6200000000000004e-07
1459607654760,-6.98,0.0
1459607654770,-6.98,3.6200000000000004e-07
1459607654780,-6.98,7.240000000000001e-07
1459607654790,-6.98,1.81e-06
1459607654800,-6.98,0.0
1459607654810,-6.98,0.0
1459607654820,-6.98,0.0
1459607654830,-6.98,0.0
