Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608100950,-8.715,1.4480000000000002e-06
1459608100960,-8.715,1.4480000000000002e-06
1459608100970,-8.715,1.81e-06
1459608100980,-8.715,3.6200000000000004e-07
1459608100990,-8.715,1.81e-06
1459608101000,-8.715,1.4480000000000002e-06
1459608101010,-8.715,1.4480000000000002e-06
1459608101020,-8.715,2.1719999999999997e-06
1459608101030,-8.715,1.0859999999999999e-06
1459608101040,-8.715,3.6200000000000004e-07
1459608101050,-8.715,2.5340000000000002e-06
1459608101060,-8.715,1.0859999999999999e-06
1459608101070,-8.715,2.8960000000000003e-06
1459608101080,-8.715,1.0859999999999999e-06
1459608101090,-8.715,1.81e-06
1459608101100,-8.715,2.1719999999999997e-06
1459608101110,-8.715,2.8960000000000003e-06
1459608101120,-8.715,1.81e-06
1459608101130,-8.715,1.81e-06
1459608101140,-8.715,2.1719999999999997e-06
1459608101150,-8.715,1.0859999999999999e-06
1459608101160,-8.715,2.1719999999999997e-06
1459608101170,-8.715,1.81e-06
1459608101180,-8.715,1.4480000000000002e-06
1459608101190,-8.715,2.5340000000000002e-06
1459608101200,-8.715,4.343999999999999e-06
1459608101210,-8.715,3.982e-06
1459608101220,-8.715,4.706e-06
1459608101230,-8.715,6.516e-06
1459608101240,-8.715,5.43e-06
1459608101250,-8.715,7.24e-06
1459608101260,-8.715,7.602e-06
1459608101270,-8.715,7.24e-06
1459608101280,-8.715,4.343999999999999e-06
1459608101290,-8.715,8.326e-06
1459608101300,-8.715,7.602e-06
1459608101310,-8.715,6.877999999999999e-06
1459608101320,-8.715,6.877999999999999e-06
1459608101330,-8.715,4.343999999999999e-06
1459608101340,-8.715,3.982e-06
1459608101350,-8.715,5.0680000000000004e-06
1459608101360,-8.715,2.1719999999999997e-06
1459608101370,-8.715,3.62e-06
1459608101380,-8.715,2.5340000000000002e-06
1459608101390,-8.715,1.81e-06
1459608101400,-8.715,1.81e-06
1459608101410,-8.715,2.1719999999999997e-06
1459608101420,-8.715,2.1719999999999997e-06
1459608101430,-8.715,1.81e-06
1459608101440,-8.715,1.81e-06
1459608101450,-8.715,2.5340000000000002e-06
1459608101460,-8.715,1.0859999999999999e-06
1459608101470,-8.715,2.1719999999999997e-06
1459608101480,-8.715,1.81e-06
1459608101490,-8.715,2.1719999999999997e-06
1459608101500,-8.715,1.4480000000000002e-06
1459608101510,-8.715,2.5340000000000002e-06
1459608101520,-8.715,1.0859999999999999e-06
1459608101530,-8.715,3.982e-06
1459608101540,-8.715,1.81e-06
1459608101550,-8.715,2.1719999999999997e-06
1459608101560,-8.715,2.1719999999999997e-06
1459608101570,-8.715,1.81e-06
1459608101580,-8.715,1.81e-06
1459608101590,-8.715,2.8960000000000003e-06
1459608101600,-8.715,2.1719999999999997e-06
1459608101610,-8.715,2.1719999999999997e-06
1459608101620,-8.715,1.0859999999999999e-06
1459608101630,-8.715,2.5340000000000002e-06
1459608101640,-8.715,7.240000000000001e-07
1459608101650,-8.715,1.4480000000000002e-06
1459608101660,-8.715,1.0859999999999999e-06
1459608101670,-8.715,1.4480000000000002e-06
1459608101680,-8.715,1.0859999999999999e-06
1459608101690,-8.715,2.1719999999999997e-06
1459608101700,-8.715,1.0859999999999999e-06
1459608101710,-8.715,2.5340000000000002e-06
1459608101720,-8.715,1.0859999999999999e-06
1459608101730,-8.715,2.1719999999999997e-06
1459608101740,-8.715,7.240000000000001e-07
1459608101750,-8.715,1.81e-06
1459608101760,-8.715,7.240000000000001e-07
1459608101770,-8.715,2.1719999999999997e-06
1459608101780,-8.715,3.6200000000000004e-07
1459608101790,-8.715,1.4480000000000002e-06
1459608101800,-8.715,7.240000000000001e-07
1459608101810,-8.715,1.81e-06
1459608101820,-8.715,2.8960000000000003e-06
1459608101830,-8.715,3.6200000000000004e-07
1459608101840,-8.715,1.4480000000000002e-06
1459608101850,-8.715,1.81e-06
1459608101860,-8.715,3.6200000000000004e-07
1459608101870,-8.715,1.0859999999999999e-06
1459608101880,-8.715,7.240000000000001e-07
1459608101890,-8.715,7.240000000000001e-07
1459608101900,-8.715,7.240000000000001e-07
1459608101910,-8.715,1.0859999999999999e-06
1459608101920,-8.715,1.0859999999999999e-06
1459608101930,-8.715,1.0859999999999999e-06
1459608101940,-8.715,0.0
1459608101950,-8.715,1.4480000000000002e-06
1459608101960,-8.715,0.0
1459608101970,-8.715,1.81e-06
1459608101980,-8.715,7.240000000000001e-07
1459608101990,-8.715,1.0859999999999999e-06
1459608102000,-8.715,7.240000000000001e-07
1459608102010,-8.715,1.81e-06
1459608102020,-8.715,1.4480000000000002e-06
1459608102030,-8.715,2.8960000000000003e-06
1459608102040,-8.715,2.8960000000000003e-06
1459608102050,-8.715,3.982e-06
1459608102060,-8.715,2.5340000000000002e-06
1459608102070,-8.715,2.8960000000000003e-06
1459608102080,-8.715,7.240000000000001e-07
1459608102090,-8.715,3.258e-06
1459608102100,-8.715,1.4480000000000002e-06
1459608102110,-8.715,7.240000000000001e-07
1459608102120,-8.715,7.240000000000001e-07
1459608102130,-8.715,1.0859999999999999e-06
1459608102140,-8.715,1.81e-06
1459608102150,-8.715,1.0859999999999999e-06
1459608102160,-8.715,1.0859999999999999e-06
1459608102170,-8.715,7.240000000000001e-07
1459608102180,-8.715,7.240000000000001e-07
1459608102190,-8.715,1.0859999999999999e-06
1459608102200,-8.715,7.240000000000001e-07
1459608102210,-8.715,3.6200000000000004e-07
1459608102220,-8.715,7.240000000000001e-07
1459608102230,-8.715,1.0859999999999999e-06
1459608102240,-8.715,1.0859999999999999e-06
1459608102250,-8.715,7.240000000000001e-07
1459608102260,-8.715,7.240000000000001e-07
1459608102270,-8.715,1.4480000000000002e-06
1459608102280,-8.715,7.240000000000001e-07
1459608102290,-8.715,1.0859999999999999e-06
1459608102300,-8.715,3.6200000000000004e-07
1459608102310,-8.715,1.4480000000000002e-06
1459608102320,-8.715,1.4480000000000002e-06
1459608102330,-8.715,2.1719999999999997e-06
1459608102340,-8.715,3.6200000000000004e-07
1459608102350,-8.715,1.0859999999999999e-06
1459608102360,-8.715,1.0859999999999999e-06
1459608102370,-8.715,2.1719999999999997e-06
1459608102380,-8.715,1.0859999999999999e-06
