Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1459608168430,-8.055,3.6200000000000004e-07
1459608168440,-8.055,1.4480000000000002e-06
1459608168450,-8.055,3.6200000000000004e-07
1459608168460,-8.055,1.0859999999999999e-06
1459608168470,-8.055,7.240000000000001e-07
1459608168480,-8.055,1.4480000000000002e-06
1459608168490,-8.055,1.4480000000000002e-06
1459608168500,-8.055,1.4480000000000002e-06
1459608168510,-8.055,3.6200000000000004e-07
1459608168520,-8.055,1.4480000000000002e-06
1459608168530,-8.055,1.4480000000000002e-06
1459608168540,-8.055,1.81e-06
1459608168550,-8.055,1.81e-06
1459608168560,-8.055,1.4480000000000002e-06
1459608168570,-8.055,1.81e-06
1459608168580,-8.055,1.81e-06
1459608168590,-8.055,2.1719999999999997e-06
1459608168600,-8.055,2.1719999999999997e-06
1459608168610,-8.055,1.4480000000000002e-06
1459608168620,-8.055,1.81e-06
1459608168630,-8.055,1.4480000000000002e-06
1459608168640,-8.055,1.81e-06
1459608168650,-8.055,1.81e-06
1459608168660,-8.055,1.81e-06
1459608168670,-8.055,2.1719999999999997e-06
1459608168680,-8.055,1.81e-06
1459608168690,-8.055,2.1719999999999997e-06
1459608168700,-8.055,2.8960000000000003e-06
1459608168710,-8.055,1.4480000000000002e-06
1459608168720,-8.055,1.0859999999999999e-06
1459608168730,-8.055,1.81e-06
1459608168740,-8.055,7.240000000000001e-07
1459608168750,-8.055,1.81e-06
1459608168760,-8.055,1.4480000000000002e-06
1459608168770,-8.055,1.4480000000000002e-06
1459608168780,-8.055,7.240000000000001e-07
1459608168790,-8.055,3.6200000000000004e-07
1459608168800,-8.055,1.81e-06
1459608168810,-8.055,1.0859999999999999e-06
1459608168820,-8.055,1.0859999999999999e-06
1459608168830,-8.055,7.240000000000001e-07
1459608168840,-8.055,1.4480000000000002e-06
1459608168850,-8.055,7.240000000000001e-07
1459608168860,-8.055,1.4480000000000002e-06
1459608168870,-8.055,3.6200000000000004e-07
1459608168880,-8.055,1.4480000000000002e-06
1459608168890,-8.055,0.0
1459608168900,-8.055,1.81e-06
1459608168910,-8.055,3.6200000000000004e-07
1459608168920,-8.055,1.4480000000000002e-06
1459608168930,-8.055,0.0
1459608168940,-8.055,1.0859999999999999e-06
1459608168950,-8.055,1.0859999999999999e-06
1459608168960,-8.055,7.240000000000001e-07
1459608168970,-8.055,1.0859999999999999e-06
1459608168980,-8.055,7.240000000000001e-07
1459608168990,-8.055,1.0859999999999999e-06
1459608169000,-8.055,7.240000000000001e-07
1459608169010,-8.055,0.0
1459608169020,-8.055,0.0
1459608169030,-8.055,0.0
1459608169040,-8.055,0.0
1459608169050,-8.055,1.81e-06
1459608169060,-8.055,1.81e-06
1459608169070,-8.055,2.8960000000000003e-06
1459608169080,-8.055,2.1719999999999997e-06
1459608169090,-8.055,4.343999999999999e-06
1459608169100,-8.055,2.5340000000000002e-06
1459608169110,-8.055,2.8960000000000003e-06
1459608169120,-8.055,2.5340000000000002e-06
1459608169130,-8.055,1.4480000000000002e-06
1459608169140,-8.055,1.81e-06
1459608169150,-8.055,1.4480000000000002e-06
1459608169160,-8.055,2.1719999999999997e-06
1459608169170,-8.055,3.6200000000000004e-07
1459608169180,-8.055,1.81e-06
1459608169190,-8.055,1.4480000000000002e-06
1459608169200,-8.055,1.4480000000000002e-06
1459608169210,-8.055,1.0859999999999999e-06
1459608169220,-8.055,1.0859999999999999e-06
1459608169230,-8.055,1.4480000000000002e-06
1459608169240,-8.055,7.240000000000001e-07
1459608169250,-8.055,2.5340000000000002e-06
1459608169260,-8.055,1.81e-06
1459608169270,-8.055,1.81e-06
1459608169280,-8.055,3.6200000000000004e-07
1459608169290,-8.055,1.0859999999999999e-06
1459608169300,-8.055,7.240000000000001e-07
1459608169310,-8.055,3.6200000000000004e-07
1459608169320,-8.055,2.1719999999999997e-06
1459608169330,-8.055,3.6200000000000004e-07
1459608169340,-8.055,1.0859999999999999e-06
1459608169350,-8.055,3.6200000000000004e-07
1459608169360,-8.055,1.0859999999999999e-06
1459608169370,-8.055,3.6200000000000004e-07
1459608169380,-8.055,3.6200000000000004e-07
1459608169390,-8.055,7.240000000000001e-07
1459608169400,-8.055,1.81e-06
1459608169410,-8.055,7.240000000000001e-07
1459608169420,-8.055,1.0859999999999999e-06
1459608169430,-8.055,1.0859999999999999e-06
1459608169440,-8.055,7.240000000000001e-07
1459608169450,-8.055,1.81e-06
1459608169460,-8.055,7.240000000000001e-07
1459608169470,-8.055,1.0859999999999999e-06
1459608169480,-8.055,7.240000000000001e-07
1459608169490,-8.055,1.0859999999999999e-06
1459608169500,-8.055,1.81e-06
1459608169510,-8.055,3.6200000000000004e-07
1459608169520,-8.055,1.81e-06
1459608169530,-8.055,0.0
1459608169540,-8.055,2.1719999999999997e-06
1459608169550,-8.055,3.6200000000000004e-07
1459608169560,-8.055,1.81e-06
1459608169570,-8.055,3.6200000000000004e-07
1459608169580,-8.055,2.1719999999999997e-06
1459608169590,-8.055,3.6200000000000004e-07
1459608169600,-8.055,1.81e-06
1459608169610,-8.055,2.1719999999999997e-06
1459608169620,-8.055,2.1719999999999997e-06
1459608169630,-8.055,2.5340000000000002e-06
1459608169640,-8.055,2.5340000000000002e-06
1459608169650,-8.055,2.8960000000000003e-06
1459608169660,-8.055,2.5340000000000002e-06
1459608169670,-8.055,3.258e-06
1459608169680,-8.055,3.258e-06
1459608169690,-8.055,2.5340000000000002e-06
1459608169700,-8.055,2.5340000000000002e-06
1459608169710,-8.055,1.81e-06
1459608169720,-8.055,2.5340000000000002e-06
1459608169730,-8.055,1.4480000000000002e-06
1459608169740,-8.055,2.1719999999999997e-06
1459608169750,-8.055,7.240000000000001e-07
1459608169760,-8.055,1.0859999999999999e-06
1459608169770,-8.055,7.240000000000001e-07
1459608169780,-8.055,1.4480000000000002e-06
1459608169790,-8.055,3.6200000000000004e-07
1459608169800,-8.055,1.0859999999999999e-06
1459608169810,-8.055,1.0859999999999999e-06
1459608169820,-8.055,7.240000000000001e-07
1459608169830,-8.055,7.240000000000001e-07
1459608169840,-8.055,7.240000000000001e-07
1459608169850,-8.055,2.1719999999999997e-06
1459608169860,-8.055,1.81e-06
1459608169870,-8.055,7.240000000000001e-07
1459608169880,-8.055,1.4480000000000002e-06
1459608169890,-8.055,3.6200000000000004e-07
1459608169900,-8.055,1.81e-06
1459608169910,-8.055,1.4480000000000002e-06
1459608169920,-8.055,1.4480000000000002e-06
1459608169930,-8.055,3.6200000000000004e-07
1459608169940,-8.055,1.4480000000000002e-06
1459608169950,-8.055,0.0
1459608169960,-8.055,1.4480000000000002e-06
1459608169970,-8.055,3.6200000000000004e-07
1459608169980,-8.055,1.0859999999999999e-06
1459608169990,-8.055,7.240000000000001e-07
1459608170000,-8.055,1.4480000000000002e-06
1459608170010,-8.055,7.240000000000001e-07
1459608170020,-8.055,1.0859999999999999e-06
1459608170030,-8.055,1.0859999999999999e-06
1459608170040,-8.055,1.0859999999999999e-06
1459608170050,-8.055,2.1719999999999997e-06
1459608170060,-8.055,3.6200000000000004e-07
1459608170070,-8.055,2.1719999999999997e-06
1459608170080,-8.055,0.0
1459608170090,-8.055,1.0859999999999999e-06
1459608170100,-8.055,3.6200000000000004e-07
1459608170110,-8.055,7.240000000000001e-07
1459608170120,-8.055,1.0859999999999999e-06
1459608170130,-8.055,7.240000000000001e-07
1459608170140,-8.055,1.81e-06
1459608170150,-8.055,7.240000000000001e-07
1459608170160,-8.055,1.81e-06
1459608170170,-8.055,0.0
1459608170180,-8.055,1.81e-06
1459608170190,-8.055,3.6200000000000004e-07
1459608170200,-8.055,1.0859999999999999e-06
1459608170210,-8.055,7.240000000000001e-07
1459608170220,-8.055,7.240000000000001e-07
1459608170230,-8.055,1.0859999999999999e-06
1459608170240,-8.055,1.0859999999999999e-06
1459608170250,-8.055,1.0859999999999999e-06
1459608170260,-8.055,3.6200000000000004e-07
1459608170270,-8.055,1.81e-06
1459608170280,-8.055,7.240000000000001e-07
1459608170290,-8.055,1.0859999999999999e-06
1459608170300,-8.055,7.240000000000001e-07
1459608170310,-8.055,1.4480000000000002e-06
1459608170320,-8.055,1.4480000000000002e-06
1459608170330,-8.055,1.0859999999999999e-06
1459608170340,-8.055,1.4480000000000002e-06
1459608170350,-8.055,1.4480000000000002e-06
1459608170360,-8.055,1.81e-06
1459608170370,-8.055,1.0859999999999999e-06
1459608170380,-8.055,1.0859999999999999e-06
1459608170390,-8.055,1.0859999999999999e-06
1459608170400,-8.055,2.1719999999999997e-06
1459608170410,-8.055,3.6200000000000004e-07
1459608170420,-8.055,1.0859999999999999e-06
1459608170430,-8.055,3.6200000000000004e-07
1459608170440,-8.055,1.4480000000000002e-06
1459608170450,-8.055,3.6200000000000004e-07
1459608170460,-8.055,1.81e-06
1459608170470,-8.055,3.6200000000000004e-07
1459608170480,-8.055,1.4480000000000002e-06
1459608170490,-8.055,7.240000000000001e-07
1459608170500,-8.055,3.6200000000000004e-07
1459608170510,-8.055,2.1719999999999997e-06
1459608170520,-8.055,7.240000000000001e-07
1459608170530,-8.055,7.240000000000001e-07
1459608170540,-8.055,7.240000000000001e-07
1459608170550,-8.055,1.4480000000000002e-06
1459608170560,-8.055,3.6200000000000004e-07
1459608170570,-8.055,7.240000000000001e-07
1459608170580,-8.055,7.240000000000001e-07
1459608170590,-8.055,1.4480000000000002e-06
1459608170600,-8.055,1.4480000000000002e-06
1459608170610,-8.055,1.81e-06
1459608170620,-8.055,1.81e-06
1459608170630,-8.055,1.81e-06
1459608170640,-8.055,2.1719999999999997e-06
1459608170650,-8.055,1.0859999999999999e-06
1459608170660,-8.055,1.0859999999999999e-06
1459608170670,-8.055,1.4480000000000002e-06
1459608170680,-8.055,1.4480000000000002e-06
1459608170690,-8.055,7.240000000000001e-07
1459608170700,-8.055,1.4480000000000002e-06
1459608170710,-8.055,1.0859999999999999e-06
1459608170720,-8.055,1.4480000000000002e-06
1459608170730,-8.055,7.240000000000001e-07
1459608170740,-8.055,2.1719999999999997e-06
1459608170750,-8.055,1.81e-06
1459608170760,-8.055,2.1719999999999997e-06
1459608170770,-8.055,1.4480000000000002e-06
1459608170780,-8.055,1.4480000000000002e-06
1459608170790,-8.055,2.5340000000000002e-06
1459608170800,-8.055,1.81e-06
1459608170810,-8.055,1.4480000000000002e-06
1459608170820,-8.055,1.81e-06
1459608170830,-8.055,1.81e-06
1459608170840,-8.055,1.4480000000000002e-06
1459608170850,-8.055,1.4480000000000002e-06
1459608170860,-8.055,2.5340000000000002e-06
1459608170870,-8.055,1.4480000000000002e-06
1459608170880,-8.055,1.81e-06
1459608170890,-8.055,1.4480000000000002e-06
1459608170900,-8.055,3.6200000000000004e-07
1459608170910,-8.055,2.5340000000000002e-06
1459608170920,-8.055,1.81e-06
1459608170930,-8.055,1.0859999999999999e-06
1459608170940,-8.055,1.4480000000000002e-06
1459608170950,-8.055,7.240000000000001e-07
