Timestamp,position,BLMTI.04L3.B2E10_TCSG.4L3.B2
1459973525980,0.275,7.240000000000001e-07
1459973525990,0.275,3.6200000000000004e-07
1459973526000,0.275,7.240000000000001e-07
1459973526010,0.275,3.6200000000000004e-07
1459973526020,0.275,1.0859999999999999e-06
1459973526030,0.275,3.6200000000000004e-07
1459973526040,0.275,1.0859999999999999e-06
1459973526050,0.275,0.0
1459973526060,0.275,7.240000000000001e-07
1459973526070,0.275,0.0
1459973526080,0.275,7.240000000000001e-07
1459973526090,0.275,0.0
1459973526100,0.275,1.0859999999999999e-06
1459973526110,0.275,1.0859999999999999e-06
1459973526120,0.275,3.6200000000000004e-07
1459973526130,0.275,0.0
1459973526140,0.275,7.240000000000001e-07
1459973526150,0.275,7.240000000000001e-07
1459973526160,0.275,1.0859999999999999e-06
1459973526170,0.275,0.0
1459973526180,0.275,1.0859999999999999e-06
1459973526190,0.275,0.0
1459973526200,0.275,1.0859999999999999e-06
1459973526210,0.275,7.240000000000001e-07
1459973526220,0.275,3.6200000000000004e-07
1459973526230,0.275,3.6200000000000004e-07
1459973526240,0.275,3.6200000000000004e-07
1459973526250,0.275,0.0
1459973526260,0.275,1.0859999999999999e-06
1459973526270,0.275,3.6200000000000004e-07
1459973526280,0.275,3.6200000000000004e-07
1459973526290,0.275,3.6200000000000004e-07
1459973526300,0.275,7.240000000000001e-07
1459973526310,0.275,7.240000000000001e-07
1459973526320,0.275,7.240000000000001e-07
1459973526330,0.275,3.6200000000000004e-07
1459973526340,0.275,1.0859999999999999e-06
1459973526350,0.275,3.6200000000000004e-07
1459973526360,0.275,3.6200000000000004e-07
1459973526370,0.275,7.240000000000001e-07
1459973526380,0.275,7.240000000000001e-07
1459973526390,0.275,3.6200000000000004e-07
1459973526400,0.275,3.6200000000000004e-07
1459973526410,0.275,7.240000000000001e-07
1459973526420,0.275,1.0859999999999999e-06
1459973526430,0.275,7.240000000000001e-07
1459973526440,0.275,3.6200000000000004e-07
1459973526450,0.275,3.6200000000000004e-07
1459973526460,0.275,1.0859999999999999e-06
1459973526470,0.275,3.6200000000000004e-07
1459973526480,0.275,1.0859999999999999e-06
1459973526490,0.275,0.0
1459973526500,0.275,7.240000000000001e-07
1459973526510,0.275,3.6200000000000004e-07
1459973526520,0.275,1.0859999999999999e-06
1459973526530,0.275,0.0
1459973526540,0.275,1.0859999999999999e-06
1459973526550,0.275,3.6200000000000004e-07
1459973526560,0.275,3.6200000000000004e-07
1459973526570,0.275,1.4480000000000002e-06
1459973526580,0.275,0.0
1459973526590,0.275,3.6200000000000004e-07
1459973526600,0.275,7.240000000000001e-07
1459973526610,0.275,7.240000000000001e-07
1459973526620,0.275,7.240000000000001e-07
1459973526630,0.275,3.6200000000000004e-07
1459973526640,0.275,3.6200000000000004e-07
1459973526650,0.275,3.6200000000000004e-07
1459973526660,0.275,1.0859999999999999e-06
1459973526670,0.275,3.6200000000000004e-07
1459973526680,0.275,0.0
1459973526690,0.275,7.240000000000001e-07
1459973526700,0.275,7.240000000000001e-07
1459973526710,0.275,1.4480000000000002e-06
1459973526720,0.275,0.0
1459973526730,0.275,3.6200000000000004e-07
1459973526740,0.275,7.240000000000001e-07
1459973526750,0.275,3.6200000000000004e-07
1459973526760,0.275,3.6200000000000004e-07
1459973526770,0.275,1.4480000000000002e-06
1459973526780,0.275,3.6200000000000004e-07
1459973526790,0.275,3.6200000000000004e-07
1459973526800,0.275,3.6200000000000004e-07
1459973526810,0.275,3.6200000000000004e-07
1459973526820,0.275,7.240000000000001e-07
1459973526830,0.275,3.6200000000000004e-07
1459973526840,0.275,3.6200000000000004e-07
1459973526850,0.275,7.240000000000001e-07
1459973526860,0.275,1.0859999999999999e-06
1459973526870,0.275,3.6200000000000004e-07
1459973526880,0.275,7.240000000000001e-07
1459973526890,0.275,3.6200000000000004e-07
1459973526900,0.275,3.6200000000000004e-07
1459973526910,0.275,1.0859999999999999e-06
1459973526920,0.275,3.6200000000000004e-07
1459973526930,0.275,1.4480000000000002e-06
1459973526940,0.275,3.6200000000000004e-07
1459973526950,0.275,0.0
1459973526960,0.275,7.240000000000001e-07
1459973526970,0.275,7.240000000000001e-07
1459973526980,0.275,7.240000000000001e-07
1459973526990,0.275,3.6200000000000004e-07
1459973527000,0.275,7.240000000000001e-07
1459973527010,0.275,7.240000000000001e-07
1459973527020,0.275,1.0859999999999999e-06
1459973527030,0.275,0.0
1459973527040,0.275,7.240000000000001e-07
1459973527050,0.275,7.240000000000001e-07
1459973527060,0.275,3.6200000000000004e-07
1459973527070,0.275,7.240000000000001e-07
1459973527080,0.275,1.0859999999999999e-06
1459973527090,0.275,7.240000000000001e-07
1459973527100,0.275,7.240000000000001e-07
1459973527110,0.275,1.0859999999999999e-06
1459973527120,0.275,3.6200000000000004e-07
1459973527130,0.275,7.240000000000001e-07
1459973527140,0.275,1.0859999999999999e-06
1459973527150,0.275,3.6200000000000004e-07
1459973527160,0.275,7.240000000000001e-07
1459973527170,0.275,0.0
1459973527180,0.275,7.240000000000001e-07
1459973527190,0.275,3.6200000000000004e-07
1459973527200,0.275,1.0859999999999999e-06
1459973527210,0.275,1.0859999999999999e-06
1459973527220,0.275,0.0
1459973527230,0.275,0.0
1459973527240,0.275,1.0859999999999999e-06
1459973527250,0.275,7.240000000000001e-07
1459973527260,0.275,1.4480000000000002e-06
1459973527270,0.275,0.0
1459973527280,0.275,1.4480000000000002e-06
1459973527290,0.275,3.6200000000000004e-07
1459973527300,0.275,1.4480000000000002e-06
1459973527310,0.275,0.0
1459973527320,0.275,1.0859999999999999e-06
1459973527330,0.275,7.240000000000001e-07
1459973527340,0.275,7.240000000000001e-07
1459973527350,0.275,3.6200000000000004e-07
1459973527360,0.275,3.6200000000000004e-07
1459973527370,0.275,7.240000000000001e-07
1459973527380,0.275,7.240000000000001e-07
1459973527390,0.275,7.240000000000001e-07
1459973527400,0.275,0.0
1459973527410,0.275,7.240000000000001e-07
1459973527420,0.275,3.6200000000000004e-07
1459973527430,0.275,7.240000000000001e-07
1459973527440,0.275,3.6200000000000004e-07
1459973527450,0.275,1.0859999999999999e-06
1459973527460,0.275,3.6200000000000004e-07
1459973527470,0.275,1.0859999999999999e-06
1459973527480,0.275,7.240000000000001e-07
1459973527490,0.275,3.6200000000000004e-07
1459973527500,0.275,3.6200000000000004e-07
1459973527510,0.275,0.0
1459973527520,0.275,1.4480000000000002e-06
1459973527530,0.275,3.6200000000000004e-07
1459973527540,0.275,7.240000000000001e-07
1459973527550,0.275,1.81e-06
1459973527560,0.275,3.6200000000000004e-07
1459973527570,0.275,3.6200000000000004e-07
1459973527580,0.275,3.6200000000000004e-07
1459973527590,0.275,1.0859999999999999e-06
1459973527600,0.275,3.6200000000000004e-07
1459973527610,0.275,7.240000000000001e-07
1459973527620,0.275,0.0
1459973527630,0.275,3.6200000000000004e-07
1459973527640,0.275,7.240000000000001e-07
1459973527650,0.275,3.6200000000000004e-07
1459973527660,0.275,1.0859999999999999e-06
1459973527670,0.275,3.6200000000000004e-07
1459973527680,0.275,0.0
1459973527690,0.275,1.0859999999999999e-06
1459973527700,0.275,3.6200000000000004e-07
1459973527710,0.275,7.240000000000001e-07
1459973527720,0.275,1.0859999999999999e-06
1459973527730,0.275,3.6200000000000004e-07
1459973527740,0.275,7.240000000000001e-07
1459973527750,0.275,0.0
1459973527760,0.275,1.4480000000000002e-06
1459973527770,0.275,0.0
1459973527780,0.275,3.6200000000000004e-07
1459973527790,0.275,7.240000000000001e-07
1459973527800,0.275,1.0859999999999999e-06
1459973527810,0.275,7.240000000000001e-07
1459973527820,0.275,7.240000000000001e-07
1459973527830,0.275,7.240000000000001e-07
1459973527840,0.275,1.0859999999999999e-06
1459973527850,0.275,3.6200000000000004e-07
1459973527860,0.275,7.240000000000001e-07
1459973527870,0.275,0.0
1459973527880,0.275,1.4480000000000002e-06
1459973527890,0.275,0.0
1459973527900,0.275,7.240000000000001e-07
1459973527910,0.275,3.6200000000000004e-07
1459973527920,0.275,1.4480000000000002e-06
1459973527930,0.275,3.6200000000000004e-07
1459973527940,0.275,3.6200000000000004e-07
1459973527950,0.275,3.6200000000000004e-07
1459973527960,0.275,7.240000000000001e-07
1459973527970,0.275,0.0
1459973527980,0.275,1.0859999999999999e-06
1459973527990,0.275,7.240000000000001e-07
1459973528000,0.275,7.240000000000001e-07
1459973528010,0.275,3.6200000000000004e-07
1459973528020,0.275,0.0
1459973528030,0.275,7.240000000000001e-07
1459973528040,0.275,7.240000000000001e-07
1459973528050,0.275,3.6200000000000004e-07
1459973528060,0.275,3.6200000000000004e-07
1459973528070,0.275,3.6200000000000004e-07
1459973528080,0.275,7.240000000000001e-07
1459973528090,0.275,1.0859999999999999e-06
1459973528100,0.275,7.240000000000001e-07
1459973528110,0.275,7.240000000000001e-07
1459973528120,0.275,7.240000000000001e-07
1459973528130,0.275,0.0
1459973528140,0.275,3.6200000000000004e-07
1459973528150,0.275,0.0
1459973528160,0.275,7.240000000000001e-07
1459973528170,0.275,3.6200000000000004e-07
1459973528180,0.275,1.4480000000000002e-06
1459973528190,0.275,3.6200000000000004e-07
1459973528200,0.275,0.0
1459973528210,0.275,3.6200000000000004e-07
1459973528220,0.275,7.240000000000001e-07
1459973528230,0.275,7.240000000000001e-07
1459973528240,0.275,3.6200000000000004e-07
1459973528250,0.275,1.0859999999999999e-06
1459973528260,0.275,0.0
1459973528270,0.275,3.6200000000000004e-07
1459973528280,0.275,7.240000000000001e-07
1459973528290,0.275,0.0
1459973528300,0.275,7.240000000000001e-07
1459973528310,0.275,3.6200000000000004e-07
