Timestamp,position,BLMTI.04R5.B2I10_TCTPH.4R5.B2
1459973950100,1.125,2.1719999999999997e-06
1459973950110,1.125,3.62e-06
1459973950120,1.125,2.1719999999999997e-06
1459973950130,1.125,5.0680000000000004e-06
1459973950140,1.125,3.982e-06
1459973950150,1.125,6.877999999999999e-06
1459973950160,1.125,3.258e-06
1459973950170,1.125,5.0680000000000004e-06
1459973950180,1.125,2.1719999999999997e-06
1459973950190,1.125,3.258e-06
1459973950200,1.125,1.81e-06
1459973950210,1.125,6.516e-06
1459973950220,1.125,2.5340000000000002e-06
1459973950230,1.125,9.05e-06
1459973950240,1.125,3.982e-06
1459973950250,1.125,7.602e-06
1459973950260,1.125,3.62e-06
1459973950270,1.125,5.0680000000000004e-06
1459973950280,1.125,2.5340000000000002e-06
1459973950290,1.125,5.43e-06
1459973950300,1.125,2.8960000000000003e-06
1459973950310,1.125,6.516e-06
1459973950320,1.125,1.0859999999999999e-06
1459973950330,1.125,3.982e-06
1459973950340,1.125,1.4480000000000002e-06
1459973950350,1.125,4.706e-06
1459973950360,1.125,2.5340000000000002e-06
1459973950370,1.125,8.326e-06
1459973950380,1.125,9.05e-06
1459973950390,1.125,1.1584000000000001e-05
1459973950400,1.125,6.154e-06
1459973950410,1.125,8.326e-06
1459973950420,1.125,3.258e-06
1459973950430,1.125,5.43e-06
1459973950440,1.125,2.1719999999999997e-06
1459973950450,1.125,4.706e-06
1459973950460,1.125,3.258e-06
1459973950470,1.125,7.964e-06
1459973950480,1.125,3.982e-06
1459973950490,1.125,6.516e-06
1459973950500,1.125,7.240000000000001e-07
1459973950510,1.125,2.5340000000000002e-06
1459973950520,1.125,1.0859999999999999e-06
1459973950530,1.125,3.62e-06
1459973950540,1.125,2.5340000000000002e-06
1459973950550,1.125,9.412e-06
1459973950560,1.125,1.629e-05
1459973950570,1.125,2.4254000000000002e-05
1459973950580,1.125,1.8462e-05
1459973950590,1.125,9.05e-06
1459973950600,1.125,1.81e-06
1459973950610,1.125,3.62e-06
1459973950620,1.125,7.240000000000001e-07
1459973950630,1.125,3.982e-06
1459973950640,1.125,1.81e-06
1459973950650,1.125,5.0680000000000004e-06
1459973950660,1.125,3.62e-06
1459973950670,1.125,7.24e-06
1459973950680,1.125,3.982e-06
1459973950690,1.125,4.343999999999999e-06
1459973950700,1.125,7.240000000000001e-07
1459973950710,1.125,5.792000000000001e-06
1459973950720,1.125,4.343999999999999e-06
1459973950730,1.125,1.4118e-05
1459973950740,1.125,1.1584000000000001e-05
1459973950750,1.125,1.8462e-05
1459973950760,1.125,7.964e-06
1459973950770,1.125,7.602e-06
1459973950780,1.125,2.1719999999999997e-06
1459973950790,1.125,3.62e-06
1459973950800,1.125,1.4480000000000002e-06
1459973950810,1.125,2.5340000000000002e-06
1459973950820,1.125,1.0859999999999999e-06
1459973950830,1.125,5.0680000000000004e-06
1459973950840,1.125,5.0680000000000004e-06
1459973950850,1.125,7.602e-06
1459973950860,1.125,3.62e-06
1459973950870,1.125,7.24e-06
1459973950880,1.125,3.982e-06
1459973950890,1.125,6.877999999999999e-06
1459973950900,1.125,4.343999999999999e-06
1459973950910,1.125,5.43e-06
1459973950920,1.125,3.62e-06
1459973950930,1.125,6.154e-06
1459973950940,1.125,2.1719999999999997e-06
1459973950950,1.125,5.0680000000000004e-06
1459973950960,1.125,1.4480000000000002e-06
1459973950970,1.125,3.62e-06
1459973950980,1.125,3.6200000000000004e-07
1459973950990,1.125,4.343999999999999e-06
1459973951000,1.125,1.81e-06
1459973951010,1.125,5.0680000000000004e-06
1459973951020,1.125,5.792000000000001e-06
1459973951030,1.125,9.774e-06
1459973951040,1.125,3.982e-06
1459973951050,1.125,6.154e-06
1459973951060,1.125,1.81e-06
1459973951070,1.125,4.706e-06
1459973951080,1.125,2.1719999999999997e-06
1459973951090,1.125,5.43e-06
1459973951100,1.125,1.0859999999999999e-06
1459973951110,1.125,5.43e-06
1459973951120,1.125,1.4480000000000002e-06
1459973951130,1.125,3.62e-06
1459973951140,1.125,1.4480000000000002e-06
1459973951150,1.125,3.258e-06
1459973951160,1.125,3.6200000000000004e-07
1459973951170,1.125,3.62e-06
1459973951180,1.125,5.792000000000001e-06
1459973951190,1.125,1.2308e-05
1459973951200,1.125,1.3755999999999998e-05
1459973951210,1.125,1.0498e-05
1459973951220,1.125,5.0680000000000004e-06
1459973951230,1.125,3.62e-06
1459973951240,1.125,1.81e-06
1459973951250,1.125,3.982e-06
1459973951260,1.125,2.1719999999999997e-06
1459973951270,1.125,7.24e-06
1459973951280,1.125,6.516e-06
1459973951290,1.125,9.05e-06
1459973951300,1.125,3.258e-06
1459973951310,1.125,5.0680000000000004e-06
1459973951320,1.125,1.0859999999999999e-06
1459973951330,1.125,3.62e-06
1459973951340,1.125,2.1719999999999997e-06
1459973951350,1.125,3.982e-06
1459973951360,1.125,1.4480000000000002e-06
1459973951370,1.125,7.24e-06
1459973951380,1.125,3.982e-06
1459973951390,1.125,6.877999999999999e-06
1459973951400,1.125,4.706e-06
1459973951410,1.125,5.792000000000001e-06
1459973951420,1.125,2.1719999999999997e-06
1459973951430,1.125,3.62e-06
1459973951440,1.125,3.62e-06
1459973951450,1.125,5.43e-06
1459973951460,1.125,4.343999999999999e-06
1459973951470,1.125,5.43e-06
1459973951480,1.125,3.258e-06
1459973951490,1.125,4.343999999999999e-06
1459973951500,1.125,1.4480000000000002e-06
1459973951510,1.125,4.706e-06
1459973951520,1.125,1.81e-06
1459973951530,1.125,5.43e-06
1459973951540,1.125,1.81e-06
1459973951550,1.125,5.792000000000001e-06
1459973951560,1.125,2.1719999999999997e-06
1459973951570,1.125,7.24e-06
1459973951580,1.125,3.982e-06
1459973951590,1.125,6.516e-06
1459973951600,1.125,2.5340000000000002e-06
1459973951610,1.125,2.5340000000000002e-06
1459973951620,1.125,1.4480000000000002e-06
1459973951630,1.125,2.5340000000000002e-06
1459973951640,1.125,1.4480000000000002e-06
1459973951650,1.125,5.0680000000000004e-06
1459973951660,1.125,1.81e-06
1459973951670,1.125,5.0680000000000004e-06
1459973951680,1.125,7.240000000000001e-07
1459973951690,1.125,2.8960000000000003e-06
1459973951700,1.125,2.5340000000000002e-06
1459973951710,1.125,2.8960000000000003e-06
1459973951720,1.125,3.62e-06
1459973951730,1.125,7.602e-06
1459973951740,1.125,6.516e-06
1459973951750,1.125,7.24e-06
1459973951760,1.125,2.8960000000000003e-06
1459973951770,1.125,4.343999999999999e-06
1459973951780,1.125,1.0859999999999999e-06
1459973951790,1.125,1.81e-06
1459973951800,1.125,7.240000000000001e-07
1459973951810,1.125,2.8960000000000003e-06
1459973951820,1.125,1.0859999999999999e-06
1459973951830,1.125,5.0680000000000004e-06
1459973951840,1.125,4.343999999999999e-06
1459973951850,1.125,9.774e-06
1459973951860,1.125,4.343999999999999e-06
1459973951870,1.125,4.343999999999999e-06
1459973951880,1.125,1.81e-06
1459973951890,1.125,3.258e-06
1459973951900,1.125,1.4480000000000002e-06
1459973951910,1.125,4.343999999999999e-06
1459973951920,1.125,3.258e-06
1459973951930,1.125,6.154e-06
1459973951940,1.125,3.258e-06
1459973951950,1.125,4.343999999999999e-06
1459973951960,1.125,2.5340000000000002e-06
1459973951970,1.125,2.1719999999999997e-06
1459973951980,1.125,1.0859999999999999e-06
1459973951990,1.125,3.258e-06
1459973952000,1.125,1.0859999999999999e-06
1459973952010,1.125,6.516e-06
1459973952020,1.125,6.877999999999999e-06
1459973952030,1.125,1.4842000000000001e-05
1459973952040,1.125,1.1584000000000001e-05
1459973952050,1.125,1.3394000000000001e-05
1459973952060,1.125,3.982e-06
1459973952070,1.125,3.62e-06
1459973952080,1.125,1.0859999999999999e-06
1459973952090,1.125,4.343999999999999e-06
1459973952100,1.125,1.0859999999999999e-06
1459973952110,1.125,4.706e-06
1459973952120,1.125,2.1719999999999997e-06
1459973952130,1.125,4.706e-06
1459973952140,1.125,1.81e-06
1459973952150,1.125,4.706e-06
1459973952160,1.125,2.1719999999999997e-06
1459973952170,1.125,6.154e-06
1459973952180,1.125,2.1719999999999997e-06
1459973952190,1.125,5.792000000000001e-06
1459973952200,1.125,3.258e-06
1459973952210,1.125,6.154e-06
1459973952220,1.125,2.1719999999999997e-06
1459973952230,1.125,5.0680000000000004e-06
1459973952240,1.125,1.81e-06
1459973952250,1.125,3.62e-06
1459973952260,1.125,1.4480000000000002e-06
1459973952270,1.125,3.982e-06
1459973952280,1.125,1.81e-06
1459973952290,1.125,6.154e-06
1459973952300,1.125,3.982e-06
1459973952310,1.125,7.24e-06
1459973952320,1.125,3.62e-06
1459973952330,1.125,3.258e-06
1459973952340,1.125,1.81e-06
1459973952350,1.125,4.706e-06
1459973952360,1.125,7.240000000000001e-07
1459973952370,1.125,4.706e-06
1459973952380,1.125,2.8960000000000003e-06
1459973952390,1.125,9.412e-06
1459973952400,1.125,9.774e-06
1459973952410,1.125,1.3394000000000001e-05
1459973952420,1.125,5.43e-06
1459973952430,1.125,5.0680000000000004e-06
1459973952440,1.125,2.5340000000000002e-06
1459973952450,1.125,3.62e-06
1459973952460,1.125,7.240000000000001e-07
1459973952470,1.125,4.706e-06
1459973952480,1.125,1.4480000000000002e-06
1459973952490,1.125,8.326e-06
1459973952500,1.125,3.982e-06
1459973952510,1.125,5.0680000000000004e-06
1459973952520,1.125,1.81e-06
1459973952530,1.125,3.258e-06
1459973952540,1.125,7.240000000000001e-07
1459973952550,1.125,3.982e-06
1459973952560,1.125,2.5340000000000002e-06
1459973952570,1.125,8.326e-06
1459973952580,1.125,8.326e-06
1459973952590,1.125,7.602e-06
1459973952600,1.125,3.982e-06
1459973952610,1.125,4.706e-06
1459973952620,1.125,1.0859999999999999e-06
1459973952630,1.125,3.258e-06
1459973952640,1.125,1.0859999999999999e-06
1459973952650,1.125,5.0680000000000004e-06
1459973952660,1.125,2.8960000000000003e-06
1459973952670,1.125,6.154e-06
1459973952680,1.125,2.5340000000000002e-06
1459973952690,1.125,2.1719999999999997e-06
1459973952700,1.125,2.5340000000000002e-06
1459973952710,1.125,4.706e-06
1459973952720,1.125,1.81e-06
1459973952730,1.125,4.706e-06
1459973952740,1.125,3.982e-06
1459973952750,1.125,7.964e-06
1459973952760,1.125,7.602e-06
1459973952770,1.125,7.24e-06
1459973952780,1.125,7.240000000000001e-07
1459973952790,1.125,3.982e-06
1459973952800,1.125,3.6200000000000004e-07
1459973952810,1.125,2.8960000000000003e-06
1459973952820,1.125,1.0859999999999999e-06
1459973952830,1.125,2.8960000000000003e-06
1459973952840,1.125,2.5340000000000002e-06
1459973952850,1.125,6.516e-06
1459973952860,1.125,5.0680000000000004e-06
