Timestamp,position,BLMTI.04L1.B1I10_TCTPV.4L1.B1
1459974734340,0.645,1.4480000000000002e-06
1459974734350,0.645,1.4480000000000002e-06
1459974734360,0.645,3.6200000000000004e-07
1459974734370,0.645,2.5340000000000002e-06
1459974734380,0.645,7.240000000000001e-07
1459974734390,0.645,2.5340000000000002e-06
1459974734400,0.645,1.4480000000000002e-06
1459974734410,0.645,1.81e-06
1459974734420,0.645,2.1719999999999997e-06
1459974734430,0.645,1.0859999999999999e-06
1459974734440,0.645,1.4480000000000002e-06
1459974734450,0.645,3.62e-06
1459974734460,0.645,1.81e-06
1459974734470,0.645,1.81e-06
1459974734480,0.645,0.0
1459974734490,0.645,0.0
1459974734500,0.645,3.6200000000000004e-07
1459974734510,0.645,2.5340000000000002e-06
1459974734520,0.645,1.0859999999999999e-06
1459974734530,0.645,2.5340000000000002e-06
1459974734540,0.645,1.0859999999999999e-06
1459974734550,0.645,1.4480000000000002e-06
1459974734560,0.645,7.240000000000001e-07
1459974734570,0.645,1.81e-06
1459974734580,0.645,1.4480000000000002e-06
1459974734590,0.645,2.1719999999999997e-06
1459974734600,0.645,1.81e-06
1459974734610,0.645,1.4480000000000002e-06
1459974734620,0.645,3.6200000000000004e-07
1459974734630,0.645,2.1719999999999997e-06
1459974734640,0.645,1.0859999999999999e-06
1459974734650,0.645,2.1719999999999997e-06
1459974734660,0.645,1.0859999999999999e-06
1459974734670,0.645,1.81e-06
1459974734680,0.645,1.0859999999999999e-06
1459974734690,0.645,2.8960000000000003e-06
1459974734700,0.645,4.343999999999999e-06
1459974734710,0.645,5.0680000000000004e-06
1459974734720,0.645,7.240000000000001e-07
1459974734730,0.645,2.8960000000000003e-06
1459974734740,0.645,3.6200000000000004e-07
1459974734750,0.645,2.1719999999999997e-06
1459974734760,0.645,3.6200000000000004e-07
1459974734770,0.645,1.0859999999999999e-06
1459974734780,0.645,7.240000000000001e-07
1459974734790,0.645,1.81e-06
1459974734800,0.645,0.0
1459974734810,0.645,2.5340000000000002e-06
1459974734820,0.645,0.0
1459974734830,0.645,1.0859999999999999e-06
1459974734840,0.645,7.240000000000001e-07
1459974734850,0.645,1.0859999999999999e-06
1459974734860,0.645,3.6200000000000004e-07
1459974734870,0.645,1.4480000000000002e-06
1459974734880,0.645,1.0859999999999999e-06
1459974734890,0.645,2.5340000000000002e-06
1459974734900,0.645,3.6200000000000004e-07
1459974734910,0.645,2.1719999999999997e-06
1459974734920,0.645,1.81e-06
1459974734930,0.645,1.81e-06
1459974734940,0.645,1.81e-06
1459974734950,0.645,1.81e-06
1459974734960,0.645,1.0859999999999999e-06
1459974734970,0.645,1.4480000000000002e-06
