Timestamp,position,BLMTI.06L1.B2E10_TCL.6L1.B2
1461056864260,9.68,0.0
1461056864270,9.68,3.6200000000000004e-07
1461056864280,9.68,0.0
1461056864290,9.68,3.6200000000000004e-07
1461056864300,9.68,0.0
1461056864310,9.68,0.0
1461056864320,9.68,0.0
1461056864330,9.68,0.0
1461056864340,9.68,0.0
1461056864350,9.68,0.0
1461056864360,9.68,0.0
1461056864370,9.68,7.240000000000001e-07
1461056864380,9.68,0.0
1461056864390,9.68,1.0859999999999999e-06
1461056864400,9.68,0.0
1461056864410,9.68,3.6200000000000004e-07
1461056864420,9.68,0.0
1461056864430,9.68,0.0
1461056864440,9.68,0.0
1461056864450,9.68,0.0
1461056864460,9.68,0.0
1461056864470,9.68,0.0
1461056864480,9.68,0.0
1461056864490,9.68,7.240000000000001e-07
1461056864500,9.68,0.0
1461056864510,9.68,0.0
1461056864520,9.68,0.0
1461056864530,9.68,0.0
1461056864540,9.68,0.0
1461056864550,9.68,0.0
1461056864560,9.68,0.0
1461056864570,9.68,3.6200000000000004e-07
1461056864580,9.68,3.6200000000000004e-07
1461056864590,9.68,0.0
1461056864600,9.68,0.0
1461056864610,9.68,0.0
1461056864620,9.68,0.0
1461056864630,9.68,3.6200000000000004e-07
1461056864640,9.68,0.0
1461056864650,9.68,3.6200000000000004e-07
1461056864660,9.68,0.0
1461056864670,9.68,0.0
1461056864680,9.68,3.6200000000000004e-07
1461056864690,9.68,0.0
1461056864700,9.68,0.0
1461056864710,9.68,0.0
1461056864720,9.68,0.0
1461056864730,9.68,3.6200000000000004e-07
1461056864740,9.68,0.0
1461056864750,9.68,3.6200000000000004e-07
1461056864760,9.68,0.0
1461056864770,9.68,3.6200000000000004e-07
1461056864780,9.68,0.0
1461056864790,9.68,0.0
1461056864800,9.68,0.0
1461056864810,9.68,0.0
1461056864820,9.68,0.0
1461056864830,9.68,0.0
1461056864840,9.68,0.0
1461056864850,9.68,3.6200000000000004e-07
1461056864860,9.68,0.0
1461056864870,9.68,0.0
1461056864880,9.68,0.0
1461056864890,9.68,0.0
1461056864900,9.68,0.0
1461056864910,9.68,3.6200000000000004e-07
1461056864920,9.68,0.0
1461056864930,9.68,0.0
1461056864940,9.68,0.0
1461056864950,9.68,7.240000000000001e-07
1461056864960,9.68,0.0
1461056864970,9.68,3.6200000000000004e-07
1461056864980,9.68,0.0
1461056864990,9.68,3.6200000000000004e-07
1461056865000,9.68,0.0
1461056865010,9.68,0.0
1461056865020,9.68,0.0
1461056865030,9.68,0.0
1461056865040,9.68,3.6200000000000004e-07
1461056865050,9.68,0.0
1461056865060,9.68,0.0
1461056865070,9.68,0.0
1461056865080,9.68,0.0
1461056865090,9.68,0.0
1461056865100,9.68,3.6200000000000004e-07
1461056865110,9.68,7.240000000000001e-07
1461056865120,9.68,0.0
1461056865130,9.68,3.6200000000000004e-07
1461056865140,9.68,0.0
1461056865150,9.68,0.0
1461056865160,9.68,3.6200000000000004e-07
1461056865170,9.68,3.6200000000000004e-07
1461056865180,9.68,0.0
1461056865190,9.68,3.6200000000000004e-07
1461056865200,9.68,0.0
1461056865210,9.68,0.0
1461056865220,9.68,0.0
1461056865230,9.68,0.0
1461056865240,9.68,3.6200000000000004e-07
1461056865250,9.68,3.6200000000000004e-07
1461056865260,9.68,0.0
1461056865270,9.68,3.6200000000000004e-07
1461056865280,9.68,0.0
1461056865290,9.68,0.0
1461056865300,9.68,0.0
1461056865310,9.68,3.6200000000000004e-07
1461056865320,9.68,0.0
1461056865330,9.68,0.0
1461056865340,9.68,0.0
1461056865350,9.68,7.240000000000001e-07
1461056865360,9.68,0.0
1461056865370,9.68,0.0
1461056865380,9.68,3.6200000000000004e-07
1461056865390,9.68,0.0
1461056865400,9.68,0.0
1461056865410,9.68,0.0
1461056865420,9.68,0.0
1461056865430,9.68,0.0
1461056865440,9.68,0.0
1461056865450,9.68,0.0
1461056865460,9.68,0.0
1461056865470,9.68,3.6200000000000004e-07
1461056865480,9.68,3.6200000000000004e-07
1461056865490,9.68,3.6200000000000004e-07
1461056865500,9.68,0.0
1461056865510,9.68,0.0
1461056865520,9.68,0.0
1461056865530,9.68,0.0
1461056865540,9.68,0.0
1461056865550,9.68,3.6200000000000004e-07
1461056865560,9.68,0.0
1461056865570,9.68,0.0
1461056865580,9.68,0.0
1461056865590,9.68,0.0
1461056865600,9.68,3.6200000000000004e-07
1461056865610,9.68,3.6200000000000004e-07
1461056865620,9.68,0.0
1461056865630,9.68,3.6200000000000004e-07
1461056865640,9.68,0.0
1461056865650,9.68,3.6200000000000004e-07
1461056865660,9.68,0.0
1461056865670,9.68,3.6200000000000004e-07
1461056865680,9.68,0.0
1461056865690,9.68,0.0
1461056865700,9.68,0.0
1461056865710,9.68,3.6200000000000004e-07
1461056865720,9.68,0.0
1461056865730,9.68,3.6200000000000004e-07
1461056865740,9.68,0.0
1461056865750,9.68,3.6200000000000004e-07
1461056865760,9.68,0.0
1461056865770,9.68,3.6200000000000004e-07
1461056865780,9.68,0.0
1461056865790,9.68,3.6200000000000004e-07
1461056865800,9.68,0.0
1461056865810,9.68,3.6200000000000004e-07
1461056865820,9.68,0.0
1461056865830,9.68,3.6200000000000004e-07
1461056865840,9.68,0.0
1461056865850,9.68,0.0
1461056865860,9.68,0.0
1461056865870,9.68,0.0
1461056865880,9.68,0.0
1461056865890,9.68,0.0
1461056865900,9.68,3.6200000000000004e-07
1461056865910,9.68,0.0
1461056865920,9.68,0.0
1461056865930,9.68,0.0
1461056865940,9.68,0.0
1461056865950,9.68,1.0859999999999999e-06
1461056865960,9.68,3.6200000000000004e-07
1461056865970,9.68,0.0
1461056865980,9.68,0.0
1461056865990,9.68,3.6200000000000004e-07
1461056866000,9.68,0.0
1461056866010,9.68,0.0
1461056866020,9.68,0.0
1461056866030,9.68,0.0
1461056866040,9.68,0.0
1461056866050,9.68,3.6200000000000004e-07
1461056866060,9.68,0.0
1461056866070,9.68,7.240000000000001e-07
1461056866080,9.68,3.6200000000000004e-07
