Timestamp,position,BLMTI.06R5.B1E10_TCL.6R5.B1
1461059314000,9.95,0.0
1461059314010,9.95,7.240000000000001e-07
1461059314020,9.95,0.0
1461059314030,9.95,0.0
1461059314040,9.95,0.0
1461059314050,9.95,1.0859999999999999e-06
1461059314060,9.95,0.0
1461059314070,9.95,3.6200000000000004e-07
1461059314080,9.95,0.0
1461059314090,9.95,0.0
1461059314100,9.95,7.240000000000001e-07
1461059314110,9.95,0.0
1461059314120,9.95,0.0
1461059314130,9.95,0.0
1461059314140,9.95,1.0859999999999999e-06
1461059314150,9.95,0.0
1461059314160,9.95,0.0
1461059314170,9.95,0.0
1461059314180,9.95,3.6200000000000004e-07
1461059314190,9.95,0.0
1461059314200,9.95,3.6200000000000004e-07
1461059314210,9.95,0.0
1461059314220,9.95,7.240000000000001e-07
1461059314230,9.95,0.0
1461059314240,9.95,0.0
1461059314250,9.95,0.0
1461059314260,9.95,3.6200000000000004e-07
1461059314270,9.95,7.240000000000001e-07
1461059314280,9.95,0.0
1461059314290,9.95,3.6200000000000004e-07
1461059314300,9.95,0.0
1461059314310,9.95,7.240000000000001e-07
1461059314320,9.95,0.0
1461059314330,9.95,0.0
1461059314340,9.95,3.6200000000000004e-07
1461059314350,9.95,3.6200000000000004e-07
1461059314360,9.95,3.6200000000000004e-07
1461059314370,9.95,0.0
1461059314380,9.95,0.0
1461059314390,9.95,7.240000000000001e-07
1461059314400,9.95,0.0
1461059314410,9.95,0.0
1461059314420,9.95,0.0
1461059314430,9.95,3.6200000000000004e-07
1461059314440,9.95,7.240000000000001e-07
1461059314450,9.95,0.0
1461059314460,9.95,0.0
1461059314470,9.95,3.6200000000000004e-07
1461059314480,9.95,0.0
1461059314490,9.95,3.6200000000000004e-07
1461059314500,9.95,0.0
1461059314510,9.95,7.240000000000001e-07
1461059314520,9.95,0.0
1461059314530,9.95,0.0
1461059314540,9.95,3.6200000000000004e-07
1461059314550,9.95,3.6200000000000004e-07
1461059314560,9.95,3.6200000000000004e-07
1461059314570,9.95,3.6200000000000004e-07
1461059314580,9.95,0.0
1461059314590,9.95,0.0
1461059314600,9.95,3.6200000000000004e-07
1461059314610,9.95,0.0
1461059314620,9.95,3.6200000000000004e-07
1461059314630,9.95,3.6200000000000004e-07
1461059314640,9.95,0.0
1461059314650,9.95,3.6200000000000004e-07
1461059314660,9.95,3.6200000000000004e-07
1461059314670,9.95,0.0
1461059314680,9.95,3.6200000000000004e-07
1461059314690,9.95,3.6200000000000004e-07
1461059314700,9.95,3.6200000000000004e-07
1461059314710,9.95,0.0
1461059314720,9.95,0.0
1461059314730,9.95,3.6200000000000004e-07
1461059314740,9.95,0.0
1461059314750,9.95,0.0
1461059314760,9.95,3.6200000000000004e-07
1461059314770,9.95,7.240000000000001e-07
1461059314780,9.95,3.6200000000000004e-07
1461059314790,9.95,0.0
1461059314800,9.95,3.6200000000000004e-07
1461059314810,9.95,7.240000000000001e-07
1461059314820,9.95,0.0
1461059314830,9.95,3.6200000000000004e-07
1461059314840,9.95,3.6200000000000004e-07
1461059314850,9.95,0.0
1461059314860,9.95,0.0
1461059314870,9.95,3.6200000000000004e-07
1461059314880,9.95,0.0
1461059314890,9.95,7.240000000000001e-07
1461059314900,9.95,0.0
1461059314910,9.95,0.0
1461059314920,9.95,3.6200000000000004e-07
1461059314930,9.95,0.0
1461059314940,9.95,0.0
1461059314950,9.95,0.0
1461059314960,9.95,7.240000000000001e-07
1461059314970,9.95,0.0
1461059314980,9.95,0.0
1461059314990,9.95,1.81e-06
1461059315000,9.95,0.0
1461059315010,9.95,0.0
1461059315020,9.95,0.0
1461059315030,9.95,0.0
1461059315040,9.95,1.0859999999999999e-06
1461059315050,9.95,0.0
1461059315060,9.95,0.0
1461059315070,9.95,0.0
1461059315080,9.95,3.6200000000000004e-07
1461059315090,9.95,0.0
1461059315100,9.95,0.0
1461059315110,9.95,0.0
1461059315120,9.95,1.0859999999999999e-06
1461059315130,9.95,0.0
1461059315140,9.95,0.0
1461059315150,9.95,0.0
1461059315160,9.95,7.240000000000001e-07
1461059315170,9.95,0.0
1461059315180,9.95,0.0
1461059315190,9.95,0.0
1461059315200,9.95,1.0859999999999999e-06
1461059315210,9.95,0.0
1461059315220,9.95,3.6200000000000004e-07
1461059315230,9.95,0.0
1461059315240,9.95,1.0859999999999999e-06
1461059315250,9.95,0.0
1461059315260,9.95,0.0
1461059315270,9.95,0.0
1461059315280,9.95,7.240000000000001e-07
1461059315290,9.95,0.0
1461059315300,9.95,3.6200000000000004e-07
1461059315310,9.95,0.0
1461059315320,9.95,3.6200000000000004e-07
1461059315330,9.95,3.6200000000000004e-07
1461059315340,9.95,0.0
1461059315350,9.95,3.6200000000000004e-07
1461059315360,9.95,1.0859999999999999e-06
1461059315370,9.95,0.0
1461059315380,9.95,0.0
1461059315390,9.95,0.0
1461059315400,9.95,7.240000000000001e-07
1461059315410,9.95,3.6200000000000004e-07
1461059315420,9.95,3.6200000000000004e-07
1461059315430,9.95,0.0
1461059315440,9.95,3.6200000000000004e-07
1461059315450,9.95,3.6200000000000004e-07
1461059315460,9.95,0.0
1461059315470,9.95,3.6200000000000004e-07
1461059315480,9.95,0.0
1461059315490,9.95,0.0
1461059315500,9.95,7.240000000000001e-07
1461059315510,9.95,0.0
1461059315520,9.95,0.0
1461059315530,9.95,3.6200000000000004e-07
1461059315540,9.95,1.0859999999999999e-06
1461059315550,9.95,0.0
1461059315560,9.95,0.0
1461059315570,9.95,0.0
1461059315580,9.95,3.6200000000000004e-07
1461059315590,9.95,0.0
1461059315600,9.95,3.6200000000000004e-07
1461059315610,9.95,0.0
1461059315620,9.95,0.0
1461059315630,9.95,0.0
1461059315640,9.95,3.6200000000000004e-07
1461059315650,9.95,3.6200000000000004e-07
1461059315660,9.95,3.6200000000000004e-07
1461059315670,9.95,3.6200000000000004e-07
1461059315680,9.95,3.6200000000000004e-07
1461059315690,9.95,0.0
1461059315700,9.95,1.0859999999999999e-06
1461059315710,9.95,0.0
1461059315720,9.95,3.6200000000000004e-07
1461059315730,9.95,0.0
1461059315740,9.95,3.6200000000000004e-07
1461059315750,9.95,0.0
1461059315760,9.95,0.0
1461059315770,9.95,3.6200000000000004e-07
1461059315780,9.95,3.6200000000000004e-07
1461059315790,9.95,3.6200000000000004e-07
1461059315800,9.95,3.6200000000000004e-07
1461059315810,9.95,0.0
1461059315820,9.95,3.6200000000000004e-07
1461059315830,9.95,0.0
1461059315840,9.95,3.6200000000000004e-07
1461059315850,9.95,0.0
1461059315860,9.95,3.6200000000000004e-07
1461059315870,9.95,1.0859999999999999e-06
1461059315880,9.95,3.6200000000000004e-07
1461059315890,9.95,3.6200000000000004e-07
1461059315900,9.95,0.0
1461059315910,9.95,3.6200000000000004e-07
1461059315920,9.95,0.0
1461059315930,9.95,0.0
1461059315940,9.95,3.6200000000000004e-07
1461059315950,9.95,0.0
1461059315960,9.95,0.0
1461059315970,9.95,0.0
1461059315980,9.95,3.6200000000000004e-07
1461059315990,9.95,7.240000000000001e-07
1461059316000,9.95,3.6200000000000004e-07
1461059316010,9.95,0.0
1461059316020,9.95,3.6200000000000004e-07
1461059316030,9.95,7.240000000000001e-07
1461059316040,9.95,3.6200000000000004e-07
1461059316050,9.95,0.0
1461059316060,9.95,0.0
1461059316070,9.95,3.6200000000000004e-07
1461059316080,9.95,3.6200000000000004e-07
1461059316090,9.95,0.0
1461059316100,9.95,0.0
1461059316110,9.95,3.6200000000000004e-07
1461059316120,9.95,0.0
1461059316130,9.95,0.0
1461059316140,9.95,3.6200000000000004e-07
1461059316150,9.95,1.0859999999999999e-06
1461059316160,9.95,0.0
1461059316170,9.95,0.0
1461059316180,9.95,3.6200000000000004e-07
1461059316190,9.95,7.240000000000001e-07
1461059316200,9.95,0.0
1461059316210,9.95,0.0
1461059316220,9.95,0.0
1461059316230,9.95,1.0859999999999999e-06
1461059316240,9.95,3.6200000000000004e-07
1461059316250,9.95,0.0
1461059316260,9.95,0.0
1461059316270,9.95,7.240000000000001e-07
1461059316280,9.95,0.0
1461059316290,9.95,0.0
1461059316300,9.95,3.6200000000000004e-07
1461059316310,9.95,0.0
1461059316320,9.95,0.0
1461059316330,9.95,1.4480000000000002e-06
1461059316340,9.95,7.240000000000001e-07
1461059316350,9.95,7.240000000000001e-07
1461059316360,9.95,0.0
1461059316370,9.95,3.6200000000000004e-07
1461059316380,9.95,7.240000000000001e-07
1461059316390,9.95,0.0
1461059316400,9.95,7.240000000000001e-07
1461059316410,9.95,0.0
1461059316420,9.95,0.0
1461059316430,9.95,0.0
1461059316440,9.95,7.240000000000001e-07
1461059316450,9.95,0.0
1461059316460,9.95,0.0
1461059316470,9.95,1.0859999999999999e-06
1461059316480,9.95,0.0
1461059316490,9.95,0.0
1461059316500,9.95,0.0
1461059316510,9.95,1.0859999999999999e-06
1461059316520,9.95,0.0
1461059316530,9.95,0.0
1461059316540,9.95,0.0
1461059316550,9.95,0.0
1461059316560,9.95,7.240000000000001e-07
1461059316570,9.95,0.0
1461059316580,9.95,3.6200000000000004e-07
1461059316590,9.95,0.0
1461059316600,9.95,7.240000000000001e-07
1461059316610,9.95,0.0
1461059316620,9.95,0.0
1461059316630,9.95,0.0
1461059316640,9.95,1.0859999999999999e-06
1461059316650,9.95,0.0
1461059316660,9.95,0.0
1461059316670,9.95,0.0
1461059316680,9.95,1.0859999999999999e-06
1461059316690,9.95,0.0
1461059316700,9.95,0.0
1461059316710,9.95,0.0
1461059316720,9.95,7.240000000000001e-07
1461059316730,9.95,0.0
1461059316740,9.95,0.0
1461059316750,9.95,3.6200000000000004e-07
1461059316760,9.95,1.0859999999999999e-06
1461059316770,9.95,0.0
1461059316780,9.95,0.0
1461059316790,9.95,0.0
1461059316800,9.95,3.6200000000000004e-07
1461059316810,9.95,3.6200000000000004e-07
1461059316820,9.95,7.240000000000001e-07
1461059316830,9.95,0.0
1461059316840,9.95,3.6200000000000004e-07
1461059316850,9.95,3.6200000000000004e-07
1461059316860,9.95,1.4480000000000002e-06
1461059316870,9.95,0.0
1461059316880,9.95,0.0
1461059316890,9.95,0.0
1461059316900,9.95,0.0
1461059316910,9.95,7.240000000000001e-07
1461059316920,9.95,3.6200000000000004e-07
1461059316930,9.95,0.0
1461059316940,9.95,3.6200000000000004e-07
1461059316950,9.95,0.0
1461059316960,9.95,0.0
1461059316970,9.95,7.240000000000001e-07
1461059316980,9.95,3.6200000000000004e-07
1461059316990,9.95,0.0
1461059317000,9.95,3.6200000000000004e-07
1461059317010,9.95,1.4480000000000002e-06
1461059317020,9.95,0.0
1461059317030,9.95,0.0
1461059317040,9.95,0.0
1461059317050,9.95,0.0
1461059317060,9.95,7.240000000000001e-07
1461059317070,9.95,0.0
1461059317080,9.95,0.0
1461059317090,9.95,3.6200000000000004e-07
1461059317100,9.95,7.240000000000001e-07
1461059317110,9.95,0.0
1461059317120,9.95,0.0
1461059317130,9.95,1.0859999999999999e-06
1461059317140,9.95,0.0
1461059317150,9.95,0.0
1461059317160,9.95,3.6200000000000004e-07
1461059317170,9.95,0.0
1461059317180,9.95,3.6200000000000004e-07
1461059317190,9.95,7.240000000000001e-07
1461059317200,9.95,0.0
1461059317210,9.95,0.0
1461059317220,9.95,7.240000000000001e-07
1461059317230,9.95,0.0
1461059317240,9.95,0.0
1461059317250,9.95,7.240000000000001e-07
1461059317260,9.95,0.0
1461059317270,9.95,7.240000000000001e-07
1461059317280,9.95,0.0
1461059317290,9.95,0.0
1461059317300,9.95,3.6200000000000004e-07
1461059317310,9.95,1.0859999999999999e-06
1461059317320,9.95,0.0
1461059317330,9.95,0.0
1461059317340,9.95,3.6200000000000004e-07
1461059317350,9.95,0.0
1461059317360,9.95,0.0
1461059317370,9.95,0.0
1461059317380,9.95,7.240000000000001e-07
1461059317390,9.95,3.6200000000000004e-07
1461059317400,9.95,3.6200000000000004e-07
1461059317410,9.95,0.0
1461059317420,9.95,3.6200000000000004e-07
1461059317430,9.95,3.6200000000000004e-07
1461059317440,9.95,0.0
1461059317450,9.95,0.0
1461059317460,9.95,3.6200000000000004e-07
1461059317470,9.95,0.0
1461059317480,9.95,3.6200000000000004e-07
1461059317490,9.95,3.6200000000000004e-07
1461059317500,9.95,0.0
1461059317510,9.95,3.6200000000000004e-07
1461059317520,9.95,7.240000000000001e-07
1461059317530,9.95,0.0
1461059317540,9.95,0.0
1461059317550,9.95,3.6200000000000004e-07
1461059317560,9.95,0.0
1461059317570,9.95,1.0859999999999999e-06
1461059317580,9.95,0.0
1461059317590,9.95,0.0
1461059317600,9.95,0.0
1461059317610,9.95,1.4480000000000002e-06
