Timestamp,position,BLMTI.06R3.B2E10_TCP.6R3.B2
1469745230890,-1.585,0.0
1469745230900,-1.585,1.0859999999999999e-06
1469745230910,-1.585,3.6200000000000004e-07
1469745230920,-1.585,7.240000000000001e-07
1469745230930,-1.585,7.240000000000001e-07
1469745230939,-1.585,1.4480000000000002e-06
1469745230949,-1.585,0.0
1469745230959,-1.585,1.0859999999999999e-06
1469745230969,-1.585,3.6200000000000004e-07
1469745230979,-1.585,1.4480000000000002e-06
1469745230989,-1.585,0.0
1469745230999,-1.585,7.240000000000001e-07
1469745231009,-1.585,7.240000000000001e-07
1469745231019,-1.585,3.6200000000000004e-07
1469745231029,-1.585,7.240000000000001e-07
1469745231039,-1.585,1.0859999999999999e-06
1469745231049,-1.585,3.6200000000000004e-07
1469745231059,-1.585,7.240000000000001e-07
1469745231069,-1.585,7.240000000000001e-07
1469745231079,-1.585,7.240000000000001e-07
1469745231089,-1.585,3.6200000000000004e-07
1469745231099,-1.585,1.0859999999999999e-06
1469745231109,-1.585,3.6200000000000004e-07
1469745231119,-1.585,7.240000000000001e-07
1469745231129,-1.585,3.6200000000000004e-07
1469745231139,-1.585,7.240000000000001e-07
1469745231149,-1.585,7.240000000000001e-07
1469745231159,-1.585,3.6200000000000004e-07
1469745231169,-1.585,0.0
1469745231179,-1.585,2.1719999999999997e-06
1469745231189,-1.585,0.0
1469745231199,-1.585,1.4480000000000002e-06
1469745231209,-1.585,0.0
1469745231219,-1.585,1.4480000000000002e-06
1469745231229,-1.585,7.240000000000001e-07
1469745231239,-1.585,7.240000000000001e-07
1469745231249,-1.585,7.240000000000001e-07
1469745231259,-1.585,3.6200000000000004e-07
1469745231269,-1.585,7.240000000000001e-07
1469745231279,-1.585,7.240000000000001e-07
1469745231289,-1.585,3.6200000000000004e-07
1469745231299,-1.585,0.0
1469745231309,-1.585,1.4480000000000002e-06
1469745231319,-1.585,7.240000000000001e-07
1469745231329,-1.585,3.6200000000000004e-07
1469745231339,-1.585,3.6200000000000004e-07
