Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1469983392900,1.635,0.0
1469983392910,1.635,1.81e-06
1469983392920,1.635,0.0
1469983392930,1.635,1.0859999999999999e-06
1469983392940,1.635,0.0
1469983392950,1.635,1.0859999999999999e-06
1469983392960,1.635,0.0
1469983392970,1.635,1.0859999999999999e-06
1469983392980,1.635,0.0
1469983392990,1.635,1.0859999999999999e-06
1469983393000,1.635,0.0
1469983393010,1.635,1.0859999999999999e-06
1469983393020,1.635,0.0
1469983393030,1.635,1.0859999999999999e-06
1469983393040,1.635,0.0
1469983393050,1.635,3.6200000000000004e-07
1469983393060,1.635,0.0
1469983393070,1.635,3.6200000000000004e-07
1469983393080,1.635,0.0
1469983393090,1.635,1.4480000000000002e-06
1469983393100,1.635,0.0
1469983393110,1.635,1.4480000000000002e-06
1469983393120,1.635,0.0
1469983393130,1.635,7.240000000000001e-07
1469983393140,1.635,0.0
1469983393150,1.635,1.0859999999999999e-06
1469983393160,1.635,0.0
1469983393170,1.635,1.0859999999999999e-06
1469983393180,1.635,0.0
1469983393190,1.635,1.0859999999999999e-06
1469983393200,1.635,0.0
1469983393210,1.635,3.6200000000000004e-07
1469983393220,1.635,0.0
1469983393230,1.635,1.0859999999999999e-06
1469983393240,1.635,0.0
1469983393250,1.635,7.240000000000001e-07
1469983393260,1.635,0.0
1469983393270,1.635,7.240000000000001e-07
1469983393280,1.635,0.0
1469983393290,1.635,7.240000000000001e-07
1469983393300,1.635,0.0
1469983393310,1.635,7.240000000000001e-07
1469983393320,1.635,0.0
1469983393330,1.635,1.0859999999999999e-06
1469983393340,1.635,0.0
1469983393350,1.635,3.6200000000000004e-07
1469983393360,1.635,0.0
1469983393370,1.635,1.4480000000000002e-06
1469983393380,1.635,0.0
1469983393390,1.635,1.0859999999999999e-06
1469983393400,1.635,0.0
1469983393410,1.635,1.4480000000000002e-06
1469983393420,1.635,0.0
1469983393430,1.635,3.6200000000000004e-07
1469983393440,1.635,0.0
1469983393450,1.635,7.240000000000001e-07
1469983393460,1.635,0.0
1469983393470,1.635,0.0
1469983393480,1.635,0.0
1469983393490,1.635,7.240000000000001e-07
1469983393500,1.635,0.0
1469983393510,1.635,3.6200000000000004e-07
1469983393520,1.635,0.0
1469983393530,1.635,1.0859999999999999e-06
1469983393540,1.635,0.0
1469983393550,1.635,1.0859999999999999e-06
1469983393560,1.635,0.0
1469983393570,1.635,1.4480000000000002e-06
1469983393580,1.635,0.0
1469983393590,1.635,3.6200000000000004e-07
1469983393600,1.635,0.0
1469983393610,1.635,1.0859999999999999e-06
1469983393620,1.635,0.0
1469983393630,1.635,1.0859999999999999e-06
1469983393640,1.635,0.0
1469983393650,1.635,1.0859999999999999e-06
1469983393660,1.635,0.0
1469983393670,1.635,7.240000000000001e-07
1469983393680,1.635,0.0
1469983393690,1.635,7.240000000000001e-07
1469983393700,1.635,0.0
1469983393710,1.635,7.240000000000001e-07
1469983393720,1.635,3.6200000000000004e-07
1469983393730,1.635,0.0
1469983393740,1.635,0.0
1469983393750,1.635,0.0
1469983393760,1.635,0.0
1469983393770,1.635,3.6200000000000004e-07
1469983393780,1.635,0.0
1469983393790,1.635,1.81e-06
1469983393800,1.635,0.0
1469983393810,1.635,3.6200000000000004e-07
1469983393820,1.635,0.0
1469983393830,1.635,1.0859999999999999e-06
1469983393840,1.635,0.0
1469983393850,1.635,1.4480000000000002e-06
1469983393860,1.635,0.0
1469983393870,1.635,7.240000000000001e-07
1469983393880,1.635,0.0
1469983393890,1.635,7.240000000000001e-07
1469983393900,1.635,0.0
1469983393910,1.635,1.0859999999999999e-06
1469983393920,1.635,0.0
1469983393930,1.635,1.0859999999999999e-06
1469983393940,1.635,0.0
1469983393950,1.635,7.240000000000001e-07
1469983393960,1.635,3.6200000000000004e-07
1469983393970,1.635,7.240000000000001e-07
1469983393980,1.635,0.0
1469983393990,1.635,1.4480000000000002e-06
1469983394000,1.635,0.0
1469983394010,1.635,1.4480000000000002e-06
1469983394020,1.635,0.0
1469983394030,1.635,7.240000000000001e-07
1469983394040,1.635,0.0
1469983394050,1.635,1.4480000000000002e-06
1469983394060,1.635,0.0
1469983394070,1.635,1.0859999999999999e-06
1469983394080,1.635,0.0
1469983394090,1.635,7.240000000000001e-07
1469983394100,1.635,0.0
1469983394110,1.635,1.4480000000000002e-06
1469983394120,1.635,0.0
1469983394130,1.635,3.6200000000000004e-07
1469983394140,1.635,0.0
1469983394150,1.635,7.240000000000001e-07
1469983394160,1.635,0.0
1469983394170,1.635,3.6200000000000004e-07
1469983394180,1.635,3.6200000000000004e-07
1469983394190,1.635,7.240000000000001e-07
1469983394200,1.635,0.0
1469983394210,1.635,1.0859999999999999e-06
1469983394220,1.635,0.0
1469983394230,1.635,3.6200000000000004e-07
1469983394240,1.635,0.0
1469983394250,1.635,3.6200000000000004e-07
1469983394260,1.635,0.0
1469983394270,1.635,1.0859999999999999e-06
1469983394280,1.635,0.0
1469983394290,1.635,7.240000000000001e-07
1469983394300,1.635,0.0
1469983394310,1.635,1.0859999999999999e-06
1469983394320,1.635,0.0
1469983394330,1.635,1.0859999999999999e-06
1469983394340,1.635,0.0
1469983394350,1.635,7.240000000000001e-07
1469983394360,1.635,0.0
1469983394370,1.635,1.0859999999999999e-06
1469983394380,1.635,0.0
1469983394390,1.635,7.240000000000001e-07
1469983394400,1.635,0.0
1469983394410,1.635,1.4480000000000002e-06
1469983394420,1.635,0.0
1469983394430,1.635,3.6200000000000004e-07
1469983394440,1.635,0.0
1469983394450,1.635,7.240000000000001e-07
1469983394460,1.635,0.0
1469983394470,1.635,1.0859999999999999e-06
1469983394480,1.635,0.0
1469983394490,1.635,1.0859999999999999e-06
1469983394500,1.635,0.0
1469983394510,1.635,3.6200000000000004e-07
1469983394520,1.635,0.0
1469983394530,1.635,1.0859999999999999e-06
1469983394540,1.635,0.0
1469983394550,1.635,7.240000000000001e-07
1469983394560,1.635,0.0
1469983394570,1.635,1.81e-06
1469983394580,1.635,0.0
1469983394590,1.635,7.240000000000001e-07
1469983394600,1.635,0.0
