Timestamp,position,BLMTI.04R8.B2E10_TCTPV.4R8.B2
1469990120420,9.115,0.0
1469990120430,9.115,7.240000000000001e-07
1469990120440,9.115,0.0
1469990120450,9.115,3.6200000000000004e-07
1469990120460,9.115,0.0
1469990120470,9.115,1.4480000000000002e-06
1469990120480,9.115,3.6200000000000004e-07
1469990120490,9.115,0.0
1469990120500,9.115,0.0
1469990120510,9.115,0.0
1469990120520,9.115,0.0
1469990120530,9.115,1.81e-06
1469990120540,9.115,7.240000000000001e-07
1469990120550,9.115,3.6200000000000004e-07
1469990120560,9.115,3.6200000000000004e-07
1469990120570,9.115,3.6200000000000004e-07
1469990120580,9.115,0.0
1469990120590,9.115,7.240000000000001e-07
1469990120600,9.115,0.0
1469990120610,9.115,7.240000000000001e-07
1469990120620,9.115,0.0
1469990120630,9.115,7.240000000000001e-07
1469990120640,9.115,0.0
1469990120650,9.115,1.0859999999999999e-06
1469990120660,9.115,0.0
1469990120670,9.115,7.240000000000001e-07
1469990120680,9.115,0.0
1469990120690,9.115,3.6200000000000004e-07
1469990120700,9.115,3.6200000000000004e-07
1469990120710,9.115,3.6200000000000004e-07
1469990120720,9.115,0.0
1469990120730,9.115,7.240000000000001e-07
1469990120740,9.115,3.6200000000000004e-07
1469990120750,9.115,3.6200000000000004e-07
1469990120760,9.115,0.0
1469990120770,9.115,7.240000000000001e-07
1469990120780,9.115,3.6200000000000004e-07
1469990120790,9.115,3.6200000000000004e-07
1469990120800,9.115,0.0
1469990120810,9.115,3.6200000000000004e-07
1469990120820,9.115,0.0
1469990120830,9.115,7.240000000000001e-07
1469990120840,9.115,0.0
1469990120850,9.115,7.240000000000001e-07
1469990120860,9.115,0.0
1469990120870,9.115,3.6200000000000004e-07
1469990120880,9.115,0.0
1469990120890,9.115,1.0859999999999999e-06
1469990120900,9.115,0.0
1469990120910,9.115,1.0859999999999999e-06
1469990120920,9.115,3.6200000000000004e-07
1469990120930,9.115,0.0
1469990120940,9.115,0.0
1469990120950,9.115,1.0859999999999999e-06
1469990120960,9.115,0.0
1469990120970,9.115,3.6200000000000004e-07
1469990120980,9.115,3.6200000000000004e-07
1469990120990,9.115,1.0859999999999999e-06
1469990121000,9.115,3.6200000000000004e-07
1469990121010,9.115,7.240000000000001e-07
1469990121020,9.115,3.6200000000000004e-07
1469990121030,9.115,1.0859999999999999e-06
1469990121040,9.115,3.6200000000000004e-07
1469990121050,9.115,1.0859999999999999e-06
1469990121060,9.115,7.240000000000001e-07
1469990121070,9.115,0.0
1469990121080,9.115,0.0
1469990121090,9.115,7.240000000000001e-07
1469990121100,9.115,3.6200000000000004e-07
1469990121110,9.115,1.0859999999999999e-06
1469990121120,9.115,0.0
1469990121130,9.115,7.240000000000001e-07
1469990121140,9.115,0.0
1469990121150,9.115,3.6200000000000004e-07
1469990121160,9.115,3.6200000000000004e-07
1469990121170,9.115,3.6200000000000004e-07
1469990121180,9.115,0.0
1469990121190,9.115,3.6200000000000004e-07
1469990121200,9.115,0.0
1469990121210,9.115,7.240000000000001e-07
1469990121220,9.115,3.6200000000000004e-07
1469990121230,9.115,1.0859999999999999e-06
1469990121240,9.115,3.6200000000000004e-07
1469990121250,9.115,3.6200000000000004e-07
1469990121260,9.115,0.0
1469990121270,9.115,3.6200000000000004e-07
1469990121280,9.115,0.0
1469990121290,9.115,7.240000000000001e-07
1469990121300,9.115,3.6200000000000004e-07
1469990121310,9.115,7.240000000000001e-07
1469990121320,9.115,0.0
1469990121330,9.115,1.0859999999999999e-06
1469990121340,9.115,3.6200000000000004e-07
1469990121350,9.115,1.0859999999999999e-06
1469990121360,9.115,0.0
1469990121370,9.115,0.0
1469990121380,9.115,0.0
1469990121390,9.115,7.240000000000001e-07
1469990121400,9.115,0.0
1469990121410,9.115,3.6200000000000004e-07
1469990121420,9.115,3.6200000000000004e-07
1469990121430,9.115,7.240000000000001e-07
1469990121440,9.115,3.6200000000000004e-07
1469990121450,9.115,3.6200000000000004e-07
1469990121460,9.115,0.0
1469990121470,9.115,7.240000000000001e-07
1469990121480,9.115,7.240000000000001e-07
1469990121490,9.115,0.0
1469990121500,9.115,0.0
1469990121510,9.115,7.240000000000001e-07
1469990121520,9.115,0.0
1469990121530,9.115,1.0859999999999999e-06
1469990121540,9.115,3.6200000000000004e-07
1469990121550,9.115,0.0
1469990121560,9.115,0.0
1469990121570,9.115,1.0859999999999999e-06
1469990121580,9.115,0.0
1469990121590,9.115,7.240000000000001e-07
1469990121600,9.115,0.0
1469990121610,9.115,3.6200000000000004e-07
1469990121620,9.115,3.6200000000000004e-07
1469990121630,9.115,7.240000000000001e-07
1469990121640,9.115,3.6200000000000004e-07
1469990121650,9.115,7.240000000000001e-07
1469990121660,9.115,3.6200000000000004e-07
1469990121670,9.115,1.0859999999999999e-06
1469990121680,9.115,3.6200000000000004e-07
1469990121690,9.115,3.6200000000000004e-07
1469990121700,9.115,3.6200000000000004e-07
1469990121710,9.115,3.6200000000000004e-07
1469990121720,9.115,0.0
1469990121730,9.115,0.0
1469990121740,9.115,0.0
1469990121750,9.115,1.81e-06
1469990121760,9.115,0.0
1469990121770,9.115,0.0
1469990121780,9.115,0.0
1469990121790,9.115,3.6200000000000004e-07
1469990121800,9.115,0.0
1469990121810,9.115,1.81e-06
1469990121820,9.115,7.240000000000001e-07
1469990121830,9.115,0.0
1469990121840,9.115,0.0
1469990121850,9.115,3.6200000000000004e-07
1469990121860,9.115,3.6200000000000004e-07
1469990121870,9.115,3.6200000000000004e-07
1469990121880,9.115,3.6200000000000004e-07
1469990121890,9.115,7.240000000000001e-07
1469990121900,9.115,0.0
1469990121910,9.115,7.240000000000001e-07
1469990121920,9.115,0.0
1469990121930,9.115,0.0
1469990121940,9.115,0.0
1469990121950,9.115,3.6200000000000004e-07
1469990121960,9.115,7.240000000000001e-07
1469990121970,9.115,3.6200000000000004e-07
1469990121980,9.115,3.6200000000000004e-07
1469990121990,9.115,0.0
1469990122000,9.115,3.6200000000000004e-07
1469990122010,9.115,7.240000000000001e-07
1469990122020,9.115,0.0
1469990122030,9.115,7.240000000000001e-07
1469990122040,9.115,0.0
1469990122050,9.115,1.0859999999999999e-06
1469990122060,9.115,3.6200000000000004e-07
1469990122070,9.115,3.6200000000000004e-07
1469990122080,9.115,7.240000000000001e-07
1469990122090,9.115,0.0
1469990122100,9.115,3.6200000000000004e-07
1469990122110,9.115,3.6200000000000004e-07
1469990122120,9.115,7.240000000000001e-07
1469990122130,9.115,0.0
1469990122140,9.115,0.0
