Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1469990224420,8.59,1.0859999999999999e-06
1469990224430,8.59,0.0
1469990224440,8.59,0.0
1469990224450,8.59,0.0
1469990224460,8.59,0.0
1469990224470,8.59,3.6200000000000004e-07
1469990224480,8.59,3.6200000000000004e-07
1469990224490,8.59,7.240000000000001e-07
1469990224500,8.59,0.0
1469990224510,8.59,7.240000000000001e-07
1469990224520,8.59,0.0
1469990224530,8.59,0.0
1469990224540,8.59,0.0
1469990224550,8.59,7.240000000000001e-07
1469990224560,8.59,0.0
1469990224570,8.59,3.6200000000000004e-07
1469990224580,8.59,7.240000000000001e-07
1469990224590,8.59,0.0
1469990224600,8.59,3.6200000000000004e-07
1469990224610,8.59,0.0
1469990224620,8.59,3.6200000000000004e-07
1469990224630,8.59,0.0
1469990224640,8.59,3.6200000000000004e-07
1469990224650,8.59,0.0
1469990224660,8.59,7.240000000000001e-07
1469990224670,8.59,0.0
1469990224680,8.59,1.0859999999999999e-06
1469990224690,8.59,0.0
1469990224700,8.59,3.6200000000000004e-07
1469990224710,8.59,3.6200000000000004e-07
1469990224720,8.59,3.6200000000000004e-07
1469990224730,8.59,1.0859999999999999e-06
1469990224740,8.59,1.0859999999999999e-06
1469990224750,8.59,0.0
1469990224760,8.59,3.6200000000000004e-07
1469990224770,8.59,3.6200000000000004e-07
1469990224780,8.59,3.6200000000000004e-07
1469990224790,8.59,0.0
1469990224800,8.59,3.6200000000000004e-07
1469990224810,8.59,0.0
1469990224820,8.59,0.0
1469990224830,8.59,0.0
1469990224840,8.59,3.6200000000000004e-07
1469990224850,8.59,3.6200000000000004e-07
1469990224860,8.59,3.6200000000000004e-07
1469990224870,8.59,7.240000000000001e-07
1469990224880,8.59,1.0859999999999999e-06
1469990224890,8.59,0.0
1469990224900,8.59,0.0
1469990224910,8.59,3.6200000000000004e-07
1469990224920,8.59,3.6200000000000004e-07
1469990224930,8.59,7.240000000000001e-07
1469990224940,8.59,0.0
1469990224950,8.59,3.6200000000000004e-07
1469990224960,8.59,3.6200000000000004e-07
1469990224970,8.59,3.6200000000000004e-07
1469990224980,8.59,0.0
1469990224990,8.59,3.6200000000000004e-07
1469990225000,8.59,3.6200000000000004e-07
1469990225010,8.59,7.240000000000001e-07
1469990225020,8.59,0.0
1469990225030,8.59,0.0
1469990225040,8.59,1.0859999999999999e-06
1469990225050,8.59,0.0
1469990225060,8.59,0.0
1469990225070,8.59,3.6200000000000004e-07
1469990225080,8.59,7.240000000000001e-07
1469990225090,8.59,0.0
1469990225100,8.59,3.6200000000000004e-07
1469990225110,8.59,7.240000000000001e-07
1469990225120,8.59,7.240000000000001e-07
1469990225130,8.59,0.0
1469990225140,8.59,0.0
1469990225150,8.59,0.0
1469990225160,8.59,1.0859999999999999e-06
1469990225170,8.59,0.0
1469990225180,8.59,0.0
1469990225190,8.59,7.240000000000001e-07
