Timestamp,position,BLMTI.04R1.B2I10_TCTPV.4R1.B2
1469995026950,6.78,7.240000000000001e-07
1469995026960,6.78,0.0
1469995026970,6.78,0.0
1469995026980,6.78,0.0
1469995026990,6.78,0.0
1469995027000,6.78,0.0
1469995027010,6.78,1.4480000000000002e-06
1469995027020,6.78,7.240000000000001e-07
1469995027030,6.78,2.1719999999999997e-06
1469995027040,6.78,2.1719999999999997e-06
1469995027050,6.78,3.62e-06
1469995027060,6.78,2.1719999999999997e-06
1469995027070,6.78,0.0
1469995027080,6.78,0.0
1469995027090,6.78,0.0
1469995027100,6.78,0.0
1469995027110,6.78,3.6200000000000004e-07
1469995027120,6.78,0.0
1469995027130,6.78,0.0
1469995027140,6.78,0.0
1469995027150,6.78,0.0
1469995027160,6.78,0.0
1469995027170,6.78,0.0
1469995027180,6.78,1.0859999999999999e-06
1469995027190,6.78,3.6200000000000004e-07
1469995027200,6.78,0.0
1469995027210,6.78,0.0
1469995027220,6.78,3.6200000000000004e-07
1469995027230,6.78,0.0
1469995027240,6.78,7.240000000000001e-07
1469995027250,6.78,1.0859999999999999e-06
1469995027260,6.78,7.240000000000001e-07
1469995027270,6.78,0.0
1469995027280,6.78,0.0
1469995027290,6.78,0.0
1469995027300,6.78,1.81e-06
1469995027310,6.78,1.4480000000000002e-06
1469995027320,6.78,0.0
1469995027330,6.78,0.0
1469995027340,6.78,0.0
1469995027350,6.78,0.0
1469995027360,6.78,0.0
1469995027370,6.78,0.0
1469995027380,6.78,0.0
1469995027390,6.78,7.240000000000001e-07
1469995027400,6.78,1.0859999999999999e-06
1469995027410,6.78,3.6200000000000004e-07
1469995027420,6.78,1.0859999999999999e-06
1469995027430,6.78,0.0
1469995027440,6.78,1.4480000000000002e-06
1469995027450,6.78,1.0859999999999999e-06
1469995027460,6.78,1.81e-06
1469995027470,6.78,3.6200000000000004e-07
1469995027480,6.78,0.0
1469995027490,6.78,0.0
1469995027500,6.78,1.4480000000000002e-06
1469995027510,6.78,7.240000000000001e-07
