Timestamp,position,BLMTI.04R1.B2I10_TCTPV.4R1.B2
1469994963950,-7.0,0.0
1469994963960,-7.0,0.0
1469994963970,-7.0,3.6200000000000004e-07
1469994963980,-7.0,3.6200000000000004e-07
1469994963990,-7.0,3.6200000000000004e-07
1469994964000,-7.0,1.81e-06
1469994964010,-7.0,3.6200000000000004e-07
1469994964020,-7.0,3.6200000000000004e-07
1469994964030,-7.0,0.0
1469994964040,-7.0,1.4480000000000002e-06
1469994964050,-7.0,1.0859999999999999e-06
1469994964060,-7.0,7.240000000000001e-07
1469994964070,-7.0,1.4480000000000002e-06
1469994964080,-7.0,7.240000000000001e-07
1469994964090,-7.0,3.6200000000000004e-07
1469994964100,-7.0,1.0859999999999999e-06
1469994964110,-7.0,1.0859999999999999e-06
1469994964120,-7.0,0.0
1469994964130,-7.0,7.240000000000001e-07
1469994964140,-7.0,2.5340000000000002e-06
1469994964150,-7.0,7.240000000000001e-07
1469994964160,-7.0,1.4480000000000002e-06
1469994964170,-7.0,1.0859999999999999e-06
1469994964180,-7.0,1.81e-06
1469994964190,-7.0,1.0859999999999999e-06
1469994964200,-7.0,1.4480000000000002e-06
1469994964210,-7.0,3.6200000000000004e-07
1469994964220,-7.0,0.0
1469994964230,-7.0,0.0
1469994964240,-7.0,0.0
1469994964250,-7.0,0.0
1469994964260,-7.0,0.0
1469994964270,-7.0,0.0
1469994964280,-7.0,0.0
1469994964290,-7.0,0.0
1469994964300,-7.0,0.0
1469994964310,-7.0,0.0
1469994964320,-7.0,0.0
1469994964330,-7.0,0.0
1469994964340,-7.0,3.6200000000000004e-07
1469994964350,-7.0,0.0
1469994964360,-7.0,0.0
1469994964370,-7.0,0.0
1469994964380,-7.0,3.6200000000000004e-07
1469994964390,-7.0,1.81e-06
1469994964400,-7.0,7.240000000000001e-07
1469994964410,-7.0,1.0859999999999999e-06
1469994964420,-7.0,0.0
1469994964430,-7.0,2.1719999999999997e-06
1469994964440,-7.0,0.0
1469994964450,-7.0,0.0
1469994964460,-7.0,7.240000000000001e-07
1469994964470,-7.0,1.0859999999999999e-06
1469994964480,-7.0,3.6200000000000004e-07
1469994964490,-7.0,0.0
1469994964500,-7.0,7.240000000000001e-07
1469994964510,-7.0,0.0
1469994964520,-7.0,0.0
1469994964530,-7.0,0.0
1469994964540,-7.0,1.81e-06
1469994964550,-7.0,1.4480000000000002e-06
1469994964560,-7.0,3.6200000000000004e-07
1469994964570,-7.0,1.4480000000000002e-06
1469994964580,-7.0,7.240000000000001e-07
1469994964590,-7.0,1.4480000000000002e-06
1469994964600,-7.0,0.0
1469994964610,-7.0,0.0
1469994964620,-7.0,0.0
1469994964630,-7.0,0.0
1469994964640,-7.0,3.6200000000000004e-07
1469994964650,-7.0,0.0
1469994964660,-7.0,0.0
1469994964670,-7.0,0.0
1469994964680,-7.0,0.0
1469994964690,-7.0,0.0
1469994964700,-7.0,1.4480000000000002e-06
1469994964710,-7.0,0.0
1469994964720,-7.0,1.0859999999999999e-06
1469994964730,-7.0,0.0
1469994964740,-7.0,0.0
1469994964750,-7.0,0.0
1469994964760,-7.0,0.0
1469994964770,-7.0,0.0
1469994964780,-7.0,0.0
1469994964790,-7.0,1.4480000000000002e-06
1469994964800,-7.0,7.240000000000001e-07
1469994964810,-7.0,0.0
1469994964820,-7.0,0.0
1469994964830,-7.0,0.0
1469994964840,-7.0,0.0
1469994964850,-7.0,0.0
1469994964860,-7.0,0.0
1469994964870,-7.0,0.0
1469994964880,-7.0,8.326e-06
1469994964890,-7.0,7.240000000000001e-07
1469994964900,-7.0,0.0
