Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1459600541080,6.64,0.0
1459600541090,6.64,3.6200000000000004e-07
1459600541100,6.64,0.0
1459600541110,6.64,3.6200000000000004e-07
1459600541120,6.64,0.0
1459600541130,6.64,1.0859999999999999e-06
1459600541140,6.64,0.0
1459600541150,6.64,7.240000000000001e-07
1459600541160,6.64,0.0
1459600541170,6.64,3.6200000000000004e-07
1459600541180,6.64,0.0
1459600541190,6.64,7.240000000000001e-07
1459600541200,6.64,0.0
1459600541210,6.64,7.240000000000001e-07
1459600541220,6.64,0.0
1459600541230,6.64,1.0859999999999999e-06
1459600541240,6.64,0.0
1459600541250,6.64,1.0859999999999999e-06
1459600541260,6.64,0.0
1459600541270,6.64,7.240000000000001e-07
1459600541280,6.64,0.0
1459600541290,6.64,7.240000000000001e-07
1459600541300,6.64,0.0
1459600541310,6.64,1.0859999999999999e-06
1459600541320,6.64,0.0
1459600541330,6.64,7.240000000000001e-07
1459600541340,6.64,0.0
1459600541350,6.64,3.6200000000000004e-07
1459600541360,6.64,0.0
1459600541370,6.64,1.0859999999999999e-06
1459600541380,6.64,0.0
1459600541390,6.64,1.0859999999999999e-06
1459600541400,6.64,0.0
1459600541410,6.64,7.240000000000001e-07
1459600541420,6.64,0.0
1459600541430,6.64,7.240000000000001e-07
1459600541440,6.64,0.0
1459600541450,6.64,1.0859999999999999e-06
1459600541460,6.64,0.0
1459600541470,6.64,7.240000000000001e-07
1459600541480,6.64,0.0
1459600541490,6.64,1.0859999999999999e-06
1459600541500,6.64,0.0
1459600541510,6.64,7.240000000000001e-07
1459600541520,6.64,0.0
1459600541530,6.64,1.0859999999999999e-06
1459600541540,6.64,0.0
1459600541550,6.64,7.240000000000001e-07
1459600541560,6.64,0.0
1459600541570,6.64,1.0859999999999999e-06
1459600541580,6.64,0.0
1459600541590,6.64,1.0859999999999999e-06
1459600541600,6.64,3.6200000000000004e-07
1459600541610,6.64,1.0859999999999999e-06
1459600541620,6.64,0.0
1459600541630,6.64,1.0859999999999999e-06
1459600541640,6.64,0.0
1459600541650,6.64,1.0859999999999999e-06
1459600541660,6.64,0.0
1459600541670,6.64,0.0
1459600541680,6.64,3.6200000000000004e-07
1459600541690,6.64,3.6200000000000004e-07
1459600541700,6.64,0.0
1459600541710,6.64,1.0859999999999999e-06
1459600541720,6.64,0.0
1459600541730,6.64,3.6200000000000004e-07
1459600541740,6.64,0.0
1459600541750,6.64,7.240000000000001e-07
1459600541760,6.64,0.0
1459600541770,6.64,7.240000000000001e-07
1459600541780,6.64,0.0
1459600541790,6.64,1.0859999999999999e-06
1459600541800,6.64,0.0
1459600541810,6.64,1.0859999999999999e-06
1459600541820,6.64,0.0
1459600541830,6.64,1.0859999999999999e-06
1459600541840,6.64,0.0
1459600541850,6.64,7.240000000000001e-07
1459600541860,6.64,3.6200000000000004e-07
1459600541870,6.64,7.240000000000001e-07
1459600541880,6.64,0.0
1459600541890,6.64,1.0859999999999999e-06
1459600541900,6.64,0.0
1459600541910,6.64,1.0859999999999999e-06
1459600541920,6.64,0.0
1459600541930,6.64,7.240000000000001e-07
1459600541940,6.64,0.0
1459600541950,6.64,7.240000000000001e-07
1459600541960,6.64,0.0
1459600541970,6.64,1.4480000000000002e-06
1459600541980,6.64,0.0
1459600541990,6.64,7.240000000000001e-07
1459600542000,6.64,0.0
1459600542010,6.64,0.0
1459600542020,6.64,0.0
1459600542030,6.64,1.0859999999999999e-06
1459600542040,6.64,0.0
1459600542050,6.64,3.6200000000000004e-07
1459600542060,6.64,3.6200000000000004e-07
1459600542070,6.64,7.240000000000001e-07
1459600542080,6.64,0.0
1459600542090,6.64,1.0859999999999999e-06
1459600542100,6.64,3.6200000000000004e-07
1459600542110,6.64,3.6200000000000004e-07
1459600542120,6.64,3.6200000000000004e-07
1459600542130,6.64,7.240000000000001e-07
1459600542140,6.64,0.0
1459600542150,6.64,1.4480000000000002e-06
1459600542160,6.64,0.0
1459600542170,6.64,7.240000000000001e-07
