Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1459601003730,9.06,0.0
1459601003740,9.06,7.240000000000001e-07
1459601003750,9.06,0.0
1459601003760,9.06,7.240000000000001e-07
1459601003770,9.06,0.0
1459601003780,9.06,3.6200000000000004e-07
1459601003790,9.06,0.0
1459601003800,9.06,7.240000000000001e-07
1459601003810,9.06,0.0
1459601003820,9.06,7.240000000000001e-07
1459601003830,9.06,3.6200000000000004e-07
1459601003840,9.06,3.6200000000000004e-07
1459601003850,9.06,0.0
1459601003860,9.06,3.6200000000000004e-07
1459601003870,9.06,0.0
1459601003880,9.06,1.0859999999999999e-06
1459601003890,9.06,0.0
1459601003900,9.06,7.240000000000001e-07
1459601003910,9.06,0.0
1459601003920,9.06,7.240000000000001e-07
1459601003930,9.06,0.0
1459601003940,9.06,0.0
1459601003950,9.06,0.0
1459601003960,9.06,1.0859999999999999e-06
1459601003970,9.06,0.0
1459601003980,9.06,0.0
1459601003990,9.06,0.0
1459601004000,9.06,7.240000000000001e-07
1459601004010,9.06,0.0
1459601004020,9.06,7.240000000000001e-07
1459601004030,9.06,0.0
1459601004040,9.06,0.0
1459601004050,9.06,0.0
1459601004060,9.06,1.0859999999999999e-06
1459601004070,9.06,0.0
1459601004080,9.06,1.0859999999999999e-06
1459601004090,9.06,0.0
1459601004100,9.06,7.240000000000001e-07
1459601004110,9.06,0.0
1459601004120,9.06,7.240000000000001e-07
1459601004130,9.06,0.0
1459601004140,9.06,3.6200000000000004e-07
1459601004150,9.06,0.0
1459601004160,9.06,7.240000000000001e-07
1459601004170,9.06,0.0
1459601004180,9.06,3.6200000000000004e-07
1459601004190,9.06,0.0
1459601004200,9.06,7.240000000000001e-07
1459601004210,9.06,0.0
1459601004220,9.06,3.6200000000000004e-07
1459601004230,9.06,0.0
1459601004240,9.06,0.0
1459601004250,9.06,0.0
1459601004260,9.06,1.0859999999999999e-06
1459601004270,9.06,0.0
1459601004280,9.06,0.0
1459601004290,9.06,3.6200000000000004e-07
1459601004300,9.06,3.6200000000000004e-07
1459601004310,9.06,3.6200000000000004e-07
1459601004320,9.06,3.6200000000000004e-07
1459601004330,9.06,0.0
1459601004340,9.06,1.0859999999999999e-06
1459601004350,9.06,0.0
1459601004360,9.06,3.6200000000000004e-07
1459601004370,9.06,0.0
1459601004380,9.06,3.6200000000000004e-07
1459601004390,9.06,0.0
1459601004400,9.06,7.240000000000001e-07
1459601004410,9.06,0.0
1459601004420,9.06,0.0
1459601004430,9.06,0.0
1459601004440,9.06,3.6200000000000004e-07
1459601004450,9.06,3.6200000000000004e-07
1459601004460,9.06,7.240000000000001e-07
1459601004470,9.06,0.0
1459601004480,9.06,0.0
1459601004490,9.06,3.6200000000000004e-07
1459601004500,9.06,3.6200000000000004e-07
1459601004510,9.06,3.6200000000000004e-07
1459601004520,9.06,3.6200000000000004e-07
1459601004530,9.06,0.0
1459601004540,9.06,1.0859999999999999e-06
1459601004550,9.06,0.0
1459601004560,9.06,7.240000000000001e-07
1459601004570,9.06,0.0
1459601004580,9.06,3.6200000000000004e-07
1459601004590,9.06,0.0
1459601004600,9.06,7.240000000000001e-07
1459601004610,9.06,0.0
1459601004620,9.06,7.240000000000001e-07
1459601004630,9.06,0.0
1459601004640,9.06,0.0
1459601004650,9.06,3.6200000000000004e-07
1459601004660,9.06,3.6200000000000004e-07
1459601004670,9.06,0.0
1459601004680,9.06,3.6200000000000004e-07
1459601004690,9.06,0.0
1459601004700,9.06,7.240000000000001e-07
1459601004710,9.06,0.0
1459601004720,9.06,3.6200000000000004e-07
1459601004730,9.06,0.0
1459601004740,9.06,1.0859999999999999e-06
1459601004750,9.06,0.0
1459601004760,9.06,1.0859999999999999e-06
1459601004770,9.06,0.0
1459601004780,9.06,7.240000000000001e-07
1459601004790,9.06,0.0
1459601004800,9.06,0.0
1459601004810,9.06,0.0
1459601004820,9.06,7.240000000000001e-07
1459601004830,9.06,0.0
1459601004840,9.06,1.0859999999999999e-06
1459601004850,9.06,0.0
1459601004860,9.06,0.0
1459601004870,9.06,0.0
1459601004880,9.06,3.6200000000000004e-07
1459601004890,9.06,3.6200000000000004e-07
