Timestamp,position,BLMTI.04L2.B1E10_TCTPH.4L2.B1
1459602054070,3.195,7.240000000000001e-07
1459602054080,3.195,7.240000000000001e-07
1459602054090,3.195,3.6200000000000004e-07
1459602054100,3.195,7.240000000000001e-07
1459602054110,3.195,0.0
1459602054120,3.195,7.240000000000001e-07
1459602054130,3.195,0.0
1459602054140,3.195,1.0859999999999999e-06
1459602054150,3.195,0.0
1459602054160,3.195,0.0
1459602054170,3.195,3.6200000000000004e-07
1459602054180,3.195,7.240000000000001e-07
1459602054190,3.195,3.6200000000000004e-07
1459602054200,3.195,0.0
1459602054210,3.195,7.240000000000001e-07
1459602054220,3.195,0.0
1459602054230,3.195,3.6200000000000004e-07
1459602054240,3.195,7.240000000000001e-07
1459602054250,3.195,0.0
1459602054260,3.195,3.6200000000000004e-07
1459602054270,3.195,0.0
1459602054280,3.195,1.0859999999999999e-06
1459602054290,3.195,0.0
1459602054300,3.195,7.240000000000001e-07
1459602054310,3.195,0.0
1459602054320,3.195,7.240000000000001e-07
1459602054330,3.195,0.0
1459602054340,3.195,0.0
1459602054350,3.195,7.240000000000001e-07
1459602054360,3.195,7.240000000000001e-07
1459602054370,3.195,0.0
1459602054380,3.195,3.6200000000000004e-07
1459602054390,3.195,7.240000000000001e-07
1459602054400,3.195,0.0
1459602054410,3.195,1.0859999999999999e-06
1459602054420,3.195,0.0
1459602054430,3.195,3.6200000000000004e-07
1459602054440,3.195,3.6200000000000004e-07
1459602054450,3.195,3.6200000000000004e-07
1459602054460,3.195,7.240000000000001e-07
1459602054470,3.195,3.6200000000000004e-07
1459602054480,3.195,3.6200000000000004e-07
1459602054490,3.195,0.0
1459602054500,3.195,1.0859999999999999e-06
1459602054510,3.195,0.0
1459602054520,3.195,7.240000000000001e-07
1459602054530,3.195,0.0
1459602054540,3.195,3.6200000000000004e-07
1459602054550,3.195,3.6200000000000004e-07
1459602054560,3.195,1.81e-06
1459602054570,3.195,0.0
1459602054580,3.195,7.240000000000001e-07
1459602054590,3.195,0.0
1459602054600,3.195,3.6200000000000004e-07
1459602054610,3.195,3.6200000000000004e-07
1459602054620,3.195,3.6200000000000004e-07
1459602054630,3.195,3.6200000000000004e-07
1459602054640,3.195,3.6200000000000004e-07
1459602054650,3.195,1.0859999999999999e-06
1459602054660,3.195,3.6200000000000004e-07
1459602054670,3.195,0.0
1459602054680,3.195,3.6200000000000004e-07
1459602054690,3.195,3.6200000000000004e-07
1459602054700,3.195,1.4480000000000002e-06
1459602054710,3.195,0.0
1459602054720,3.195,7.240000000000001e-07
1459602054730,3.195,0.0
1459602054740,3.195,0.0
1459602054750,3.195,0.0
1459602054760,3.195,1.0859999999999999e-06
1459602054770,3.195,0.0
1459602054780,3.195,3.6200000000000004e-07
1459602054790,3.195,3.6200000000000004e-07
1459602054800,3.195,3.6200000000000004e-07
1459602054810,3.195,0.0
1459602054820,3.195,7.240000000000001e-07
1459602054830,3.195,0.0
1459602054840,3.195,1.0859999999999999e-06
1459602054850,3.195,0.0
1459602054860,3.195,0.0
1459602054870,3.195,7.240000000000001e-07
1459602054880,3.195,3.6200000000000004e-07
1459602054890,3.195,0.0
1459602054900,3.195,3.6200000000000004e-07
1459602054910,3.195,0.0
1459602054920,3.195,0.0
1459602054930,3.195,3.6200000000000004e-07
1459602054940,3.195,7.240000000000001e-07
1459602054950,3.195,3.6200000000000004e-07
1459602054960,3.195,0.0
1459602054970,3.195,0.0
1459602054980,3.195,7.240000000000001e-07
1459602054990,3.195,0.0
1459602055000,3.195,1.0859999999999999e-06
1459602055010,3.195,3.6200000000000004e-07
1459602055020,3.195,3.6200000000000004e-07
1459602055030,3.195,3.6200000000000004e-07
1459602055040,3.195,7.240000000000001e-07
1459602055050,3.195,7.240000000000001e-07
1459602055060,3.195,7.240000000000001e-07
1459602055070,3.195,0.0
1459602055080,3.195,1.0859999999999999e-06
1459602055090,3.195,0.0
1459602055100,3.195,3.6200000000000004e-07
1459602055110,3.195,3.6200000000000004e-07
1459602055120,3.195,0.0
1459602055130,3.195,3.6200000000000004e-07
1459602055140,3.195,3.6200000000000004e-07
1459602055150,3.195,0.0
1459602055160,3.195,7.240000000000001e-07
1459602055170,3.195,3.6200000000000004e-07
1459602055180,3.195,7.240000000000001e-07
1459602055190,3.195,0.0
1459602055200,3.195,7.240000000000001e-07
1459602055210,3.195,0.0
1459602055220,3.195,3.6200000000000004e-07
1459602055230,3.195,1.0859999999999999e-06
1459602055240,3.195,3.6200000000000004e-07
1459602055250,3.195,0.0
1459602055260,3.195,3.6200000000000004e-07
1459602055270,3.195,7.240000000000001e-07
1459602055280,3.195,0.0
1459602055290,3.195,0.0
1459602055300,3.195,7.240000000000001e-07
1459602055310,3.195,0.0
1459602055320,3.195,7.240000000000001e-07
1459602055330,3.195,0.0
1459602055340,3.195,7.240000000000001e-07
1459602055350,3.195,0.0
1459602055360,3.195,7.240000000000001e-07
1459602055370,3.195,0.0
1459602055380,3.195,0.0
1459602055390,3.195,7.240000000000001e-07
1459602055400,3.195,3.6200000000000004e-07
1459602055410,3.195,0.0
1459602055420,3.195,3.6200000000000004e-07
1459602055430,3.195,7.240000000000001e-07
