Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1459603200080,3.335,3.6200000000000004e-07
1459603200090,3.335,3.6200000000000004e-07
1459603200100,3.335,0.0
1459603200110,3.335,3.6200000000000004e-07
1459603200120,3.335,0.0
1459603200130,3.335,3.6200000000000004e-07
1459603200140,3.335,0.0
1459603200150,3.335,0.0
1459603200160,3.335,0.0
1459603200170,3.335,7.240000000000001e-07
1459603200180,3.335,0.0
1459603200190,3.335,3.6200000000000004e-07
1459603200200,3.335,0.0
1459603200210,3.335,7.240000000000001e-07
1459603200220,3.335,7.240000000000001e-07
1459603200230,3.335,3.6200000000000004e-07
1459603200240,3.335,7.240000000000001e-07
1459603200250,3.335,7.240000000000001e-07
1459603200260,3.335,3.6200000000000004e-07
1459603200270,3.335,3.6200000000000004e-07
1459603200280,3.335,3.6200000000000004e-07
1459603200290,3.335,1.0859999999999999e-06
1459603200300,3.335,7.240000000000001e-07
1459603200310,3.335,7.240000000000001e-07
1459603200320,3.335,0.0
1459603200330,3.335,3.6200000000000004e-07
1459603200340,3.335,0.0
1459603200350,3.335,3.6200000000000004e-07
1459603200360,3.335,0.0
1459603200370,3.335,1.0859999999999999e-06
1459603200380,3.335,0.0
1459603200390,3.335,7.240000000000001e-07
1459603200400,3.335,0.0
1459603200410,3.335,7.240000000000001e-07
1459603200420,3.335,3.6200000000000004e-07
1459603200430,3.335,3.6200000000000004e-07
1459603200440,3.335,0.0
1459603200450,3.335,0.0
1459603200460,3.335,3.6200000000000004e-07
1459603200470,3.335,0.0
1459603200480,3.335,7.240000000000001e-07
1459603200490,3.335,3.6200000000000004e-07
1459603200500,3.335,0.0
1459603200510,3.335,7.240000000000001e-07
1459603200520,3.335,0.0
1459603200530,3.335,3.6200000000000004e-07
1459603200540,3.335,3.6200000000000004e-07
1459603200550,3.335,3.6200000000000004e-07
1459603200560,3.335,3.6200000000000004e-07
1459603200570,3.335,7.240000000000001e-07
1459603200580,3.335,0.0
1459603200590,3.335,3.6200000000000004e-07
1459603200600,3.335,0.0
1459603200610,3.335,7.240000000000001e-07
1459603200620,3.335,3.6200000000000004e-07
1459603200630,3.335,7.240000000000001e-07
1459603200640,3.335,0.0
1459603200650,3.335,7.240000000000001e-07
1459603200660,3.335,3.6200000000000004e-07
1459603200670,3.335,3.6200000000000004e-07
1459603200680,3.335,7.240000000000001e-07
1459603200690,3.335,7.240000000000001e-07
1459603200700,3.335,3.6200000000000004e-07
1459603200710,3.335,0.0
1459603200720,3.335,0.0
1459603200730,3.335,3.6200000000000004e-07
1459603200740,3.335,3.6200000000000004e-07
1459603200750,3.335,3.6200000000000004e-07
1459603200760,3.335,0.0
1459603200770,3.335,0.0
1459603200780,3.335,7.240000000000001e-07
1459603200790,3.335,3.6200000000000004e-07
1459603200800,3.335,0.0
1459603200810,3.335,1.0859999999999999e-06
1459603200820,3.335,0.0
1459603200830,3.335,3.6200000000000004e-07
1459603200840,3.335,0.0
1459603200850,3.335,3.6200000000000004e-07
1459603200860,3.335,0.0
1459603200870,3.335,3.6200000000000004e-07
1459603200880,3.335,0.0
1459603200890,3.335,7.240000000000001e-07
1459603200900,3.335,7.240000000000001e-07
1459603200910,3.335,3.6200000000000004e-07
1459603200920,3.335,3.6200000000000004e-07
1459603200930,3.335,3.6200000000000004e-07
1459603200940,3.335,3.6200000000000004e-07
1459603200950,3.335,3.6200000000000004e-07
1459603200960,3.335,0.0
1459603200970,3.335,7.240000000000001e-07
1459603200980,3.335,0.0
1459603200990,3.335,3.6200000000000004e-07
1459603201000,3.335,3.6200000000000004e-07
1459603201010,3.335,7.240000000000001e-07
1459603201020,3.335,3.6200000000000004e-07
1459603201030,3.335,3.6200000000000004e-07
1459603201040,3.335,0.0
1459603201050,3.335,7.240000000000001e-07
1459603201060,3.335,0.0
1459603201070,3.335,3.6200000000000004e-07
1459603201080,3.335,0.0
1459603201090,3.335,3.6200000000000004e-07
1459603201100,3.335,0.0
1459603201110,3.335,3.6200000000000004e-07
1459603201120,3.335,3.6200000000000004e-07
1459603201130,3.335,7.240000000000001e-07
1459603201140,3.335,0.0
1459603201150,3.335,3.6200000000000004e-07
1459603201160,3.335,7.240000000000001e-07
1459603201170,3.335,3.6200000000000004e-07
1459603201180,3.335,0.0
1459603201190,3.335,1.0859999999999999e-06
1459603201200,3.335,0.0
1459603201210,3.335,0.0
1459603201220,3.335,3.6200000000000004e-07
1459603201230,3.335,1.4480000000000002e-06
1459603201240,3.335,3.6200000000000004e-07
1459603201250,3.335,7.240000000000001e-07
1459603201260,3.335,7.240000000000001e-07
