Timestamp,position,BLMTI.04R5.B2I10_TCTPH.4R5.B2
1459603323080,7.94,3.6200000000000004e-07
1459603323090,7.94,1.4480000000000002e-06
1459603323100,7.94,3.6200000000000004e-07
1459603323110,7.94,1.0859999999999999e-06
1459603323120,7.94,0.0
1459603323130,7.94,7.240000000000001e-07
1459603323140,7.94,0.0
1459603323150,7.94,7.240000000000001e-07
1459603323160,7.94,0.0
1459603323170,7.94,3.6200000000000004e-07
1459603323180,7.94,0.0
1459603323190,7.94,3.6200000000000004e-07
1459603323200,7.94,0.0
1459603323210,7.94,3.6200000000000004e-07
1459603323220,7.94,3.6200000000000004e-07
1459603323230,7.94,1.0859999999999999e-06
1459603323240,7.94,0.0
1459603323250,7.94,1.4480000000000002e-06
1459603323260,7.94,7.240000000000001e-07
1459603323270,7.94,1.0859999999999999e-06
1459603323280,7.94,0.0
1459603323290,7.94,1.0859999999999999e-06
1459603323300,7.94,0.0
1459603323310,7.94,7.240000000000001e-07
1459603323320,7.94,0.0
1459603323330,7.94,7.240000000000001e-07
1459603323340,7.94,7.240000000000001e-07
1459603323350,7.94,1.0859999999999999e-06
1459603323360,7.94,0.0
1459603323370,7.94,3.6200000000000004e-07
1459603323380,7.94,0.0
1459603323390,7.94,3.6200000000000004e-07
1459603323400,7.94,0.0
1459603323410,7.94,7.240000000000001e-07
1459603323420,7.94,0.0
1459603323430,7.94,3.6200000000000004e-07
1459603323440,7.94,3.6200000000000004e-07
1459603323450,7.94,1.0859999999999999e-06
1459603323460,7.94,3.6200000000000004e-07
1459603323470,7.94,7.240000000000001e-07
1459603323480,7.94,0.0
1459603323490,7.94,0.0
1459603323500,7.94,3.6200000000000004e-07
1459603323510,7.94,3.6200000000000004e-07
1459603323520,7.94,0.0
1459603323530,7.94,1.0859999999999999e-06
1459603323540,7.94,0.0
1459603323550,7.94,1.4480000000000002e-06
1459603323560,7.94,0.0
1459603323570,7.94,0.0
1459603323580,7.94,0.0
1459603323590,7.94,3.6200000000000004e-07
1459603323600,7.94,0.0
1459603323610,7.94,7.240000000000001e-07
1459603323620,7.94,0.0
1459603323630,7.94,3.6200000000000004e-07
1459603323640,7.94,0.0
1459603323650,7.94,1.4480000000000002e-06
1459603323660,7.94,0.0
1459603323670,7.94,0.0
1459603323680,7.94,0.0
1459603323690,7.94,3.6200000000000004e-07
1459603323700,7.94,0.0
1459603323710,7.94,3.6200000000000004e-07
1459603323720,7.94,3.6200000000000004e-07
1459603323730,7.94,1.0859999999999999e-06
1459603323740,7.94,3.6200000000000004e-07
1459603323750,7.94,3.6200000000000004e-07
1459603323760,7.94,0.0
1459603323770,7.94,7.240000000000001e-07
1459603323780,7.94,0.0
1459603323790,7.94,3.6200000000000004e-07
1459603323800,7.94,0.0
1459603323810,7.94,7.240000000000001e-07
1459603323820,7.94,0.0
1459603323830,7.94,3.6200000000000004e-07
1459603323840,7.94,0.0
1459603323850,7.94,3.6200000000000004e-07
1459603323860,7.94,0.0
1459603323870,7.94,3.6200000000000004e-07
1459603323880,7.94,3.6200000000000004e-07
1459603323890,7.94,7.240000000000001e-07
1459603323900,7.94,0.0
1459603323910,7.94,0.0
1459603323920,7.94,0.0
1459603323930,7.94,7.240000000000001e-07
1459603323940,7.94,0.0
1459603323950,7.94,7.240000000000001e-07
1459603323960,7.94,0.0
1459603323970,7.94,7.240000000000001e-07
1459603323980,7.94,0.0
1459603323990,7.94,3.6200000000000004e-07
1459603324000,7.94,7.240000000000001e-07
1459603324010,7.94,0.0
1459603324020,7.94,0.0
1459603324030,7.94,3.6200000000000004e-07
1459603324040,7.94,3.6200000000000004e-07
1459603324050,7.94,3.6200000000000004e-07
1459603324060,7.94,0.0
1459603324070,7.94,7.240000000000001e-07
1459603324080,7.94,0.0
1459603324090,7.94,3.6200000000000004e-07
1459603324100,7.94,3.6200000000000004e-07
1459603324110,7.94,3.6200000000000004e-07
1459603324120,7.94,3.6200000000000004e-07
1459603324130,7.94,0.0
1459603324140,7.94,3.6200000000000004e-07
1459603324150,7.94,1.0859999999999999e-06
1459603324160,7.94,0.0
1459603324170,7.94,3.6200000000000004e-07
1459603324180,7.94,0.0
1459603324190,7.94,3.6200000000000004e-07
1459603324200,7.94,0.0
1459603324210,7.94,0.0
1459603324220,7.94,0.0
1459603324230,7.94,1.0859999999999999e-06
1459603324240,7.94,0.0
1459603324250,7.94,1.81e-06
1459603324260,7.94,0.0
1459603324270,7.94,0.0
1459603324280,7.94,0.0
1459603324290,7.94,0.0
1459603324300,7.94,0.0
1459603324310,7.94,7.240000000000001e-07
1459603324320,7.94,0.0
1459603324330,7.94,0.0
1459603324340,7.94,3.6200000000000004e-07
1459603324350,7.94,3.6200000000000004e-07
1459603324360,7.94,3.6200000000000004e-07
1459603324370,7.94,3.6200000000000004e-07
1459603324380,7.94,0.0
1459603324390,7.94,7.240000000000001e-07
1459603324400,7.94,0.0
1459603324410,7.94,3.6200000000000004e-07
1459603324420,7.94,3.6200000000000004e-07
1459603324430,7.94,3.6200000000000004e-07
1459603324440,7.94,3.6200000000000004e-07
1459603324450,7.94,0.0
1459603324460,7.94,3.6200000000000004e-07
1459603324470,7.94,7.240000000000001e-07
1459603324480,7.94,0.0
1459603324490,7.94,3.6200000000000004e-07
1459603324500,7.94,0.0
1459603324510,7.94,3.6200000000000004e-07
1459603324520,7.94,0.0
1459603324530,7.94,0.0
1459603324540,7.94,3.6200000000000004e-07
1459603324550,7.94,0.0
1459603324560,7.94,7.240000000000001e-07
1459603324570,7.94,7.240000000000001e-07
1459603324580,7.94,0.0
1459603324590,7.94,3.6200000000000004e-07
1459603324600,7.94,0.0
1459603324610,7.94,3.6200000000000004e-07
1459603324620,7.94,3.6200000000000004e-07
1459603324630,7.94,0.0
1459603324640,7.94,3.6200000000000004e-07
1459603324650,7.94,1.0859999999999999e-06
1459603324660,7.94,0.0
1459603324670,7.94,3.6200000000000004e-07
1459603324680,7.94,0.0
1459603324690,7.94,7.240000000000001e-07
1459603324700,7.94,0.0
1459603324710,7.94,7.240000000000001e-07
1459603324720,7.94,0.0
1459603324730,7.94,0.0
1459603324740,7.94,0.0
1459603324750,7.94,1.0859999999999999e-06
1459603324760,7.94,7.240000000000001e-07
1459603324770,7.94,1.0859999999999999e-06
1459603324780,7.94,0.0
1459603324790,7.94,3.6200000000000004e-07
1459603324800,7.94,3.6200000000000004e-07
1459603324810,7.94,1.0859999999999999e-06
1459603324820,7.94,0.0
1459603324830,7.94,3.6200000000000004e-07
1459603324840,7.94,0.0
1459603324850,7.94,3.6200000000000004e-07
1459603324860,7.94,0.0
1459603324870,7.94,3.6200000000000004e-07
1459603324880,7.94,0.0
1459603324890,7.94,7.240000000000001e-07
1459603324900,7.94,0.0
1459603324910,7.94,0.0
1459603324920,7.94,3.6200000000000004e-07
1459603324930,7.94,1.0859999999999999e-06
1459603324940,7.94,3.6200000000000004e-07
1459603324950,7.94,0.0
1459603324960,7.94,0.0
1459603324970,7.94,7.240000000000001e-07
1459603324980,7.94,3.6200000000000004e-07
1459603324990,7.94,3.6200000000000004e-07
1459603325000,7.94,3.6200000000000004e-07
1459603325010,7.94,7.240000000000001e-07
1459603325020,7.94,0.0
1459603325030,7.94,7.240000000000001e-07
1459603325040,7.94,0.0
1459603325050,7.94,7.240000000000001e-07
1459603325060,7.94,0.0
1459603325070,7.94,7.240000000000001e-07
1459603325080,7.94,0.0
1459603325090,7.94,0.0
1459603325100,7.94,7.240000000000001e-07
1459603325110,7.94,0.0
1459603325120,7.94,0.0
1459603325130,7.94,3.6200000000000004e-07
1459603325140,7.94,0.0
1459603325150,7.94,3.6200000000000004e-07
1459603325160,7.94,0.0
1459603325170,7.94,1.0859999999999999e-06
1459603325180,7.94,7.240000000000001e-07
1459603325190,7.94,3.6200000000000004e-07
1459603325200,7.94,3.6200000000000004e-07
1459603325210,7.94,7.240000000000001e-07
1459603325220,7.94,0.0
1459603325230,7.94,0.0
1459603325240,7.94,0.0
1459603325250,7.94,1.4480000000000002e-06
1459603325260,7.94,1.0859999999999999e-06
1459603325270,7.94,3.6200000000000004e-07
1459603325280,7.94,0.0
1459603325290,7.94,0.0
1459603325300,7.94,0.0
1459603325310,7.94,0.0
1459603325320,7.94,7.240000000000001e-07
1459603325330,7.94,3.6200000000000004e-07
1459603325340,7.94,0.0
1459603325350,7.94,7.240000000000001e-07
1459603325360,7.94,0.0
1459603325370,7.94,3.6200000000000004e-07
1459603325380,7.94,0.0
1459603325390,7.94,3.6200000000000004e-07
1459603325400,7.94,7.240000000000001e-07
1459603325410,7.94,0.0
1459603325420,7.94,0.0
1459603325430,7.94,3.6200000000000004e-07
1459603325440,7.94,0.0
1459603325450,7.94,3.6200000000000004e-07
1459603325460,7.94,3.6200000000000004e-07
1459603325470,7.94,3.6200000000000004e-07
1459603325480,7.94,0.0
1459603325490,7.94,3.6200000000000004e-07
1459603325500,7.94,7.240000000000001e-07
1459603325510,7.94,0.0
1459603325520,7.94,0.0
1459603325530,7.94,3.6200000000000004e-07
1459603325540,7.94,3.6200000000000004e-07
1459603325550,7.94,3.6200000000000004e-07
1459603325560,7.94,0.0
1459603325570,7.94,0.0
1459603325580,7.94,7.240000000000001e-07
1459603325590,7.94,3.6200000000000004e-07
1459603325600,7.94,0.0
1459603325610,7.94,0.0
1459603325620,7.94,3.6200000000000004e-07
1459603325630,7.94,7.240000000000001e-07
1459603325640,7.94,3.6200000000000004e-07
1459603325650,7.94,3.6200000000000004e-07
1459603325660,7.94,0.0
1459603325670,7.94,7.240000000000001e-07
1459603325680,7.94,3.6200000000000004e-07
1459603325690,7.94,3.6200000000000004e-07
1459603325700,7.94,0.0
1459603325710,7.94,7.240000000000001e-07
1459603325720,7.94,0.0
1459603325730,7.94,1.0859999999999999e-06
1459603325740,7.94,0.0
1459603325750,7.94,7.240000000000001e-07
1459603325760,7.94,0.0
1459603325770,7.94,3.6200000000000004e-07
1459603325780,7.94,7.240000000000001e-07
1459603325790,7.94,0.0
1459603325800,7.94,7.240000000000001e-07
1459603325810,7.94,7.240000000000001e-07
1459603325820,7.94,3.6200000000000004e-07
1459603325830,7.94,3.6200000000000004e-07
1459603325840,7.94,0.0
1459603325850,7.94,1.0859999999999999e-06
1459603325860,7.94,0.0
1459603325870,7.94,7.240000000000001e-07
1459603325880,7.94,0.0
1459603325890,7.94,0.0
1459603325900,7.94,0.0
1459603325910,7.94,3.6200000000000004e-07
1459603325920,7.94,3.6200000000000004e-07
1459603325930,7.94,3.6200000000000004e-07
1459603325940,7.94,3.6200000000000004e-07
1459603325950,7.94,1.0859999999999999e-06
1459603325960,7.94,0.0
1459603325970,7.94,3.6200000000000004e-07
1459603325980,7.94,0.0
1459603325990,7.94,3.6200000000000004e-07
1459603326000,7.94,0.0
1459603326010,7.94,3.6200000000000004e-07
1459603326020,7.94,1.0859999999999999e-06
1459603326030,7.94,3.6200000000000004e-07
1459603326040,7.94,0.0
1459603326050,7.94,7.240000000000001e-07
1459603326060,7.94,3.6200000000000004e-07
1459603326070,7.94,0.0
1459603326080,7.94,3.6200000000000004e-07
1459603326090,7.94,3.6200000000000004e-07
1459603326100,7.94,0.0
1459603326110,7.94,3.6200000000000004e-07
1459603326120,7.94,3.6200000000000004e-07
1459603326130,7.94,0.0
1459603326140,7.94,3.6200000000000004e-07
1459603326150,7.94,7.240000000000001e-07
1459603326160,7.94,3.6200000000000004e-07
1459603326170,7.94,3.6200000000000004e-07
1459603326180,7.94,0.0
1459603326190,7.94,3.6200000000000004e-07
1459603326200,7.94,3.6200000000000004e-07
1459603326210,7.94,3.6200000000000004e-07
1459603326220,7.94,3.6200000000000004e-07
1459603326230,7.94,3.6200000000000004e-07
1459603326240,7.94,0.0
1459603326250,7.94,7.240000000000001e-07
1459603326260,7.94,0.0
1459603326270,7.94,7.240000000000001e-07
1459603326280,7.94,0.0
1459603326290,7.94,7.240000000000001e-07
1459603326300,7.94,0.0
1459603326310,7.94,0.0
1459603326320,7.94,0.0
1459603326330,7.94,1.0859999999999999e-06
1459603326340,7.94,0.0
1459603326350,7.94,3.6200000000000004e-07
