Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1459603561540,7.81,1.4480000000000002e-06
1459603561550,7.81,1.4480000000000002e-06
1459603561560,7.81,1.0859999999999999e-06
1459603561570,7.81,1.81e-06
1459603561580,7.81,1.81e-06
1459603561590,7.81,1.0859999999999999e-06
1459603561600,7.81,3.258e-06
1459603561610,7.81,2.8960000000000003e-06
1459603561620,7.81,2.5340000000000002e-06
1459603561630,7.81,1.4480000000000002e-06
1459603561640,7.81,3.6200000000000004e-07
1459603561650,7.81,1.0859999999999999e-06
1459603561660,7.81,1.81e-06
1459603561670,7.81,1.4480000000000002e-06
1459603561680,7.81,1.81e-06
1459603561690,7.81,1.4480000000000002e-06
1459603561700,7.81,1.0859999999999999e-06
1459603561710,7.81,2.1719999999999997e-06
1459603561720,7.81,1.4480000000000002e-06
1459603561730,7.81,1.0859999999999999e-06
1459603561740,7.81,7.240000000000001e-07
1459603561750,7.81,1.4480000000000002e-06
1459603561760,7.81,1.81e-06
1459603561770,7.81,1.81e-06
1459603561780,7.81,3.258e-06
1459603561790,7.81,3.258e-06
1459603561800,7.81,3.982e-06
1459603561810,7.81,2.8960000000000003e-06
1459603561820,7.81,2.5340000000000002e-06
1459603561830,7.81,3.62e-06
1459603561840,7.81,3.258e-06
1459603561850,7.81,1.81e-06
1459603561860,7.81,2.8960000000000003e-06
1459603561870,7.81,1.0859999999999999e-06
1459603561880,7.81,1.0859999999999999e-06
1459603561890,7.81,0.0
1459603561900,7.81,0.0
1459603561910,7.81,7.240000000000001e-07
1459603561920,7.81,0.0
1459603561930,7.81,0.0
1459603561940,7.81,7.240000000000001e-07
1459603561950,7.81,7.240000000000001e-07
1459603561960,7.81,3.6200000000000004e-07
1459603561970,7.81,7.240000000000001e-07
1459603561980,7.81,3.6200000000000004e-07
1459603561990,7.81,3.6200000000000004e-07
1459603562000,7.81,7.240000000000001e-07
1459603562010,7.81,3.6200000000000004e-07
1459603562020,7.81,3.6200000000000004e-07
1459603562030,7.81,7.240000000000001e-07
