Timestamp,position,BLMTI.04L7.B1E10_TCSG.B4L7.B1
1459603694140,4.485,0.0
1459603694150,4.485,7.240000000000001e-07
1459603694160,4.485,1.4480000000000002e-06
1459603694170,4.485,0.0
1459603694180,4.485,3.6200000000000004e-07
1459603694190,4.485,1.0859999999999999e-06
1459603694200,4.485,1.0859999999999999e-06
1459603694210,4.485,7.240000000000001e-07
1459603694220,4.485,0.0
1459603694230,4.485,0.0
1459603694240,4.485,1.4480000000000002e-06
1459603694250,4.485,3.6200000000000004e-07
1459603694260,4.485,3.6200000000000004e-07
1459603694270,4.485,0.0
1459603694280,4.485,0.0
1459603694290,4.485,0.0
1459603694300,4.485,0.0
1459603694310,4.485,0.0
1459603694320,4.485,0.0
1459603694330,4.485,0.0
1459603694340,4.485,0.0
1459603694350,4.485,0.0
1459603694360,4.485,3.6200000000000004e-07
1459603694370,4.485,3.6200000000000004e-07
1459603694380,4.485,3.6200000000000004e-07
1459603694390,4.485,7.240000000000001e-07
1459603694400,4.485,0.0
1459603694410,4.485,3.6200000000000004e-07
1459603694420,4.485,1.81e-06
1459603694430,4.485,0.0
1459603694440,4.485,0.0
1459603694450,4.485,1.0859999999999999e-06
1459603694460,4.485,0.0
1459603694470,4.485,1.4480000000000002e-06
1459603694480,4.485,0.0
1459603694490,4.485,3.6200000000000004e-07
1459603694500,4.485,3.6200000000000004e-07
1459603694510,4.485,1.0859999999999999e-06
1459603694520,4.485,0.0
1459603694530,4.485,1.0859999999999999e-06
1459603694540,4.485,0.0
1459603694550,4.485,7.240000000000001e-07
1459603694560,4.485,1.4480000000000002e-06
1459603694570,4.485,7.240000000000001e-07
1459603694580,4.485,1.0859999999999999e-06
1459603694590,4.485,0.0
1459603694600,4.485,3.6200000000000004e-07
1459603694610,4.485,0.0
1459603694620,4.485,0.0
1459603694630,4.485,7.240000000000001e-07
1459603694640,4.485,0.0
1459603694650,4.485,7.240000000000001e-07
1459603694660,4.485,3.6200000000000004e-07
1459603694670,4.485,7.240000000000001e-07
1459603694680,4.485,1.0859999999999999e-06
1459603694690,4.485,1.4480000000000002e-06
1459603694700,4.485,1.81e-06
1459603694710,4.485,3.6200000000000004e-07
1459603694720,4.485,1.81e-06
1459603694730,4.485,3.6200000000000004e-07
1459603694740,4.485,1.0859999999999999e-06
1459603694750,4.485,1.0859999999999999e-06
1459603694760,4.485,3.6200000000000004e-07
1459603694770,4.485,1.0859999999999999e-06
1459603694780,4.485,3.6200000000000004e-07
1459603694790,4.485,7.240000000000001e-07
1459603694800,4.485,1.81e-06
1459603694810,4.485,0.0
1459603694820,4.485,0.0
1459603694830,4.485,3.6200000000000004e-07
1459603694840,4.485,7.240000000000001e-07
1459603694850,4.485,3.6200000000000004e-07
1459603694860,4.485,2.1719999999999997e-06
1459603694870,4.485,0.0
1459603694880,4.485,7.240000000000001e-07
1459603694890,4.485,3.6200000000000004e-07
1459603694900,4.485,1.4480000000000002e-06
1459603694910,4.485,1.0859999999999999e-06
1459603694920,4.485,1.0859999999999999e-06
1459603694930,4.485,4.343999999999999e-06
1459603694940,4.485,6.516e-06
1459603694950,4.485,9.05e-06
1459603694960,4.485,7.964e-06
1459603694970,4.485,5.0680000000000004e-06
1459603694980,4.485,3.258e-06
1459603694990,4.485,4.343999999999999e-06
1459603695000,4.485,2.1719999999999997e-06
1459603695010,4.485,3.62e-06
1459603695020,4.485,4.343999999999999e-06
1459603695030,4.485,2.1719999999999997e-06
1459603695040,4.485,3.982e-06
1459603695050,4.485,3.258e-06
1459603695060,4.485,4.706e-06
1459603695070,4.485,0.0
1459603695080,4.485,3.6200000000000004e-07
1459603695090,4.485,7.240000000000001e-07
1459603695100,4.485,1.0859999999999999e-06
1459603695110,4.485,1.4480000000000002e-06
1459603695120,4.485,3.6200000000000004e-07
1459603695130,4.485,1.0859999999999999e-06
1459603695140,4.485,1.4480000000000002e-06
1459603695150,4.485,1.0859999999999999e-06
1459603695160,4.485,1.0859999999999999e-06
1459603695170,4.485,0.0
1459603695180,4.485,7.240000000000001e-07
1459603695190,4.485,3.6200000000000004e-07
1459603695200,4.485,1.4480000000000002e-06
1459603695210,4.485,0.0
1459603695220,4.485,3.6200000000000004e-07
1459603695230,4.485,3.6200000000000004e-07
1459603695240,4.485,0.0
1459603695250,4.485,0.0
1459603695260,4.485,3.6200000000000004e-07
1459603695270,4.485,3.6200000000000004e-07
1459603695280,4.485,1.81e-06
1459603695290,4.485,0.0
1459603695300,4.485,1.0859999999999999e-06
1459603695310,4.485,0.0
1459603695320,4.485,7.240000000000001e-07
1459603695330,4.485,0.0
1459603695340,4.485,1.4480000000000002e-06
1459603695350,4.485,0.0
1459603695360,4.485,0.0
1459603695370,4.485,7.240000000000001e-07
1459603695380,4.485,0.0
1459603695390,4.485,1.0859999999999999e-06
1459603695400,4.485,0.0
1459603695410,4.485,0.0
1459603695420,4.485,7.240000000000001e-07
1459603695430,4.485,3.6200000000000004e-07
1459603695440,4.485,1.0859999999999999e-06
1459603695450,4.485,0.0
1459603695460,4.485,0.0
1459603695470,4.485,0.0
1459603695480,4.485,3.6200000000000004e-07
1459603695490,4.485,3.6200000000000004e-07
1459603695500,4.485,1.0859999999999999e-06
1459603695510,4.485,3.6200000000000004e-07
1459603695520,4.485,3.6200000000000004e-07
1459603695530,4.485,7.240000000000001e-07
1459603695540,4.485,1.0859999999999999e-06
1459603695550,4.485,1.4480000000000002e-06
1459603695560,4.485,0.0
1459603695570,4.485,0.0
1459603695580,4.485,7.240000000000001e-07
1459603695590,4.485,1.4480000000000002e-06
1459603695600,4.485,7.240000000000001e-07
1459603695610,4.485,0.0
1459603695620,4.485,3.6200000000000004e-07
1459603695630,4.485,1.0859999999999999e-06
1459603695640,4.485,7.240000000000001e-07
1459603695650,4.485,3.6200000000000004e-07
1459603695660,4.485,0.0
1459603695670,4.485,1.81e-06
1459603695680,4.485,0.0
1459603695690,4.485,1.0859999999999999e-06
1459603695700,4.485,0.0
1459603695710,4.485,0.0
1459603695720,4.485,3.6200000000000004e-07
1459603695730,4.485,1.4480000000000002e-06
1459603695740,4.485,3.6200000000000004e-07
1459603695750,4.485,3.6200000000000004e-07
1459603695760,4.485,7.240000000000001e-07
1459603695770,4.485,0.0
1459603695780,4.485,7.240000000000001e-07
1459603695790,4.485,3.6200000000000004e-07
1459603695800,4.485,3.6200000000000004e-07
1459603695810,4.485,7.240000000000001e-07
1459603695820,4.485,0.0
1459603695830,4.485,7.240000000000001e-07
1459603695840,4.485,1.0859999999999999e-06
1459603695850,4.485,7.240000000000001e-07
1459603695860,4.485,0.0
1459603695870,4.485,0.0
1459603695880,4.485,1.4480000000000002e-06
1459603695890,4.485,7.240000000000001e-07
1459603695900,4.485,0.0
1459603695910,4.485,3.6200000000000004e-07
1459603695920,4.485,1.81e-06
1459603695930,4.485,1.0859999999999999e-06
1459603695940,4.485,1.81e-06
1459603695950,4.485,0.0
1459603695960,4.485,7.240000000000001e-07
1459603695970,4.485,0.0
1459603695980,4.485,7.240000000000001e-07
1459603695990,4.485,7.240000000000001e-07
1459603696000,4.485,0.0
1459603696010,4.485,7.240000000000001e-07
1459603696020,4.485,7.240000000000001e-07
1459603696030,4.485,1.0859999999999999e-06
1459603696040,4.485,7.240000000000001e-07
1459603696050,4.485,1.0859999999999999e-06
1459603696060,4.485,7.240000000000001e-07
1459603696070,4.485,7.240000000000001e-07
1459603696080,4.485,0.0
1459603696090,4.485,7.240000000000001e-07
1459603696100,4.485,3.6200000000000004e-07
1459603696110,4.485,0.0
1459603696120,4.485,7.240000000000001e-07
1459603696130,4.485,0.0
1459603696140,4.485,7.240000000000001e-07
1459603696150,4.485,3.6200000000000004e-07
1459603696160,4.485,1.0859999999999999e-06
1459603696170,4.485,7.240000000000001e-07
1459603696180,4.485,1.0859999999999999e-06
1459603696190,4.485,1.4480000000000002e-06
1459603696200,4.485,0.0
1459603696210,4.485,3.6200000000000004e-07
1459603696220,4.485,1.0859999999999999e-06
1459603696230,4.485,1.0859999999999999e-06
