Timestamp,position,BLMTI.06L3.B1I10_TCP.6L3.B1
1459603876090,6.29,7.240000000000001e-07
1459603876100,6.29,7.240000000000001e-07
1459603876110,6.29,3.6200000000000004e-07
1459603876120,6.29,0.0
1459603876130,6.29,3.6200000000000004e-07
1459603876140,6.29,3.6200000000000004e-07
1459603876150,6.29,7.240000000000001e-07
1459603876160,6.29,3.6200000000000004e-07
1459603876170,6.29,3.6200000000000004e-07
1459603876180,6.29,7.240000000000001e-07
1459603876190,6.29,1.0859999999999999e-06
1459603876200,6.29,0.0
1459603876210,6.29,3.6200000000000004e-07
1459603876220,6.29,7.240000000000001e-07
1459603876230,6.29,0.0
1459603876240,6.29,7.240000000000001e-07
1459603876250,6.29,3.6200000000000004e-07
1459603876260,6.29,3.6200000000000004e-07
1459603876270,6.29,3.6200000000000004e-07
1459603876280,6.29,0.0
1459603876290,6.29,7.240000000000001e-07
1459603876300,6.29,3.6200000000000004e-07
1459603876310,6.29,1.0859999999999999e-06
1459603876320,6.29,3.6200000000000004e-07
1459603876330,6.29,1.0859999999999999e-06
1459603876340,6.29,3.6200000000000004e-07
1459603876350,6.29,1.0859999999999999e-06
1459603876360,6.29,0.0
1459603876370,6.29,0.0
1459603876380,6.29,3.6200000000000004e-07
1459603876390,6.29,7.240000000000001e-07
1459603876400,6.29,7.240000000000001e-07
1459603876410,6.29,3.6200000000000004e-07
1459603876420,6.29,7.240000000000001e-07
1459603876430,6.29,1.0859999999999999e-06
1459603876440,6.29,3.6200000000000004e-07
1459603876450,6.29,7.240000000000001e-07
1459603876460,6.29,3.6200000000000004e-07
1459603876470,6.29,7.240000000000001e-07
1459603876480,6.29,3.6200000000000004e-07
1459603876490,6.29,1.0859999999999999e-06
1459603876500,6.29,3.6200000000000004e-07
1459603876510,6.29,3.6200000000000004e-07
1459603876520,6.29,3.6200000000000004e-07
1459603876530,6.29,3.6200000000000004e-07
1459603876540,6.29,3.6200000000000004e-07
1459603876550,6.29,7.240000000000001e-07
1459603876560,6.29,7.240000000000001e-07
1459603876570,6.29,1.0859999999999999e-06
1459603876580,6.29,0.0
1459603876590,6.29,1.0859999999999999e-06
1459603876600,6.29,3.6200000000000004e-07
1459603876610,6.29,7.240000000000001e-07
1459603876620,6.29,3.6200000000000004e-07
1459603876630,6.29,3.6200000000000004e-07
1459603876640,6.29,3.6200000000000004e-07
1459603876650,6.29,7.240000000000001e-07
1459603876660,6.29,3.6200000000000004e-07
1459603876670,6.29,3.6200000000000004e-07
1459603876680,6.29,3.6200000000000004e-07
1459603876690,6.29,7.240000000000001e-07
1459603876700,6.29,7.240000000000001e-07
1459603876710,6.29,1.0859999999999999e-06
1459603876720,6.29,0.0
1459603876730,6.29,7.240000000000001e-07
1459603876740,6.29,7.240000000000001e-07
1459603876750,6.29,1.0859999999999999e-06
1459603876760,6.29,0.0
1459603876770,6.29,3.6200000000000004e-07
1459603876780,6.29,0.0
1459603876790,6.29,7.240000000000001e-07
1459603876800,6.29,3.6200000000000004e-07
1459603876810,6.29,1.0859999999999999e-06
1459603876820,6.29,0.0
1459603876830,6.29,1.4480000000000002e-06
1459603876840,6.29,0.0
1459603876850,6.29,7.240000000000001e-07
1459603876860,6.29,7.240000000000001e-07
1459603876870,6.29,3.6200000000000004e-07
1459603876880,6.29,7.240000000000001e-07
1459603876890,6.29,7.240000000000001e-07
1459603876900,6.29,7.240000000000001e-07
1459603876910,6.29,7.240000000000001e-07
1459603876920,6.29,3.6200000000000004e-07
1459603876930,6.29,7.240000000000001e-07
1459603876940,6.29,1.0859999999999999e-06
1459603876950,6.29,0.0
1459603876960,6.29,7.240000000000001e-07
1459603876970,6.29,3.6200000000000004e-07
1459603876980,6.29,7.240000000000001e-07
1459603876990,6.29,7.240000000000001e-07
1459603877000,6.29,3.6200000000000004e-07
1459603877010,6.29,7.240000000000001e-07
1459603877020,6.29,3.6200000000000004e-07
1459603877030,6.29,1.0859999999999999e-06
1459603877040,6.29,3.6200000000000004e-07
1459603877050,6.29,7.240000000000001e-07
1459603877060,6.29,0.0
1459603877070,6.29,3.6200000000000004e-07
1459603877080,6.29,0.0
1459603877090,6.29,7.240000000000001e-07
1459603877100,6.29,7.240000000000001e-07
1459603877110,6.29,7.240000000000001e-07
1459603877120,6.29,0.0
1459603877130,6.29,1.0859999999999999e-06
1459603877140,6.29,3.6200000000000004e-07
1459603877150,6.29,7.240000000000001e-07
1459603877160,6.29,3.6200000000000004e-07
1459603877170,6.29,3.6200000000000004e-07
1459603877180,6.29,0.0
1459603877190,6.29,7.240000000000001e-07
1459603877200,6.29,0.0
1459603877210,6.29,3.6200000000000004e-07
1459603877220,6.29,0.0
1459603877230,6.29,3.6200000000000004e-07
1459603877240,6.29,0.0
1459603877250,6.29,1.4480000000000002e-06
1459603877260,6.29,0.0
1459603877270,6.29,7.240000000000001e-07
1459603877280,6.29,3.6200000000000004e-07
1459603877290,6.29,3.6200000000000004e-07
1459603877300,6.29,0.0
1459603877310,6.29,1.0859999999999999e-06
1459603877320,6.29,3.6200000000000004e-07
1459603877330,6.29,7.240000000000001e-07
1459603877340,6.29,0.0
1459603877350,6.29,0.0
1459603877360,6.29,7.240000000000001e-07
1459603877370,6.29,3.6200000000000004e-07
1459603877380,6.29,7.240000000000001e-07
1459603877390,6.29,3.6200000000000004e-07
1459603877400,6.29,0.0
1459603877410,6.29,7.240000000000001e-07
1459603877420,6.29,0.0
1459603877430,6.29,7.240000000000001e-07
1459603877440,6.29,0.0
1459603877450,6.29,3.6200000000000004e-07
1459603877460,6.29,3.6200000000000004e-07
1459603877470,6.29,7.240000000000001e-07
1459603877480,6.29,0.0
1459603877490,6.29,3.6200000000000004e-07
1459603877500,6.29,0.0
1459603877510,6.29,1.0859999999999999e-06
1459603877520,6.29,0.0
1459603877530,6.29,7.240000000000001e-07
1459603877540,6.29,0.0
1459603877550,6.29,7.240000000000001e-07
1459603877560,6.29,0.0
1459603877570,6.29,1.0859999999999999e-06
1459603877580,6.29,3.6200000000000004e-07
1459603877590,6.29,7.240000000000001e-07
1459603877600,6.29,3.6200000000000004e-07
1459603877610,6.29,3.6200000000000004e-07
1459603877620,6.29,0.0
1459603877630,6.29,7.240000000000001e-07
1459603877640,6.29,0.0
1459603877650,6.29,1.0859999999999999e-06
1459603877660,6.29,3.6200000000000004e-07
1459603877670,6.29,1.0859999999999999e-06
1459603877680,6.29,0.0
1459603877690,6.29,7.240000000000001e-07
1459603877700,6.29,0.0
1459603877710,6.29,1.0859999999999999e-06
1459603877720,6.29,0.0
1459603877730,6.29,7.240000000000001e-07
1459603877740,6.29,3.6200000000000004e-07
1459603877750,6.29,7.240000000000001e-07
1459603877760,6.29,3.6200000000000004e-07
1459603877770,6.29,7.240000000000001e-07
1459603877780,6.29,3.6200000000000004e-07
1459603877790,6.29,0.0
1459603877800,6.29,3.6200000000000004e-07
1459603877810,6.29,0.0
1459603877820,6.29,0.0
1459603877830,6.29,3.6200000000000004e-07
1459603877840,6.29,7.240000000000001e-07
1459603877850,6.29,1.0859999999999999e-06
1459603877860,6.29,0.0
1459603877870,6.29,1.0859999999999999e-06
1459603877880,6.29,0.0
1459603877890,6.29,7.240000000000001e-07
1459603877900,6.29,3.6200000000000004e-07
1459603877910,6.29,7.240000000000001e-07
