Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1459603942560,2.685,7.240000000000001e-07
1459603942570,2.685,0.0
1459603942580,2.685,1.0859999999999999e-06
1459603942590,2.685,0.0
1459603942600,2.685,1.0859999999999999e-06
1459603942610,2.685,3.6200000000000004e-07
1459603942620,2.685,1.0859999999999999e-06
1459603942630,2.685,0.0
1459603942640,2.685,1.0859999999999999e-06
1459603942650,2.685,0.0
1459603942660,2.685,1.0859999999999999e-06
1459603942670,2.685,3.6200000000000004e-07
1459603942680,2.685,7.240000000000001e-07
1459603942690,2.685,0.0
1459603942700,2.685,7.240000000000001e-07
1459603942710,2.685,0.0
1459603942720,2.685,1.0859999999999999e-06
1459603942730,2.685,0.0
1459603942740,2.685,7.240000000000001e-07
1459603942750,2.685,0.0
1459603942760,2.685,1.4480000000000002e-06
1459603942770,2.685,0.0
1459603942780,2.685,1.4480000000000002e-06
1459603942790,2.685,3.6200000000000004e-07
1459603942800,2.685,1.4480000000000002e-06
1459603942810,2.685,3.6200000000000004e-07
1459603942820,2.685,1.0859999999999999e-06
1459603942830,2.685,3.6200000000000004e-07
1459603942840,2.685,1.0859999999999999e-06
1459603942850,2.685,3.6200000000000004e-07
1459603942860,2.685,1.0859999999999999e-06
1459603942870,2.685,0.0
1459603942880,2.685,1.0859999999999999e-06
1459603942890,2.685,3.6200000000000004e-07
1459603942900,2.685,1.4480000000000002e-06
1459603942910,2.685,0.0
1459603942920,2.685,1.4480000000000002e-06
1459603942930,2.685,3.6200000000000004e-07
1459603942940,2.685,1.0859999999999999e-06
1459603942950,2.685,3.6200000000000004e-07
1459603942960,2.685,1.4480000000000002e-06
1459603942970,2.685,3.6200000000000004e-07
1459603942980,2.685,7.240000000000001e-07
1459603942990,2.685,0.0
1459603943000,2.685,1.0859999999999999e-06
1459603943010,2.685,0.0
1459603943020,2.685,7.240000000000001e-07
1459603943030,2.685,0.0
1459603943040,2.685,7.240000000000001e-07
1459603943050,2.685,3.6200000000000004e-07
1459603943060,2.685,1.0859999999999999e-06
1459603943070,2.685,0.0
1459603943080,2.685,1.0859999999999999e-06
1459603943090,2.685,0.0
1459603943100,2.685,1.0859999999999999e-06
1459603943110,2.685,0.0
1459603943120,2.685,1.0859999999999999e-06
1459603943130,2.685,3.6200000000000004e-07
1459603943140,2.685,7.240000000000001e-07
1459603943150,2.685,3.6200000000000004e-07
1459603943160,2.685,7.240000000000001e-07
1459603943170,2.685,0.0
1459603943180,2.685,1.4480000000000002e-06
1459603943190,2.685,0.0
1459603943200,2.685,1.0859999999999999e-06
1459603943210,2.685,0.0
1459603943220,2.685,1.0859999999999999e-06
1459603943230,2.685,0.0
1459603943240,2.685,1.4480000000000002e-06
1459603943250,2.685,0.0
1459603943260,2.685,1.4480000000000002e-06
1459603943270,2.685,0.0
1459603943280,2.685,7.240000000000001e-07
1459603943290,2.685,0.0
1459603943300,2.685,7.240000000000001e-07
1459603943310,2.685,0.0
1459603943320,2.685,1.0859999999999999e-06
1459603943330,2.685,0.0
1459603943340,2.685,1.0859999999999999e-06
1459603943350,2.685,0.0
1459603943360,2.685,1.0859999999999999e-06
1459603943370,2.685,0.0
1459603943380,2.685,1.0859999999999999e-06
1459603943390,2.685,0.0
1459603943400,2.685,7.240000000000001e-07
1459603943410,2.685,0.0
1459603943420,2.685,1.4480000000000002e-06
1459603943430,2.685,0.0
1459603943440,2.685,1.4480000000000002e-06
1459603943450,2.685,0.0
1459603943460,2.685,1.0859999999999999e-06
1459603943470,2.685,3.6200000000000004e-07
1459603943480,2.685,7.240000000000001e-07
1459603943490,2.685,3.6200000000000004e-07
1459603943500,2.685,7.240000000000001e-07
1459603943510,2.685,3.6200000000000004e-07
1459603943520,2.685,7.240000000000001e-07
1459603943530,2.685,0.0
1459603943540,2.685,7.240000000000001e-07
1459603943550,2.685,0.0
1459603943560,2.685,1.0859999999999999e-06
1459603943570,2.685,3.6200000000000004e-07
1459603943580,2.685,1.0859999999999999e-06
1459603943590,2.685,0.0
1459603943600,2.685,1.4480000000000002e-06
1459603943610,2.685,3.6200000000000004e-07
1459603943620,2.685,1.0859999999999999e-06
1459603943630,2.685,0.0
1459603943640,2.685,7.240000000000001e-07
1459603943650,2.685,0.0
1459603943660,2.685,1.0859999999999999e-06
1459603943670,2.685,3.6200000000000004e-07
1459603943680,2.685,1.4480000000000002e-06
1459603943690,2.685,0.0
1459603943700,2.685,1.0859999999999999e-06
1459603943710,2.685,0.0
1459603943720,2.685,7.240000000000001e-07
1459603943730,2.685,0.0
1459603943740,2.685,1.0859999999999999e-06
1459603943750,2.685,3.6200000000000004e-07
1459603943760,2.685,0.0
1459603943770,2.685,3.6200000000000004e-07
1459603943780,2.685,7.240000000000001e-07
1459603943790,2.685,0.0
1459603943800,2.685,1.0859999999999999e-06
1459603943810,2.685,3.6200000000000004e-07
1459603943820,2.685,1.0859999999999999e-06
1459603943830,2.685,0.0
1459603943840,2.685,3.6200000000000004e-07
1459603943850,2.685,0.0
1459603943860,2.685,1.4480000000000002e-06
1459603943870,2.685,0.0
1459603943880,2.685,1.0859999999999999e-06
1459603943890,2.685,3.6200000000000004e-07
1459603943900,2.685,3.6200000000000004e-07
1459603943910,2.685,0.0
1459603943920,2.685,7.240000000000001e-07
1459603943930,2.685,0.0
1459603943940,2.685,3.6200000000000004e-07
1459603943950,2.685,7.240000000000001e-07
1459603943960,2.685,3.6200000000000004e-07
1459603943970,2.685,7.240000000000001e-07
1459603943980,2.685,0.0
1459603943990,2.685,0.0
1459603944000,2.685,3.6200000000000004e-07
1459603944010,2.685,0.0
1459603944020,2.685,1.0859999999999999e-06
1459603944030,2.685,0.0
1459603944040,2.685,3.6200000000000004e-07
1459603944050,2.685,7.240000000000001e-07
1459603944060,2.685,3.6200000000000004e-07
1459603944070,2.685,0.0
1459603944080,2.685,1.0859999999999999e-06
1459603944090,2.685,3.6200000000000004e-07
1459603944100,2.685,7.240000000000001e-07
1459603944110,2.685,3.6200000000000004e-07
1459603944120,2.685,7.240000000000001e-07
1459603944130,2.685,3.6200000000000004e-07
1459603944140,2.685,1.4480000000000002e-06
1459603944150,2.685,3.6200000000000004e-07
1459603944160,2.685,7.240000000000001e-07
1459603944170,2.685,1.0859999999999999e-06
1459603944180,2.685,1.0859999999999999e-06
1459603944190,2.685,3.6200000000000004e-07
1459603944200,2.685,1.4480000000000002e-06
1459603944210,2.685,3.6200000000000004e-07
1459603944220,2.685,1.0859999999999999e-06
1459603944230,2.685,0.0
1459603944240,2.685,1.81e-06
1459603944250,2.685,0.0
1459603944260,2.685,1.81e-06
1459603944270,2.685,3.6200000000000004e-07
1459603944280,2.685,1.81e-06
1459603944290,2.685,1.4480000000000002e-06
1459603944300,2.685,2.5340000000000002e-06
1459603944310,2.685,1.0859999999999999e-06
1459603944320,2.685,1.81e-06
1459603944330,2.685,0.0
1459603944340,2.685,7.240000000000001e-07
1459603944350,2.685,0.0
1459603944360,2.685,1.0859999999999999e-06
1459603944370,2.685,3.6200000000000004e-07
1459603944380,2.685,3.6200000000000004e-07
1459603944390,2.685,0.0
1459603944400,2.685,1.0859999999999999e-06
1459603944410,2.685,0.0
1459603944420,2.685,7.240000000000001e-07
1459603944430,2.685,7.240000000000001e-07
1459603944440,2.685,7.240000000000001e-07
1459603944450,2.685,0.0
1459603944460,2.685,7.240000000000001e-07
1459603944470,2.685,3.6200000000000004e-07
1459603944480,2.685,7.240000000000001e-07
1459603944490,2.685,0.0
1459603944500,2.685,1.0859999999999999e-06
1459603944510,2.685,3.6200000000000004e-07
1459603944520,2.685,7.240000000000001e-07
1459603944530,2.685,3.6200000000000004e-07
1459603944540,2.685,7.240000000000001e-07
1459603944550,2.685,0.0
1459603944560,2.685,1.0859999999999999e-06
1459603944570,2.685,3.6200000000000004e-07
1459603944580,2.685,7.240000000000001e-07
1459603944590,2.685,0.0
1459603944600,2.685,7.240000000000001e-07
1459603944610,2.685,0.0
1459603944620,2.685,7.240000000000001e-07
1459603944630,2.685,3.6200000000000004e-07
1459603944640,2.685,7.240000000000001e-07
1459603944650,2.685,0.0
1459603944660,2.685,7.240000000000001e-07
1459603944670,2.685,0.0
1459603944680,2.685,1.4480000000000002e-06
1459603944690,2.685,0.0
1459603944700,2.685,1.0859999999999999e-06
1459603944710,2.685,0.0
1459603944720,2.685,1.0859999999999999e-06
1459603944730,2.685,0.0
1459603944740,2.685,7.240000000000001e-07
1459603944750,2.685,3.6200000000000004e-07
1459603944760,2.685,1.0859999999999999e-06
1459603944770,2.685,0.0
1459603944780,2.685,1.0859999999999999e-06
1459603944790,2.685,0.0
1459603944800,2.685,7.240000000000001e-07
1459603944810,2.685,0.0
1459603944820,2.685,3.6200000000000004e-07
1459603944830,2.685,0.0
1459603944840,2.685,1.0859999999999999e-06
1459603944850,2.685,3.6200000000000004e-07
1459603944860,2.685,7.240000000000001e-07
1459603944870,2.685,0.0
1459603944880,2.685,7.240000000000001e-07
1459603944890,2.685,0.0
1459603944900,2.685,1.0859999999999999e-06
1459603944910,2.685,3.6200000000000004e-07
1459603944920,2.685,0.0
1459603944930,2.685,3.6200000000000004e-07
1459603944940,2.685,3.6200000000000004e-07
1459603944950,2.685,3.6200000000000004e-07
1459603944960,2.685,7.240000000000001e-07
1459603944970,2.685,3.6200000000000004e-07
1459603944980,2.685,3.6200000000000004e-07
1459603944990,2.685,3.6200000000000004e-07
1459603945000,2.685,1.0859999999999999e-06
1459603945010,2.685,0.0
1459603945020,2.685,7.240000000000001e-07
1459603945030,2.685,3.6200000000000004e-07
1459603945040,2.685,3.6200000000000004e-07
1459603945050,2.685,0.0
1459603945060,2.685,1.0859999999999999e-06
1459603945070,2.685,0.0
1459603945080,2.685,7.240000000000001e-07
1459603945090,2.685,0.0
1459603945100,2.685,7.240000000000001e-07
1459603945110,2.685,0.0
1459603945120,2.685,1.81e-06
