Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1459604100440,6.985,2.1719999999999997e-06
1459604100450,6.985,1.81e-06
1459604100460,6.985,1.81e-06
1459604100470,6.985,1.4480000000000002e-06
1459604100480,6.985,1.0859999999999999e-06
1459604100490,6.985,0.0
1459604100500,6.985,3.6200000000000004e-07
1459604100510,6.985,7.240000000000001e-07
1459604100520,6.985,3.6200000000000004e-07
1459604100530,6.985,7.240000000000001e-07
1459604100540,6.985,3.6200000000000004e-07
1459604100550,6.985,3.6200000000000004e-07
1459604100560,6.985,3.6200000000000004e-07
1459604100570,6.985,1.0859999999999999e-06
1459604100580,6.985,7.240000000000001e-07
1459604100590,6.985,0.0
1459604100600,6.985,7.240000000000001e-07
1459604100610,6.985,7.240000000000001e-07
1459604100620,6.985,3.6200000000000004e-07
1459604100630,6.985,7.240000000000001e-07
1459604100640,6.985,0.0
1459604100650,6.985,7.240000000000001e-07
1459604100660,6.985,7.240000000000001e-07
1459604100670,6.985,1.4480000000000002e-06
1459604100680,6.985,1.4480000000000002e-06
1459604100690,6.985,1.4480000000000002e-06
1459604100700,6.985,1.0859999999999999e-06
1459604100710,6.985,3.6200000000000004e-07
1459604100720,6.985,7.240000000000001e-07
1459604100730,6.985,7.240000000000001e-07
1459604100740,6.985,7.240000000000001e-07
1459604100750,6.985,1.0859999999999999e-06
1459604100760,6.985,2.1719999999999997e-06
1459604100770,6.985,1.4480000000000002e-06
1459604100780,6.985,2.1719999999999997e-06
1459604100790,6.985,1.0859999999999999e-06
1459604100800,6.985,1.81e-06
1459604100810,6.985,1.81e-06
1459604100820,6.985,1.4480000000000002e-06
1459604100830,6.985,2.1719999999999997e-06
1459604100840,6.985,1.81e-06
1459604100850,6.985,2.8960000000000003e-06
1459604100860,6.985,1.81e-06
1459604100870,6.985,2.1719999999999997e-06
1459604100880,6.985,1.0859999999999999e-06
1459604100890,6.985,1.0859999999999999e-06
1459604100900,6.985,7.240000000000001e-07
1459604100910,6.985,3.6200000000000004e-07
1459604100920,6.985,1.4480000000000002e-06
1459604100930,6.985,0.0
1459604100940,6.985,3.6200000000000004e-07
1459604100950,6.985,0.0
1459604100960,6.985,1.0859999999999999e-06
1459604100970,6.985,0.0
1459604100980,6.985,7.240000000000001e-07
1459604100990,6.985,3.6200000000000004e-07
1459604101000,6.985,3.6200000000000004e-07
1459604101010,6.985,7.240000000000001e-07
1459604101020,6.985,3.6200000000000004e-07
1459604101030,6.985,0.0
1459604101040,6.985,0.0
1459604101050,6.985,3.6200000000000004e-07
1459604101060,6.985,0.0
1459604101070,6.985,7.240000000000001e-07
1459604101080,6.985,3.6200000000000004e-07
1459604101090,6.985,0.0
1459604101100,6.985,7.240000000000001e-07
1459604101110,6.985,7.240000000000001e-07
1459604101120,6.985,7.240000000000001e-07
1459604101130,6.985,3.6200000000000004e-07
1459604101140,6.985,1.0859999999999999e-06
1459604101150,6.985,7.240000000000001e-07
1459604101160,6.985,3.6200000000000004e-07
1459604101170,6.985,3.6200000000000004e-07
1459604101180,6.985,3.6200000000000004e-07
1459604101190,6.985,3.6200000000000004e-07
1459604101200,6.985,7.240000000000001e-07
1459604101210,6.985,7.240000000000001e-07
1459604101220,6.985,3.6200000000000004e-07
1459604101230,6.985,3.6200000000000004e-07
1459604101240,6.985,3.6200000000000004e-07
1459604101250,6.985,7.240000000000001e-07
1459604101260,6.985,7.240000000000001e-07
1459604101270,6.985,7.240000000000001e-07
1459604101280,6.985,3.6200000000000004e-07
1459604101290,6.985,3.6200000000000004e-07
1459604101300,6.985,7.240000000000001e-07
1459604101310,6.985,3.6200000000000004e-07
1459604101320,6.985,0.0
1459604101330,6.985,7.240000000000001e-07
1459604101340,6.985,3.6200000000000004e-07
1459604101350,6.985,3.6200000000000004e-07
1459604101360,6.985,3.6200000000000004e-07
1459604101370,6.985,3.6200000000000004e-07
1459604101380,6.985,0.0
1459604101390,6.985,0.0
1459604101400,6.985,7.240000000000001e-07
1459604101410,6.985,7.240000000000001e-07
1459604101420,6.985,0.0
1459604101430,6.985,3.6200000000000004e-07
1459604101440,6.985,1.0859999999999999e-06
1459604101450,6.985,3.6200000000000004e-07
1459604101460,6.985,0.0
1459604101470,6.985,7.240000000000001e-07
1459604101480,6.985,0.0
1459604101490,6.985,1.0859999999999999e-06
1459604101500,6.985,0.0
1459604101510,6.985,7.240000000000001e-07
1459604101520,6.985,3.6200000000000004e-07
1459604101530,6.985,3.6200000000000004e-07
1459604101540,6.985,3.6200000000000004e-07
1459604101550,6.985,7.240000000000001e-07
1459604101560,6.985,7.240000000000001e-07
1459604101570,6.985,7.240000000000001e-07
1459604101580,6.985,3.6200000000000004e-07
1459604101590,6.985,1.0859999999999999e-06
1459604101600,6.985,3.6200000000000004e-07
1459604101610,6.985,3.6200000000000004e-07
1459604101620,6.985,7.240000000000001e-07
1459604101630,6.985,3.6200000000000004e-07
1459604101640,6.985,3.6200000000000004e-07
1459604101650,6.985,3.6200000000000004e-07
1459604101660,6.985,7.240000000000001e-07
1459604101670,6.985,0.0
1459604101680,6.985,3.6200000000000004e-07
1459604101690,6.985,3.6200000000000004e-07
1459604101700,6.985,1.0859999999999999e-06
1459604101710,6.985,3.6200000000000004e-07
1459604101720,6.985,7.240000000000001e-07
1459604101730,6.985,3.6200000000000004e-07
1459604101740,6.985,1.0859999999999999e-06
1459604101750,6.985,7.240000000000001e-07
1459604101760,6.985,7.240000000000001e-07
1459604101770,6.985,0.0
1459604101780,6.985,7.240000000000001e-07
1459604101790,6.985,7.240000000000001e-07
1459604101800,6.985,1.4480000000000002e-06
1459604101810,6.985,1.0859999999999999e-06
1459604101820,6.985,1.0859999999999999e-06
1459604101830,6.985,1.4480000000000002e-06
1459604101840,6.985,1.81e-06
1459604101850,6.985,1.81e-06
1459604101860,6.985,2.8960000000000003e-06
1459604101870,6.985,1.0859999999999999e-06
1459604101880,6.985,1.4480000000000002e-06
1459604101890,6.985,1.81e-06
1459604101900,6.985,1.0859999999999999e-06
1459604101910,6.985,3.6200000000000004e-07
1459604101920,6.985,1.0859999999999999e-06
1459604101930,6.985,7.240000000000001e-07
1459604101940,6.985,7.240000000000001e-07
1459604101950,6.985,3.6200000000000004e-07
1459604101960,6.985,7.240000000000001e-07
1459604101970,6.985,7.240000000000001e-07
1459604101980,6.985,7.240000000000001e-07
1459604101990,6.985,0.0
1459604102000,6.985,3.6200000000000004e-07
1459604102010,6.985,3.6200000000000004e-07
1459604102020,6.985,7.240000000000001e-07
1459604102030,6.985,0.0
1459604102040,6.985,1.4480000000000002e-06
1459604102050,6.985,0.0
1459604102060,6.985,7.240000000000001e-07
1459604102070,6.985,3.6200000000000004e-07
1459604102080,6.985,7.240000000000001e-07
1459604102090,6.985,3.6200000000000004e-07
1459604102100,6.985,3.6200000000000004e-07
1459604102110,6.985,1.0859999999999999e-06
1459604102120,6.985,7.240000000000001e-07
1459604102130,6.985,3.6200000000000004e-07
1459604102140,6.985,7.240000000000001e-07
1459604102150,6.985,1.0859999999999999e-06
1459604102160,6.985,3.6200000000000004e-07
1459604102170,6.985,3.6200000000000004e-07
1459604102180,6.985,7.240000000000001e-07
1459604102190,6.985,3.6200000000000004e-07
1459604102200,6.985,1.0859999999999999e-06
1459604102210,6.985,1.0859999999999999e-06
1459604102220,6.985,1.0859999999999999e-06
1459604102230,6.985,1.0859999999999999e-06
1459604102240,6.985,3.6200000000000004e-07
1459604102250,6.985,3.6200000000000004e-07
1459604102260,6.985,7.240000000000001e-07
1459604102270,6.985,3.6200000000000004e-07
1459604102280,6.985,1.0859999999999999e-06
1459604102290,6.985,7.240000000000001e-07
1459604102300,6.985,2.5340000000000002e-06
1459604102310,6.985,1.0859999999999999e-06
1459604102320,6.985,2.5340000000000002e-06
1459604102330,6.985,3.6200000000000004e-07
1459604102340,6.985,3.6200000000000004e-07
1459604102350,6.985,7.240000000000001e-07
1459604102360,6.985,7.240000000000001e-07
1459604102370,6.985,3.6200000000000004e-07
1459604102380,6.985,7.240000000000001e-07
1459604102390,6.985,3.6200000000000004e-07
1459604102400,6.985,1.4480000000000002e-06
1459604102410,6.985,1.0859999999999999e-06
1459604102420,6.985,7.240000000000001e-07
1459604102430,6.985,1.4480000000000002e-06
1459604102440,6.985,1.81e-06
1459604102450,6.985,1.4480000000000002e-06
1459604102460,6.985,1.4480000000000002e-06
1459604102470,6.985,1.81e-06
1459604102480,6.985,2.1719999999999997e-06
1459604102490,6.985,1.4480000000000002e-06
1459604102500,6.985,2.5340000000000002e-06
1459604102510,6.985,2.1719999999999997e-06
1459604102520,6.985,2.5340000000000002e-06
1459604102530,6.985,2.1719999999999997e-06
1459604102540,6.985,2.5340000000000002e-06
1459604102550,6.985,1.81e-06
1459604102560,6.985,1.81e-06
1459604102570,6.985,7.240000000000001e-07
1459604102580,6.985,1.4480000000000002e-06
1459604102590,6.985,7.240000000000001e-07
1459604102600,6.985,1.0859999999999999e-06
1459604102610,6.985,7.240000000000001e-07
1459604102620,6.985,1.0859999999999999e-06
1459604102630,6.985,3.6200000000000004e-07
1459604102640,6.985,1.0859999999999999e-06
1459604102650,6.985,7.240000000000001e-07
1459604102660,6.985,7.240000000000001e-07
1459604102670,6.985,7.240000000000001e-07
1459604102680,6.985,3.6200000000000004e-07
1459604102690,6.985,3.6200000000000004e-07
1459604102700,6.985,1.0859999999999999e-06
1459604102710,6.985,3.6200000000000004e-07
1459604102720,6.985,0.0
1459604102730,6.985,3.6200000000000004e-07
1459604102740,6.985,1.0859999999999999e-06
1459604102750,6.985,3.6200000000000004e-07
1459604102760,6.985,3.6200000000000004e-07
1459604102770,6.985,3.6200000000000004e-07
