Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1459604338520,3.685,2.5340000000000002e-06
1459604338530,3.685,7.240000000000001e-07
1459604338540,3.685,1.81e-06
1459604338550,3.685,2.8960000000000003e-06
1459604338560,3.685,0.0
1459604338570,3.685,1.0859999999999999e-06
1459604338580,3.685,3.982e-06
1459604338590,3.685,5.43e-06
1459604338600,3.685,2.1719999999999997e-06
1459604338610,3.685,2.8960000000000003e-06
1459604338620,3.685,3.982e-06
1459604338630,3.685,7.240000000000001e-07
1459604338640,3.685,1.0859999999999999e-06
1459604338650,3.685,2.1719999999999997e-06
1459604338660,3.685,2.5340000000000002e-06
1459604338670,3.685,1.0859999999999999e-06
1459604338680,3.685,2.1719999999999997e-06
1459604338690,3.685,3.6200000000000004e-07
1459604338700,3.685,1.4480000000000002e-06
1459604338710,3.685,1.0859999999999999e-06
1459604338720,3.685,3.6200000000000004e-07
1459604338730,3.685,0.0
1459604338740,3.685,2.1719999999999997e-06
1459604338750,3.685,1.4480000000000002e-06
1459604338760,3.685,7.240000000000001e-07
1459604338770,3.685,3.6200000000000004e-07
1459604338780,3.685,3.6200000000000004e-07
1459604338790,3.685,3.6200000000000004e-07
1459604338800,3.685,2.5340000000000002e-06
1459604338810,3.685,0.0
1459604338820,3.685,1.4480000000000002e-06
1459604338830,3.685,7.240000000000001e-07
1459604338840,3.685,1.0859999999999999e-06
1459604338850,3.685,0.0
1459604338860,3.685,1.0859999999999999e-06
1459604338870,3.685,0.0
1459604338880,3.685,0.0
1459604338890,3.685,7.240000000000001e-07
1459604338900,3.685,3.6200000000000004e-07
1459604338910,3.685,3.6200000000000004e-07
1459604338920,3.685,0.0
1459604338930,3.685,7.240000000000001e-07
1459604338940,3.685,1.0859999999999999e-06
1459604338950,3.685,3.6200000000000004e-07
1459604338960,3.685,0.0
1459604338970,3.685,3.6200000000000004e-07
1459604338980,3.685,3.6200000000000004e-07
1459604338990,3.685,0.0
1459604339000,3.685,2.1719999999999997e-06
1459604339010,3.685,0.0
1459604339020,3.685,3.6200000000000004e-07
1459604339030,3.685,3.6200000000000004e-07
1459604339040,3.685,7.240000000000001e-07
1459604339050,3.685,0.0
1459604339060,3.685,0.0
1459604339070,3.685,2.1719999999999997e-06
1459604339080,3.685,0.0
1459604339090,3.685,7.240000000000001e-07
1459604339100,3.685,0.0
1459604339110,3.685,2.5340000000000002e-06
1459604339120,3.685,0.0
1459604339130,3.685,0.0
1459604339140,3.685,0.0
1459604339150,3.685,2.5340000000000002e-06
1459604339160,3.685,7.240000000000001e-07
1459604339170,3.685,3.6200000000000004e-07
1459604339180,3.685,0.0
1459604339190,3.685,0.0
1459604339200,3.685,7.240000000000001e-07
1459604339210,3.685,1.0859999999999999e-06
1459604339220,3.685,0.0
1459604339230,3.685,7.240000000000001e-07
1459604339240,3.685,0.0
1459604339250,3.685,3.6200000000000004e-07
1459604339260,3.685,3.6200000000000004e-07
1459604339270,3.685,1.0859999999999999e-06
1459604339280,3.685,0.0
1459604339290,3.685,3.6200000000000004e-07
1459604339300,3.685,0.0
1459604339310,3.685,7.240000000000001e-07
1459604339320,3.685,1.4480000000000002e-06
1459604339330,3.685,0.0
1459604339340,3.685,1.0859999999999999e-06
1459604339350,3.685,3.6200000000000004e-07
1459604339360,3.685,2.1719999999999997e-06
1459604339370,3.685,7.240000000000001e-07
1459604339380,3.685,1.4480000000000002e-06
1459604339390,3.685,0.0
1459604339400,3.685,3.6200000000000004e-07
1459604339410,3.685,0.0
1459604339420,3.685,1.0859999999999999e-06
1459604339430,3.685,1.81e-06
1459604339440,3.685,0.0
1459604339450,3.685,0.0
1459604339460,3.685,0.0
1459604339470,3.685,1.0859999999999999e-06
1459604339480,3.685,1.0859999999999999e-06
1459604339490,3.685,0.0
1459604339500,3.685,0.0
1459604339510,3.685,0.0
1459604339520,3.685,0.0
1459604339530,3.685,3.6200000000000004e-07
1459604339540,3.685,0.0
1459604339550,3.685,1.81e-06
1459604339560,3.685,1.81e-06
1459604339570,3.685,0.0
1459604339580,3.685,0.0
1459604339590,3.685,3.6200000000000004e-07
1459604339600,3.685,1.0859999999999999e-06
1459604339610,3.685,7.240000000000001e-07
1459604339620,3.685,0.0
1459604339630,3.685,1.4480000000000002e-06
1459604339640,3.685,0.0
1459604339650,3.685,0.0
1459604339660,3.685,0.0
1459604339670,3.685,0.0
1459604339680,3.685,7.240000000000001e-07
1459604339690,3.685,0.0
1459604339700,3.685,3.6200000000000004e-07
1459604339710,3.685,3.6200000000000004e-07
1459604339720,3.685,1.0859999999999999e-06
1459604339730,3.685,1.0859999999999999e-06
1459604339740,3.685,3.6200000000000004e-07
1459604339750,3.685,7.240000000000001e-07
1459604339760,3.685,0.0
1459604339770,3.685,1.81e-06
1459604339780,3.685,0.0
1459604339790,3.685,1.4480000000000002e-06
1459604339800,3.685,0.0
1459604339810,3.685,3.6200000000000004e-07
1459604339820,3.685,0.0
1459604339830,3.685,3.6200000000000004e-07
1459604339840,3.685,7.240000000000001e-07
1459604339850,3.685,1.4480000000000002e-06
1459604339860,3.685,0.0
1459604339870,3.685,0.0
1459604339880,3.685,0.0
1459604339890,3.685,3.982e-06
1459604339900,3.685,0.0
1459604339910,3.685,0.0
1459604339920,3.685,0.0
1459604339930,3.685,0.0
1459604339940,3.685,3.6200000000000004e-07
1459604339950,3.685,3.982e-06
1459604339960,3.685,1.81e-06
