Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605172430,1.16,7.240000000000001e-07
1459605172440,1.16,7.240000000000001e-07
1459605172450,1.16,3.6200000000000004e-07
1459605172460,1.16,7.240000000000001e-07
1459605172470,1.16,3.6200000000000004e-07
1459605172480,1.16,3.6200000000000004e-07
1459605172490,1.16,7.240000000000001e-07
1459605172500,1.16,7.240000000000001e-07
1459605172510,1.16,7.240000000000001e-07
1459605172520,1.16,7.240000000000001e-07
1459605172530,1.16,3.6200000000000004e-07
1459605172540,1.16,7.240000000000001e-07
1459605172550,1.16,7.240000000000001e-07
1459605172560,1.16,0.0
1459605172570,1.16,7.240000000000001e-07
1459605172580,1.16,0.0
1459605172590,1.16,1.4480000000000002e-06
1459605172600,1.16,3.6200000000000004e-07
1459605172610,1.16,1.4480000000000002e-06
1459605172620,1.16,7.240000000000001e-07
1459605172630,1.16,7.240000000000001e-07
1459605172640,1.16,7.240000000000001e-07
1459605172650,1.16,7.240000000000001e-07
1459605172660,1.16,1.0859999999999999e-06
1459605172670,1.16,3.6200000000000004e-07
1459605172680,1.16,1.4480000000000002e-06
1459605172690,1.16,3.6200000000000004e-07
1459605172700,1.16,1.0859999999999999e-06
1459605172710,1.16,3.6200000000000004e-07
1459605172720,1.16,3.6200000000000004e-07
1459605172730,1.16,3.6200000000000004e-07
1459605172740,1.16,1.0859999999999999e-06
1459605172750,1.16,3.6200000000000004e-07
1459605172760,1.16,1.0859999999999999e-06
1459605172770,1.16,0.0
1459605172780,1.16,7.240000000000001e-07
1459605172790,1.16,3.6200000000000004e-07
1459605172800,1.16,1.4480000000000002e-06
1459605172810,1.16,0.0
1459605172820,1.16,7.240000000000001e-07
1459605172830,1.16,1.0859999999999999e-06
1459605172840,1.16,1.4480000000000002e-06
1459605172850,1.16,0.0
1459605172860,1.16,1.4480000000000002e-06
1459605172870,1.16,7.240000000000001e-07
1459605172880,1.16,1.4480000000000002e-06
1459605172890,1.16,7.240000000000001e-07
1459605172900,1.16,1.0859999999999999e-06
1459605172910,1.16,1.4480000000000002e-06
1459605172920,1.16,1.0859999999999999e-06
1459605172930,1.16,7.240000000000001e-07
1459605172940,1.16,1.0859999999999999e-06
1459605172950,1.16,7.240000000000001e-07
1459605172960,1.16,3.6200000000000004e-07
1459605172970,1.16,7.240000000000001e-07
1459605172980,1.16,7.240000000000001e-07
1459605172990,1.16,3.6200000000000004e-07
1459605173000,1.16,1.0859999999999999e-06
1459605173010,1.16,3.6200000000000004e-07
1459605173020,1.16,1.0859999999999999e-06
1459605173030,1.16,7.240000000000001e-07
1459605173040,1.16,0.0
1459605173050,1.16,1.0859999999999999e-06
1459605173060,1.16,7.240000000000001e-07
1459605173070,1.16,3.6200000000000004e-07
1459605173080,1.16,3.6200000000000004e-07
1459605173090,1.16,7.240000000000001e-07
1459605173100,1.16,1.0859999999999999e-06
1459605173110,1.16,3.6200000000000004e-07
1459605173120,1.16,1.4480000000000002e-06
1459605173130,1.16,1.0859999999999999e-06
1459605173140,1.16,1.4480000000000002e-06
1459605173150,1.16,1.0859999999999999e-06
1459605173160,1.16,1.4480000000000002e-06
1459605173170,1.16,1.0859999999999999e-06
1459605173180,1.16,1.0859999999999999e-06
1459605173190,1.16,1.0859999999999999e-06
1459605173200,1.16,1.0859999999999999e-06
1459605173210,1.16,3.6200000000000004e-07
1459605173220,1.16,7.240000000000001e-07
1459605173230,1.16,0.0
1459605173240,1.16,3.6200000000000004e-07
1459605173250,1.16,1.0859999999999999e-06
1459605173260,1.16,1.0859999999999999e-06
1459605173270,1.16,7.240000000000001e-07
1459605173280,1.16,3.6200000000000004e-07
1459605173290,1.16,1.0859999999999999e-06
1459605173300,1.16,7.240000000000001e-07
1459605173310,1.16,1.4480000000000002e-06
1459605173320,1.16,1.4480000000000002e-06
1459605173330,1.16,7.240000000000001e-07
1459605173340,1.16,1.0859999999999999e-06
1459605173350,1.16,1.81e-06
1459605173360,1.16,3.6200000000000004e-07
1459605173370,1.16,7.240000000000001e-07
1459605173380,1.16,7.240000000000001e-07
1459605173390,1.16,7.240000000000001e-07
1459605173400,1.16,3.6200000000000004e-07
1459605173410,1.16,7.240000000000001e-07
1459605173420,1.16,1.0859999999999999e-06
1459605173430,1.16,7.240000000000001e-07
1459605173440,1.16,3.6200000000000004e-07
1459605173450,1.16,0.0
1459605173460,1.16,7.240000000000001e-07
1459605173470,1.16,3.6200000000000004e-07
