Timestamp,position,BLMTI.06R2.B1I10_TCLIB.6R2.B1
1459605593830,6.445,3.6200000000000004e-07
1459605593840,6.445,1.0859999999999999e-06
1459605593850,6.445,3.6200000000000004e-07
1459605593860,6.445,7.240000000000001e-07
1459605593870,6.445,7.240000000000001e-07
1459605593880,6.445,1.0859999999999999e-06
1459605593890,6.445,7.240000000000001e-07
1459605593900,6.445,1.81e-06
1459605593910,6.445,3.6200000000000004e-07
1459605593920,6.445,1.4480000000000002e-06
1459605593930,6.445,1.0859999999999999e-06
1459605593940,6.445,7.240000000000001e-07
1459605593950,6.445,1.81e-06
1459605593960,6.445,1.0859999999999999e-06
1459605593970,6.445,0.0
1459605593980,6.445,7.240000000000001e-07
1459605593990,6.445,7.240000000000001e-07
1459605594000,6.445,3.6200000000000004e-07
1459605594010,6.445,0.0
1459605594020,6.445,1.4480000000000002e-06
1459605594030,6.445,3.6200000000000004e-07
1459605594040,6.445,1.4480000000000002e-06
1459605594050,6.445,3.6200000000000004e-07
1459605594060,6.445,1.0859999999999999e-06
1459605594070,6.445,1.0859999999999999e-06
1459605594080,6.445,1.0859999999999999e-06
1459605594090,6.445,7.240000000000001e-07
1459605594100,6.445,7.240000000000001e-07
1459605594110,6.445,7.240000000000001e-07
1459605594120,6.445,7.240000000000001e-07
1459605594130,6.445,7.240000000000001e-07
1459605594140,6.445,7.240000000000001e-07
1459605594150,6.405,1.4480000000000002e-06
1459605594160,6.405,7.240000000000001e-07
1459605594170,6.405,7.240000000000001e-07
1459605594180,6.405,1.0859999999999999e-06
1459605594190,6.405,3.6200000000000004e-07
1459605594200,6.405,7.240000000000001e-07
1459605594210,6.405,1.0859999999999999e-06
1459605594220,6.405,1.4480000000000002e-06
1459605594230,6.405,1.4480000000000002e-06
1459605594240,6.405,1.0859999999999999e-06
1459605594250,6.405,7.240000000000001e-07
1459605594260,6.405,1.4480000000000002e-06
1459605594270,6.405,7.240000000000001e-07
1459605594280,6.405,1.0859999999999999e-06
1459605594290,6.405,1.4480000000000002e-06
1459605594300,6.405,7.240000000000001e-07
1459605594310,6.405,3.6200000000000004e-07
1459605594320,6.405,1.267e-05
1459605594330,6.405,1.4118e-05
1459605594340,6.405,1.0136000000000001e-05
1459605594350,6.405,1.0498e-05
1459605594360,6.405,2.5340000000000002e-06
1459605594370,6.405,6.877999999999999e-06
1459605594380,6.405,2.5340000000000002e-06
1459605594390,6.405,1.4480000000000002e-06
1459605594400,6.405,2.1719999999999997e-06
1459605594410,6.405,7.240000000000001e-07
1459605594420,6.405,1.0859999999999999e-06
1459605594430,6.405,3.6200000000000004e-07
1459605594440,6.405,7.240000000000001e-07
