Timestamp,position,BLMTI.04R2.B2E10_TCTPV.4R2.B2
1459605727900,0.915,7.240000000000001e-07
1459605727910,0.915,2.5340000000000002e-06
1459605727920,0.915,7.240000000000001e-07
1459605727930,0.915,1.4480000000000002e-06
1459605727940,0.915,1.4480000000000002e-06
1459605727950,0.915,2.1719999999999997e-06
1459605727960,0.915,7.240000000000001e-07
1459605727970,0.915,2.1719999999999997e-06
1459605727980,0.915,2.1719999999999997e-06
1459605727990,0.915,2.1719999999999997e-06
1459605728000,0.915,7.240000000000001e-07
1459605728010,0.915,1.0859999999999999e-06
1459605728020,0.915,1.4480000000000002e-06
1459605728030,0.915,3.6200000000000004e-07
1459605728040,0.915,1.4480000000000002e-06
1459605728050,0.915,1.0859999999999999e-06
1459605728060,0.915,1.0859999999999999e-06
1459605728070,0.915,3.6200000000000004e-07
1459605728080,0.915,1.0859999999999999e-06
1459605728090,0.915,7.240000000000001e-07
1459605728100,0.915,1.4480000000000002e-06
1459605728110,0.915,7.240000000000001e-07
1459605728120,0.915,1.0859999999999999e-06
1459605728130,0.915,2.1719999999999997e-06
1459605728140,0.915,3.6200000000000004e-07
1459605728150,0.915,1.4480000000000002e-06
1459605728160,0.915,1.0859999999999999e-06
1459605728170,0.915,1.0859999999999999e-06
1459605728180,0.915,1.4480000000000002e-06
1459605728190,0.915,3.6200000000000004e-07
1459605728200,0.915,7.240000000000001e-07
1459605728210,0.915,1.4480000000000002e-06
1459605728220,0.915,7.240000000000001e-07
1459605728230,0.915,1.0859999999999999e-06
1459605728240,0.915,1.0859999999999999e-06
1459605728250,0.915,1.0859999999999999e-06
1459605728260,0.915,1.81e-06
1459605728270,0.915,1.0859999999999999e-06
1459605728280,0.915,2.5340000000000002e-06
1459605728290,0.915,1.4480000000000002e-06
1459605728300,0.915,1.4480000000000002e-06
1459605728310,0.915,1.81e-06
1459605728320,0.915,1.4480000000000002e-06
1459605728330,0.915,7.240000000000001e-07
1459605728340,0.915,2.1719999999999997e-06
1459605728350,0.915,1.0859999999999999e-06
1459605728360,0.915,1.4480000000000002e-06
1459605728370,0.915,1.0859999999999999e-06
1459605728380,0.915,1.4480000000000002e-06
1459605728390,0.915,1.4480000000000002e-06
1459605728400,0.915,1.0859999999999999e-06
1459605728410,0.915,1.0859999999999999e-06
1459605728420,0.915,1.0859999999999999e-06
1459605728430,0.915,1.4480000000000002e-06
1459605728440,0.915,1.81e-06
1459605728450,0.915,1.4480000000000002e-06
1459605728460,0.915,1.81e-06
1459605728470,0.915,2.1719999999999997e-06
1459605728480,0.915,1.81e-06
1459605728490,0.915,1.0859999999999999e-06
1459605728500,0.915,2.1719999999999997e-06
1459605728510,0.915,3.6200000000000004e-07
1459605728520,0.915,1.4480000000000002e-06
1459605728530,0.915,1.4480000000000002e-06
1459605728540,0.915,1.0859999999999999e-06
1459605728550,0.915,1.0859999999999999e-06
1459605728560,0.915,7.240000000000001e-07
1459605728570,0.915,1.81e-06
1459605728580,0.915,3.6200000000000004e-07
1459605728590,0.915,1.81e-06
1459605728600,0.915,7.240000000000001e-07
1459605728610,0.915,2.1719999999999997e-06
1459605728620,0.915,3.6200000000000004e-07
1459605728630,0.915,1.4480000000000002e-06
1459605728640,0.915,7.240000000000001e-07
1459605728650,0.915,7.240000000000001e-07
1459605728660,0.915,7.240000000000001e-07
1459605728670,0.915,1.4480000000000002e-06
1459605728680,0.915,3.6200000000000004e-07
1459605728690,0.915,1.4480000000000002e-06
1459605728700,0.915,1.4480000000000002e-06
1459605728710,0.915,1.0859999999999999e-06
1459605728720,0.915,1.4480000000000002e-06
1459605728730,0.915,7.240000000000001e-07
1459605728740,0.915,7.240000000000001e-07
1459605728750,0.915,1.4480000000000002e-06
1459605728760,0.915,3.6200000000000004e-07
1459605728770,0.915,1.0859999999999999e-06
1459605728780,0.915,1.0859999999999999e-06
1459605728790,0.915,1.0859999999999999e-06
1459605728800,0.915,1.0859999999999999e-06
1459605728810,0.915,1.4480000000000002e-06
1459605728820,0.915,1.4480000000000002e-06
1459605728830,0.915,1.0859999999999999e-06
1459605728840,0.915,1.4480000000000002e-06
1459605728850,0.915,1.4480000000000002e-06
1459605728860,0.915,2.8960000000000003e-06
1459605728870,0.915,3.6200000000000004e-07
1459605728880,0.915,1.81e-06
1459605728890,0.915,1.0859999999999999e-06
1459605728900,0.915,1.0859999999999999e-06
1459605728910,0.915,1.0859999999999999e-06
1459605728920,0.915,1.4480000000000002e-06
1459605728930,0.915,7.240000000000001e-07
1459605728940,0.915,1.0859999999999999e-06
1459605728950,0.915,7.240000000000001e-07
1459605728960,0.915,1.4480000000000002e-06
1459605728970,0.915,3.6200000000000004e-07
1459605728980,0.915,1.4480000000000002e-06
1459605728990,0.915,1.0859999999999999e-06
1459605729000,0.915,3.6200000000000004e-07
1459605729010,0.915,2.8960000000000003e-06
1459605729020,0.915,0.0
1459605729030,0.915,1.4480000000000002e-06
1459605729040,0.915,1.0859999999999999e-06
1459605729050,0.915,1.81e-06
1459605729060,0.915,1.81e-06
1459605729070,0.915,1.0859999999999999e-06
1459605729080,0.915,1.81e-06
1459605729090,0.915,1.81e-06
1459605729100,0.915,1.81e-06
1459605729110,0.915,1.0859999999999999e-06
1459605729120,0.915,7.240000000000001e-07
1459605729130,0.915,1.0859999999999999e-06
1459605729140,0.915,1.0859999999999999e-06
1459605729150,0.915,1.0859999999999999e-06
1459605729160,0.915,1.4480000000000002e-06
1459605729170,0.915,7.240000000000001e-07
1459605729180,0.915,1.0859999999999999e-06
1459605729190,0.915,7.240000000000001e-07
1459605729200,0.915,3.6200000000000004e-07
1459605729210,0.915,1.4480000000000002e-06
1459605729220,0.915,1.0859999999999999e-06
1459605729230,0.915,1.4480000000000002e-06
1459605729240,0.915,3.6200000000000004e-07
1459605729250,0.915,1.81e-06
1459605729260,0.915,3.6200000000000004e-07
1459605729270,0.915,1.0859999999999999e-06
1459605729280,0.915,1.4480000000000002e-06
1459605729290,0.915,1.4480000000000002e-06
1459605729300,0.915,3.6200000000000004e-07
1459605729310,0.915,1.81e-06
1459605729320,0.915,7.240000000000001e-07
1459605729330,0.915,1.0859999999999999e-06
1459605729340,0.915,1.4480000000000002e-06
1459605729350,0.915,1.0859999999999999e-06
1459605729360,0.915,3.6200000000000004e-07
1459605729370,0.915,1.4480000000000002e-06
1459605729380,0.915,1.0859999999999999e-06
1459605729390,0.915,1.0859999999999999e-06
1459605729400,0.915,1.4480000000000002e-06
1459605729410,0.915,1.81e-06
1459605729420,0.915,7.240000000000001e-07
1459605729430,0.915,1.4480000000000002e-06
1459605729440,0.915,1.81e-06
1459605729450,0.915,1.4480000000000002e-06
1459605729460,0.915,1.4480000000000002e-06
1459605729470,0.915,1.0859999999999999e-06
1459605729480,0.915,7.240000000000001e-07
1459605729490,0.915,1.4480000000000002e-06
1459605729500,0.915,1.4480000000000002e-06
1459605729510,0.915,1.81e-06
1459605729520,0.915,3.6200000000000004e-07
1459605729530,0.915,1.0859999999999999e-06
1459605729540,0.915,1.0859999999999999e-06
1459605729550,0.915,1.4480000000000002e-06
1459605729560,0.915,1.0859999999999999e-06
1459605729570,0.915,1.4480000000000002e-06
1459605729580,0.915,1.0859999999999999e-06
1459605729590,0.915,1.0859999999999999e-06
1459605729600,0.915,2.1719999999999997e-06
1459605729610,0.915,1.4480000000000002e-06
1459605729620,0.915,7.240000000000001e-07
1459605729630,0.915,2.1719999999999997e-06
1459605729640,0.915,1.4480000000000002e-06
1459605729650,0.915,7.240000000000001e-07
1459605729660,0.915,1.81e-06
1459605729670,0.915,0.0
1459605729680,0.915,1.81e-06
1459605729690,0.915,1.0859999999999999e-06
1459605729700,0.915,1.0859999999999999e-06
1459605729710,0.915,3.6200000000000004e-07
1459605729720,0.915,1.4480000000000002e-06
1459605729730,0.915,1.0859999999999999e-06
1459605729740,0.915,1.0859999999999999e-06
1459605729750,0.915,1.0859999999999999e-06
1459605729760,0.915,1.0859999999999999e-06
1459605729770,0.915,1.4480000000000002e-06
1459605729780,0.915,7.240000000000001e-07
1459605729790,0.915,1.81e-06
1459605729800,0.915,0.0
1459605729810,0.915,1.0859999999999999e-06
1459605729820,0.915,1.0859999999999999e-06
1459605729830,0.915,1.4480000000000002e-06
1459605729840,0.915,7.240000000000001e-07
1459605729850,0.915,1.81e-06
1459605729860,0.915,7.240000000000001e-07
1459605729870,0.915,1.0859999999999999e-06
1459605729880,0.915,1.81e-06
1459605729890,0.915,3.6200000000000004e-07
1459605729900,0.915,2.1719999999999997e-06
1459605729910,0.915,1.4480000000000002e-06
1459605729920,0.915,3.6200000000000004e-07
1459605729930,0.915,1.0859999999999999e-06
1459605729940,0.915,1.4480000000000002e-06
1459605729950,0.915,1.0859999999999999e-06
1459605729960,0.915,1.4480000000000002e-06
1459605729970,0.915,7.240000000000001e-07
1459605729980,0.915,7.240000000000001e-07
1459605729990,0.915,1.4480000000000002e-06
1459605730000,0.915,1.0859999999999999e-06
1459605730010,0.915,3.6200000000000004e-07
1459605730020,0.915,1.0859999999999999e-06
1459605730030,0.915,1.4480000000000002e-06
1459605730040,0.915,7.240000000000001e-07
1459605730050,0.915,1.0859999999999999e-06
1459605730060,0.915,1.0859999999999999e-06
1459605730070,0.915,1.4480000000000002e-06
1459605730080,0.915,1.4480000000000002e-06
1459605730090,0.915,1.0859999999999999e-06
1459605730100,0.915,1.0859999999999999e-06
1459605730110,0.915,1.4480000000000002e-06
1459605730120,0.915,2.1719999999999997e-06
1459605730130,0.915,1.0859999999999999e-06
1459605730140,0.915,1.81e-06
1459605730150,0.915,3.6200000000000004e-07
1459605730160,0.915,1.81e-06
1459605730170,0.915,1.4480000000000002e-06
1459605730180,0.915,7.240000000000001e-07
1459605730190,0.915,2.1719999999999997e-06
1459605730200,0.915,2.5340000000000002e-06
1459605730210,0.915,3.62e-06
1459605730220,0.915,3.62e-06
1459605730230,0.915,2.1719999999999997e-06
1459605730240,0.915,2.8960000000000003e-06
1459605730250,0.915,2.5340000000000002e-06
1459605730260,0.915,2.5340000000000002e-06
