Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1459605846130,2.935,7.240000000000001e-07
1459605846140,2.935,1.0859999999999999e-06
1459605846150,2.935,3.6200000000000004e-07
1459605846160,2.935,7.240000000000001e-07
1459605846170,2.935,1.4480000000000002e-06
1459605846180,2.935,7.240000000000001e-07
1459605846190,2.935,3.6200000000000004e-07
1459605846200,2.935,1.0859999999999999e-06
1459605846210,2.935,7.240000000000001e-07
1459605846220,2.935,1.4480000000000002e-06
1459605846230,2.935,1.0859999999999999e-06
1459605846240,2.935,1.0859999999999999e-06
1459605846250,2.935,7.240000000000001e-07
1459605846260,2.935,1.4480000000000002e-06
1459605846270,2.935,7.240000000000001e-07
1459605846280,2.935,1.4480000000000002e-06
1459605846290,2.935,1.0859999999999999e-06
1459605846300,2.935,1.81e-06
1459605846310,2.935,7.240000000000001e-07
1459605846320,2.935,1.0859999999999999e-06
1459605846330,2.935,1.4480000000000002e-06
1459605846340,2.935,3.6200000000000004e-07
1459605846350,2.935,3.6200000000000004e-07
1459605846360,2.935,7.240000000000001e-07
1459605846370,2.935,7.240000000000001e-07
1459605846380,2.935,3.6200000000000004e-07
1459605846390,2.935,3.6200000000000004e-07
1459605846400,2.935,3.6200000000000004e-07
1459605846410,2.935,7.240000000000001e-07
1459605846420,2.935,3.6200000000000004e-07
1459605846430,2.935,7.240000000000001e-07
1459605846440,2.935,7.240000000000001e-07
1459605846450,2.935,3.6200000000000004e-07
1459605846460,2.935,3.6200000000000004e-07
1459605846470,2.935,1.0859999999999999e-06
1459605846480,2.935,3.6200000000000004e-07
1459605846490,2.935,0.0
1459605846500,2.935,7.240000000000001e-07
1459605846510,2.935,7.240000000000001e-07
1459605846520,2.935,3.6200000000000004e-07
1459605846530,2.935,1.4480000000000002e-06
1459605846540,2.935,3.6200000000000004e-07
1459605846550,2.935,3.6200000000000004e-07
1459605846560,2.935,3.6200000000000004e-07
1459605846570,2.935,7.240000000000001e-07
1459605846580,2.935,7.240000000000001e-07
1459605846590,2.935,3.6200000000000004e-07
1459605846600,2.935,3.6200000000000004e-07
1459605846610,2.935,3.6200000000000004e-07
1459605846620,2.935,7.240000000000001e-07
1459605846630,2.935,7.240000000000001e-07
1459605846640,2.935,3.6200000000000004e-07
1459605846650,2.935,7.240000000000001e-07
1459605846660,2.935,7.240000000000001e-07
1459605846670,2.935,0.0
